Date,Open,High,Low,Close,Volume
10/1/2012,35.4,37.4,35.4,36.7,124300
10/2/2012,38.3,39.0,37.2,37.3,201700
10/3/2012,38.0,38.3,36.6,36.8,205300
10/4/2012,37.6,37.9,36.3,36.5,94600
10/7/2012,36.9,36.9,35.1,35.3,96100
10/8/2012,35.5,36.1,34.4,34.9,109300
10/9/2012,35.9,36.3,35.0,35.2,142900
10/10/2012,35.2,35.6,34.3,34.7,98600
10/11/2012,34.4,35.0,34.1,34.3,71200
10/14/2012,35.0,35.0,33.8,33.9,90000
10/15/2012,33.5,34.8,33.5,34.0,58300
10/16/2012,33.9,35.0,33.9,34.0,69400
10/17/2012,33.7,34.1,33.6,33.7,37400
10/18/2012,34.6,34.6,33.7,33.8,32600
10/21/2012,34.8,34.8,33.5,33.6,45100
10/22/2012,33.8,34.3,33.8,34.1,53900
10/23/2012,34.5,36.0,34.2,35.8,161900
10/30/2012,35.6,36.8,35.3,35.6,36800
10/31/2012,35.9,36.0,35.3,35.4,81200
11/1/2012,35.7,36.6,35.6,36.3,168100
11/4/2012,36.3,36.6,35.4,35.5,47100
11/5/2012,36.0,36.0,35.0,35.0,39200
11/6/2012,34.8,35.5,34.1,34.4,52800
11/7/2012,33.8,34.9,33.6,33.8,31300
11/8/2012,34.9,34.9,33.0,33.6,81200
11/11/2012,33.6,33.6,31.3,31.4,94300
11/12/2012,32.0,32.5,31.7,32.1,85900
11/13/2012,31.6,33.5,31.5,32.5,57700
11/14/2012,32.5,33.2,32.0,32.8,61500
11/15/2012,32.3,33.1,32.0,32.7,56800
11/18/2012,32.7,33.0,32.2,32.3,29600
11/19/2012,32.1,32.4,31.5,31.9,82000
11/20/2012,31.3,32.2,31.0,31.0,81300
11/21/2012,30.9,30.9,29.8,30.0,51400
11/22/2012,30.0,30.1,28.9,28.9,75500
11/26/2012,29.0,29.1,27.7,28.4,30600
11/28/2012,29.6,29.6,27.8,28.0,36900
11/29/2012,28.5,30.6,28.5,30.1,80200
12/2/2012,30.2,31.1,29.5,29.5,50700
12/3/2012,29.5,29.9,28.3,28.6,39400
12/4/2012,28.0,28.7,27.8,28.2,51500
12/5/2012,28.1,29.1,28.1,28.9,34300
12/6/2012,28.5,28.9,28.4,28.5,32400
12/9/2012,28.5,28.5,27.7,27.8,18900
12/10/2012,27.4,27.8,27.3,27.3,20400
12/11/2012,27.8,28.2,27.6,28.0,7300
12/12/2012,28.1,28.4,27.3,27.4,30400
12/13/2012,27.5,28.0,27.4,27.6,4700
12/17/2012,27.5,29.1,27.3,28.5,25600
12/18/2012,28.5,28.5,27.5,27.6,53500
12/19/2012,28.3,30.2,28.3,29.7,136700
12/20/2012,29.7,30.6,29.2,29.5,56300
12/23/2012,29.3,30.3,28.7,29.1,45800
12/24/2012,28.8,29.2,28.4,28.5,37700
12/26/2012,29.5,29.5,28.5,28.8,54800
12/27/2012,29.4,30.0,29.0,29.8,79400
12/30/2012,29.4,30.0,29.3,29.5,59800
1/1/2013,30.0,30.8,29.5,29.5,96800
1/2/2013,29.4,29.5,29.1,29.2,26000
1/3/2013,29.1,30.0,28.8,29.9,103300
1/6/2013,29.1,30.2,29.1,29.8,77200
1/7/2013,30.0,30.0,29.0,29.1,57400
1/8/2013,29.6,29.7,29.1,29.1,38200
1/9/2013,29.0,29.9,28.8,28.8,31700
1/10/2013,28.6,29.0,28.6,28.9,49600
1/13/2013,28.9,29.0,28.5,28.5,38900
1/14/2013,28.3,29.0,28.3,28.8,51500
1/15/2013,28.7,29.0,28.4,28.6,17600
1/16/2013,28.0,28.8,28.0,28.5,20000
1/17/2013,29.2,29.5,28.6,29.3,120100
1/20/2013,29.3,29.4,28.7,28.7,22800
1/21/2013,28.7,28.9,28.6,28.7,8200
1/22/2013,29.0,29.2,28.6,28.8,53800
1/23/2013,29.1,30.5,29.1,30.2,179200
1/24/2013,30.6,30.7,29.5,29.7,166500
1/27/2013,30.0,30.2,29.4,29.4,81600
1/28/2013,29.4,29.6,29.2,29.3,74000
1/29/2013,29.8,32.2,29.8,31.6,282700
1/30/2013,31.4,31.6,30.8,30.9,90100
1/31/2013,31.0,31.2,30.5,30.7,91400
2/3/2013,31.0,31.5,30.7,31.3,160600
2/4/2013,31.7,31.9,30.9,31.2,120400
2/5/2013,31.5,31.5,30.9,31.1,129900
2/6/2013,31.0,31.8,31.0,31.4,149000
2/7/2013,31.7,31.8,31.3,31.4,121000
2/10/2013,31.9,32.7,31.7,32.4,186700
2/11/2013,32.6,35.6,32.4,35.6,660500
2/12/2013,36.6,37.5,35.6,35.9,272900
2/13/2013,36.8,38.2,35.6,37.0,342300
2/14/2013,37.5,40.0,37.5,39.0,656600
2/17/2013,39.9,42.9,39.0,42.9,788200
2/18/2013,43.0,47.1,43.0,47.1,1057400
2/19/2013,48.0,48.2,43.7,44.3,882800
2/20/2013,45.0,48.5,43.8,46.6,1030900
2/24/2013,46.6,48.4,45.1,46.5,755200
2/25/2013,46.1,47.9,43.8,44.6,552300
2/26/2013,45.7,47.0,44.5,46.2,828400
2/27/2013,46.2,48.7,45.0,46.0,1060600
2/28/2013,45.9,47.0,44.3,46.0,297300
3/3/2013,44.2,44.5,41.4,41.4,351900
3/4/2013,42.4,44.0,41.6,42.1,432900
3/5/2013,42.9,43.0,38.1,38.5,479300
3/6/2013,38.5,40.5,37.1,38.6,466500
3/7/2013,38.7,39.6,37.2,38.2,273000
3/10/2013,39.5,39.7,36.4,37.1,245200
3/11/2013,36.8,36.9,35.0,36.1,251100
3/12/2013,35.0,36.3,34.5,34.8,240800
3/13/2013,35.6,36.8,35.3,35.4,259800
3/14/2013,35.4,36.3,34.6,34.8,148500
3/18/2013,35.0,35.1,34.4,34.7,119500
3/19/2013,34.8,35.3,34.5,34.5,105200
3/20/2013,33.8,34.6,32.9,33.0,150900
3/24/2013,32.5,32.5,29.7,29.8,420300
3/25/2013,29.3,30.5,28.5,29.0,256600
3/27/2013,27.6,28.9,27.5,28.0,182100
3/28/2013,28.4,28.7,27.9,28.4,147900
3/31/2013,28.0,28.6,27.6,27.8,206800
4/1/2013,27.5,27.5,25.4,26.0,214200
4/2/2013,26.1,26.9,25.7,26.6,150600
4/3/2013,26.9,29.2,26.9,28.9,433500
4/4/2013,28.8,28.8,27.8,28.0,248400
4/7/2013,27.9,28.2,27.3,27.4,96400
4/8/2013,27.3,27.9,26.8,27.5,144100
4/9/2013,28.5,30.0,28.0,29.8,565700
4/10/2013,29.5,31.7,29.5,30.0,475600
4/11/2013,29.3,30.4,29.2,29.3,332700
4/15/2013,30.0,31.6,29.7,31.1,584800
4/16/2013,31.2,31.5,29.8,30.1,538700
4/17/2013,30.0,30.7,29.5,30.2,297700
4/18/2013,30.4,30.4,29.1,29.2,457600
4/21/2013,29.5,29.7,28.6,28.7,509000
4/23/2013,24.1,25.4,24.0,24.6,407200
4/24/2013,24.3,24.9,24.0,24.0,217000
4/25/2013,24.5,24.5,23.6,23.7,146600
4/28/2013,23.3,23.4,22.6,22.7,173900
4/29/2013,23.5,23.5,22.7,23.0,168200
4/30/2013,23.8,23.8,23.0,23.0,112500
5/2/2013,23.0,23.6,22.8,23.4,111600
5/5/2013,23.1,23.8,23.1,23.2,122000
5/6/2013,23.0,23.2,22.8,22.9,96000
5/7/2013,23.3,24.0,23.1,23.7,196400
5/8/2013,24.0,25.9,23.8,24.7,568400
5/9/2013,25.2,26.9,24.5,26.8,748900
5/12/2013,26.9,28.4,26.8,27.8,374600
5/13/2013,28.0,28.3,27.0,27.5,431700
5/14/2013,27.0,27.9,26.8,27.7,1046300
5/15/2013,28.0,29.8,27.4,28.8,887200
5/16/2013,28.9,30.7,28.9,30.0,557100
5/19/2013,30.2,30.5,29.7,30.3,774300
5/20/2013,30.5,30.5,28.8,28.9,682600
5/21/2013,29.0,29.8,27.9,28.1,564200
5/22/2013,28.0,28.6,26.9,27.0,313000
5/26/2013,28.0,28.0,26.3,26.4,279500
5/27/2013,26.5,27.6,26.5,27.4,232000
5/28/2013,28.1,28.1,27.3,27.4,220200
5/29/2013,27.8,28.6,27.6,28.3,379500
5/30/2013,28.9,29.2,28.5,28.6,429700
6/2/2013,29.1,29.4,28.6,29.0,367400
6/3/2013,29.0,29.4,28.5,28.6,414400
6/4/2013,29.0,31.3,28.7,30.7,912200
6/5/2013,30.5,31.7,30.4,30.5,563200
6/6/2013,30.6,30.8,29.3,29.5,335800
6/9/2013,30.0,30.0,27.8,27.9,308600
6/10/2013,28.6,30.6,28.4,30.2,521200
6/11/2013,31.4,31.4,29.9,30.0,549800
6/12/2013,30.4,32.0,30.4,31.0,970600
6/13/2013,31.5,33.6,30.8,32.8,1123100
6/16/2013,32.8,33.9,32.7,33.6,646400
6/17/2013,33.7,33.9,32.2,32.3,772900
6/18/2013,31.9,32.5,31.0,32.0,623100
6/19/2013,32.4,33.6,31.3,31.4,579600
6/20/2013,31.8,31.8,30.4,30.7,332800
6/23/2013,30.2,31.3,29.9,30.0,328800
6/24/2013,29.6,30.2,28.8,29.1,267400
6/26/2013,29.3,30.5,29.3,29.8,326000
6/27/2013,29.5,30.0,28.5,28.6,268600
6/30/2013,28.5,29.7,27.9,28.7,190500
7/2/2013,29.7,30.3,29.1,30.0,219600
7/3/2013,30.1,30.5,29.5,29.8,225600
7/4/2013,30.0,32.0,29.9,31.4,741900
7/7/2013,31.9,32.0,31.0,31.2,508100
7/8/2013,30.7,31.8,30.1,30.3,448400
7/9/2013,30.5,31.0,29.1,29.5,550100
7/10/2013,29.9,30.3,28.6,28.9,411000
7/11/2013,29.0,29.7,27.8,28.0,237300
7/14/2013,28.4,28.4,27.4,27.6,132100
7/15/2013,28.0,29.0,27.5,27.9,121500
7/16/2013,28.2,28.6,28.0,28.1,339600
7/17/2013,28.0,28.2,27.3,27.4,205400
7/18/2013,27.6,28.5,27.4,27.5,192200
7/21/2013,27.5,28.0,26.6,26.8,130000
7/22/2013,26.8,27.3,26.0,26.2,127400
7/23/2013,27.2,27.2,25.5,25.6,154700
7/24/2013,25.3,26.9,25.2,26.5,160900
7/25/2013,26.5,26.5,25.4,25.5,95600
7/28/2013,25.2,25.6,24.9,25.0,93600
7/29/2013,25.4,25.9,25.3,25.4,45100
7/30/2013,25.7,25.8,25.0,25.0,87600
7/31/2013,25.3,25.4,24.6,24.7,86000
8/1/2013,25.1,25.2,24.4,24.7,115300
8/4/2013,24.1,24.5,23.9,24.0,63800
8/5/2013,24.4,25.4,24.0,24.8,32100
8/12/2013,24.5,25.4,24.4,24.8,56700
8/13/2013,25.4,26.0,25.4,25.6,62200
8/14/2013,25.3,25.5,25.0,25.4,64800
8/18/2013,25.0,26.5,25.0,26.2,196900
8/19/2013,26.2,26.7,25.9,26.5,147200
8/20/2013,26.3,27.5,26.2,26.3,210600
8/21/2013,26.8,26.8,25.4,25.6,146400
8/22/2013,25.9,27.0,25.9,26.4,179600
8/25/2013,26.9,26.9,26.4,26.5,228400
8/26/2013,26.5,27.2,26.1,26.3,114800
8/27/2013,26.0,26.5,25.9,26.0,153800
8/29/2013,26.2,26.2,25.3,25.4,89200
9/1/2013,25.5,26.0,25.5,25.6,88900
9/2/2013,26.0,26.6,25.4,25.6,127500
9/3/2013,25.6,26.5,25.5,26.2,233700
9/4/2013,26.9,28.5,26.5,28.1,1132400
9/5/2013,28.1,28.9,27.6,27.7,450800
9/8/2013,27.2,27.4,26.6,26.8,124900
9/9/2013,26.6,27.2,26.2,26.3,303900
9/10/2013,26.7,27.4,26.4,26.4,276100
9/11/2013,26.5,26.9,25.7,25.9,244100
9/12/2013,25.8,26.0,25.1,25.2,435600
9/15/2013,25.1,27.7,25.0,27.4,602100
9/16/2013,27.6,27.7,26.5,26.6,199500
9/17/2013,26.8,29.2,26.7,28.9,1317900
9/18/2013,29.5,30.9,28.0,28.3,759400
9/19/2013,27.7,28.8,27.4,28.1,279800
9/22/2013,28.4,28.4,27.0,27.1,275900
9/23/2013,27.8,27.8,26.6,26.7,327000
9/24/2013,27.0,28.3,27.0,27.0,311000
9/25/2013,27.1,27.4,26.4,26.5,178800
9/26/2013,26.5,26.7,26.3,26.4,154400
9/29/2013,26.2,26.8,25.9,26.0,149600
9/30/2013,25.8,25.9,25.2,25.2,166300
10/1/2013,25.7,25.7,25.2,25.2,136200
10/2/2013,25.8,25.9,25.2,25.6,152900
10/3/2013,26.0,26.2,25.4,25.5,101600
10/6/2013,25.4,25.5,25.0,25.1,98400
10/7/2013,25.1,25.5,25.0,25.1,77100
10/8/2013,25.0,25.2,24.6,24.6,104700
10/9/2013,24.7,25.6,24.4,25.3,74300
10/10/2013,25.4,25.5,25.0,25.0,79600
10/20/2013,25.1,25.1,24.5,24.7,26200
10/21/2013,24.5,24.7,24.0,24.5,117500
10/22/2013,24.8,26.9,24.7,26.9,724300
10/23/2013,27.5,29.2,27.4,28.1,854600
10/24/2013,26.3,27.7,26.3,26.8,365700
10/27/2013,27.2,27.7,26.6,27.4,266400
10/28/2013,27.9,28.1,26.4,26.5,270500
10/29/2013,26.2,27.8,26.2,26.8,252200
10/30/2013,27.5,28.0,26.6,26.6,158100
10/31/2013,26.2,26.8,25.9,26.0,293700
11/3/2013,26.5,26.9,25.8,26.0,80900
11/4/2013,26.4,26.4,26.0,26.2,193800
11/5/2013,26.3,26.8,26.2,26.3,180100
11/6/2013,26.6,26.9,26.1,26.4,99000
11/7/2013,26.5,27.3,26.2,27.0,280300
11/10/2013,27.0,27.0,26.4,26.5,144300
11/11/2013,26.4,27.4,26.4,26.9,212800
11/12/2013,27.2,27.3,26.6,27.0,139700
11/13/2013,27.3,27.7,26.9,27.5,275800
11/14/2013,27.6,28.1,27.3,27.3,180100
11/17/2013,27.2,28.5,27.1,28.3,321900
11/18/2013,27.9,28.8,27.9,28.3,388600
11/19/2013,28.7,29.0,28.3,28.7,478400
11/20/2013,29.1,31.4,29.1,30.9,1682700
11/21/2013,31.7,31.8,30.3,31.5,1895600
11/24/2013,32.0,34.2,31.3,33.1,1643400
11/25/2013,33.2,34.8,33.0,33.4,1461000
11/26/2013,33.5,33.7,31.5,31.8,1320300
11/27/2013,32.0,32.7,30.7,30.8,609800
11/28/2013,30.6,31.2,29.4,30.0,610300
12/1/2013,29.4,29.9,28.8,29.2,436400
12/2/2013,29.7,30.4,29.0,29.3,286800
12/3/2013,30.0,30.8,29.6,30.4,432900
12/4/2013,30.5,31.1,30.0,30.1,344300
12/5/2013,30.5,30.5,29.5,29.6,270300
12/8/2013,30.2,30.8,29.6,30.3,543100
12/9/2013,30.6,31.0,29.7,29.8,365000
12/10/2013,30.3,30.6,30.0,30.2,389300
12/11/2013,30.8,31.5,30.3,31.4,501300
12/12/2013,31.2,31.5,30.3,30.5,428000
12/15/2013,30.0,31.1,30.0,30.7,493800
12/17/2013,31.1,32.0,30.5,31.2,436600
12/18/2013,31.3,31.5,30.3,30.4,271100
12/19/2013,30.3,30.7,29.9,30.1,277000
12/22/2013,30.5,31.0,30.3,30.6,424400
12/23/2013,31.4,31.8,30.6,30.6,384700
12/24/2013,31.1,31.1,30.2,30.3,192100
12/26/2013,30.4,30.5,29.9,30.0,215000
12/29/2013,30.0,30.2,29.5,29.8,210400
12/30/2013,30.6,30.6,30.0,30.3,185800
1/1/2014,30.6,30.6,29.9,29.9,232400
1/2/2014,30.0,30.7,30.0,30.4,171800
1/6/2014,30.6,31.2,30.4,30.5,193700
1/7/2014,30.7,32.2,30.7,32.0,789300
1/8/2014,32.1,32.8,31.4,31.7,363100
1/9/2014,32.0,32.4,31.5,31.6,576200
1/12/2014,32.1,32.3,31.5,31.6,653300
