Date,Open,High,Low,Close,Volume
10/1/2012,61.8,62.0,61.7,61.8,1350
10/2/2012,58.8,63.0,58.8,61.2,350
10/3/2012,59.5,59.5,58.0,58.6,1600
10/4/2012,58.8,58.8,58.5,58.7,700
10/7/2012,56.1,56.1,56.0,56.0,250
10/8/2012,58.5,59.0,55.0,55.3,2200
10/9/2012,59.7,59.7,57.5,58.8,250
10/10/2012,55.4,55.4,54.3,54.9,500
10/11/2012,55.0,55.0,54.1,54.2,400
10/15/2012,51.4,51.4,51.4,51.4,50
10/16/2012,52.1,52.6,52.1,52.3,400
10/17/2012,56.0,56.0,51.5,52.5,400
10/21/2012,52.5,53.0,52.3,52.4,500
10/22/2012,48.0,48.0,43.0,44.8,3350
10/23/2012,45.0,46.9,45.0,45.9,4850
10/30/2012,46.0,46.0,46.0,46.0,50
10/31/2012,45.4,48.4,45.4,46.0,1250
11/1/2012,45.3,45.3,45.0,45.1,1200
11/4/2012,44.1,44.8,44.1,44.4,350
11/5/2012,45.4,45.4,45.4,45.4,450
11/6/2012,44.0,44.0,44.0,44.0,300
11/7/2012,44.0,44.0,43.0,43.6,350
11/8/2012,45.0,46.9,45.0,45.3,5650
11/11/2012,46.0,46.0,45.0,45.6,650
11/12/2012,45.5,46.2,45.5,45.7,500
11/13/2012,45.0,48.5,45.0,47.2,1950
11/14/2012,47.0,49.9,47.0,49.2,2600
11/15/2012,49.0,51.5,49.0,49.8,800
11/18/2012,46.0,46.0,46.0,46.0,350
11/19/2012,46.3,47.9,46.0,47.0,2000
11/20/2012,46.5,46.5,46.5,46.5,100
11/21/2012,46.1,50.2,46.0,47.4,1150
11/22/2012,49.0,51.0,49.0,49.9,2550
11/26/2012,48.0,48.0,48.0,48.0,300
11/27/2012,47.6,49.0,47.6,47.9,500
11/28/2012,46.0,47.9,45.1,45.5,1700
11/29/2012,49.7,49.7,48.7,48.8,950
12/3/2012,50.8,51.0,49.0,49.9,4150
12/5/2012,50.0,50.0,50.0,50.0,100
12/10/2012,48.0,52.0,48.0,51.7,1850
12/11/2012,46.6,50.0,46.6,47.8,200
