Date,Open,High,Low,Close,Volume
1/14/2016,10.2,14.9,9.5,13.6,71000
1/17/2016,12.4,14.2,10.4,12.1,51700
1/18/2016,12.1,13.0,11.0,12.3,49500
1/19/2016,11.5,12.8,11.1,11.5,24700
1/20/2016,11.0,11.0,10.8,10.8,27850
1/21/2016,10.8,11.6,10.7,11.2,24950
1/24/2016,10.8,10.8,10.6,10.6,3490
1/25/2016,10.9,11.3,10.6,10.7,2805
1/26/2016,10.6,11.0,10.5,10.5,13505
1/27/2016,10.6,11.0,10.5,10.6,1940
1/28/2016,10.7,11.0,10.5,10.5,14520
1/31/2016,10.5,10.5,10.5,10.5,1700
2/1/2016,10.5,10.5,10.5,10.5,1000
2/2/2016,11.0,11.0,10.5,10.5,1777
2/3/2016,10.5,10.6,10.5,10.5,16615
2/4/2016,10.4,10.4,10.4,10.4,1994
2/7/2016,10.4,10.4,10.4,10.4,11000
2/8/2016,10.4,10.4,10.4,10.4,2355
2/9/2016,10.4,10.4,10.4,10.4,2000
2/10/2016,10.4,10.4,10.4,10.4,790
2/14/2016,10.4,10.4,10.4,10.4,500
2/15/2016,10.4,10.4,10.4,10.4,2501
2/16/2016,10.4,10.4,10.4,10.4,511
2/17/2016,10.4,10.4,10.4,10.4,511
2/18/2016,10.4,10.4,10.4,10.4,9500
2/22/2016,10.3,10.3,10.3,10.3,2000
2/25/2016,10.3,10.3,10.3,10.3,7500
2/28/2016,10.3,10.3,10.3,10.3,1500
2/29/2016,10.3,10.3,10.3,10.3,100
3/1/2016,10.3,10.3,10.3,10.3,500
3/3/2016,11.0,11.0,11.0,11.0,1000
3/10/2016,10.4,10.4,10.4,10.4,500
3/21/2016,10.3,10.3,10.3,10.3,10500
3/24/2016,10.3,10.3,10.3,10.3,2423
3/27/2016,10.3,10.3,10.3,10.3,500
4/3/2016,10.3,10.3,10.3,10.3,1500
4/4/2016,10.3,10.3,10.3,10.3,500
4/7/2016,10.3,10.3,10.3,10.3,3145
4/10/2016,10.3,10.3,10.3,10.3,1000
4/11/2016,10.2,10.2,10.2,10.2,500
4/17/2016,10.2,10.2,10.2,10.2,1000
4/21/2016,10.2,10.2,10.2,10.2,995
5/3/2016,10.1,10.1,10.1,10.1,1000
5/4/2016,10.2,10.2,10.2,10.2,1000
5/9/2016,10.2,10.2,10.2,10.2,1000
5/19/2016,10.3,10.3,10.3,10.3,500
5/26/2016,10.2,10.2,10.2,10.2,500
6/19/2016,10.2,10.2,10.2,10.2,1000
6/27/2016,11.0,11.0,11.0,11.0,1000
6/29/2016,12.1,12.1,12.1,12.1,2600
6/30/2016,13.3,13.3,13.3,13.3,500
7/10/2016,14.6,14.6,12.2,12.4,90984
7/11/2016,12.6,13.2,12.2,12.2,99200
7/12/2016,12.6,13.4,11.0,11.5,230913
7/13/2016,11.1,11.5,10.5,10.5,320562
7/14/2016,10.3,11.5,10.3,11.5,101610
7/16/2016,11.6,11.8,10.4,10.5,670707
7/17/2016,10.4,11.1,10.4,10.7,88205
7/18/2016,10.6,10.8,10.3,10.4,164939
7/19/2016,10.8,10.8,10.2,10.2,71208
7/20/2016,10.5,10.5,10.1,10.4,55760
7/21/2016,10.6,10.7,10.0,10.1,102115
7/24/2016,10.0,10.4,10.0,10.1,41930
7/25/2016,10.1,10.4,10.0,10.0,106883
7/26/2016,10.0,10.3,10.0,10.1,64895
7/27/2016,10.2,10.3,10.1,10.1,45245
7/28/2016,10.2,10.3,10.0,10.1,59000
7/31/2016,10.0,10.1,10.0,10.1,102874
8/1/2016,10.1,10.2,10.0,10.0,36885
8/2/2016,10.0,10.2,10.0,10.0,88979
8/3/2016,10.0,10.1,10.0,10.0,130760
8/4/2016,10.2,10.2,10.0,10.0,63690
8/7/2016,10.0,10.1,10.0,10.0,199392
8/8/2016,10.0,10.2,9.7,10.1,683061
8/9/2016,10.0,10.1,9.7,10.1,54814
8/10/2016,9.9,10.0,9.9,10.0,12300
8/11/2016,8.0,10.0,7.0,8.0,146985
8/14/2016,8.8,8.8,8.5,8.7,32925
8/16/2016,9.5,9.5,9.5,9.5,46100
8/17/2016,10.1,10.1,9.5,9.7,74002
8/18/2016,9.5,9.7,9.3,9.5,139492
8/21/2016,8.8,9.8,8.8,9.4,107610
8/22/2016,10.0,10.1,9.4,10.0,87105
8/23/2016,10.3,10.4,9.8,10.2,107360
8/24/2016,9.9,10.4,9.9,10.3,78063
8/28/2016,10.0,10.4,10.0,10.4,167725
8/29/2016,10.2,10.4,10.2,10.4,144865
8/30/2016,10.2,10.5,10.2,10.5,403625
8/31/2016,11.2,11.3,10.6,11.0,56300
9/5/2016,10.3,10.4,10.0,10.2,20600
9/6/2016,10.2,10.2,10.2,10.2,100
9/7/2016,9.8,10.1,9.2,9.3,45313
9/8/2016,10.2,10.2,10.1,10.2,1000
9/18/2016,11.1,11.1,10.0,11.1,1005
9/19/2016,10.9,10.9,10.2,10.8,14200
9/20/2016,10.5,10.8,10.1,10.6,80450
9/21/2016,10.1,10.4,10.1,10.2,2650
9/22/2016,9.8,10.3,9.8,10.3,2002
9/24/2016,10.3,10.3,9.8,9.9,36210
9/25/2016,10.5,10.5,10.0,10.0,4200
9/26/2016,10.0,10.4,9.9,10.0,18000
9/27/2016,10.5,10.8,10.1,10.3,9558
9/28/2016,10.4,10.6,9.9,10.1,14650
9/29/2016,10.4,10.4,10.4,10.4,100
10/2/2016,10.2,10.3,10.2,10.3,2500
10/3/2016,10.2,10.2,10.1,10.1,4000
10/4/2016,10.2,10.2,10.2,10.2,100
10/5/2016,10.1,10.1,10.0,10.0,6000
10/6/2016,10.0,10.0,10.0,10.0,3030
10/9/2016,9.9,10.5,9.9,10.3,13300
10/13/2016,10.0,10.3,10.0,10.2,14170
10/16/2016,10.2,10.4,10.2,10.3,120
10/19/2016,10.0,10.4,9.8,10.1,15268
10/20/2016,10.3,10.4,10.0,10.1,2000
10/23/2016,9.9,10.3,9.9,10.1,4805
10/24/2016,10.0,10.0,9.7,9.8,8014
10/25/2016,9.8,10.6,9.7,9.9,19068
10/26/2016,10.1,10.3,10.1,10.1,5300
10/27/2016,10.3,10.3,10.0,10.2,2600
10/30/2016,10.3,10.3,10.0,10.2,1109
10/31/2016,9.8,11.2,9.8,10.6,17755
11/1/2016,10.1,10.5,10.1,10.3,6510
11/2/2016,10.5,10.8,10.1,10.2,6050
11/3/2016,10.5,10.5,10.0,10.1,6700
11/6/2016,10.6,10.6,10.3,10.3,1012
11/7/2016,10.0,10.6,10.0,10.0,4560
11/8/2016,10.5,10.6,9.8,9.9,20563
11/9/2016,9.8,9.9,9.7,9.8,21990
11/10/2016,10.2,10.2,9.4,9.6,30500
11/13/2016,9.7,9.7,9.3,9.4,3800
11/14/2016,9.7,9.7,9.4,9.5,6000
11/15/2016,9.7,9.8,9.5,9.5,3100
11/16/2016,9.4,9.4,9.3,9.3,2408
11/17/2016,9.7,9.7,9.7,9.7,130
11/21/2016,9.6,9.7,9.5,9.6,5050
11/22/2016,9.8,9.8,9.8,9.8,50
11/23/2016,9.7,9.7,9.7,9.7,2000
11/24/2016,9.8,10.2,9.8,10.0,7000
11/27/2016,10.1,10.2,10.1,10.2,310
11/28/2016,10.1,10.1,9.8,10.0,6910
11/29/2016,10.1,10.2,10.0,10.1,14850
11/30/2016,10.2,10.4,10.1,10.3,14800
12/1/2016,10.4,10.4,10.0,10.2,8100
12/4/2016,10.4,10.6,10.0,10.4,7650
12/5/2016,10.4,10.6,10.4,10.5,3550
12/6/2016,10.2,10.6,10.0,10.2,8640
12/7/2016,10.0,10.0,9.9,10.0,5350
12/8/2016,10.1,10.1,10.1,10.1,1900
12/11/2016,9.9,10.0,9.8,9.9,6900
12/12/2016,9.7,9.9,9.7,9.9,8180
12/14/2016,9.7,9.9,9.7,9.8,4500
12/18/2016,9.7,10.2,9.6,9.9,15612
12/19/2016,10.2,10.2,9.9,9.9,1050
12/20/2016,10.2,10.2,9.6,9.7,3470
12/21/2016,9.8,9.8,9.8,9.8,14300
12/22/2016,10.0,10.0,9.7,9.9,7800
12/26/2016,9.5,10.2,9.5,9.8,2600
12/27/2016,10.1,10.6,10.1,10.4,40040
12/28/2016,10.6,10.6,10.4,10.6,29954
12/29/2016,10.6,10.6,10.0,10.0,13025
1/1/2017,10.9,10.9,10.6,10.7,27590
1/2/2017,11.2,11.2,10.3,10.6,3900
1/3/2017,11.4,11.4,10.5,10.9,7900
1/4/2017,11.1,11.1,10.1,10.5,22710
1/5/2017,11.3,11.3,10.2,10.3,27310
1/8/2017,10.8,11.2,10.2,10.5,9850
1/9/2017,11.1,11.5,10.4,10.6,15050
1/10/2017,10.5,10.5,10.5,10.5,500
1/11/2017,10.5,10.5,10.4,10.4,17995
1/12/2017,10.5,10.5,10.2,10.3,124262
1/15/2017,10.4,10.5,10.2,10.3,51520
1/16/2017,10.2,10.4,10.2,10.2,120050
1/17/2017,10.3,10.4,10.3,10.3,90000
1/18/2017,10.2,10.2,10.0,10.1,83000
1/19/2017,10.1,10.2,10.1,10.1,4100
1/22/2017,10.1,10.1,9.9,10.1,26500
1/23/2017,10.1,10.2,10.0,10.1,67059
1/24/2017,10.1,10.1,10.0,10.0,113650
1/25/2017,10.0,10.0,9.7,9.8,24901
1/26/2017,9.9,10.0,9.7,9.9,38540
1/29/2017,9.9,9.9,9.6,9.8,52360
1/30/2017,9.6,9.7,9.5,9.6,16400
1/31/2017,9.5,9.8,9.5,9.6,35650
2/1/2017,9.7,9.7,9.5,9.7,37085
2/2/2017,9.5,9.5,9.4,9.4,21000
2/5/2017,9.4,9.6,9.4,9.5,9900
2/6/2017,9.6,10.0,9.5,9.8,60431
2/7/2017,9.8,9.8,9.7,9.7,40500
2/8/2017,9.9,9.9,9.9,9.9,10000
2/9/2017,9.9,9.9,9.8,9.9,5050
2/12/2017,9.9,10.3,9.8,10.3,8585
2/13/2017,9.9,9.9,9.5,9.6,3200
2/14/2017,9.6,9.6,9.2,9.3,67500
2/15/2017,9.3,9.4,9.1,9.2,44004
2/16/2017,9.1,9.3,9.1,9.1,3700
2/19/2017,9.2,9.3,9.1,9.1,44620
2/20/2017,9.2,9.2,9.0,9.1,29947
2/22/2017,9.1,9.2,8.8,8.9,37900
2/23/2017,9.1,9.1,8.8,8.8,28375
2/26/2017,8.8,8.9,8.7,8.8,9010
2/27/2017,9.0,9.0,8.8,8.9,24645
2/28/2017,9.0,9.0,8.8,8.9,15125
3/1/2017,8.7,8.8,8.5,8.6,18590
3/2/2017,8.7,8.8,8.7,8.7,12538
3/5/2017,8.6,8.7,8.6,8.7,19350
3/6/2017,8.6,8.7,8.6,8.6,4010
3/7/2017,8.5,8.8,8.5,8.6,24956
3/8/2017,8.7,8.8,8.6,8.7,3600
3/9/2017,8.6,8.8,8.6,8.7,12862
3/12/2017,8.8,8.9,8.8,8.9,47200
3/13/2017,8.8,8.9,8.7,8.8,11902
3/14/2017,8.9,8.9,8.8,8.8,10000
3/15/2017,8.9,9.0,8.9,9.0,43283
3/16/2017,9.0,9.1,9.0,9.1,14300
3/19/2017,9.1,9.1,9.0,9.1,26000
3/20/2017,9.1,9.2,9.1,9.2,76525
3/21/2017,9.3,10.0,9.3,9.7,142983
3/22/2017,9.9,10.1,9.9,10.0,163020
3/23/2017,10.2,10.2,9.9,10.0,184134
3/27/2017,10.2,10.2,10.2,10.2,500
3/28/2017,10.1,10.1,9.8,9.9,7500
3/29/2017,10.2,10.2,9.9,10.0,151452
4/2/2017,10.0,10.0,10.0,10.0,3000
4/3/2017,10.0,10.0,10.0,10.0,500
4/4/2017,10.0,10.1,10.0,10.1,9183
4/5/2017,9.8,10.0,9.8,9.9,8300
4/6/2017,10.0,10.0,9.9,9.9,2050
4/9/2017,10.0,10.1,9.7,9.8,11950
4/10/2017,9.7,9.8,9.7,9.8,100
4/11/2017,9.9,10.0,9.9,10.0,1100
4/12/2017,9.8,9.8,9.8,9.8,1700
4/13/2017,10.0,10.0,9.9,9.9,10500
4/16/2017,9.9,9.9,9.9,9.9,5000
4/17/2017,9.8,9.8,9.8,9.8,1400
4/18/2017,9.9,10.0,9.8,9.9,1500
4/19/2017,9.8,9.9,9.8,9.9,15100
4/20/2017,9.9,9.9,9.8,9.8,13501
4/23/2017,9.8,9.8,9.6,9.7,11350
4/24/2017,9.9,9.9,9.9,9.9,1
4/25/2017,9.9,9.9,9.5,9.6,15280
4/26/2017,9.8,9.8,9.6,9.7,34907
4/27/2017,9.9,9.9,9.6,9.6,13726
4/30/2017,9.9,9.9,9.5,9.6,6256
5/2/2017,9.8,9.8,9.8,9.8,100
5/3/2017,9.5,9.6,9.5,9.5,16969
5/8/2017,9.8,9.8,9.8,9.8,110
5/9/2017,9.8,9.8,9.8,9.8,500
5/11/2017,9.5,9.6,9.4,9.5,24877
5/14/2017,9.4,9.6,9.3,9.3,501
5/15/2017,9.4,9.4,9.3,9.3,7700
5/16/2017,9.3,9.3,9.2,9.2,6300
5/17/2017,9.2,9.2,8.9,9.1,11621
5/18/2017,8.8,8.8,8.8,8.8,2000
5/21/2017,8.8,9.1,8.7,8.9,2303
5/22/2017,9.1,9.4,8.8,9.2,6320
