Date,Open,High,Low,Close,Volume
3/5/2015,48.0,50.0,36.9,37.1,9176640
3/8/2015,37.0,38.0,36.2,37.2,3630860
3/9/2015,37.3,39.6,37.3,38.4,3992690
3/10/2015,38.2,38.9,37.0,37.2,2790320
3/11/2015,37.4,40.0,37.1,39.2,6191500
3/12/2015,39.3,39.9,38.3,38.7,3628010
3/15/2015,38.6,39.1,37.5,37.7,2466200
3/16/2015,37.5,38.8,37.2,37.5,2666600
3/18/2015,37.4,38.2,37.1,37.3,2264970
3/19/2015,37.5,38.1,37.4,37.7,1465220
3/22/2015,37.9,38.6,37.5,37.8,1650739
3/23/2015,37.9,38.3,37.1,37.3,1652620
3/24/2015,37.5,37.7,36.6,36.8,1707450
3/25/2015,37.0,38.8,36.8,38.5,4323690
3/29/2015,38.6,40.5,38.6,40.0,4293930
3/30/2015,40.0,41.6,39.0,41.1,4081200
3/31/2015,41.5,43.7,41.5,42.0,4235760
4/1/2015,42.2,43.1,41.1,41.4,3150630
4/2/2015,41.4,42.3,41.0,41.4,1616670
4/5/2015,41.9,42.0,40.5,41.3,2289020
4/6/2015,41.1,42.5,39.5,40.6,3473740
4/7/2015,39.7,40.0,38.2,38.8,2958550
4/8/2015,39.0,41.7,37.7,41.1,2584940
4/9/2015,41.7,42.0,40.6,41.5,2929750
4/12/2015,42.0,43.0,39.9,40.2,3099590
4/13/2015,40.0,41.2,39.7,40.6,2051540
4/15/2015,41.0,42.3,40.4,41.4,2882690
4/16/2015,41.9,45.0,41.7,44.7,8245650
4/19/2015,45.4,47.5,45.1,46.1,5130860
4/20/2015,45.4,45.8,43.5,44.0,6327350
4/21/2015,46.0,46.0,41.7,42.3,1945300
4/22/2015,42.3,44.1,42.1,43.9,4872620
4/26/2015,38.3,41.4,37.1,38.3,4778870
4/27/2015,38.0,39.5,38.0,39.2,1552250
4/29/2015,38.5,39.9,38.1,38.5,2438760
4/30/2015,38.3,39.0,37.2,37.6,1248240
5/4/2015,37.9,38.1,36.6,36.8,1694230
5/5/2015,37.5,38.4,36.9,37.2,1044540
5/6/2015,37.5,38.4,36.7,37.6,1731350
5/7/2015,38.0,38.8,37.0,37.4,1810680
5/10/2015,37.5,39.0,37.5,38.8,2646660
5/11/2015,39.7,39.7,38.1,38.4,2433520
5/12/2015,38.8,38.9,37.5,37.7,1852340
5/13/2015,37.3,41.4,37.3,40.9,2970600
5/14/2015,41.3,41.8,39.5,40.3,2775790
5/17/2015,40.1,40.8,39.3,40.1,3260450
5/18/2015,40.3,41.4,39.9,40.1,2759880
5/19/2015,40.7,41.3,39.8,40.0,2331050
5/20/2015,40.8,41.7,39.7,41.4,3722790
5/21/2015,41.9,41.9,40.2,40.4,2691960
5/24/2015,40.8,40.9,39.7,39.9,963108
5/25/2015,39.9,40.9,39.4,40.1,2886960
5/26/2015,40.5,41.4,39.2,39.6,2953520
5/27/2015,39.9,40.0,38.0,38.3,1810910
5/28/2015,38.2,39.3,37.9,38.1,1333710
5/31/2015,39.0,39.2,37.8,38.0,1334690
6/1/2015,38.2,40.2,37.9,39.9,3519980
6/2/2015,40.0,43.6,39.6,41.7,5506310
6/4/2015,42.2,43.0,40.5,40.9,3068360
6/7/2015,41.6,42.5,40.4,40.8,2462020
6/8/2015,40.5,40.7,38.9,39.1,1586310
6/9/2015,39.2,39.6,38.0,38.1,1074710
6/10/2015,38.8,39.4,38.3,38.4,890183
6/11/2015,39.0,39.4,37.7,38.0,700412
6/14/2015,38.2,38.3,37.0,37.2,745016
6/15/2015,37.1,38.3,37.1,38.1,479068
6/16/2015,38.0,38.3,37.8,38.0,367714
6/17/2015,37.8,38.4,37.7,37.9,451565
6/18/2015,37.8,38.3,37.5,37.6,305653
6/21/2015,37.9,38.2,37.2,37.4,315679
6/22/2015,37.8,37.8,37.3,37.5,272678
6/23/2015,37.6,37.8,37.0,37.1,620235
6/24/2015,37.1,37.5,36.8,37.1,286354
6/25/2015,36.5,37.3,36.5,36.7,518117
6/28/2015,37.2,37.5,37.0,37.2,429129
6/29/2015,37.7,37.8,37.0,37.5,350450
6/30/2015,37.6,38.4,37.6,37.9,550301
7/2/2015,38.5,38.5,37.6,37.8,417655
7/5/2015,37.8,38.5,37.4,38.2,615573
7/6/2015,38.1,38.3,37.7,37.9,321847
7/7/2015,37.8,38.1,37.5,37.8,414373
7/8/2015,37.7,37.9,37.4,37.5,480812
7/9/2015,38.0,38.0,37.2,37.4,261047
7/12/2015,37.2,37.7,37.2,37.4,321495
7/13/2015,37.5,37.8,37.3,37.4,259544
7/14/2015,37.4,37.7,37.1,37.5,287036
7/21/2015,37.8,39.5,37.8,39.0,703695
7/22/2015,39.0,40.0,39.0,39.3,1301480
7/23/2015,39.5,42.0,38.8,41.7,2680650
7/26/2015,42.0,44.3,41.9,43.5,4702170
7/27/2015,43.3,43.4,42.2,42.6,2766680
7/28/2015,42.8,44.3,42.7,43.7,2390730
7/29/2015,44.1,44.6,43.2,43.5,3171940
7/30/2015,44.0,44.8,42.3,44.4,5448020
8/2/2015,44.4,48.6,44.4,48.0,4254740
8/3/2015,48.2,48.3,46.5,46.7,3493650
8/4/2015,47.0,47.9,45.9,46.9,3076630
8/5/2015,47.0,47.0,44.6,45.0,2641800
8/6/2015,45.0,45.5,44.4,44.7,1896850
8/9/2015,45.1,45.8,44.6,45.3,1581500
8/10/2015,45.3,45.8,44.2,44.4,1139130
8/11/2015,44.9,44.9,43.1,43.3,971013
8/12/2015,43.8,44.5,43.1,44.1,885376
8/13/2015,44.6,45.3,44.1,44.4,1189520
8/16/2015,44.7,44.7,42.6,43.0,1016220
8/17/2015,42.9,44.0,42.9,43.8,868691
8/18/2015,43.3,44.0,43.1,43.7,545230
8/19/2015,43.6,45.3,43.6,44.8,1881080
8/23/2015,44.4,44.5,42.6,42.8,1316010
8/24/2015,43.0,44.5,42.8,44.0,1300850
8/25/2015,44.0,44.9,43.5,44.6,1862150
8/26/2015,44.9,45.5,44.1,44.3,1401410
8/27/2015,44.3,45.0,44.0,44.2,787587
8/30/2015,44.1,44.3,42.6,42.9,591854
8/31/2015,43.0,43.4,42.5,42.8,298893
9/1/2015,42.7,42.7,41.9,42.1,446371
9/2/2015,42.5,43.0,42.4,42.8,429447
9/3/2015,42.6,42.8,42.0,42.2,511505
9/6/2015,42.5,42.5,41.0,41.5,544968
9/7/2015,41.7,42.3,41.5,41.7,389029
9/8/2015,41.7,42.2,41.5,41.6,400805
9/9/2015,41.4,41.7,41.2,41.3,355012
9/10/2015,41.5,41.7,40.9,41.1,405292
9/13/2015,41.3,41.7,41.2,41.3,363510
9/14/2015,41.1,41.5,41.1,41.3,285169
9/15/2015,41.2,41.5,39.8,40.0,534422
9/16/2015,40.0,40.8,38.5,39.0,923086
9/17/2015,39.5,39.9,38.0,38.7,610195
9/20/2015,39.1,39.6,39.0,39.4,281392
9/21/2015,39.5,41.0,39.1,40.7,585980
9/22/2015,40.7,41.2,40.3,40.8,365334
9/28/2015,41.3,41.3,39.6,39.9,490735
9/29/2015,39.8,40.1,39.4,39.6,278774
9/30/2015,39.9,39.9,38.9,39.0,574514
10/1/2015,39.0,39.5,38.7,38.9,309634
10/4/2015,39.0,39.0,37.9,38.0,417505
10/5/2015,37.8,39.1,37.8,38.8,302657
10/6/2015,38.3,38.9,38.0,38.2,282627
10/7/2015,38.1,38.4,37.6,37.8,197185
10/8/2015,37.5,37.9,36.8,36.9,300476
10/11/2015,36.8,37.4,36.5,37.0,221308
10/12/2015,37.1,37.7,36.9,37.3,211385
10/13/2015,37.1,37.3,36.5,36.9,470585
10/14/2015,37.0,37.3,35.8,36.1,280486
10/15/2015,36.4,37.1,35.8,36.0,313228
10/18/2015,35.7,35.8,34.0,34.2,386590
10/19/2015,34.4,34.8,33.8,33.9,485388
10/20/2015,34.7,37.2,34.0,36.9,1303230
10/21/2015,36.7,38.0,36.7,37.7,375449
10/25/2015,37.5,37.7,36.5,37.5,352132
10/26/2015,37.6,37.7,36.6,37.0,206288
10/27/2015,36.4,37.3,35.9,36.2,146139
10/28/2015,36.1,36.6,36.0,36.1,173038
10/29/2015,38.8,38.8,36.6,37.7,627083
11/1/2015,38.2,38.2,36.7,37.0,254982
11/2/2015,37.7,37.7,36.3,37.0,94438
11/3/2015,36.7,37.2,36.6,36.7,168234
11/4/2015,36.9,37.0,36.1,36.2,251309
11/5/2015,36.2,36.4,35.0,35.2,223385
11/8/2015,35.1,36.5,34.8,35.3,355565
11/9/2015,35.4,35.4,34.4,34.6,241162
11/10/2015,34.5,35.5,34.1,34.4,330974
11/11/2015,35.0,35.1,33.8,34.1,323747
11/12/2015,34.7,35.0,34.3,34.6,454553
11/15/2015,35.0,35.0,34.2,34.4,254531
11/16/2015,34.8,36.0,34.8,35.6,319134
11/17/2015,35.7,36.8,35.6,36.5,695218
11/18/2015,36.3,36.5,35.7,36.0,378240
11/19/2015,36.3,37.3,36.1,37.0,547549
11/22/2015,37.1,39.8,37.0,38.9,756286
11/23/2015,38.8,38.8,36.7,37.2,771294
11/24/2015,37.2,37.3,36.1,36.4,333301
11/25/2015,36.5,37.3,35.9,36.2,280677
11/26/2015,36.5,37.1,36.4,36.8,338579
11/29/2015,37.2,37.7,36.6,36.8,567407
11/30/2015,37.2,38.3,36.9,37.9,460321
12/1/2015,38.1,38.5,37.5,37.8,387711
12/2/2015,37.6,40.5,37.5,39.8,1945840
12/3/2015,39.9,40.4,39.4,40.1,1015380
12/6/2015,40.0,41.5,39.8,40.6,1272530
12/7/2015,40.9,42.0,40.1,41.5,1712140
12/8/2015,41.6,42.3,40.4,41.0,1268970
12/9/2015,41.0,42.3,40.8,42.0,1696790
12/10/2015,42.5,43.0,42.0,42.8,1531120
12/13/2015,43.0,43.7,41.8,42.0,882727
