Date,Open,High,Low,Close,Volume
3/8/2017,45.0,54.1,37.1,53.1,9297636
3/9/2017,54.1,62.4,54.1,55.4,1933637
3/12/2017,55.0,57.9,51.2,52.5,6135062
3/13/2017,53.0,53.4,50.2,50.5,1862684
3/14/2017,50.7,52.4,49.1,50.8,2774241
3/15/2017,51.5,52.3,49.9,50.2,1552652
3/16/2017,50.9,50.9,47.5,48.0,2620473
3/19/2017,48.4,48.4,46.1,46.5,2056556
3/20/2017,46.3,47.4,46.0,46.2,913622
3/21/2017,46.7,48.4,46.6,47.3,1066274
3/22/2017,47.6,48.0,45.4,45.7,1196578
3/23/2017,45.6,46.7,45.4,45.7,898596
3/27/2017,46.0,46.8,45.6,46.2,649790
3/28/2017,46.6,46.9,45.6,45.7,836451
3/29/2017,46.0,46.0,44.7,44.9,798679
3/30/2017,45.2,45.6,43.5,43.6,796022
4/2/2017,43.9,45.6,43.8,44.1,789499
4/3/2017,44.1,46.7,44.0,46.1,1958825
4/4/2017,46.5,47.0,44.7,45.0,862467
4/5/2017,45.3,45.5,44.0,44.2,846926
4/6/2017,44.4,45.0,43.7,43.8,498329
4/9/2017,43.8,44.5,42.7,42.8,445654
4/10/2017,43.5,43.5,41.9,42.2,528895
4/11/2017,42.6,43.4,42.3,43.1,442358
4/12/2017,43.4,44.4,43.1,43.8,745559
4/13/2017,44.0,44.4,42.6,42.7,546271
4/16/2017,42.7,44.2,42.6,42.9,584361
4/17/2017,43.1,43.7,42.3,42.5,488170
4/18/2017,42.5,43.3,41.8,42.1,430800
4/19/2017,42.3,42.9,42.1,42.2,427689
4/20/2017,42.8,42.8,41.4,41.5,337674
4/23/2017,41.7,42.1,40.6,40.8,256525
4/24/2017,41.3,41.5,40.3,40.6,234953
4/25/2017,40.0,40.0,38.2,38.6,987153
4/26/2017,39.0,40.9,38.7,40.7,601667
4/27/2017,40.8,41.2,39.2,39.4,590563
4/30/2017,39.6,39.9,38.1,38.3,502534
5/2/2017,38.5,40.3,38.4,39.6,386551
5/3/2017,40.3,41.5,39.9,40.2,916071
5/4/2017,40.5,41.5,40.2,41.0,491616
5/7/2017,41.3,42.5,41.3,42.4,645057
5/8/2017,42.9,43.8,42.3,43.0,1180805
5/9/2017,43.4,43.4,41.9,42.1,435863
5/11/2017,42.0,43.0,40.7,41.0,564494
5/14/2017,41.3,41.5,40.0,40.1,311376
5/15/2017,40.5,40.7,39.8,40.0,367200
5/16/2017,40.2,40.8,39.8,40.2,280175
