Date,Open,High,Low,Close,Volume
10/1/2012,10.2,10.2,10.2,10.2,1200
10/2/2012,10.5,10.6,10.5,10.5,1500
10/4/2012,9.5,9.5,9.5,9.5,700
10/7/2012,10.0,10.0,9.7,9.8,3700
10/8/2012,10.4,10.4,10.0,10.0,3400
10/11/2012,9.6,10.0,9.5,9.7,2000
10/15/2012,10.5,10.5,10.0,10.4,1200
10/16/2012,10.0,11.0,10.0,10.9,6300
10/17/2012,11.0,11.7,9.9,10.8,2300
10/21/2012,10.0,10.0,10.0,10.0,100
10/22/2012,10.1,10.1,10.0,10.0,500
10/23/2012,9.6,10.3,9.6,9.7,1700
10/30/2012,10.0,10.0,10.0,10.0,100
10/31/2012,10.0,10.0,9.1,9.5,600
11/8/2012,10.0,10.0,9.2,9.7,700
11/19/2012,9.6,9.6,9.5,9.5,2500
11/20/2012,10.4,10.4,9.5,9.9,200
11/27/2012,9.0,9.0,9.0,9.0,500
12/18/2012,8.6,8.6,8.1,8.3,1000
12/19/2012,7.9,8.2,7.9,8.0,1900
12/20/2012,8.1,8.4,8.1,8.1,800
12/24/2012,8.0,8.0,8.0,8.0,300
12/30/2012,8.2,8.2,8.2,8.2,300
1/2/2013,8.1,8.1,8.1,8.1,400
1/6/2013,8.3,8.3,8.3,8.3,200
1/7/2013,8.0,8.0,8.0,8.0,400
1/8/2013,8.0,8.0,8.0,8.0,700
1/21/2013,8.2,8.2,8.2,8.2,100
1/22/2013,7.9,7.9,7.9,7.9,500
1/30/2013,8.0,8.5,8.0,8.2,200
2/11/2013,8.2,8.2,8.2,8.2,100
2/12/2013,8.2,8.2,7.5,7.5,1100
2/14/2013,8.0,8.0,8.0,8.0,100
2/17/2013,8.0,8.0,8.0,8.0,100
2/18/2013,8.2,8.2,8.1,8.1,600
2/19/2013,8.0,8.0,8.0,8.0,600
2/26/2013,8.1,8.1,8.1,8.1,100
2/27/2013,8.0,8.0,7.9,7.9,700
2/28/2013,7.8,7.8,7.4,7.4,6100
