Date,Open,High,Low,Close,Volume
1/24/2024,11.0,11.0,11.0,11.0,1285
1/25/2024,12.1,12.1,12.1,12.1,762
1/28/2024,13.3,13.3,13.3,13.3,1162
1/29/2024,14.6,14.6,14.6,14.6,8554
1/30/2024,16.0,16.0,16.0,16.0,820
1/31/2024,17.6,17.6,17.6,17.6,650
2/1/2024,19.3,19.3,19.3,19.3,8364
2/4/2024,21.2,21.2,21.2,21.2,1864
2/5/2024,23.3,23.3,23.3,23.3,1225
2/6/2024,25.6,25.6,25.6,25.6,1613
2/7/2024,28.1,28.1,28.1,28.1,1634
2/8/2024,30.9,30.9,30.9,30.9,5306
2/11/2024,33.9,33.9,33.9,33.9,3277
2/12/2024,37.2,37.2,37.2,37.2,5202
2/13/2024,40.9,40.9,40.9,40.9,22893
2/14/2024,44.9,44.9,44.9,44.9,178832
2/15/2024,48.8,49.3,48.8,49.3,5284148
2/18/2024,51.3,53.9,47.2,48.2,2001956
2/19/2024,47.8,49.3,43.8,44.8,2559632
2/20/2024,44.8,46.4,43.3,44.5,1107261
