Date,Open,High,Low,Close,Volume
10/10/2018,38.0,38.0,28.1,29.0,7164763
10/11/2018,30.0,30.7,28.8,29.0,1486950
10/14/2018,29.2,31.9,28.8,31.9,3569335
10/15/2018,32.8,34.7,31.7,32.8,3982056
10/16/2018,32.6,34.8,31.8,33.7,3423298
10/17/2018,34.0,34.1,31.1,31.4,2633319
10/18/2018,31.5,32.8,30.1,30.4,3356767
10/21/2018,30.1,31.4,28.0,28.2,2549760
10/22/2018,28.4,29.1,26.3,26.5,1885702
10/23/2018,27.0,27.5,26.0,26.4,1641991
10/24/2018,26.7,26.9,25.5,25.6,1378654
10/25/2018,25.8,27.4,25.5,26.8,1385615
10/28/2018,26.9,27.0,24.2,24.4,1426263
10/29/2018,24.7,24.7,22.8,24.1,1525085
10/30/2018,24.5,26.4,24.5,25.8,1596771
10/31/2018,26.0,27.2,25.3,26.9,1979103
11/1/2018,27.0,28.7,27.0,28.0,2160684
11/4/2018,28.1,30.8,28.0,30.5,2763952
11/5/2018,30.8,31.4,27.9,28.2,2722782
11/6/2018,28.3,28.6,27.3,27.9,1506192
11/7/2018,28.2,29.6,28.1,29.1,1742236
11/8/2018,29.5,31.5,29.4,30.4,3364633
11/11/2018,31.0,31.7,30.2,30.5,2297656
11/12/2018,30.4,31.5,29.0,29.4,2248390
11/13/2018,29.8,30.3,28.2,28.5,1323573
11/14/2018,29.5,31.3,29.5,31.3,503675
11/15/2018,32.5,34.4,32.5,33.0,4681860
11/18/2018,33.2,36.0,33.0,35.5,3042407
11/19/2018,35.5,36.3,34.6,35.0,3523832
11/20/2018,35.2,36.6,34.1,36.2,3536044
11/22/2018,36.5,37.6,34.5,35.2,2742919
11/25/2018,34.4,35.4,32.3,32.8,2453739
11/26/2018,33.0,34.2,32.8,33.2,1759621
11/27/2018,33.6,33.9,31.6,32.1,1503362
11/28/2018,32.5,33.6,32.2,32.7,1883815
11/29/2018,33.0,35.9,33.0,35.9,3516642
12/2/2018,36.2,37.9,35.0,36.0,3156133
12/3/2018,36.0,37.9,35.2,37.3,2831410
12/4/2018,38.0,39.8,37.6,38.2,3773058
12/5/2018,38.3,38.5,35.9,36.2,2455526
12/6/2018,36.5,37.1,35.6,36.1,1644612
12/9/2018,36.2,37.2,34.8,35.1,1379449
12/10/2018,35.3,35.7,31.9,32.8,1613245
12/11/2018,32.9,33.7,31.1,31.7,1535802
12/12/2018,32.1,32.8,31.4,31.6,1087684
12/13/2018,31.9,32.4,30.5,31.2,992304
12/17/2018,31.7,31.7,28.9,29.1,776023
12/18/2018,29.2,30.4,29.0,29.9,586164
12/19/2018,30.5,30.8,29.5,29.7,655039
12/20/2018,30.0,32.1,29.4,31.9,1175643
12/23/2018,31.9,32.4,30.4,30.8,603022
12/24/2018,30.8,31.0,29.9,30.4,688022
12/26/2018,30.3,30.6,29.7,29.8,522578
12/27/2018,30.2,30.5,29.7,30.1,530405
1/1/2019,30.7,32.7,30.7,32.5,955897
1/2/2019,32.5,35.0,31.9,34.7,2759906
1/3/2019,35.1,35.4,34.5,34.9,2084325
1/6/2019,35.0,36.2,34.4,34.8,2730897
1/7/2019,35.0,35.4,33.3,33.5,1863526
1/8/2019,33.8,34.4,32.7,32.9,1226242
1/9/2019,33.0,33.1,31.6,32.0,1553861
1/10/2019,32.0,33.4,31.4,32.4,795780
1/13/2019,33.0,33.6,32.7,33.1,857308
1/14/2019,33.4,34.2,32.6,33.5,1537629
1/15/2019,33.8,34.6,31.7,33.0,1609047
1/16/2019,33.1,33.1,31.7,32.0,962205
1/17/2019,32.0,32.7,29.9,30.6,1281358
1/20/2019,30.6,32.1,30.0,31.6,934377
1/21/2019,31.9,31.9,30.7,30.8,534515
1/22/2019,30.9,32.2,30.9,31.7,748829
1/23/2019,31.7,32.6,31.1,31.2,717687
1/24/2019,31.3,31.4,30.4,30.6,904779
1/27/2019,31.4,31.4,30.3,30.6,768335
1/28/2019,30.9,31.3,30.0,30.2,773295
1/29/2019,30.5,31.0,29.9,30.2,1137993
1/30/2019,30.5,30.5,29.5,29.7,946201
1/31/2019,29.7,31.3,29.7,30.9,1290948
2/3/2019,31.2,31.9,30.9,31.1,1249722
2/4/2019,31.3,31.3,30.1,30.3,768165
2/5/2019,30.3,30.5,29.4,29.7,712319
2/6/2019,29.8,29.9,29.2,29.3,520543
2/7/2019,29.3,30.2,29.2,29.8,775937
2/10/2019,30.0,30.5,29.4,29.6,623009
2/11/2019,29.5,31.2,29.5,31.0,1129950
2/12/2019,31.1,32.6,31.1,32.3,2818086
2/13/2019,32.5,32.7,31.3,31.5,1161441
2/14/2019,31.8,32.1,31.4,31.9,1541306
2/17/2019,32.3,32.4,31.1,31.3,1171147
2/18/2019,31.6,31.6,30.2,30.4,1021333
2/19/2019,30.6,30.7,30.1,30.4,478217
2/20/2019,30.3,30.6,29.8,30.1,560081
2/24/2019,31.1,31.1,29.7,29.9,736646
2/25/2019,30.0,30.4,29.6,29.7,389376
2/26/2019,29.7,30.0,29.5,29.6,313090
2/27/2019,29.5,29.5,28.4,28.6,683338
3/3/2019,28.6,29.9,28.6,29.3,537013
3/4/2019,29.3,29.5,28.7,28.9,636111
3/5/2019,29.1,29.6,28.7,29.0,490819
3/6/2019,29.3,29.6,28.9,29.0,449155
3/7/2019,29.0,29.4,28.6,28.8,446277
3/10/2019,29.2,29.3,28.6,28.7,358407
3/11/2019,28.7,28.8,28.5,28.6,197476
3/12/2019,28.5,28.6,27.3,27.5,374642
3/13/2019,27.3,27.7,26.4,26.7,340569
3/14/2019,26.9,27.0,26.1,26.7,445114
3/18/2019,26.8,27.2,25.6,25.9,154281
3/19/2019,26.2,26.7,25.5,26.1,332648
3/20/2019,26.5,27.3,26.2,26.5,506085
3/21/2019,26.7,26.7,26.0,26.3,105514
3/24/2019,26.4,26.5,25.9,26.2,232545
3/25/2019,26.0,26.7,26.0,26.5,295055
3/27/2019,26.5,27.7,26.5,27.1,611895
3/28/2019,27.4,27.7,27.1,27.2,265057
3/31/2019,27.3,27.5,25.8,26.0,349421
4/1/2019,26.4,26.4,25.5,25.8,317151
4/2/2019,25.5,26.2,25.1,26.1,1237728
4/3/2019,26.0,26.5,25.8,25.9,898841
4/4/2019,26.0,26.3,25.4,26.1,680207
4/7/2019,26.1,27.3,26.1,26.4,1127640
4/8/2019,26.5,27.0,26.3,26.5,838449
4/9/2019,26.4,26.8,26.1,26.2,959465
4/10/2019,26.3,26.8,25.5,25.9,459939
4/11/2019,26.2,26.3,25.6,26.1,447684
4/15/2019,26.5,26.5,25.1,25.3,168061
4/16/2019,25.2,25.4,24.6,24.7,292502
4/17/2019,25.4,25.4,23.8,24.4,313793
4/18/2019,24.7,25.5,24.4,25.3,628371
4/21/2019,25.6,25.8,24.4,24.5,647043
4/23/2019,24.5,24.5,22.9,23.3,541752
4/24/2019,23.2,23.2,22.0,22.7,278889
4/25/2019,23.0,24.2,23.0,23.6,579399
4/28/2019,23.6,24.6,23.5,24.0,542299
4/29/2019,24.0,24.3,23.0,23.3,503752
4/30/2019,23.9,24.3,23.5,23.8,497286
5/2/2019,23.8,25.4,23.8,25.0,654869
5/5/2019,25.2,25.8,25.0,25.2,828547
5/6/2019,25.3,25.9,24.7,25.7,795375
5/7/2019,25.8,26.6,25.3,25.5,1804624
5/8/2019,25.5,25.9,24.8,25.5,551781
5/9/2019,25.7,26.9,25.7,26.4,1787947
5/12/2019,26.4,26.9,25.4,25.8,724975
5/13/2019,26.1,26.2,24.8,25.0,693218
5/14/2019,25.9,26.4,24.9,25.2,312067
5/15/2019,25.3,25.3,24.5,24.7,319431
5/16/2019,24.7,25.0,24.3,24.6,215168
5/19/2019,24.9,25.5,24.7,25.2,634259
5/20/2019,25.5,25.5,24.7,24.7,280140
5/21/2019,25.0,25.4,24.4,24.6,344514
5/22/2019,25.0,25.1,24.4,24.6,136053
5/23/2019,24.6,24.9,24.1,24.2,171338
5/26/2019,24.3,24.4,23.2,23.4,198876
5/27/2019,23.4,23.8,23.3,23.5,137848
5/28/2019,23.6,24.1,23.5,23.9,140344
5/29/2019,24.2,24.4,23.6,23.8,147956
5/30/2019,24.3,24.3,23.8,24.0,181607
6/9/2019,24.4,24.4,23.9,24.1,67044
6/10/2019,24.2,24.7,24.2,24.5,285722
6/11/2019,24.6,24.8,24.2,24.7,242071
6/12/2019,25.0,25.0,24.2,24.4,278462
6/13/2019,24.6,24.6,24.0,24.1,319997
6/16/2019,24.4,24.4,23.6,23.7,204133
6/17/2019,23.9,23.9,23.1,23.2,301659
6/18/2019,23.5,23.8,23.2,23.6,254822
6/19/2019,23.7,23.8,23.3,23.5,343263
6/20/2019,23.7,23.7,23.1,23.2,139063
6/23/2019,23.2,23.3,22.8,23.0,146657
6/24/2019,23.1,23.3,22.7,22.8,202263
6/25/2019,23.0,23.2,22.1,22.3,434266
6/26/2019,22.6,23.5,22.4,23.2,450427
6/27/2019,23.3,23.4,22.9,22.9,254357
6/30/2019,23.2,23.2,22.8,23.0,536701
7/2/2019,23.2,23.8,22.8,23.6,845379
7/3/2019,23.7,24.3,23.6,23.9,521022
7/4/2019,23.6,24.5,23.5,24.2,1173137
7/7/2019,24.2,24.8,23.9,24.1,844026
7/8/2019,24.2,24.6,23.8,24.0,583259
7/9/2019,24.2,24.2,23.0,23.2,538202
7/10/2019,23.2,23.4,22.3,22.6,285000
7/11/2019,22.5,22.8,21.5,21.7,424696
7/14/2019,22.4,22.4,20.7,21.0,469739
7/15/2019,20.9,20.9,19.6,19.9,250300
7/16/2019,20.0,20.4,19.3,19.5,375714
7/17/2019,19.7,21.2,19.6,21.1,615080
7/18/2019,21.3,21.6,20.5,20.9,371632
7/21/2019,21.0,21.0,19.4,19.6,402407
7/22/2019,19.8,19.8,18.6,19.2,375656
7/23/2019,19.7,20.3,19.7,20.2,511743
7/24/2019,20.0,21.0,19.7,20.8,633037
7/25/2019,20.8,21.3,20.5,20.8,403966
7/28/2019,21.1,21.1,20.4,20.5,321064
7/29/2019,20.8,21.5,20.6,21.3,386265
7/30/2019,21.2,22.0,21.2,21.4,534894
7/31/2019,21.1,21.6,21.0,21.1,233332
8/1/2019,21.4,21.6,21.2,21.4,221404
8/4/2019,21.5,21.9,21.2,21.5,431171
8/5/2019,21.7,22.4,21.4,22.2,471931
8/6/2019,22.4,22.7,22.0,22.1,494468
8/7/2019,22.0,22.1,21.1,21.2,349168
8/8/2019,21.2,21.5,21.1,21.3,57810
8/18/2019,21.6,22.0,21.3,21.8,155906
8/19/2019,22.2,22.4,21.8,22.0,336317
8/20/2019,22.3,22.5,21.8,22.4,648328
8/21/2019,22.4,22.5,21.9,22.0,540048
8/22/2019,22.1,22.4,21.7,21.8,462621
8/25/2019,22.1,22.5,21.9,22.3,656639
8/26/2019,22.8,22.8,21.3,21.6,586003
8/27/2019,21.7,22.3,21.7,21.9,753536
8/28/2019,22.0,22.0,21.4,21.5,132307
8/29/2019,21.3,21.7,20.8,21.0,237045
9/1/2019,21.0,21.1,19.5,20.3,139574
9/2/2019,20.3,20.3,19.0,19.2,396925
9/3/2019,19.7,19.7,18.9,19.3,399892
9/4/2019,19.5,20.5,19.3,20.4,796018
9/5/2019,20.4,21.4,20.3,20.7,849905
9/8/2019,21.0,21.0,20.1,20.2,532039
9/9/2019,20.0,20.3,19.4,19.6,601116
9/11/2019,20.0,20.0,18.9,19.3,643613
9/12/2019,19.1,19.9,19.0,19.8,562433
9/15/2019,19.8,20.3,19.7,20.1,353878
9/16/2019,20.0,20.3,19.5,19.5,317625
9/17/2019,19.7,19.7,18.4,18.7,503478
9/18/2019,19.1,19.2,17.5,17.8,449456
9/19/2019,18.3,18.3,16.7,17.3,428625
9/22/2019,17.7,17.7,17.0,17.4,190438
9/23/2019,17.7,17.9,17.5,17.8,465592
9/24/2019,17.9,18.0,17.5,17.6,299952
9/25/2019,17.5,17.6,17.0,17.5,203019
9/26/2019,17.4,17.6,17.3,17.4,208159
9/29/2019,17.5,17.5,16.4,16.5,459264
9/30/2019,16.4,16.7,16.1,16.2,198556
10/1/2019,16.3,16.9,16.1,16.9,365100
10/2/2019,16.7,16.8,16.3,16.4,144533
10/3/2019,16.5,18.0,16.4,18.0,1417940
10/6/2019,18.3,19.0,17.6,18.0,698192
10/7/2019,17.9,18.0,17.1,17.1,710728
10/9/2019,17.2,17.3,16.8,16.9,178687
10/10/2019,16.5,17.3,16.5,17.1,397337
10/13/2019,17.3,17.3,16.6,16.7,128894
10/14/2019,16.6,16.8,16.3,16.5,289015
10/15/2019,16.8,18.0,16.8,17.8,436874
10/16/2019,17.9,17.9,17.2,17.6,228692
10/17/2019,17.6,17.8,16.6,17.4,1143699
10/20/2019,17.6,17.8,16.8,17.0,633485
10/21/2019,16.9,16.9,15.3,15.4,756875
10/22/2019,15.7,15.7,14.6,15.1,286138
10/23/2019,14.9,16.0,14.8,15.5,332445
10/24/2019,15.7,16.6,15.4,16.4,362152
10/27/2019,16.8,16.8,15.6,15.8,313230
10/28/2019,15.9,15.9,15.3,15.4,214578
10/29/2019,15.4,15.8,15.1,15.6,688878
10/30/2019,15.6,16.2,15.6,16.0,438455
10/31/2019,15.7,17.0,15.7,16.9,1009665
11/3/2019,17.0,17.6,16.9,17.0,1294709
11/4/2019,17.1,17.3,16.2,16.5,869374
11/5/2019,16.5,17.7,15.9,17.5,3705697
11/7/2019,16.8,17.5,16.3,17.4,4379466
11/11/2019,17.5,18.0,17.4,17.8,2165924
11/12/2019,17.8,18.2,17.3,17.4,1245048
11/13/2019,17.1,17.2,16.5,16.6,1588070
11/14/2019,16.2,16.9,16.1,16.8,666653
11/17/2019,16.8,17.0,16.2,16.3,466308
11/18/2019,16.5,16.5,15.7,15.9,836430
11/19/2019,16.0,16.3,15.9,16.0,580598
11/20/2019,16.3,16.7,16.0,16.4,1254156
11/21/2019,16.8,16.8,16.5,16.7,1006828
11/24/2019,16.9,18.3,16.9,18.3,4327525
11/25/2019,18.5,18.7,17.9,18.0,2767577
11/26/2019,18.0,19.3,17.9,18.5,4374906
11/27/2019,18.5,18.7,17.8,18.1,2723993
11/28/2019,18.2,18.4,17.6,17.7,2093532
12/1/2019,18.0,18.5,17.7,17.9,1757408
12/2/2019,17.8,18.1,17.4,17.5,1245737
12/3/2019,17.5,17.6,17.0,17.1,1166330
12/4/2019,17.2,17.7,17.1,17.3,768799
12/5/2019,17.4,18.2,17.3,18.1,2306616
12/8/2019,18.3,18.3,17.0,17.1,763066
12/9/2019,17.1,17.4,16.4,16.7,468842
12/10/2019,17.0,17.3,16.0,16.2,544083
12/11/2019,16.4,16.5,16.0,16.2,348416
12/12/2019,16.3,16.9,16.1,16.7,467913
12/15/2019,16.6,17.1,16.6,17.0,507265
12/17/2019,17.0,17.1,16.2,16.2,685587
12/18/2019,16.20000076,16.70000076,15.89999962,16.60000038,565049
12/19/2019,16.60000038,17.10000038,16.60000038,16.89999962,891240
12/22/2019,16.8,17.5,16.7,17.3,976450
12/23/2019,17.4,17.6,16.7,16.9,996987
12/24/2019,17.0,17.1,16.6,16.8,214857
12/26/2019,16.9,17.3,16.8,16.8,504486
12/29/2019,17.0,17.2,16.6,16.7,362900
12/30/2019,16.8,16.9,16.5,16.8,320698
1/1/2020,16.9,17.1,16.8,16.9,306392
1/2/2020,16.9,17.2,16.6,16.7,571848
1/5/2020,16.7,16.9,16.2,16.3,281865
1/6/2020,16.4,16.4,15.5,15.7,485109
1/7/2020,15.9,16.0,15.0,15.2,339790
1/8/2020,15.5,15.7,14.9,15.1,248856
1/9/2020,15.0,15.3,14.9,15.0,299037
1/12/2020,15.2,15.4,14.9,15.2,177945
1/13/2020,15.1,15.2,14.1,14.4,219756
1/14/2020,14.3,14.3,13.4,13.8,447029
1/15/2020,14.4,14.4,13.9,14.0,188095
1/16/2020,14.0,14.4,13.8,14.2,328742
1/19/2020,14.6,15.6,14.5,15.4,444262
1/20/2020,15.6,15.7,15.1,15.3,245784
1/21/2020,15.1,15.2,14.3,14.8,427474
1/22/2020,14.5,14.8,14.4,14.4,189342
1/23/2020,14.6,15.7,14.5,15.5,534037
1/26/2020,15.8,15.9,15.4,15.6,436020
1/27/2020,15.6,15.6,15.0,15.2,221912
1/28/2020,15.4,16.1,14.8,16.0,639655
1/29/2020,16.0,16.4,15.5,15.8,504788
1/30/2020,16.0,16.1,15.5,16.0,412695
2/2/2020,16.2,16.4,15.8,16.0,491909
2/3/2020,16.3,16.9,16.0,16.7,888056
2/4/2020,16.9,17.3,16.6,17.0,1811318
2/5/2020,17.0,17.1,16.3,16.6,763504
2/6/2020,16.6,17.5,16.3,17.1,2011008
2/9/2020,17.1,17.6,17.1,17.1,1040701
2/10/2020,17.2,17.4,16.9,17.0,1513188
2/11/2020,17.3,18.0,17.2,17.9,2254145
2/12/2020,18.2,18.5,17.8,18.3,2563900
2/13/2020,18.4,18.9,18.1,18.8,2772121
2/16/2020,19.0,19.4,18.7,18.9,4470125
2/17/2020,18.9,19.0,18.4,18.7,2395545
2/18/2020,18.8,19.1,17.4,17.6,2620806
2/19/2020,17.7,18.8,17.7,18.7,3057845
2/20/2020,18.7,18.8,17.9,18.0,2278485
2/23/2020,18.3,18.5,17.9,18.1,1814049
2/24/2020,18.2,19.8,18.2,19.7,6087687
2/25/2020,19.9,20.4,19.7,20.2,3424570
2/26/2020,20.2,20.9,20.1,20.3,4850042
2/27/2020,20.3,21.9,20.3,21.0,6001939
3/1/2020,21.2,21.2,20.4,20.7,3335967
3/2/2020,20.8,21.8,20.5,21.5,3970084
3/3/2020,21.7,22.7,21.6,22.0,4436164
3/4/2020,22.0,22.3,19.9,20.2,6353817
3/5/2020,20.3,20.6,19.8,20.1,2329886
3/8/2020,20.4,20.7,18.9,19.1,2613129
3/9/2020,18.7,18.9,17.2,17.2,2487637
3/10/2020,17.3,18.6,17.3,18.4,1299153
3/11/2020,18.6,20.1,18.1,20.0,3150717
3/12/2020,20.1,20.5,18.6,19.3,4232502
3/15/2020,19.2,19.5,17.5,18.7,2131853
3/16/2020,19.0,19.3,17.1,17.3,3237803
3/18/2020,17.9,18.5,15.7,16.0,1958607
3/19/2020,18.7,18.7,18.7,18.7,36194
3/22/2020,18.7,18.7,18.3,18.3,212560
3/23/2020,18.3,18.8,18.3,18.6,2518519
3/24/2020,18.6,18.8,18.3,18.5,1253617
5/31/2020,18.5,20.4,18.5,20.3,2247315
6/1/2020,20.5,21.1,19.0,19.5,1939205
6/2/2020,19.1,19.4,18.4,18.8,717521
6/3/2020,18.7,19.1,18.5,18.6,404377
6/4/2020,18.5,18.6,18.4,18.5,386114
6/7/2020,18.4,19.0,18.3,18.9,514078
6/8/2020,18.9,18.9,18.5,18.7,299530
6/9/2020,18.8,19.1,18.7,18.8,963298
6/10/2020,18.9,18.9,18.5,18.7,689258
6/11/2020,18.8,18.9,18.5,18.6,689579
6/14/2020,18.6,18.6,18.3,18.3,751806
6/15/2020,18.3,18.3,18.3,18.3,34810
6/16/2020,18.3,18.3,18.3,18.3,36164
6/17/2020,18.3,18.5,18.3,18.3,285401
6/18/2020,18.3,18.5,18.3,18.3,548098
6/21/2020,18.3,18.3,18.3,18.3,82275
6/22/2020,18.3,18.3,18.3,18.3,44990
6/23/2020,18.3,18.3,18.3,18.3,3636
6/24/2020,18.3,18.3,18.3,18.3,8429
6/25/2020,18.3,18.3,18.3,18.3,12100
6/28/2020,18.3,18.3,18.3,18.3,29600
6/29/2020,18.3,18.3,18.3,18.3,28479
6/30/2020,18.3,18.3,18.3,18.3,49410
7/2/2020,18.3,18.3,18.3,18.3,8617
7/5/2020,18.3,18.3,18.3,18.3,1525
7/6/2020,18.3,18.3,18.3,18.3,14300
