Date,Open,High,Low,Close,Volume
11/23/2015,36.5,39.0,26.3,26.7,9717980
11/24/2015,27.0,28.0,25.6,26.7,2211990
11/25/2015,26.8,27.8,25.6,25.8,2383240
11/26/2015,26.0,26.5,24.6,24.8,2075390
11/29/2015,25.0,25.0,23.5,23.6,2250000
11/30/2015,23.7,25.7,23.6,25.3,2580300
12/1/2015,25.4,25.5,24.1,24.2,1578480
12/2/2015,24.4,24.6,23.5,23.6,1736070
12/3/2015,23.8,24.3,23.7,23.9,1317770
12/6/2015,24.0,24.4,23.5,23.6,1091640
12/7/2015,23.8,23.8,23.1,23.2,918964
12/8/2015,23.3,23.6,23.1,23.2,775104
12/9/2015,23.2,23.9,23.2,23.7,891416
12/10/2015,24.0,24.6,23.7,24.1,1931310
12/13/2015,24.1,24.3,23.5,23.6,837618
12/14/2015,23.4,23.5,22.3,22.4,1383680
12/15/2015,22.6,22.7,20.4,20.8,1932890
12/17/2015,20.8,21.2,19.6,19.9,863635
12/20/2015,19.9,20.4,18.5,18.6,1227270
12/21/2015,19.0,19.9,19.0,19.6,891301
12/22/2015,19.8,21.3,19.6,20.8,2461020
12/23/2015,21.0,21.8,20.6,21.6,1371430
12/24/2015,21.8,22.2,21.3,21.4,961800
12/27/2015,21.6,21.7,20.9,21.0,609294
12/28/2015,21.2,21.3,20.3,20.4,606910
12/29/2015,20.6,20.8,20.4,20.7,724924
12/30/2015,20.9,22.4,20.8,22.1,1479890
12/31/2015,22.2,22.5,21.6,22.0,993897
1/3/2016,22.2,22.8,22.1,22.5,1296300
1/4/2016,22.7,22.9,21.9,22.3,1096150
1/5/2016,22.5,23.4,22.4,22.7,2927700
1/6/2016,22.9,22.9,21.7,21.8,1973510
1/7/2016,21.9,22.1,21.4,21.6,884064
1/10/2016,21.6,21.7,20.9,21.3,1239740
1/11/2016,21.8,21.9,21.0,21.1,739334
1/12/2016,21.3,21.6,20.5,21.4,1985500
1/13/2016,21.7,22.4,21.5,22.2,2162740
1/14/2016,22.4,22.5,21.2,21.4,1568780
1/17/2016,21.4,21.7,20.7,20.9,732249
1/18/2016,21.0,21.5,20.9,21.2,1207610
1/19/2016,21.3,21.7,21.0,21.1,972215
1/20/2016,21.2,22.7,21.1,21.7,2970390
1/21/2016,21.8,22.5,21.5,21.6,1445690
1/24/2016,21.8,22.0,21.2,21.6,1063790
1/25/2016,21.6,21.9,21.4,21.5,1439260
1/26/2016,21.3,21.8,21.3,21.6,1340320
1/27/2016,21.8,22.2,21.6,22.0,1223870
1/28/2016,22.3,22.5,21.5,21.5,862120
1/31/2016,21.8,22.6,21.3,21.5,1072130
2/1/2016,21.6,22.0,21.5,21.6,591923
2/2/2016,21.6,21.9,21.4,21.6,1063280
2/3/2016,21.3,21.6,21.2,21.3,716475
2/4/2016,21.4,21.4,20.9,21.0,1693110
2/7/2016,20.9,21.2,20.5,20.8,746906
2/8/2016,20.5,20.9,20.3,20.4,385232
2/9/2016,20.4,21.1,20.3,20.8,587191
2/10/2016,21.0,21.7,20.7,20.8,496738
2/11/2016,20.7,21.0,20.5,20.7,316260
2/14/2016,20.9,20.9,20.5,20.5,219381
2/15/2016,20.5,20.6,20.1,20.1,241855
2/16/2016,20.0,20.9,20.0,20.7,662653
2/17/2016,20.8,21.4,20.8,21.1,667098
2/18/2016,21.3,21.3,20.4,20.6,382957
2/22/2016,20.9,20.9,20.4,20.5,296745
2/23/2016,20.4,20.9,20.4,20.6,329634
2/24/2016,20.5,20.8,20.4,20.5,414972
2/25/2016,20.4,20.5,20.2,20.3,341553
2/28/2016,20.4,20.5,20.2,20.4,259592
2/29/2016,20.2,20.6,20.1,20.3,306191
3/1/2016,20.6,20.6,19.9,20.0,353392
3/2/2016,19.9,21.2,19.8,20.7,386438
