Date,Open,High,Low,Close,Volume
10/1/2012,165.0,170.9,165.0,166.6,57500
10/2/2012,171.8,173.7,167.6,168.8,92250
10/3/2012,174.6,174.6,165.2,166.4,47550
10/4/2012,170.0,170.0,166.0,166.1,38100
10/7/2012,166.4,168.0,161.3,162.7,39850
10/8/2012,163.1,166.0,160.4,161.4,33550
10/9/2012,163.1,165.8,160.2,161.2,39200
10/10/2012,162.6,163.9,157.0,158.8,42500
10/11/2012,159.0,160.1,158.0,158.6,30550
10/14/2012,158.1,158.9,154.4,155.0,36900
10/15/2012,156.0,158.0,156.0,156.8,30200
10/16/2012,157.3,159.8,156.5,157.1,16200
10/17/2012,158.9,158.9,156.0,156.2,18000
10/18/2012,156.8,158.0,155.5,156.1,19150
10/21/2012,157.8,158.1,154.7,157.7,40550
10/22/2012,157.8,157.9,157.0,157.5,10200
10/23/2012,160.0,164.5,160.0,162.3,35150
10/30/2012,161.1,163.0,161.0,161.8,18650
10/31/2012,161.0,163.9,159.0,160.4,23100
11/1/2012,161.8,163.5,161.1,163.0,27150
11/4/2012,163.0,165.9,162.4,163.2,30800
11/5/2012,163.5,165.1,161.2,162.4,39600
11/6/2012,161.0,164.4,161.0,163.9,28650
11/7/2012,156.0,164.9,156.0,161.2,12300
11/8/2012,163.4,170.0,160.6,166.1,77100
11/11/2012,160.0,169.0,160.0,161.4,36200
11/12/2012,163.6,164.0,159.0,160.0,14450
11/13/2012,160.0,162.0,160.0,160.8,27300
11/14/2012,161.1,166.0,159.3,165.0,42300
11/15/2012,165.0,176.1,165.0,173.3,284650
11/18/2012,174.8,177.0,170.2,172.5,73200
11/19/2012,171.8,172.4,165.9,166.2,37250
11/20/2012,163.2,166.0,158.0,159.3,81400
11/21/2012,163.9,163.9,158.1,159.9,32000
11/22/2012,159.8,162.0,157.5,158.0,36200
11/26/2012,160.1,160.1,155.1,155.6,22950
11/27/2012,154.2,156.8,153.9,154.2,17350
11/28/2012,158.9,161.0,152.5,156.1,26800
11/29/2012,160.0,164.4,157.5,163.2,44050
12/2/2012,166.9,168.0,159.0,159.9,38950
12/3/2012,162.8,162.8,155.9,157.1,26450
12/4/2012,156.0,160.0,156.0,158.1,16200
12/5/2012,157.9,158.5,157.0,157.1,12050
12/6/2012,156.5,159.3,155.6,156.1,23500
12/9/2012,156.0,159.1,152.0,156.6,9750
12/10/2012,156.6,157.0,154.0,155.8,32700
12/11/2012,153.1,159.9,152.9,157.2,44000
12/12/2012,159.0,159.0,155.7,156.0,9600
12/13/2012,155.0,156.9,155.0,156.4,9850
12/17/2012,158.0,159.0,156.6,157.2,11500
12/18/2012,159.4,159.5,156.0,157.0,12100
12/19/2012,157.0,158.6,157.0,157.1,16200
12/20/2012,158.9,160.1,157.5,159.6,28950
12/23/2012,157.0,159.3,157.0,157.3,8850
12/24/2012,159.1,159.1,156.9,157.1,9600
12/26/2012,157.1,159.3,157.0,158.5,13650
12/27/2012,159.8,163.9,157.5,160.7,21050
12/30/2012,160.2,165.9,160.1,164.1,45450
1/1/2013,162.0,163.0,160.2,160.5,13400
1/2/2013,160.0,164.9,158.0,160.1,35700
1/3/2013,164.9,164.9,158.8,159.3,10350
1/6/2013,159.4,160.0,158.5,159.8,16150
1/7/2013,158.5,160.0,158.3,159.6,8800
1/8/2013,160.0,161.0,159.8,160.2,15850
1/9/2013,161.9,163.0,161.2,161.4,22450
1/10/2013,162.0,162.2,160.9,161.5,14400
1/13/2013,162.0,164.0,160.1,160.7,4200
1/14/2013,160.5,160.9,159.4,159.6,7300
1/15/2013,160.0,161.0,159.1,160.4,6350
1/16/2013,160.3,163.0,160.3,162.5,28350
1/17/2013,163.0,168.5,162.9,167.5,159800
1/20/2013,169.0,169.0,164.3,164.5,26000
1/21/2013,164.0,166.0,163.2,165.4,33200
1/22/2013,165.7,167.8,165.3,166.9,32750
1/23/2013,167.9,167.9,164.6,165.0,36400
1/24/2013,165.0,166.5,164.0,164.4,15700
1/27/2013,163.8,165.4,162.0,162.3,26900
1/28/2013,162.8,163.0,161.5,161.9,47600
1/29/2013,164.0,164.7,162.2,162.9,35150
1/30/2013,164.1,165.0,162.3,162.6,16150
1/31/2013,163.0,163.8,162.0,162.1,13750
2/3/2013,162.3,164.8,162.0,162.4,24300
2/4/2013,165.2,165.2,161.7,161.9,19850
2/5/2013,162.1,164.6,161.5,163.7,19350
2/6/2013,164.0,165.0,162.0,162.4,39750
2/7/2013,162.0,164.7,161.8,163.7,50550
2/10/2013,164.9,168.0,164.7,167.6,91750
2/11/2013,167.9,168.6,165.0,165.5,31450
2/12/2013,165.7,166.9,163.1,163.9,42850
2/13/2013,165.4,165.4,163.1,163.3,34550
2/14/2013,163.3,165.5,163.3,165.0,42550
2/17/2013,165.0,166.9,165.0,165.9,51450
2/18/2013,166.0,166.5,163.4,164.1,36550
2/19/2013,162.0,164.0,162.0,163.1,27400
2/20/2013,163.2,163.8,161.0,162.4,26850
2/24/2013,162.0,162.7,155.1,158.6,30300
2/25/2013,163.9,164.0,156.6,157.2,19600
2/26/2013,157.8,160.7,157.0,159.7,15700
2/27/2013,158.0,160.0,153.4,153.8,34750
2/28/2013,153.3,158.3,153.3,156.0,15400
3/3/2013,151.0,153.0,145.3,149.6,15900
3/4/2013,152.9,155.2,151.0,153.7,15100
3/5/2013,153.6,153.6,151.7,152.4,41450
3/6/2013,152.0,153.0,148.5,149.5,18350
3/7/2013,148.6,149.9,146.5,147.9,12950
3/10/2013,150.0,151.0,143.5,145.2,16100
3/11/2013,145.0,145.0,140.0,141.9,19950
3/12/2013,140.3,155.6,140.3,153.4,38850
3/13/2013,153.6,155.0,151.1,153.0,29000
3/14/2013,153.0,155.0,150.0,153.9,22700
3/18/2013,153.1,153.1,148.6,149.7,30050
3/19/2013,151.5,155.7,149.8,152.2,21950
3/20/2013,167.0,176.0,163.1,166.8,253600
3/24/2013,166.5,167.7,164.0,165.0,81900
3/25/2013,165.9,165.9,164.0,164.7,56550
3/27/2013,162.0,164.0,159.0,161.6,66800
3/28/2013,161.9,165.4,161.9,164.8,84150
3/31/2013,164.3,165.0,162.1,164.5,109200
4/2/2013,119.0,128.0,119.0,122.5,83550
4/3/2013,124.0,126.0,123.0,123.8,50550
4/4/2013,125.0,125.2,122.0,123.3,47250
4/7/2013,123.0,124.0,122.7,123.1,25900
4/8/2013,122.0,123.8,121.3,122.6,20050
4/9/2013,122.0,124.3,122.0,123.9,25100
4/10/2013,124.9,125.5,121.8,122.3,27900
4/11/2013,122.2,123.6,121.5,121.8,27200
4/15/2013,124.0,124.0,123.0,123.6,12600
4/16/2013,123.5,123.6,121.5,121.7,22600
4/17/2013,121.4,123.5,121.4,121.5,11100
4/18/2013,122.0,123.7,122.0,122.3,23750
4/21/2013,123.5,133.0,123.5,128.6,175850
4/22/2013,128.4,128.4,125.6,126.9,58050
4/23/2013,125.2,127.5,124.0,125.1,69500
4/24/2013,124.2,125.7,122.8,123.3,48550
4/25/2013,128.4,128.4,122.6,122.9,17550
4/28/2013,121.5,122.1,119.5,120.1,33550
4/29/2013,122.1,122.5,119.8,120.0,29300
4/30/2013,122.5,124.0,120.8,121.7,26150
5/2/2013,120.9,122.7,120.5,121.9,43950
5/5/2013,119.6,122.3,119.6,120.8,16400
5/6/2013,121.7,121.9,120.1,120.4,14200
5/7/2013,122.5,124.5,122.0,123.5,51400
5/8/2013,124.0,129.0,124.0,124.9,72700
5/9/2013,124.2,126.0,123.5,125.5,26800
5/12/2013,126.0,128.0,125.2,125.6,42200
5/13/2013,125.5,127.5,125.0,125.4,60250
5/14/2013,127.9,131.5,126.2,129.0,79100
5/15/2013,128.0,129.0,125.3,125.7,82350
5/16/2013,125.1,128.8,125.1,127.2,46250
5/19/2013,128.5,131.0,127.2,129.3,100650
5/20/2013,130.2,130.9,127.9,128.1,104650
5/21/2013,127.2,128.7,125.6,126.0,63550
5/22/2013,125.2,126.0,123.8,124.2,44050
5/26/2013,127.0,127.0,122.8,123.0,47000
5/27/2013,123.3,125.0,123.3,124.2,29700
5/28/2013,125.0,125.9,124.2,124.4,27800
5/29/2013,126.0,127.9,125.0,125.9,70950
5/30/2013,128.9,129.0,125.8,127.5,110850
6/2/2013,129.0,129.5,127.6,128.3,56850
6/3/2013,129.7,130.0,128.1,129.0,70100
6/4/2013,130.0,141.1,129.5,140.2,452850
6/5/2013,140.8,145.9,140.0,142.2,246700
6/6/2013,143.5,144.7,139.8,140.2,175650
6/9/2013,140.0,140.0,132.3,134.3,157750
6/10/2013,136.5,144.5,134.7,141.0,161450
6/11/2013,144.0,152.0,144.0,149.8,333550
6/12/2013,152.0,164.7,152.0,164.7,562700
6/13/2013,174.0,181.0,169.6,176.2,564000
6/16/2013,178.4,190.0,172.5,184.9,407850
6/17/2013,186.0,188.0,178.0,179.3,348900
6/18/2013,180.2,196.4,175.0,194.4,528850
6/19/2013,199.9,211.8,199.9,211.8,571600
6/20/2013,221.1,221.1,206.5,207.9,468950
6/23/2013,212.0,226.0,211.4,216.8,660700
6/24/2013,219.0,222.3,212.3,219.1,364400
6/26/2013,225.0,229.8,214.0,216.4,415500
6/27/2013,218.0,220.0,207.0,208.0,420100
6/30/2013,204.0,210.0,199.6,201.4,283100
7/2/2013,205.0,216.4,205.0,209.9,268350
7/3/2013,212.0,214.7,202.6,204.2,370350
7/4/2013,208.0,210.0,203.1,203.6,263400
7/7/2013,210.0,221.4,208.0,221.1,583400
7/8/2013,225.0,236.9,225.0,233.0,729300
7/9/2013,233.1,243.0,228.1,230.4,526450
7/10/2013,229.3,230.0,221.3,223.4,443700
7/11/2013,224.9,232.0,219.0,221.3,370150
7/14/2013,225.0,228.9,215.0,216.5,205900
7/15/2013,220.0,235.0,220.0,233.1,489700
7/16/2013,235.0,241.0,226.2,229.3,594400
7/17/2013,229.3,233.7,226.5,227.8,357200
7/18/2013,228.0,229.0,210.0,217.8,253950
7/21/2013,224.9,225.0,198.8,199.8,180400
7/22/2013,199.8,209.0,190.0,195.2,162950
7/23/2013,201.0,201.9,181.0,183.0,175850
7/24/2013,189.0,200.4,178.1,200.1,202450
7/25/2013,209.0,209.0,185.0,186.8,131900
7/28/2013,182.0,186.6,175.2,176.2,101550
7/29/2013,179.5,188.9,179.0,185.5,112400
7/30/2013,190.0,193.8,185.0,186.2,140650
7/31/2013,188.0,197.8,188.0,194.8,186750
8/1/2013,198.0,198.0,190.8,192.7,126800
8/4/2013,192.0,193.5,183.0,183.6,77400
8/5/2013,184.0,186.6,182.5,185.5,46900
8/12/2013,187.8,188.5,184.0,186.5,68800
8/13/2013,189.4,197.0,187.6,195.7,131450
8/14/2013,195.7,197.4,191.7,195.1,82150
8/18/2013,194.5,212.2,192.3,211.1,273050
8/19/2013,213.0,214.5,205.5,210.7,216700
8/20/2013,213.9,216.6,206.9,208.2,223300
8/21/2013,209.1,212.0,200.0,202.0,218100
8/22/2013,204.0,216.0,201.0,214.7,357300
8/25/2013,215.0,233.4,215.0,228.9,663000
8/26/2013,235.0,237.0,225.0,227.3,501900
8/27/2013,230.0,235.0,224.0,226.7,469400
8/29/2013,226.5,229.6,218.6,219.7,259200
9/1/2013,230.5,230.5,216.0,217.5,195550
9/2/2013,225.0,226.9,213.2,213.9,190650
9/3/2013,215.0,219.9,210.5,216.9,170650
9/4/2013,220.0,222.0,213.4,214.1,199100
9/5/2013,214.1,216.0,212.0,212.5,116650
9/8/2013,212.0,213.2,206.0,208.1,106450
9/9/2013,210.0,211.9,206.0,207.1,135850
9/10/2013,210.9,215.0,208.0,208.7,135150
9/11/2013,211.7,218.9,209.9,214.2,170350
9/12/2013,217.0,232.0,215.1,230.3,707250
9/15/2013,233.0,237.0,219.9,223.8,341000
9/16/2013,220.0,230.9,219.8,226.3,264000
9/17/2013,228.0,228.0,217.4,218.7,230400
9/18/2013,220.3,227.9,218.0,219.2,259450
9/19/2013,220.4,226.0,217.5,222.1,218300
9/22/2013,226.0,226.0,212.8,213.5,187750
9/23/2013,211.5,216.0,211.2,212.0,165900
9/24/2013,214.0,216.5,208.2,209.5,165800
9/25/2013,212.0,212.0,205.0,207.1,110850
9/26/2013,207.0,211.0,205.0,207.5,100750
9/29/2013,209.7,210.0,203.6,204.5,89200
9/30/2013,204.5,205.8,198.1,199.0,92400
10/1/2013,200.0,202.8,197.2,197.9,44450
10/2/2013,200.0,201.8,195.8,199.8,61700
10/3/2013,201.8,204.0,199.0,199.7,62300
10/6/2013,199.9,199.9,192.0,193.4,43450
10/7/2013,193.5,195.0,190.2,190.9,53000
10/8/2013,191.5,191.5,185.0,185.7,39950
10/9/2013,187.0,191.9,182.7,187.6,58050
10/10/2013,190.0,191.9,186.3,190.7,55300
10/20/2013,191.0,191.0,186.5,187.5,29000
10/21/2013,183.0,189.3,180.5,186.1,39950
10/22/2013,188.0,190.7,187.5,189.4,41800
10/23/2013,195.5,195.5,189.0,189.7,30750
10/24/2013,188.1,190.0,185.1,185.8,48950
10/27/2013,185.2,189.9,185.0,189.2,24050
10/28/2013,189.9,191.3,185.5,185.8,44800
10/29/2013,182.1,189.0,181.8,185.4,44200
10/30/2013,187.0,189.0,185.7,187.5,49300
10/31/2013,190.0,190.0,186.0,187.0,21550
11/3/2013,186.7,204.5,186.7,199.3,67350
11/4/2013,203.0,204.8,197.0,198.1,73450
11/5/2013,199.0,201.0,195.0,195.5,42550
11/6/2013,192.5,195.5,192.5,193.5,36500
11/7/2013,192.1,196.5,192.1,195.3,66650
11/10/2013,196.5,196.5,192.0,192.9,52700
11/11/2013,190.1,201.0,190.0,192.8,65500
11/12/2013,195.9,195.9,191.8,192.1,45800
11/13/2013,192.0,194.8,191.5,193.1,64450
11/14/2013,196.0,197.0,192.1,192.7,59650
11/17/2013,195.7,196.8,192.8,193.6,49300
11/18/2013,195.0,199.6,194.0,198.6,103750
11/19/2013,200.0,205.0,199.0,204.5,161750
11/20/2013,205.0,209.0,203.2,204.5,143700
11/21/2013,206.5,206.5,200.0,200.6,106750
11/24/2013,201.0,202.0,193.0,193.9,104100
11/25/2013,196.2,199.5,194.2,196.0,84600
11/26/2013,193.3,200.0,193.0,194.3,116800
11/27/2013,196.0,198.0,192.6,192.9,70250
11/28/2013,194.0,194.0,191.5,193.1,51300
12/1/2013,192.8,192.8,188.5,189.4,54050
12/2/2013,191.2,192.0,188.0,190.0,50600
12/3/2013,193.0,193.7,191.3,193.1,45900
12/4/2013,193.0,198.0,193.0,196.8,82550
12/5/2013,197.5,198.5,194.1,195.9,69600
12/8/2013,196.0,196.2,193.8,194.1,64100
12/9/2013,196.3,197.9,195.0,196.0,99050
12/10/2013,195.4,196.4,194.7,194.9,90600
12/11/2013,193.1,196.3,193.1,195.5,58700
12/12/2013,195.7,196.5,194.0,195.4,55250
12/15/2013,196.0,196.0,193.5,194.2,47250
12/17/2013,194.0,196.0,193.6,193.9,92650
12/18/2013,197.0,197.0,192.2,193.1,67400
12/19/2013,191.8,192.4,190.8,191.2,48300
12/22/2013,192.0,196.0,191.5,192.7,58700
12/23/2013,194.0,194.0,191.3,191.6,35700
12/24/2013,190.2,191.9,190.0,190.5,37000
12/26/2013,192.0,192.0,187.0,187.7,38200
12/29/2013,186.5,189.8,185.7,187.3,32450
12/30/2013,187.2,190.0,186.0,186.8,59800
1/1/2014,187.0,192.0,187.0,191.4,28900
1/2/2014,192.7,198.0,191.4,195.8,123100
1/6/2014,196.0,206.9,195.8,205.4,301550
1/7/2014,209.0,213.7,205.0,209.0,270700
1/8/2014,209.0,210.8,206.2,207.8,129800
1/9/2014,210.0,214.4,207.0,211.5,210550
1/12/2014,214.0,216.0,211.4,212.3,191750
1/13/2014,213.5,214.9,208.0,209.0,117150
1/15/2014,211.7,212.0,207.5,208.2,133000
1/16/2014,210.0,210.0,208.0,208.7,106400
1/19/2014,209.0,216.9,208.3,215.3,242800
1/20/2014,218.0,218.0,213.5,214.2,107600
1/21/2014,214.9,221.9,212.5,220.9,220900
1/22/2014,222.0,226.4,218.1,222.0,288550
1/23/2014,225.0,225.2,217.6,218.1,145850
1/26/2014,223.0,225.0,218.2,219.6,172900
1/27/2014,222.0,222.0,216.8,217.5,134500
1/28/2014,219.0,220.0,215.0,215.9,106750
1/29/2014,215.0,217.8,215.0,215.5,73650
1/30/2014,215.5,219.0,215.1,217.1,61300
2/2/2014,219.8,219.8,216.1,217.2,65850
2/3/2014,218.4,221.0,216.0,219.5,103300
2/4/2014,223.0,223.0,218.5,219.1,82500
2/5/2014,219.9,221.5,217.0,220.5,105300
2/6/2014,222.0,230.0,222.0,228.1,398200
2/9/2014,230.0,235.7,229.0,235.0,404550
2/10/2014,236.0,236.5,226.0,229.3,264200
2/11/2014,228.0,229.0,223.8,227.1,166300
2/12/2014,230.0,230.0,225.0,225.9,107200
2/13/2014,228.8,228.8,224.0,225.0,153150
2/16/2014,227.0,227.0,221.2,222.2,63300
2/17/2014,222.3,222.9,218.5,219.1,62350
2/18/2014,220.9,221.0,215.0,215.4,55150
2/19/2014,218.0,225.0,216.8,221.7,56450
2/20/2014,226.9,226.9,221.0,221.5,78500
2/23/2014,225.0,238.0,222.0,236.9,700800
2/24/2014,240.0,240.4,233.0,239.6,643700
2/25/2014,240.0,241.5,232.1,235.6,556300
2/26/2014,234.1,235.7,225.5,228.0,301550
2/27/2014,242.0,272.0,238.2,258.3,1492200
3/2/2014,260.0,263.0,249.7,258.1,570150
3/3/2014,258.0,260.0,253.0,255.4,265650
3/4/2014,255.5,257.4,250.5,251.2,415950
3/5/2014,250.0,253.4,248.0,252.7,209950
3/6/2014,254.5,259.9,252.8,257.6,418650
3/9/2014,260.0,264.0,255.7,259.5,678900
3/11/2014,208.0,215.7,205.7,214.3,681300
3/12/2014,217.4,225.5,215.2,223.2,548250
3/13/2014,227.0,227.0,216.2,218.8,261050
3/16/2014,216.1,217.8,213.3,215.8,254750
3/18/2014,215.0,218.8,214.2,216.8,194450
3/19/2014,215.0,216.4,211.6,215.4,171100
3/20/2014,215.2,217.4,211.0,212.7,153550
3/23/2014,214.0,215.0,209.0,210.1,101650
3/24/2014,210.0,210.0,205.8,209.1,122900
3/25/2014,209.5,214.5,208.0,213.2,90400
3/27/2014,214.4,216.0,211.5,215.5,146500
3/30/2014,213.9,216.0,210.2,211.5,98300
3/31/2014,210.5,210.5,207.2,207.7,99850
4/1/2014,216.9,216.9,207.1,214.9,151750
4/2/2014,212.1,216.2,212.0,214.9,116050
4/3/2014,218.9,218.9,213.6,215.8,116950
4/6/2014,216.6,222.5,214.5,220.6,265400
4/7/2014,221.5,236.5,221.5,232.6,474350
4/8/2014,232.6,236.9,229.0,232.3,274550
4/9/2014,230.0,234.0,225.5,231.6,203150
4/10/2014,233.0,233.9,225.0,226.7,228450
4/13/2014,226.5,227.9,222.5,223.2,84800
4/15/2014,222.6,228.4,222.5,225.2,116200
4/16/2014,227.2,234.8,227.0,229.4,198700
4/17/2014,229.9,231.5,226.8,227.7,164450
4/20/2014,228.0,228.0,222.3,222.6,106250
4/21/2014,224.0,225.9,221.7,223.2,101450
4/22/2014,223.1,224.6,221.5,222.5,110200
4/23/2014,225.9,225.9,220.6,221.7,147750
4/24/2014,224.8,224.8,218.0,219.9,201900
4/27/2014,220.1,220.1,216.0,218.1,101750
4/28/2014,219.9,219.9,216.0,217.4,45750
4/29/2014,216.1,217.0,212.2,213.2,66650
4/30/2014,216.9,216.9,212.0,215.5,62150
5/4/2014,200.0,200.0,196.7,196.7,442300
5/5/2014,200.0,200.0,185.4,188.6,153750
5/6/2014,190.0,190.0,180.0,180.4,198400
5/7/2014,180.1,191.2,180.0,188.2,193850
5/8/2014,188.0,192.7,186.8,189.6,110550
5/11/2014,192.0,192.0,185.0,185.7,92500
5/12/2014,185.2,186.8,183.0,183.9,93050
5/14/2014,185.0,185.0,181.9,182.5,60250
5/15/2014,180.5,182.9,179.8,181.9,92050
5/18/2014,181.9,183.3,180.2,180.8,32400
5/19/2014,180.8,181.7,179.5,179.9,35450
5/20/2014,180.0,180.2,177.5,178.1,37550
5/21/2014,179.2,181.8,177.0,178.7,39550
5/22/2014,179.0,180.0,177.9,178.4,32050
5/25/2014,176.5,180.6,176.5,177.0,32800
5/26/2014,177.0,177.0,175.0,175.4,46150
5/27/2014,175.9,180.2,175.9,179.7,39450
5/28/2014,179.2,183.0,179.2,181.1,45450
5/29/2014,183.0,183.2,180.3,180.6,39500
6/1/2014,176.5,182.0,176.5,181.0,37000
6/2/2014,183.0,188.0,182.0,182.8,90750
6/3/2014,183.5,185.5,180.0,181.7,41900
6/4/2014,183.0,184.0,180.6,180.8,43650
6/5/2014,184.5,184.5,180.0,180.2,70900
6/8/2014,180.9,180.9,175.0,176.3,78950
6/9/2014,177.2,179.5,176.3,176.7,44000
6/10/2014,176.8,177.9,175.0,175.9,76000
6/11/2014,175.8,177.9,175.8,176.5,41500
6/12/2014,181.2,184.8,179.4,180.2,67900
6/15/2014,180.0,180.6,177.0,177.1,59850
6/16/2014,178.0,178.1,174.0,175.5,62450
6/17/2014,176.0,176.9,173.7,174.3,37700
6/18/2014,175.8,175.8,173.7,173.9,24650
6/19/2014,174.1,175.0,173.2,173.5,44100
6/22/2014,175.0,175.0,172.2,174.1,20150
