Date,Open,High,Low,Close,Volume
10/1/2012,32.0,34.7,31.9,34.0,273000
10/2/2012,34.5,37.0,34.1,35.0,524000
10/3/2012,35.2,36.0,33.5,34.0,387500
10/4/2012,33.3,35.0,32.9,33.0,222500
10/7/2012,34.4,34.4,31.7,31.7,136000
10/8/2012,31.7,33.2,31.0,31.2,181500
10/9/2012,32.5,33.3,31.8,32.4,241000
10/10/2012,33.0,33.1,30.8,31.1,165500
10/11/2012,31.5,32.0,29.5,29.8,295000
10/14/2012,31.7,31.8,29.2,29.7,171500
10/15/2012,30.5,30.5,28.7,29.1,199500
10/16/2012,29.2,30.5,29.2,29.4,77500
10/17/2012,29.6,30.0,29.4,29.7,89500
10/18/2012,29.9,30.2,29.4,29.5,119500
10/21/2012,29.0,29.1,28.6,28.6,77000
10/22/2012,29.0,29.7,28.3,29.1,70500
10/23/2012,29.9,30.0,29.4,29.8,138000
10/30/2012,29.7,29.9,29.0,29.0,39000
10/31/2012,28.9,29.4,28.5,28.7,73000
11/1/2012,29.1,29.5,27.7,27.8,202000
11/4/2012,28.3,28.3,27.0,27.0,251500
11/5/2012,28.1,28.1,26.0,27.6,238000
11/6/2012,28.9,28.9,27.0,27.3,74500
11/7/2012,27.3,27.4,26.9,27.2,57000
11/8/2012,27.4,28.0,26.9,27.0,79000
11/11/2012,27.1,27.1,26.2,26.5,101500
11/12/2012,27.2,27.4,26.0,26.1,55000
11/13/2012,26.2,28.0,26.1,27.3,102000
11/14/2012,27.0,27.5,26.5,26.8,88500
11/15/2012,26.9,27.6,26.8,27.2,96500
11/18/2012,27.1,29.2,27.1,28.5,298500
11/19/2012,27.4,28.7,27.4,27.8,322000
11/20/2012,29.5,29.5,27.0,27.0,306500
11/21/2012,28.2,28.5,27.3,27.7,85500
11/22/2012,27.6,28.4,27.5,27.8,126000
11/26/2012,27.2,27.5,26.8,27.0,90500
11/27/2012,26.8,27.1,26.3,26.5,92500
11/28/2012,26.9,26.9,26.3,26.5,88000
11/29/2012,27.4,28.4,27.4,28.2,219000
12/2/2012,28.0,28.4,27.5,27.5,175000
12/3/2012,27.2,27.4,26.6,26.7,85500
12/4/2012,26.5,27.0,26.1,26.7,44500
12/5/2012,27.9,27.9,26.5,26.5,73500
12/6/2012,27.5,27.5,26.4,26.7,58500
12/9/2012,26.1,26.3,26.0,26.0,32000
12/10/2012,26.0,26.2,25.7,25.7,34000
12/11/2012,25.6,26.0,25.5,25.8,16500
12/12/2012,26.0,26.4,25.5,25.7,42000
12/13/2012,25.6,25.9,25.6,25.8,14000
12/17/2012,26.4,26.6,26.0,26.1,71000
12/18/2012,26.3,26.4,26.0,26.0,33000
12/19/2012,26.4,27.3,26.4,26.5,113500
12/20/2012,27.2,27.2,26.4,26.4,40500
12/23/2012,26.6,26.6,26.1,26.3,42000
12/24/2012,26.1,26.6,26.1,26.3,23500
12/26/2012,26.2,26.6,25.9,25.9,88000
12/27/2012,26.0,26.0,25.7,25.8,138500
12/30/2012,26.3,26.7,26.0,26.5,43500
1/1/2013,26.5,26.5,26.1,26.3,34000
1/2/2013,26.0,26.1,25.8,25.9,37000
1/3/2013,26.0,26.1,25.8,25.9,70000
1/6/2013,26.2,26.2,25.7,25.9,11500
1/7/2013,25.6,25.9,25.4,25.5,19500
1/8/2013,26.0,26.0,25.4,25.6,8500
1/9/2013,25.5,25.5,25.2,25.3,42500
1/10/2013,25.2,25.9,25.2,25.6,16500
