Date,Open,High,Low,Close,Volume
11/7/2021,11.0,11.0,11.0,11.0,410
11/8/2021,12.1,12.1,12.1,12.1,4490
11/9/2021,13.3,13.3,13.3,13.3,234
11/10/2021,14.6,14.6,14.6,14.6,1220
11/11/2021,16.0,16.0,16.0,16.0,491
11/14/2021,17.6,17.6,17.6,17.6,470
11/15/2021,19.3,19.3,19.3,19.3,678
11/16/2021,21.2,21.2,21.2,21.2,612
11/17/2021,23.3,23.3,23.3,23.3,1008
11/18/2021,25.6,25.6,25.6,25.6,6059
11/21/2021,28.1,28.1,28.1,28.1,4771
11/22/2021,30.9,30.9,30.9,30.9,8481
11/23/2021,33.9,33.9,33.9,33.9,15558
11/24/2021,37.2,37.2,37.2,37.2,16163
11/25/2021,40.9,40.9,40.9,40.9,20089
11/28/2021,44.9,44.9,44.9,44.9,15398
11/29/2021,49.3,49.3,49.3,49.3,42907
11/30/2021,54.2,54.2,54.2,54.2,74745
12/1/2021,59.6,59.6,59.6,59.6,84953
12/2/2021,65.5,65.5,64.5,65.5,4555904
12/5/2021,72.0,72.0,72.0,72.0,692669
12/6/2021,78.8,79.2,74.5,79.2,3600631
12/7/2021,82.9,87.1,79.0,87.1,1406816
12/8/2021,87.0,94.0,80.8,82.7,3320351
12/9/2021,83.5,85.8,78.3,79.5,1728199
12/12/2021,78.6,80.0,74.4,74.8,1989327
12/13/2021,74.9,82.2,74.5,82.2,1745148
12/14/2021,84.0,87.9,79.5,80.3,2139673
12/15/2021,80.0,84.1,79.0,81.7,1192540
12/19/2021,82.0,87.8,82.0,85.6,1896811
12/20/2021,86.6,88.8,85.7,86.0,1986963
12/21/2021,86.0,86.4,81.8,82.0,1272837
12/22/2021,82.3,85.7,80.8,84.9,1292452
12/23/2021,85.0,86.8,82.7,83.1,1244382
12/26/2021,84.0,84.0,78.1,78.7,1073901
12/27/2021,79.1,80.8,77.1,77.5,963079
12/28/2021,78.0,80.8,77.4,77.9,1016998
12/29/2021,78.0,79.0,76.0,76.4,961863
12/30/2021,76.9,79.0,76.9,77.3,876234
1/2/2022,78.0,78.9,77.3,78.5,759035
1/3/2022,79.1,83.9,79.1,81.4,1583351
1/4/2022,82.0,82.3,79.7,80.0,997671
1/5/2022,80.4,81.4,78.8,80.4,1217054
1/6/2022,81.3,81.3,78.8,78.9,923757
1/9/2022,79.4,80.4,76.9,77.2,719039
1/10/2022,77.5,78.5,75.3,75.9,829485
1/11/2022,76.5,78.4,76.0,76.2,713955
1/12/2022,76.6,77.9,75.4,75.6,571993
1/13/2022,76.0,76.9,75.0,75.4,452048
1/16/2022,76.3,76.9,74.4,74.8,594989
1/17/2022,75.3,78.5,74.6,75.9,762512
1/18/2022,76.3,76.8,75.0,75.2,457158
1/19/2022,75.4,75.8,74.4,74.5,477027
1/20/2022,75.8,75.8,74.2,74.5,375160
1/23/2022,75.0,76.5,74.7,75.0,373472
1/24/2022,75.8,76.0,73.0,73.5,282848
1/25/2022,73.6,74.5,72.3,72.5,312594
1/26/2022,72.7,73.4,71.0,71.4,338471
1/27/2022,71.5,72.2,70.6,71.0,264906
1/30/2022,71.5,74.0,71.1,73.0,408584
1/31/2022,73.3,74.0,72.1,72.4,261931
2/1/2022,72.7,73.3,71.5,72.0,219343
2/2/2022,72.2,73.7,72.0,73.2,290024
2/3/2022,73.2,76.0,73.1,73.4,448848
2/6/2022,73.5,75.9,73.4,74.7,397098
2/7/2022,75.0,77.2,74.4,76.0,657461
2/8/2022,76.6,77.4,74.5,74.6,492766
2/9/2022,74.6,76.2,74.3,74.5,324312
2/10/2022,74.6,75.3,74.3,74.5,217163
2/13/2022,74.5,74.7,72.3,72.7,396729
2/14/2022,73.0,73.5,71.4,71.7,313340
2/15/2022,71.7,72.2,70.6,70.9,210867
2/16/2022,71.0,71.6,69.5,70.0,269964
2/17/2022,69.2,70.1,66.8,67.2,520588
2/20/2022,67.2,68.0,64.2,64.6,605811
2/22/2022,64.6,66.0,64.5,65.2,249488
2/23/2022,65.3,66.1,64.7,64.9,198253
2/24/2022,65.0,65.0,61.0,61.5,798515
2/27/2022,61.2,61.3,57.0,57.4,683153
2/28/2022,57.3,60.0,57.3,58.5,261898
3/1/2022,59.2,60.8,58.5,59.3,572560
3/2/2022,59.5,59.9,58.1,58.6,247390
3/3/2022,58.5,59.5,57.5,58.5,187980
3/6/2022,58.6,59.3,57.3,57.5,197220
