Date,Open,High,Low,Close,Volume
7/15/2018,37.8,55.0,35.3,40.9,8196118
7/16/2018,41.0,45.4,41.0,42.3,2820211
7/17/2018,42.5,43.0,38.1,38.2,4708500
7/18/2018,37.0,39.3,35.2,35.9,3395215
7/19/2018,36.1,37.3,34.3,34.6,2599319
7/22/2018,35.7,36.3,34.6,34.9,2343039
7/23/2018,35.5,37.5,34.7,36.0,2995912
7/24/2018,36.5,36.9,34.3,34.6,1731552
7/25/2018,35.0,35.2,32.6,32.8,2374370
7/26/2018,32.8,33.8,32.3,32.8,1259586
7/29/2018,33.2,33.7,32.2,32.3,1097811
7/30/2018,32.6,32.8,30.5,30.8,1314439
7/31/2018,31.0,32.6,30.9,31.9,1192459
8/1/2018,32.0,32.9,30.5,30.8,1096219
8/2/2018,30.8,31.2,29.9,30.2,984833
8/5/2018,30.5,31.3,30.1,30.2,725755
8/6/2018,30.5,31.4,30.3,30.5,1364943
8/7/2018,30.6,31.3,29.8,30.1,1005748
8/8/2018,30.4,30.9,29.1,29.2,1011791
8/9/2018,29.5,29.6,27.8,28.0,1170002
8/12/2018,28.2,29.7,27.9,28.8,1055765
8/13/2018,29.0,29.2,27.4,27.6,694216
8/14/2018,28.0,29.0,27.6,28.4,1272029
8/16/2018,28.4,29.6,28.4,28.7,1109913
8/19/2018,28.8,28.8,27.2,27.3,634458
8/20/2018,27.3,28.0,27.2,27.4,402546
8/26/2018,27.5,27.9,27.4,27.8,306601
8/27/2018,27.8,30.1,27.8,29.6,1670604
8/28/2018,29.6,31.0,29.6,30.3,2061617
8/29/2018,30.3,31.0,29.1,29.2,987947
8/30/2018,29.2,30.2,28.9,29.0,1093214
9/3/2018,29.0,29.7,28.4,28.6,607144
9/4/2018,29.0,29.0,27.8,27.9,827818
9/5/2018,28.1,29.6,28.1,28.7,1232517
9/6/2018,29.0,29.1,28.1,28.2,617216
9/9/2018,28.0,28.3,27.0,27.2,915501
9/10/2018,27.6,27.8,27.1,27.2,485802
9/11/2018,27.3,27.5,26.5,26.6,767301
9/12/2018,26.8,27.1,26.0,26.3,727759
9/13/2018,26.6,26.8,26.2,26.3,571840
9/16/2018,26.5,28.1,26.4,27.2,1175340
9/17/2018,27.3,27.6,26.1,26.3,684624
9/18/2018,26.4,26.5,25.7,25.8,503720
9/19/2018,25.8,27.2,25.8,27.0,1042212
9/20/2018,27.5,28.5,27.5,28.0,1835349
9/23/2018,28.2,28.4,26.7,26.9,683010
9/24/2018,26.7,26.9,25.7,25.9,581452
9/25/2018,26.2,26.5,25.7,25.8,370275
9/26/2018,26.2,28.3,26.2,28.3,2073417
9/27/2018,28.8,31.1,28.8,31.1,3359636
9/30/2018,32.7,34.2,32.0,34.2,2425982
10/1/2018,36.0,37.6,34.1,35.0,5845685
10/2/2018,35.0,37.4,33.5,36.7,3120421
10/3/2018,36.7,38.3,35.5,37.7,2341458
10/4/2018,37.8,38.0,35.7,36.1,2733663
10/7/2018,36.1,37.1,34.6,35.6,3551801
10/8/2018,36.0,37.0,34.7,35.0,1151740
10/9/2018,35.0,35.6,33.9,34.3,1840474
10/10/2018,34.0,34.5,32.4,32.9,981782
10/11/2018,33.0,36.0,32.8,35.7,1865608
10/14/2018,35.8,36.5,34.6,35.0,1765966
10/15/2018,35.2,36.1,34.7,35.6,1887958
10/16/2018,35.9,37.3,35.4,36.6,2579385
10/17/2018,37.0,37.2,34.3,35.0,1698115
10/18/2018,35.0,35.2,33.0,33.3,1577391
10/21/2018,33.7,34.0,31.7,31.9,742362
10/22/2018,32.1,32.5,29.9,30.5,1250000
10/23/2018,30.9,31.0,27.7,28.6,1142316
10/24/2018,28.8,29.5,27.3,27.7,670683
10/25/2018,28.0,30.4,28.0,30.4,1091497
10/28/2018,30.5,30.7,27.4,27.9,1154251
10/29/2018,28.6,31.2,27.6,31.0,1129751
10/30/2018,31.5,34.1,31.5,34.1,2715596
10/31/2018,35.1,36.1,34.5,35.8,2582278
11/1/2018,36.1,39.3,35.8,38.5,5166970
11/4/2018,39.0,42.0,39.0,41.2,3368905
11/5/2018,41.2,41.2,38.4,39.0,2143508
11/6/2018,39.0,41.0,38.9,40.9,4041539
11/7/2018,42.0,44.4,41.3,43.6,4851037
11/8/2018,43.6,44.6,42.3,43.0,4420577
11/11/2018,43.0,43.6,41.6,43.1,5201196
11/12/2018,43.4,44.4,38.9,39.3,6364824
11/13/2018,40.0,43.2,40.0,43.2,4677245
11/14/2018,43.5,45.5,43.5,44.7,4385632
11/15/2018,45.1,49.0,45.1,46.9,4793971
11/18/2018,45.4,49.3,45.4,48.8,3855423
11/19/2018,49.0,50.8,48.2,49.7,3069893
11/20/2018,50.4,51.2,49.1,50.6,3617054
11/25/2018,48.5,49.9,45.9,46.2,4442750
11/26/2018,46.9,47.2,45.0,46.7,2305881
11/27/2018,47.0,48.5,46.9,48.0,3035274
11/28/2018,48.2,52.4,48.0,50.1,4318722
11/29/2018,50.9,52.6,50.3,50.9,3286660
12/2/2018,50.8,51.5,47.0,48.6,4166224
12/3/2018,48.8,50.0,47.3,49.3,1967023
12/4/2018,49.8,51.4,48.7,49.1,2345597
12/5/2018,49.7,49.8,47.9,48.6,1573941
12/6/2018,48.9,49.7,47.0,47.2,1224206
12/9/2018,47.5,48.1,46.0,46.4,1700579
12/10/2018,46.9,48.1,46.1,46.5,1977187
12/11/2018,47.5,49.8,46.8,49.3,3863825
12/12/2018,49.9,50.5,48.0,48.5,2638507
12/13/2018,48.3,48.5,46.9,47.2,1165602
12/17/2018,47.2,47.9,44.0,44.5,636739
12/18/2018,45.4,46.1,44.9,45.5,620462
12/19/2018,45.9,46.6,45.7,46.0,728707
12/20/2018,46.9,46.9,45.4,45.5,603557
12/23/2018,46.0,46.1,45.0,45.6,751949
12/24/2018,45.3,48.5,45.2,47.8,868161
12/26/2018,48.6,48.6,46.9,47.2,916559
12/27/2018,46.2,47.5,46.0,46.3,391423
1/1/2019,46.7,49.4,46.6,48.5,480635
1/2/2019,48.7,49.7,47.3,48.0,707958
1/3/2019,48.6,48.7,47.4,48.4,720756
1/6/2019,48.2,48.8,46.7,46.9,662666
1/7/2019,46.8,47.6,46.1,47.0,733296
1/8/2019,47.1,48.4,46.1,46.5,621679
1/9/2019,47.0,47.0,45.8,46.0,698003
1/10/2019,46.0,46.0,43.9,45.2,1029981
1/13/2019,45.2,46.0,43.3,45.0,1695586
1/14/2019,45.7,48.4,45.4,47.0,1929780
1/15/2019,47.0,47.0,44.1,45.2,1206046
1/16/2019,44.8,45.3,43.3,43.6,567088
1/17/2019,43.3,44.1,43.0,43.7,602775
1/20/2019,43.1,47.0,42.7,45.4,1096465
1/21/2019,44.0,45.5,43.9,44.0,463631
1/22/2019,44.1,45.2,44.1,44.7,386560
1/23/2019,44.2,44.8,43.1,43.6,457429
1/24/2019,44.0,45.4,43.8,44.5,467205
1/27/2019,44.6,45.0,44.0,44.2,644661
1/28/2019,44.9,46.0,44.5,44.7,506096
1/29/2019,45.4,46.0,43.9,44.2,616979
1/30/2019,44.9,46.5,43.8,45.9,1346711
1/31/2019,46.8,49.7,44.4,46.4,3096423
2/3/2019,46.9,47.1,45.1,45.3,805026
2/4/2019,45.7,46.0,44.0,44.5,741963
