Date,Open,High,Low,Close,Volume
10/1/2012,145.0,159.9,140.0,151.7,14100
10/2/2012,160.0,166.0,156.1,157.9,17350
10/3/2012,154.0,158.0,148.1,153.7,14800
10/4/2012,154.0,156.0,145.0,146.8,14500
10/7/2012,153.0,155.0,141.6,145.7,9100
10/8/2012,145.0,145.0,138.6,141.2,4450
10/9/2012,142.1,155.0,142.1,151.4,12150
10/10/2012,150.1,151.1,142.2,142.8,7000
10/11/2012,142.0,148.4,140.0,143.3,4600
10/14/2012,145.0,146.0,138.0,140.1,8350
10/15/2012,143.5,143.5,138.0,139.8,5850
10/16/2012,136.0,144.8,135.0,140.6,3750
10/17/2012,140.0,140.2,138.0,138.4,5900
10/18/2012,138.0,141.6,136.6,138.8,4800
10/21/2012,137.4,148.7,137.4,146.4,7750
10/22/2012,151.0,160.9,146.2,158.3,19800
10/23/2012,163.0,164.0,155.3,157.5,18200
10/30/2012,164.9,164.9,148.0,150.9,7400
10/31/2012,144.3,155.7,144.3,145.1,13200
11/1/2012,153.0,153.4,146.5,149.7,12200
11/4/2012,157.0,164.6,154.0,163.6,56900
11/5/2012,168.0,176.8,168.0,172.8,55650
11/6/2012,174.2,176.9,165.6,168.2,18500
11/7/2012,167.0,169.0,162.0,164.2,21400
11/8/2012,161.4,171.0,161.4,168.7,31600
11/11/2012,166.7,169.9,158.4,159.8,20900
11/12/2012,164.0,164.0,150.7,153.4,12650
11/13/2012,151.0,159.5,150.0,157.0,18350
11/14/2012,154.5,160.8,152.1,153.5,10000
11/15/2012,156.8,156.8,152.1,152.4,14750
11/18/2012,158.6,158.6,148.5,150.7,13650
11/19/2012,148.0,148.8,137.1,140.3,17550
11/20/2012,140.0,143.5,133.8,135.4,14650
11/21/2012,144.0,146.0,136.0,139.9,7850
11/22/2012,138.6,144.0,138.6,141.4,9050
11/26/2012,143.5,152.9,143.5,148.5,23750
11/27/2012,147.1,150.0,146.0,146.7,12550
11/28/2012,151.3,151.3,144.6,145.5,6950
11/29/2012,151.9,157.0,150.5,153.1,20750
12/2/2012,154.1,154.1,142.5,144.3,17700
12/3/2012,147.9,148.0,140.0,140.8,10850
12/4/2012,138.6,150.0,138.6,148.7,20000
12/5/2012,148.5,149.6,144.4,147.6,8750
12/6/2012,143.0,147.0,142.0,142.9,9400
12/9/2012,140.5,140.5,136.3,136.7,11050
12/10/2012,135.6,136.7,130.6,133.0,9350
12/11/2012,129.5,129.5,120.0,121.8,22050
12/12/2012,122.1,124.3,120.4,121.1,11050
12/13/2012,121.0,122.8,120.0,121.1,6350
