Date,Open,High,Low,Close,Volume
7/27/2020,322.7,322.7,322.7,322.7,28217
7/28/2020,350.9,350.9,324.3,344.7,16834
7/29/2020,344.7,344.7,315.0,316.7,9027
7/30/2020,316.7,319.9,300.0,317.6,12615
8/3/2020,318.5,318.5,307.0,313.4,657
8/4/2020,313.5,313.5,308.0,308.4,698
8/5/2020,313.0,313.0,300.0,300.6,11869
8/6/2020,292.1,302.0,292.0,293.8,262
8/9/2020,299.6,299.6,279.0,293.2,5711
8/10/2020,292.9,293.0,273.1,276.8,3366
8/12/2020,301.0,301.0,298.0,300.7,3664
8/13/2020,315.0,324.1,299.8,306.5,4646
8/16/2020,333.1,333.1,300.0,300.0,6011
8/17/2020,307.9,320.0,290.1,307.0,1877
8/18/2020,296.8,304.8,288.1,290.0,3848
8/19/2020,292.5,292.5,287.0,287.5,5487
8/20/2020,290.0,295.0,280.0,285.1,3076
8/23/2020,290.0,291.0,280.0,283.5,3745
8/24/2020,289.0,289.0,280.2,287.2,2009
8/25/2020,289.9,290.2,284.8,287.0,1242
8/26/2020,290.0,290.2,275.0,278.3,3500
8/27/2020,289.0,290.0,283.1,283.6,3835
8/31/2020,292.0,300.0,277.7,280.8,1693
9/1/2020,281.0,288.0,278.0,278.0,4537
9/2/2020,290.0,295.0,280.0,280.0,11458
9/3/2020,283.0,290.0,275.0,276.3,5207
9/6/2020,285.0,290.0,275.0,276.7,2017
9/7/2020,280.9,288.7,273.5,274.5,5302
9/8/2020,284.8,285.0,273.0,273.7,6164
9/9/2020,276.7,279.9,273.0,273.6,8980
9/10/2020,277.0,280.0,274.0,279.8,18155
9/13/2020,282.0,282.1,275.0,276.1,9747
9/14/2020,275.0,282.0,275.0,280.7,21125
9/15/2020,284.0,290.0,280.1,282.5,17491
9/16/2020,290.0,290.0,284.0,287.7,37928
9/17/2020,288.0,290.0,281.0,282.6,11619
9/20/2020,286.0,286.1,273.5,276.3,5346
9/21/2020,280.0,280.0,273.4,274.3,4648
9/22/2020,273.6,280.0,273.0,273.6,4735
9/23/2020,278.0,279.9,274.5,275.5,936
9/24/2020,280.0,281.0,273.6,276.4,18610
9/27/2020,275.0,277.0,274.0,274.4,4180
9/28/2020,274.2,278.0,273.5,273.8,9428
9/29/2020,278.0,278.0,273.0,273.1,9520
9/30/2020,273.1,276.0,273.0,273.5,707
10/1/2020,277.0,277.0,273.2,273.9,10335
10/4/2020,274.0,274.5,273.2,274.1,8233
10/5/2020,273.5,275.0,273.0,273.2,4636
10/6/2020,273.0,273.0,273.0,273.0,361
10/7/2020,273.0,273.0,273.0,273.0,6011
10/8/2020,273.0,278.0,273.0,273.0,14653
10/11/2020,273.0,273.0,273.0,273.0,647
10/12/2020,273.0,273.0,273.0,273.0,1087
10/13/2020,273.0,273.0,273.0,273.0,461
10/14/2020,273.0,274.0,273.0,273.0,6828
10/15/2020,273.0,273.0,273.0,273.0,164
10/18/2020,273.0,273.0,273.0,273.0,12
10/19/2020,273.0,273.0,273.0,273.0,185
10/20/2020,273.0,273.0,273.0,273.0,7401
10/21/2020,273.0,290.0,273.0,273.2,25116
10/22/2020,274.1,275.0,273.0,273.0,10885
10/25/2020,274.0,276.0,273.0,273.0,19916
10/27/2020,273.0,273.1,273.0,273.0,15446
10/28/2020,273.0,273.0,273.0,273.0,810
10/29/2020,273.0,273.0,273.0,273.0,539
11/1/2020,273.0,273.0,273.0,273.0,973
11/2/2020,273.0,273.0,273.0,273.0,5926
11/3/2020,273.0,273.0,273.0,273.0,3188
11/4/2020,273.0,273.0,273.0,273.0,3686
11/5/2020,273.0,273.0,273.0,273.0,281
11/8/2020,273.0,273.0,273.0,273.0,2246
11/9/2020,273.0,273.0,273.0,273.0,342
11/10/2020,273.0,273.0,273.0,273.0,2046
11/12/2020,273.0,273.0,273.0,273.0,6
11/15/2020,273.0,273.0,273.0,273.0,197
11/16/2020,273.0,273.0,273.0,273.0,924
11/17/2020,273.0,273.0,273.0,273.0,869
11/18/2020,273.0,273.0,273.0,273.0,1216
11/22/2020,273.0,273.0,273.0,273.0,12
11/24/2020,273.0,273.0,273.0,273.0,1
11/29/2020,273.0,273.0,273.0,273.0,4
12/3/2020,273.0,273.0,273.0,273.0,5
12/6/2020,273.0,273.0,273.0,273.0,50
12/9/2020,273.0,273.0,273.0,273.0,5
12/10/2020,273.0,273.0,273.0,273.0,10
12/14/2020,273.0,273.0,273.0,273.0,25
12/15/2020,273.0,273.0,273.0,273.0,905
12/17/2020,273.0,273.0,273.0,273.0,1
12/20/2020,273.0,273.0,273.0,273.0,5
12/21/2020,273.0,273.0,273.0,273.0,5
12/22/2020,273.0,273.0,273.0,273.0,2369
12/24/2020,273.0,273.0,273.0,273.0,5
12/27/2020,273.0,273.0,273.0,273.0,101
12/28/2020,273.0,273.0,273.0,273.0,317
12/29/2020,273.0,273.0,273.0,273.0,990
12/30/2020,273.0,273.0,273.0,273.0,505
1/3/2021,273.0,273.0,273.0,273.0,1633
1/6/2021,273.0,273.0,273.0,273.0,40
1/7/2021,273.0,273.0,273.0,273.0,6
1/10/2021,273.0,273.0,273.0,273.0,1138
1/11/2021,273.0,273.0,273.0,273.0,1067
1/12/2021,273.0,273.0,273.0,273.0,21
1/14/2021,273.0,273.0,273.0,273.0,50
1/19/2021,273.0,273.0,273.0,273.0,22
1/20/2021,273.0,273.0,273.0,273.0,20
1/21/2021,273.0,273.0,273.0,273.0,62
1/24/2021,273.0,273.0,273.0,273.0,57
1/25/2021,273.0,273.0,273.0,273.0,15
1/26/2021,273.0,273.0,273.0,273.0,10
1/31/2021,273.0,273.0,273.0,273.0,380
2/7/2021,273.0,273.0,273.0,273.0,1
2/9/2021,273.0,273.0,273.0,273.0,24
2/10/2021,273.0,273.0,273.0,273.0,5
2/11/2021,273.0,273.0,273.0,273.0,1
2/14/2021,273.0,273.0,273.0,273.0,1
2/15/2021,273.0,273.0,273.0,273.0,8
2/16/2021,273.0,273.0,273.0,273.0,6
2/17/2021,273.0,273.0,273.0,273.0,1
2/18/2021,273.0,273.0,273.0,273.0,1
2/22/2021,273.0,273.0,273.0,273.0,1
2/25/2021,273.0,273.0,273.0,273.0,1
2/28/2021,273.0,273.0,273.0,273.0,1
3/1/2021,273.0,273.0,273.0,273.0,6
3/2/2021,273.0,273.0,273.0,273.0,13
3/3/2021,273.0,273.0,273.0,273.0,20
3/4/2021,273.0,273.0,273.0,273.0,11
3/7/2021,273.0,273.0,273.0,273.0,1
3/8/2021,273.0,273.0,273.0,273.0,1
3/9/2021,273.0,273.0,273.0,273.0,11
3/10/2021,273.0,273.0,273.0,273.0,1
3/11/2021,273.0,273.0,273.0,273.0,1
3/14/2021,273.0,273.0,273.0,273.0,51
3/15/2021,273.0,273.0,273.0,273.0,4067
3/16/2021,273.0,273.0,273.0,273.0,595
3/18/2021,273.0,273.0,273.0,273.0,1
3/21/2021,273.0,273.0,273.0,273.0,1
3/22/2021,273.0,273.0,273.0,273.0,1
3/23/2021,273.0,273.0,273.0,273.0,1
3/24/2021,273.0,273.0,273.0,273.0,1
3/25/2021,273.0,273.0,273.0,273.0,1
3/28/2021,273.0,273.0,273.0,273.0,1
3/29/2021,273.0,273.0,273.0,273.0,5
3/31/2021,273.0,273.0,273.0,273.0,1
4/1/2021,273.0,273.0,273.0,273.0,1
4/5/2021,273.0,273.0,273.0,273.0,1
4/6/2021,273.0,273.0,273.0,273.0,1
4/12/2021,273.0,273.0,273.0,273.0,1
4/13/2021,273.0,273.0,273.0,273.0,1
