Date,Open,High,Low,Close,Volume
10/1/2012,108.9,113.0,108.1,110.7,161200
10/2/2012,113.2,113.2,110.8,111.8,120250
10/3/2012,111.3,112.3,108.5,109.5,158350
10/4/2012,111.9,111.9,108.5,108.9,148400
10/7/2012,110.0,110.2,105.6,106.4,108800
10/8/2012,108.3,108.3,105.0,105.6,110950
10/9/2012,107.5,108.4,106.1,107.0,56800
10/10/2012,108.8,108.8,105.4,105.7,71900
10/11/2012,105.4,105.9,103.1,103.7,97900
10/14/2012,103.9,105.8,103.9,103.9,107700
10/15/2012,104.0,108.0,103.9,106.4,72600
10/16/2012,108.5,110.0,105.7,106.5,170000
10/17/2012,108.0,108.5,106.6,106.8,61150
10/18/2012,109.7,109.7,106.4,106.7,64050
10/21/2012,109.0,109.0,105.3,105.8,95650
10/22/2012,105.6,109.5,105.5,108.2,49950
10/23/2012,109.0,109.0,105.5,106.9,214050
10/30/2012,108.8,108.9,106.4,108.4,50550
10/31/2012,109.7,111.0,107.6,108.8,94000
11/1/2012,110.0,111.0,108.8,109.7,175400
11/4/2012,109.8,115.6,108.8,113.5,396000
11/5/2012,114.0,115.5,113.0,114.0,164450
11/6/2012,110.5,114.6,108.3,111.0,162850
11/7/2012,112.5,112.5,108.3,108.9,59850
11/8/2012,108.9,110.0,108.5,108.8,46600
11/11/2012,108.0,109.9,106.5,107.4,136350
11/12/2012,105.0,108.5,105.0,106.0,57650
11/13/2012,108.8,111.0,106.0,107.8,76650
11/14/2012,107.5,108.9,105.7,108.2,242150
11/15/2012,108.6,109.7,107.0,108.3,315950
11/18/2012,109.6,110.8,106.6,107.0,125650
11/19/2012,107.6,107.6,104.0,104.5,165900
11/20/2012,105.4,106.0,103.0,103.6,121450
11/21/2012,104.0,105.4,104.0,104.8,40350
11/22/2012,104.9,107.1,104.4,105.3,47200
11/26/2012,104.6,106.0,103.5,103.7,31650
11/27/2012,103.0,103.4,101.7,102.1,48450
11/28/2012,101.7,103.5,100.0,100.9,87800
11/29/2012,105.0,106.4,102.0,104.8,73750
12/2/2012,107.9,107.9,102.0,103.2,93300
12/3/2012,104.3,104.3,101.0,101.5,87900
12/4/2012,103.6,103.7,101.1,102.5,65250
12/5/2012,102.8,103.0,102.0,102.4,97350
12/6/2012,102.8,103.0,101.8,102.5,30300
12/9/2012,101.1,102.9,100.5,102.2,104350
12/10/2012,101.0,102.6,100.6,101.7,43700
12/11/2012,100.6,102.2,100.6,101.8,13450
12/12/2012,102.1,102.2,101.0,101.0,48350
12/13/2012,101.1,102.2,101.1,101.1,28750
12/17/2012,102.0,103.5,101.5,102.7,19800
12/18/2012,104.8,105.0,101.9,102.1,33500
12/19/2012,102.0,103.5,102.0,102.1,23600
12/20/2012,103.2,103.6,102.0,102.3,24400
12/23/2012,102.0,103.0,101.0,101.5,32150
12/24/2012,101.4,102.3,101.0,101.5,10350
12/26/2012,101.1,102.7,101.1,101.2,39450
12/27/2012,102.6,103.3,101.8,102.7,27850
12/30/2012,103.0,103.4,102.3,102.8,40250
1/1/2013,102.0,103.0,102.0,102.1,22250
1/2/2013,101.9,102.0,101.5,101.8,13400
1/3/2013,101.8,102.2,101.4,101.5,18450
1/6/2013,106.0,106.0,101.6,101.8,13400
1/7/2013,101.7,101.9,101.0,101.8,14050
1/8/2013,102.0,102.2,101.4,101.4,14750
1/9/2013,103.6,103.8,101.2,102.0,44800
1/10/2013,102.0,103.0,101.7,102.1,20450
1/13/2013,103.0,103.0,101.8,101.8,16500
1/14/2013,101.4,102.0,101.4,101.5,11950
1/15/2013,101.5,101.8,100.2,101.2,21200
1/16/2013,101.8,101.8,100.9,101.0,14700
1/17/2013,101.5,101.6,100.6,100.9,55550
1/20/2013,101.3,101.3,100.7,100.7,40100
1/21/2013,100.1,101.0,100.1,100.3,42750
1/22/2013,100.2,101.5,100.1,101.0,13000
1/23/2013,101.9,102.2,101.6,101.9,49250
1/24/2013,102.8,104.0,102.3,102.6,81550
1/27/2013,103.0,103.6,101.9,102.0,39100
1/28/2013,101.9,103.2,101.9,102.8,43850
1/29/2013,104.4,105.5,103.5,104.9,86850
1/30/2013,105.5,107.2,105.1,106.4,83300
1/31/2013,104.8,107.5,104.8,107.2,108250
2/3/2013,107.8,108.0,106.8,107.0,82050
2/4/2013,107.2,107.2,105.6,105.8,69800
2/5/2013,105.3,107.0,105.2,106.4,48450
2/6/2013,107.7,108.4,107.2,107.8,81750
2/7/2013,106.9,108.5,106.5,106.7,78500
2/10/2013,107.9,108.9,107.0,108.0,78150
2/11/2013,109.0,110.0,108.8,109.0,149100
2/12/2013,110.3,110.5,108.8,108.8,107650
2/13/2013,110.9,112.0,108.5,109.0,73850
2/14/2013,109.6,114.5,109.6,113.2,455900
2/17/2013,113.8,114.6,111.1,111.4,78750
2/18/2013,112.1,112.1,110.2,111.1,69650
2/19/2013,111.7,111.7,108.6,109.8,100050
2/20/2013,110.2,110.2,107.5,107.7,73350
2/24/2013,106.6,107.7,105.2,105.6,94200
2/25/2013,108.6,108.6,104.6,105.1,49100
2/26/2013,107.7,108.7,105.0,107.9,32400
2/27/2013,107.7,107.8,104.7,105.2,39200
2/28/2013,106.0,106.9,104.9,105.7,37550
3/3/2013,101.5,103.9,101.1,101.2,31600
3/4/2013,101.5,108.3,101.5,104.4,46700
3/5/2013,105.1,105.1,103.4,103.9,24350
3/6/2013,104.0,104.3,103.5,103.6,37250
3/7/2013,103.5,104.3,102.1,103.7,17050
3/10/2013,103.6,104.0,102.0,102.7,37950
3/11/2013,102.0,102.9,101.0,101.5,42550
3/12/2013,101.2,103.0,101.0,102.3,12900
3/13/2013,103.5,103.5,102.2,102.3,84000
3/14/2013,101.9,107.0,101.9,104.4,62650
