Date,Open,High,Low,Close,Volume
1/17/2019,50.0,55.0,44.0,50.1,7537625
1/20/2019,50.5,51.0,47.1,47.7,1264143
1/21/2019,47.0,48.5,43.1,43.7,3747105
1/22/2019,44.0,48.0,43.8,48.0,1327673
1/23/2019,49.1,50.7,44.4,45.2,2854359
1/24/2019,47.0,47.5,44.5,44.8,1580320
1/27/2019,44.8,45.1,42.5,42.8,1690681
1/28/2019,43.3,44.8,42.9,43.8,922448
1/29/2019,44.0,44.9,42.9,43.2,923919
1/30/2019,43.3,44.6,42.9,43.2,1038345
1/31/2019,43.5,43.7,42.0,42.3,935809
2/3/2019,42.9,42.9,39.7,40.1,1246188
2/4/2019,40.8,41.2,39.0,39.2,859057
2/5/2019,39.3,40.6,39.3,39.6,685952
2/6/2019,40.0,40.9,39.3,39.4,972716
2/7/2019,39.7,40.0,38.1,38.3,694229
2/10/2019,38.9,38.9,36.1,36.3,967733
2/11/2019,36.9,38.7,36.4,38.3,780347
2/12/2019,38.5,39.5,38.2,38.4,674601
2/13/2019,38.4,38.6,37.2,37.4,551058
2/14/2019,37.7,38.1,37.3,37.5,574532
2/17/2019,38.0,39.3,37.8,38.2,824294
2/18/2019,38.3,38.6,37.6,37.7,478898
2/19/2019,38.2,38.3,37.4,37.6,330747
2/20/2019,37.7,37.9,36.9,37.1,335362
2/24/2019,37.0,37.6,36.4,36.5,321643
2/25/2019,37.0,37.4,36.2,36.6,261710
2/26/2019,36.6,37.0,35.8,36.0,279653
2/27/2019,36.4,36.4,35.5,35.7,365831
3/3/2019,35.5,37.1,35.5,36.6,418669
3/4/2019,36.8,37.4,36.4,36.6,535210
3/5/2019,37.0,37.0,35.6,35.7,293016
3/6/2019,35.7,36.2,35.3,35.4,276846
3/7/2019,35.5,36.0,35.3,35.4,262241
3/10/2019,35.9,36.2,35.4,35.5,178886
3/11/2019,35.5,36.0,35.2,35.3,221821
3/12/2019,35.6,36.0,35.1,35.3,572016
3/13/2019,35.3,35.6,33.7,33.9,401795
3/14/2019,34.1,34.2,31.8,32.1,443144
3/18/2019,32.2,32.2,29.6,29.9,481175
3/19/2019,30.7,31.2,29.9,30.7,225926
3/20/2019,30.7,31.4,29.9,30.1,313921
3/21/2019,30.1,30.4,29.6,29.9,261868
3/24/2019,29.9,30.0,29.3,29.5,175261
3/25/2019,29.5,30.3,29.5,29.9,164330
3/27/2019,29.9,31.7,29.9,31.4,695442
3/28/2019,31.5,32.1,31.1,31.3,271700
3/31/2019,31.2,31.2,29.8,29.9,377997
4/1/2019,29.5,30.0,28.4,28.7,508067
4/2/2019,28.8,29.3,28.6,28.9,234605
4/3/2019,28.8,28.8,27.6,27.7,965527
4/4/2019,27.8,28.0,26.8,27.2,585550
4/7/2019,27.3,27.6,26.3,26.5,588040
4/8/2019,26.7,26.7,25.9,26.0,479889
4/9/2019,26.1,26.4,25.5,25.6,517280
4/10/2019,25.7,26.0,25.1,25.2,468389
4/11/2019,25.2,25.8,25.2,25.7,180118
4/15/2019,25.9,26.5,25.2,25.5,332171
4/16/2019,25.2,25.6,24.7,24.8,320141
4/17/2019,25.0,25.2,24.2,24.3,252857
4/18/2019,24.5,25.2,24.3,25.0,430149
4/21/2019,25.4,25.5,24.6,24.8,232698
4/23/2019,24.8,24.9,23.9,24.0,254351
4/24/2019,24.1,24.1,23.6,23.8,317675
4/25/2019,23.8,24.8,23.8,24.5,384854
4/28/2019,24.5,26.4,24.4,25.4,847447
4/29/2019,25.4,26.0,25.0,25.0,392019
4/30/2019,25.5,26.2,25.1,25.3,479809
5/2/2019,25.8,26.9,25.3,26.5,633347
5/5/2019,26.9,28.9,26.9,28.6,1475385
5/6/2019,29.5,31.4,29.0,31.4,2304231
5/7/2019,31.7,32.0,30.3,30.4,1394515
5/8/2019,30.4,31.8,29.8,31.3,2022177
5/9/2019,31.9,34.4,31.8,33.4,2650021
5/12/2019,34.0,34.0,32.3,32.5,1735315
5/13/2019,32.6,33.6,32.0,32.3,1352894
5/14/2019,32.7,32.9,31.5,31.8,1032357
5/15/2019,32.0,32.1,30.0,30.4,1361984
5/16/2019,30.6,30.8,29.8,30.0,795975
5/19/2019,30.3,31.2,30.0,30.9,924919
5/20/2019,31.0,31.4,30.3,30.4,788961
5/21/2019,30.4,30.5,28.7,29.0,1119661
5/22/2019,29.4,29.9,28.8,29.1,575642
5/23/2019,29.2,29.4,28.1,28.3,570859
5/26/2019,28.7,28.7,27.3,27.5,562807
5/27/2019,27.5,27.5,26.4,26.6,452224
5/28/2019,26.7,27.8,26.7,27.6,336296
5/29/2019,27.6,28.3,27.6,27.8,503491
5/30/2019,28.0,28.5,27.9,28.3,500616
6/9/2019,29.0,29.0,27.8,27.9,279915
6/10/2019,28.0,28.5,28.0,28.1,388546
6/11/2019,28.3,29.6,28.2,29.4,725854
6/12/2019,29.5,29.5,28.6,28.7,475025
6/13/2019,29.0,29.0,28.3,28.4,390225
6/16/2019,28.9,28.9,27.5,27.7,624232
6/17/2019,28.1,28.1,27.0,27.2,563748
6/18/2019,27.2,27.6,27.1,27.5,367257
6/19/2019,27.6,28.0,27.2,27.3,353335
6/20/2019,27.4,27.5,26.7,26.8,313669
6/23/2019,27.0,27.0,26.1,26.4,192630
6/24/2019,26.6,26.6,25.9,26.1,221072
6/25/2019,26.2,26.6,26.2,26.5,146467
6/26/2019,26.5,27.6,26.5,27.3,305188
6/27/2019,27.3,27.5,27.1,27.2,310708
6/30/2019,27.1,27.3,26.7,26.8,160503
7/2/2019,26.9,27.5,26.5,27.2,383578
7/3/2019,27.3,27.8,26.8,27.0,407737
7/4/2019,27.2,27.4,26.7,26.8,250636
7/7/2019,26.7,27.1,26.0,26.3,337947
7/8/2019,26.1,26.7,26.0,26.2,210751
7/9/2019,26.3,26.5,25.5,25.7,205661
7/10/2019,26.0,26.0,24.5,24.8,330815
7/11/2019,25.2,25.2,24.4,24.9,193068
7/14/2019,25.3,25.3,24.0,24.2,134525
7/15/2019,24.2,24.2,23.0,23.3,262002
7/16/2019,23.4,24.2,23.3,23.7,91909
7/17/2019,23.7,25.0,23.6,24.8,246695
7/18/2019,24.8,25.4,24.4,24.5,220547
7/21/2019,24.3,24.7,23.1,23.2,189505
7/22/2019,23.7,23.7,22.0,22.5,204059
7/23/2019,23.2,23.7,23.0,23.6,121623
7/24/2019,23.6,23.8,22.9,23.2,218013
7/25/2019,23.5,24.0,23.4,23.8,168889
7/28/2019,24.3,24.3,23.5,23.7,186321
7/29/2019,23.9,24.4,23.4,24.3,276763
