Date,Open,High,Low,Close,Volume
10/1/2012,33.0,36.6,33.0,35.2,15500
10/2/2012,35.5,36.5,35.5,35.8,18500
10/3/2012,35.7,36.7,35.7,35.9,8000
10/4/2012,37.6,37.7,35.0,36.2,16500
10/7/2012,34.1,34.1,34.1,34.1,1000
10/8/2012,32.0,32.2,32.0,32.1,1500
10/9/2012,33.9,34.9,33.7,34.7,14500
10/10/2012,34.0,34.5,32.5,33.4,8000
10/11/2012,32.3,32.3,32.3,32.3,500
10/14/2012,33.0,33.0,32.5,32.7,1500
10/16/2012,32.7,32.8,31.1,32.2,18500
10/17/2012,31.9,31.9,31.8,31.8,1500
10/18/2012,33.8,34.0,33.8,33.9,1000
10/21/2012,32.3,33.9,32.3,33.1,1000
10/22/2012,32.5,32.5,32.5,32.5,500
10/23/2012,35.0,35.0,33.0,33.8,6000
10/30/2012,32.7,32.7,32.6,32.6,5000
10/31/2012,33.7,33.7,33.0,33.5,5000
11/1/2012,32.4,32.4,32.4,32.4,1000
11/4/2012,32.2,32.2,31.8,31.9,6500
11/5/2012,33.0,33.0,31.7,32.5,17500
11/6/2012,32.0,32.0,32.0,32.0,500
11/11/2012,30.2,30.2,30.0,30.1,3000
11/14/2012,30.0,30.0,30.0,30.0,500
11/15/2012,29.5,29.7,28.1,29.3,6000
11/18/2012,28.8,28.8,28.7,28.7,3500
11/19/2012,26.5,26.5,26.5,26.5,1500
11/20/2012,25.7,25.7,25.3,25.5,3500
11/21/2012,25.0,25.0,23.5,24.2,6500
11/22/2012,24.4,25.1,24.4,24.8,1500
11/27/2012,24.0,24.2,24.0,24.0,4000
11/28/2012,24.5,24.5,24.5,24.5,1000
11/29/2012,24.6,26.0,24.6,25.2,3000
12/2/2012,25.0,25.9,24.7,25.1,3000
12/3/2012,25.0,25.0,25.0,25.0,1000
12/5/2012,24.5,24.5,24.2,24.3,2000
12/6/2012,23.5,23.5,23.5,23.5,500
12/9/2012,24.9,24.9,24.9,24.9,500
12/12/2012,25.0,25.0,25.0,25.0,500
12/18/2012,24.3,24.5,24.3,24.4,1000
12/20/2012,24.3,24.3,24.2,24.2,1000
12/23/2012,24.5,24.5,24.1,24.2,3000
12/30/2012,24.1,24.1,24.1,24.1,1000
1/1/2013,24.2,24.2,24.2,24.2,5000
1/3/2013,24.5,24.5,24.2,24.4,3000
1/6/2013,24.3,24.3,24.3,24.3,500
1/7/2013,24.0,24.0,24.0,24.0,500
1/8/2013,23.5,23.6,23.5,23.5,2500
1/9/2013,23.6,23.6,23.6,23.6,1500
1/10/2013,25.2,25.2,25.2,25.2,500
1/13/2013,25.5,25.5,25.3,25.4,1500
1/14/2013,25.3,25.3,25.3,25.3,1000
1/16/2013,25.2,25.2,25.2,25.2,500
1/20/2013,25.1,25.1,25.1,25.1,500
1/21/2013,25.0,25.0,24.8,24.8,2000
1/22/2013,24.9,25.0,24.9,24.9,1500
1/23/2013,26.3,26.3,26.3,26.3,500
1/24/2013,26.0,26.6,26.0,26.2,3500
1/27/2013,25.7,25.7,25.1,25.4,3000
1/28/2013,25.7,25.9,25.7,25.8,5500
1/29/2013,25.9,25.9,25.9,25.9,500
1/30/2013,27.2,28.4,27.2,28.3,39000
1/31/2013,28.3,28.3,28.3,28.3,2500
2/3/2013,28.0,28.0,28.0,28.0,500
2/4/2013,28.3,28.3,28.0,28.1,13000
2/5/2013,28.0,28.0,27.9,27.9,1500
2/6/2013,27.6,27.8,27.0,27.4,14500
2/10/2013,26.6,27.0,26.1,26.5,3500
2/11/2013,27.0,28.0,27.0,27.3,3000
2/12/2013,27.6,28.1,27.1,27.4,7500
2/13/2013,27.9,27.9,26.9,27.0,3500
2/14/2013,27.9,27.9,27.9,27.9,500
2/17/2013,27.5,27.5,27.2,27.4,1500
2/18/2013,27.1,27.3,26.4,26.8,18000
2/19/2013,26.7,26.7,26.5,26.5,8000
2/20/2013,26.0,26.0,26.0,26.0,500
2/24/2013,25.2,25.4,25.2,25.3,3000
2/25/2013,25.2,25.2,25.1,25.1,1000
2/26/2013,25.2,25.3,25.0,25.1,4500
2/27/2013,25.4,25.4,25.0,25.1,3500
2/28/2013,25.0,25.0,25.0,25.0,500
3/11/2013,24.0,24.7,24.0,24.3,2000
3/13/2013,25.0,25.0,24.2,24.6,2000
3/14/2013,23.3,24.6,23.3,24.2,4000
3/19/2013,23.0,23.0,23.0,23.0,500
3/20/2013,22.6,22.6,22.6,22.6,500
3/24/2013,21.0,21.4,21.0,21.2,1500
3/28/2013,22.0,22.0,22.0,22.0,500
3/31/2013,20.7,21.2,20.7,20.8,1500
4/1/2013,20.0,20.0,19.9,19.9,2500
4/2/2013,21.0,21.0,21.0,21.0,500
4/8/2013,21.0,21.0,21.0,21.0,500
4/9/2013,21.5,22.1,21.5,21.7,2000
4/15/2013,21.9,22.4,21.9,22.1,1000
4/16/2013,21.7,21.7,21.6,21.6,2000
4/18/2013,22.9,23.5,22.9,23.4,5000
4/21/2013,24.9,24.9,23.0,24.0,6500
4/22/2013,24.2,24.3,24.1,24.2,1500
4/23/2013,25.0,26.6,25.0,26.1,21500
4/24/2013,27.6,27.7,26.5,27.1,12500
4/25/2013,27.7,27.8,26.6,27.3,14500
4/28/2013,27.0,28.4,26.8,26.9,11000
4/29/2013,26.4,26.5,26.0,26.2,16000
4/30/2013,25.7,25.7,24.8,25.3,4000
5/2/2013,25.5,25.7,25.0,25.1,4000
5/5/2013,24.4,24.6,24.3,24.4,5000
5/8/2013,26.4,26.5,26.0,26.3,24500
5/9/2013,27.5,27.5,26.9,27.2,1000
5/12/2013,27.8,27.9,26.3,27.3,4500
5/13/2013,25.6,26.9,25.6,26.2,9000
5/14/2013,28.0,28.0,26.6,26.9,3000
5/15/2013,26.9,27.4,26.0,26.3,4500
5/16/2013,26.5,26.5,26.3,26.4,4000
5/19/2013,26.7,28.8,26.7,27.9,29500
5/20/2013,28.0,28.9,28.0,28.6,10000
5/21/2013,27.0,27.5,27.0,27.1,13000
5/22/2013,26.6,26.7,26.5,26.5,11500
5/26/2013,27.7,28.5,27.7,28.2,3500
5/27/2013,27.0,28.2,27.0,28.0,5500
5/28/2013,28.8,30.8,27.4,29.6,49500
5/29/2013,32.0,32.5,29.3,32.0,27500
5/30/2013,33.4,33.4,31.1,32.3,60000
6/2/2013,31.8,32.7,30.0,32.1,12000
6/3/2013,30.2,32.2,30.0,31.4,7500
6/4/2013,33.8,34.5,32.2,33.5,8000
6/5/2013,33.7,33.7,32.6,33.0,9500
6/6/2013,31.5,31.5,30.5,31.0,5000
6/9/2013,30.0,30.0,29.5,29.7,2500
6/10/2013,32.0,32.6,32.0,32.3,43000
6/11/2013,32.4,32.4,31.6,32.0,2000
6/12/2013,32.2,33.0,32.0,32.2,9000
6/13/2013,32.9,33.0,31.5,32.6,2000
6/16/2013,29.5,31.0,29.5,30.5,1500
6/17/2013,30.8,32.5,30.7,31.4,9000
6/18/2013,31.5,31.5,31.4,31.4,2000
6/19/2013,32.8,32.9,31.6,32.5,5000
6/20/2013,33.0,33.0,32.9,32.9,1000
6/23/2013,32.3,32.3,32.3,32.3,500
6/26/2013,29.7,29.9,29.7,29.7,3000
6/30/2013,32.0,32.4,31.0,31.9,2000
7/3/2013,31.0,31.5,31.0,31.2,2000
7/4/2013,31.0,31.0,31.0,31.0,500
7/7/2013,30.1,30.1,30.0,30.0,9000
7/8/2013,32.1,32.4,31.0,31.8,11000
7/9/2013,32.8,32.8,31.0,32.0,3000
7/10/2013,32.0,32.4,32.0,32.0,7000
7/11/2013,32.5,33.0,32.4,32.8,9000
7/14/2013,32.0,32.0,30.1,30.4,3000
7/16/2013,30.4,30.4,30.4,30.4,3000
7/21/2013,32.0,32.0,30.0,31.0,1000
7/22/2013,31.0,31.0,28.0,29.5,1000
7/23/2013,31.0,31.0,31.0,31.0,500
7/24/2013,31.5,31.5,31.5,31.5,1000
7/25/2013,31.8,31.8,31.8,31.8,500
7/28/2013,31.9,31.9,31.8,31.8,1000
7/29/2013,32.0,32.0,32.0,32.0,500
7/31/2013,33.6,33.6,33.6,33.6,500
8/4/2013,33.0,33.0,33.0,33.0,500
8/19/2013,30.0,30.0,30.0,30.0,500
8/21/2013,30.2,30.2,30.2,30.2,500
8/22/2013,30.2,30.2,30.2,30.2,1000
8/25/2013,32.5,33.2,32.1,33.1,30000
8/26/2013,33.9,36.4,33.2,35.5,96000
8/27/2013,36.5,39.0,34.0,38.9,62000
8/29/2013,38.8,39.9,35.1,36.5,30500
9/1/2013,35.5,36.5,34.0,34.6,38500
9/2/2013,34.9,35.8,33.6,35.4,93000
9/3/2013,35.0,36.8,34.5,35.7,95500
9/4/2013,37.9,39.1,36.7,37.8,49500
9/5/2013,39.5,40.3,38.8,40.0,34000
9/8/2013,37.2,40.9,37.1,39.4,13500
9/9/2013,41.9,42.0,38.2,41.5,71500
