Date,Open,High,Low,Close,Volume
10/1/2012,9.9,10.9,9.6,10.7,6422500
10/2/2012,11.5,11.7,11.0,11.7,8986500
10/3/2012,12.7,12.8,11.1,11.4,12808000
10/4/2012,11.4,12.4,10.3,11.9,6684500
10/7/2012,12.0,12.4,10.8,10.8,3292000
10/8/2012,10.1,10.9,9.8,10.1,3889500
10/9/2012,10.5,11.1,10.5,11.1,2820000
10/10/2012,11.7,11.7,10.2,10.3,1551500
10/11/2012,10.4,10.6,9.7,9.8,2862500
10/14/2012,10.2,10.4,9.3,9.5,1621500
10/15/2012,9.8,10.4,9.3,10.4,1588000
10/16/2012,10.7,11.3,9.9,10.1,3129500
10/17/2012,10.0,10.8,9.9,10.6,1437000
10/18/2012,10.6,11.1,10.5,10.6,2108500
10/21/2012,11.0,11.0,10.2,10.2,1761500
10/22/2012,10.1,10.5,10.1,10.3,929000
10/23/2012,10.3,10.8,10.1,10.2,3001000
10/30/2012,10.1,10.3,10.0,10.0,828000
10/31/2012,10.3,10.8,10.1,10.5,2640000
11/1/2012,10.5,10.9,10.3,10.4,1198500
11/4/2012,10.5,10.5,10.1,10.1,1360500
11/5/2012,10.2,10.4,10.1,10.2,1171500
11/6/2012,10.4,11.0,10.3,10.8,3227500
11/7/2012,11.2,11.2,10.4,10.5,3657500
11/8/2012,10.8,10.8,10.3,10.4,1327000
11/11/2012,10.6,10.6,9.8,9.8,1762000
11/12/2012,9.8,10.2,9.6,9.8,1762000
11/13/2012,10.1,10.2,9.7,9.7,1335500
11/14/2012,9.8,10.0,9.6,9.7,1029000
11/15/2012,9.7,10.4,9.5,10.3,2261000
11/18/2012,10.6,10.8,10.1,10.1,2129000
11/19/2012,10.2,10.2,9.7,9.7,1424000
11/20/2012,9.8,9.9,9.5,9.5,1107000
11/21/2012,9.9,9.9,9.5,9.6,1428500
11/22/2012,9.8,9.9,9.6,9.6,1341500
11/26/2012,9.7,9.8,9.4,9.4,898500
11/27/2012,9.0,9.6,8.8,9.0,1152500
11/28/2012,9.0,9.3,8.9,9.0,1011500
11/29/2012,9.3,9.8,9.2,9.6,1060000
12/2/2012,9.8,9.9,9.2,9.2,1590500
12/3/2012,9.3,9.4,8.9,8.9,1148000
12/4/2012,9.0,9.2,8.9,9.0,894500
12/5/2012,9.4,9.4,8.8,8.9,1123500
12/6/2012,8.9,9.0,8.7,8.8,1020000
12/9/2012,8.6,8.8,8.4,8.5,557500
12/10/2012,8.5,8.5,8.0,8.0,928000
12/11/2012,7.9,8.8,7.8,8.7,1546500
12/12/2012,8.5,9.1,8.5,8.5,1065000
12/13/2012,8.4,8.8,8.4,8.5,831000
12/17/2012,8.6,9.0,8.6,8.7,750000
12/18/2012,8.6,8.8,8.6,8.6,608000
12/19/2012,8.7,8.8,8.6,8.6,734500
12/20/2012,8.7,8.8,8.5,8.5,979000
12/23/2012,8.5,8.7,8.4,8.4,621500
12/24/2012,8.6,8.9,8.4,8.7,1116000
12/26/2012,8.8,8.8,8.6,8.6,794000
12/27/2012,8.6,8.8,8.6,8.7,834500
12/30/2012,8.8,8.8,8.6,8.7,715500
1/1/2013,8.7,8.8,8.6,8.6,485000
1/2/2013,8.6,8.7,8.5,8.5,457000
1/3/2013,8.8,9.3,8.8,9.1,2570000
1/6/2013,9.3,9.4,8.9,9.0,1198500
1/7/2013,8.9,9.1,8.8,8.9,575500
1/8/2013,9.0,9.2,8.7,8.8,677000
1/9/2013,9.5,9.6,8.8,8.9,3421500
1/10/2013,8.9,9.0,8.7,8.8,516000
1/13/2013,8.8,8.8,8.6,8.6,615500
1/14/2013,8.6,8.6,8.4,8.4,683000
1/15/2013,8.5,8.6,8.4,8.4,363000
1/16/2013,8.5,8.7,8.4,8.5,389500
1/17/2013,8.6,8.7,8.4,8.4,361000
1/20/2013,8.5,8.6,8.4,8.4,510000
1/21/2013,8.5,8.5,8.3,8.4,384500
1/22/2013,8.4,8.4,8.0,8.0,2065000
1/23/2013,8.0,8.1,7.9,7.9,872000
1/24/2013,7.9,8.0,7.9,7.9,1175500
1/27/2013,8.0,8.0,7.8,7.8,759500
1/28/2013,7.9,7.9,7.7,7.7,927000
1/29/2013,7.8,8.0,7.7,7.8,1608000
1/30/2013,7.9,7.9,7.7,7.8,750000
1/31/2013,7.7,7.9,7.6,7.7,799500
2/3/2013,7.7,7.9,7.6,7.7,980000
2/4/2013,7.7,7.9,7.6,7.6,695500
2/5/2013,7.7,7.8,7.6,7.7,633000
2/6/2013,7.8,8.0,7.7,7.8,844500
2/7/2013,7.9,8.0,7.8,7.8,1055000
2/10/2013,7.9,8.1,7.8,8.0,1003500
2/11/2013,8.2,8.3,7.9,7.9,1311500
2/12/2013,8.1,8.1,7.8,7.8,769500
2/13/2013,7.8,7.9,7.7,7.7,1311500
2/14/2013,7.8,7.9,7.7,7.8,1316000
2/17/2013,7.9,7.9,7.7,7.7,1038000
2/18/2013,7.8,7.8,7.6,7.6,1084500
2/19/2013,7.6,7.7,7.4,7.4,1240500
2/20/2013,7.5,7.6,7.3,7.4,954500
2/24/2013,7.4,7.4,7.1,7.1,627000
2/25/2013,7.3,7.3,7.0,7.0,739500
2/26/2013,7.2,7.2,7.0,7.0,441000
2/27/2013,7.2,7.2,6.8,6.8,716000
2/28/2013,6.9,7.0,6.7,6.9,718500
3/3/2013,6.8,6.8,6.4,6.5,532000
3/4/2013,6.7,6.8,6.6,6.7,715500
3/5/2013,6.9,6.9,6.6,6.6,493000
3/6/2013,6.7,6.8,6.6,6.6,561000
3/7/2013,6.6,6.7,6.5,6.6,454000
3/10/2013,6.8,6.8,6.5,6.5,428000
3/11/2013,6.5,6.6,6.3,6.4,502000
3/12/2013,6.4,6.5,6.4,6.4,288000
3/13/2013,5.8,6.7,5.8,6.5,380500
3/14/2013,6.5,6.6,6.4,6.4,324500
3/18/2013,6.4,6.6,6.4,6.5,209500
3/19/2013,6.6,6.6,6.5,6.5,322500
3/20/2013,6.5,6.6,6.4,6.4,381000
3/24/2013,6.5,6.6,6.4,6.4,403500
3/25/2013,6.4,6.4,6.3,6.3,419500
3/27/2013,6.3,6.4,6.2,6.2,285500
3/28/2013,6.2,6.3,6.2,6.2,199500
3/31/2013,6.3,6.3,6.1,6.1,374500
4/1/2013,6.1,6.1,5.8,5.8,462000
4/2/2013,5.9,6.0,5.8,5.9,200000
4/3/2013,6.0,6.1,5.9,5.9,178000
4/4/2013,5.9,6.0,5.9,6.0,409000
4/7/2013,6.0,6.6,6.0,6.6,1139000
4/8/2013,6.8,7.2,6.5,7.2,2106500
4/9/2013,7.4,7.6,6.8,6.9,1326000
4/10/2013,7.0,7.5,6.9,7.2,1217000
4/11/2013,7.2,7.4,7.1,7.1,1128500
4/15/2013,7.4,7.4,7.0,7.1,1251000
4/16/2013,7.1,7.1,6.6,6.6,834500
4/17/2013,6.8,7.2,6.6,7.1,1290500
4/18/2013,7.3,7.6,7.3,7.4,1895500
4/21/2013,7.4,7.4,7.0,7.0,416500
4/22/2013,7.0,7.3,6.9,7.0,570500
4/23/2013,7.1,7.2,7.0,7.1,503500
4/24/2013,7.2,7.2,7.0,7.0,428000
4/25/2013,7.1,7.1,6.9,6.9,547500
4/28/2013,7.1,7.1,6.7,6.7,624000
4/29/2013,6.8,7.0,6.7,6.8,497500
4/30/2013,6.9,7.0,6.8,6.8,420000
5/2/2013,6.8,6.9,6.7,6.8,358000
5/5/2013,6.8,6.9,6.7,6.7,719000
5/6/2013,6.7,6.8,6.7,6.7,246500
5/7/2013,6.8,7.1,6.7,6.9,768500
5/8/2013,7.1,7.3,6.9,7.0,1704500
5/9/2013,7.0,7.3,7.0,7.2,1624000
5/12/2013,7.2,7.5,7.2,7.4,926500
5/13/2013,7.5,7.6,7.3,7.5,1174500
5/14/2013,7.6,8.0,7.5,7.8,2107500
5/15/2013,7.9,7.9,7.5,7.6,1205000
5/16/2013,7.5,8.2,7.5,8.0,1920500
5/19/2013,8.1,8.3,7.8,8.1,2341000
5/20/2013,8.2,8.4,8.0,8.0,1946500
5/21/2013,8.0,8.2,7.9,7.9,1165500
5/22/2013,8.0,8.3,7.9,8.0,1729000
5/26/2013,8.1,8.2,7.7,7.7,1039000
5/27/2013,7.8,8.1,7.8,8.0,949500
5/28/2013,8.0,8.3,8.0,8.1,1723000
5/29/2013,8.3,8.4,8.1,8.2,3183000
5/30/2013,8.2,8.5,8.2,8.4,2717000
6/2/2013,8.6,8.9,8.5,8.8,2574500
6/3/2013,9.1,9.1,8.7,8.8,2089500
6/4/2013,8.9,8.9,8.6,8.6,1648000
6/5/2013,8.8,9.0,8.6,8.9,2942000
6/6/2013,9.1,9.6,9.1,9.3,5210500
6/9/2013,9.6,9.9,9.0,9.0,3305000
6/10/2013,9.2,9.9,9.1,9.8,3006000
6/11/2013,10.0,10.2,9.7,9.8,3315000
6/12/2013,10.0,10.3,9.9,10.0,6792500
6/13/2013,10.0,10.4,9.9,10.3,4901500
6/16/2013,10.5,10.7,10.4,10.5,2433000
6/17/2013,10.6,11.1,10.6,10.9,5820000
6/18/2013,11.0,11.4,10.9,11.2,4784500
6/19/2013,11.4,11.5,11.1,11.2,4879000
6/20/2013,11.2,11.3,10.6,10.6,3626500
6/23/2013,10.6,10.9,10.0,10.0,2319000
6/24/2013,10.0,10.3,9.6,9.8,1386000
6/26/2013,10.0,10.7,10.0,10.1,2605500
6/27/2013,10.0,10.4,10.0,10.1,819500
6/30/2013,10.2,10.2,9.7,9.9,1035000
7/2/2013,10.2,10.5,10.1,10.3,2290000
7/3/2013,10.6,10.6,10.0,10.0,3285500
7/4/2013,10.2,10.3,9.9,10.0,3663500
7/7/2013,10.4,11.0,10.4,10.9,6137500
7/8/2013,11.2,11.4,10.7,10.7,3054000
7/9/2013,10.9,10.9,10.2,10.2,3316500
7/10/2013,10.6,11.0,10.3,10.6,3629000
7/11/2013,10.2,11.1,10.2,10.6,2738000
7/14/2013,10.8,10.8,9.9,10.1,1827000
7/15/2013,10.3,10.4,9.8,9.9,2264500
7/16/2013,10.4,10.5,10.0,10.1,2002500
7/17/2013,10.2,10.2,9.6,9.7,1602500
7/18/2013,9.9,10.0,9.7,9.7,1315500
7/21/2013,10.0,10.1,9.4,9.5,794000
7/22/2013,10.0,10.1,9.5,9.6,1201000
7/23/2013,10.0,10.1,9.3,9.3,889000
7/24/2013,9.5,10.2,9.3,10.2,1498500
7/25/2013,10.9,11.0,9.7,9.8,2196000
7/28/2013,9.4,9.9,9.3,9.4,527500
7/29/2013,9.4,9.6,9.3,9.3,559000
7/30/2013,9.5,9.5,9.0,9.0,1051000
7/31/2013,9.0,9.1,8.6,8.6,629000
8/1/2013,8.7,8.8,8.4,8.6,490000
8/4/2013,8.5,8.5,8.2,8.3,570000
8/5/2013,8.3,8.9,8.3,8.7,236000
8/12/2013,8.6,8.7,8.4,8.4,431000
8/13/2013,8.5,8.7,8.3,8.4,740500
8/14/2013,8.6,9.3,8.3,8.4,1318500
8/18/2013,8.4,8.8,8.4,8.6,854000
8/19/2013,8.6,9.4,8.5,9.1,1668500
8/20/2013,9.0,9.0,8.7,8.7,1514000
8/21/2013,8.7,8.9,8.6,8.7,917000
8/22/2013,8.7,9.0,8.6,8.7,1099500
8/25/2013,8.9,8.9,8.6,8.7,1399500
8/27/2013,8.2,8.2,7.5,7.6,619000
8/29/2013,7.5,7.6,7.4,7.4,379500
9/1/2013,7.5,7.7,7.3,7.4,606500
9/2/2013,7.4,7.6,7.4,7.4,297000
9/3/2013,7.5,7.6,7.4,7.4,258500
9/4/2013,7.5,7.6,7.1,7.2,780500
9/5/2013,7.4,7.4,7.1,7.1,191000
9/8/2013,7.1,7.1,6.9,6.9,307500
9/9/2013,7.0,7.1,6.8,6.8,411500
9/10/2013,7.0,7.0,6.7,6.7,520000
9/11/2013,6.9,7.3,6.8,7.3,933000
9/12/2013,7.3,7.5,7.2,7.2,539500
9/15/2013,7.3,7.4,6.9,7.1,842000
9/16/2013,7.2,7.2,6.9,7.0,398500
9/17/2013,6.9,7.0,6.7,6.7,1203000
9/18/2013,7.0,7.1,6.8,6.8,559500
9/19/2013,6.9,7.4,6.9,7.2,2105500
9/22/2013,7.3,7.6,7.0,7.1,765500
9/23/2013,7.0,7.1,6.8,6.8,763000
9/24/2013,6.8,7.1,6.8,6.9,175000
9/25/2013,7.1,7.1,6.8,6.8,684000
9/26/2013,7.0,7.4,6.9,7.2,1208500
9/29/2013,7.4,7.8,7.4,7.6,2793000
9/30/2013,7.7,7.7,7.2,7.3,894000
10/1/2013,7.3,7.4,7.0,7.3,368500
10/2/2013,7.4,7.9,7.4,7.5,1898500
10/3/2013,7.5,7.9,7.4,7.6,705500
10/6/2013,7.7,7.8,7.5,7.6,571500
10/7/2013,7.7,7.7,7.4,7.5,763000
10/8/2013,7.5,7.6,7.3,7.3,897000
10/9/2013,7.3,7.6,7.3,7.4,358500
10/10/2013,7.4,7.5,7.3,7.3,243000
10/20/2013,7.2,7.4,7.1,7.2,233000
10/21/2013,7.2,7.4,7.1,7.2,405500
10/22/2013,7.4,7.4,7.0,7.1,1020500
10/23/2013,7.2,7.3,7.1,7.2,286000
10/24/2013,7.2,7.2,7.0,7.0,373500
10/27/2013,7.1,7.3,7.1,7.2,230500
10/28/2013,7.3,7.4,7.1,7.1,529000
10/29/2013,7.2,7.5,7.1,7.4,677500
10/30/2013,7.5,7.5,7.3,7.4,574000
10/31/2013,7.4,7.5,7.3,7.4,370000
11/3/2013,7.4,7.4,7.2,7.2,242500
11/4/2013,7.3,7.4,7.2,7.3,194000
11/5/2013,7.3,7.6,7.3,7.3,899500
11/6/2013,7.5,7.6,7.4,7.5,711500
11/7/2013,7.6,7.8,7.6,7.7,770500
11/10/2013,7.7,7.9,7.7,7.8,913000
11/11/2013,8.0,8.4,7.9,8.0,2058000
11/12/2013,8.3,8.4,7.7,7.7,989000
11/13/2013,7.8,8.0,7.7,7.8,843500
11/14/2013,7.8,7.9,7.7,7.7,310500
11/17/2013,7.8,7.9,7.6,7.6,896000
11/18/2013,7.6,7.8,7.5,7.5,789500
11/19/2013,7.7,7.8,7.6,7.7,807500
11/20/2013,7.8,7.9,7.8,7.8,1182000
11/21/2013,7.8,7.9,7.7,7.7,750500
11/24/2013,7.7,7.9,7.6,7.6,873500
11/25/2013,7.6,7.7,7.5,7.5,785000
11/26/2013,7.6,7.6,7.4,7.4,591500
11/27/2013,7.5,7.5,7.4,7.4,263500
11/28/2013,7.4,7.5,7.3,7.3,261500
12/1/2013,7.4,7.4,7.3,7.3,232500
12/2/2013,7.4,7.5,7.3,7.3,257500
12/3/2013,7.5,7.8,7.4,7.6,495500
12/4/2013,7.7,7.8,7.4,7.5,389000
12/5/2013,7.4,7.5,7.3,7.3,260500
12/8/2013,7.6,7.6,7.3,7.3,232000
12/9/2013,7.4,7.5,7.3,7.3,292500
12/10/2013,7.3,7.7,7.3,7.5,748000
12/11/2013,7.6,7.8,7.4,7.4,649500
12/12/2013,7.4,7.5,7.4,7.4,333000
12/15/2013,7.5,7.6,7.3,7.3,253000
12/17/2013,7.5,7.8,7.5,7.6,900500
12/18/2013,7.7,7.8,7.5,7.5,736000
12/19/2013,7.5,7.6,7.3,7.4,728000
12/22/2013,7.6,7.6,7.4,7.5,582000
12/23/2013,7.5,7.6,7.3,7.5,553500
12/24/2013,7.4,7.5,7.3,7.3,264000
12/26/2013,7.4,7.5,7.2,7.2,413000
12/29/2013,7.1,7.4,7.1,7.3,232500
12/30/2013,7.3,7.4,7.2,7.2,243500
1/1/2014,7.3,7.4,7.2,7.2,260500
1/2/2014,7.2,7.3,7.2,7.2,341000
1/6/2014,7.4,7.4,7.2,7.2,298500
1/7/2014,7.3,7.3,7.2,7.2,326500
1/8/2014,7.3,7.4,7.2,7.2,436000
1/9/2014,7.3,7.4,7.2,7.2,386000
1/12/2014,7.2,7.4,7.2,7.3,978000
1/13/2014,7.3,7.5,7.3,7.3,435500
1/15/2014,7.3,7.6,7.3,7.4,851000
1/16/2014,7.3,7.6,7.3,7.5,661500
1/19/2014,7.6,7.6,7.4,7.4,598000
1/20/2014,7.4,7.6,7.4,7.5,783000
1/21/2014,7.5,7.7,7.5,7.5,418500
1/22/2014,7.7,7.9,7.6,7.7,1368000
1/23/2014,7.9,8.2,7.8,8.1,2050000
1/26/2014,8.2,8.3,8.0,8.0,1124500
1/27/2014,8.1,8.1,7.8,7.8,563500
1/28/2014,7.9,8.0,7.7,7.7,720500
1/29/2014,7.8,7.9,7.7,7.8,661000
1/30/2014,8.0,8.0,7.6,7.7,1650000
2/2/2014,7.9,7.9,7.7,7.7,969500
2/3/2014,7.7,7.9,7.7,7.7,1328000
2/4/2014,7.8,8.1,7.8,7.9,787500
2/5/2014,7.9,7.9,7.7,7.7,496500
2/6/2014,7.8,7.9,7.7,7.7,220000
2/9/2014,7.8,7.9,7.7,7.7,831000
2/10/2014,7.7,7.8,7.6,7.7,553500
2/11/2014,7.8,7.8,7.6,7.6,402500
2/12/2014,7.7,7.8,7.6,7.6,534000
2/13/2014,7.6,7.7,7.5,7.5,910000
2/16/2014,7.6,7.7,7.5,7.5,157000
2/17/2014,7.6,7.7,7.6,7.6,581500
2/18/2014,7.7,7.7,7.6,7.6,209500
2/19/2014,7.7,7.9,7.7,7.8,705000
2/20/2014,7.8,8.0,7.8,7.8,625000
2/23/2014,7.8,8.0,7.8,7.8,1240000
2/24/2014,7.9,8.0,7.8,7.8,675500
2/25/2014,7.8,8.0,7.8,7.8,1384000
2/26/2014,7.9,8.0,7.8,7.8,1121500
2/27/2014,7.8,7.8,7.6,7.7,449000
3/2/2014,7.7,7.8,7.6,7.7,441500
3/3/2014,7.7,8.1,7.7,7.9,985000
3/4/2014,7.8,7.9,7.7,7.7,811500
3/5/2014,7.7,7.9,7.7,7.8,133000
3/6/2014,7.9,8.4,7.8,7.8,3178000
3/9/2014,7.8,7.9,7.7,7.7,450500
3/10/2014,7.8,7.8,7.7,7.7,266500
3/11/2014,7.7,7.8,7.6,7.7,734500
3/12/2014,7.7,7.7,7.6,7.6,431000
3/13/2014,7.7,7.8,7.6,7.6,444000
3/16/2014,7.6,7.7,7.6,7.6,183000
3/18/2014,7.6,7.7,7.5,7.5,563000
3/19/2014,7.5,7.6,7.5,7.5,135500
3/20/2014,7.5,7.5,7.4,7.4,266000
3/23/2014,7.5,7.7,7.4,7.5,198000
3/24/2014,7.6,7.6,7.4,7.4,209000
3/25/2014,7.5,7.5,7.4,7.5,89500
3/27/2014,7.4,7.5,7.4,7.5,239500
3/30/2014,7.4,7.6,7.4,7.5,267500
3/31/2014,7.5,7.6,7.5,7.5,120000
4/1/2014,7.5,7.7,7.4,7.6,174000
4/2/2014,7.6,7.7,7.5,7.6,350500
