Date,Open,High,Low,Close,Volume
10/1/2012,36.1,38.2,36.0,37.1,143800
10/2/2012,40.0,40.0,38.2,38.5,238400
10/3/2012,40.9,40.9,36.5,37.2,220000
10/4/2012,37.2,38.4,37.0,37.1,119800
10/7/2012,37.5,38.8,35.4,35.7,121400
10/8/2012,36.7,36.8,34.2,34.7,240400
10/9/2012,35.5,36.5,35.3,35.5,184200
10/10/2012,35.5,35.5,34.5,34.6,109200
10/11/2012,34.4,35.0,33.6,34.0,140400
10/14/2012,34.2,34.9,33.1,33.3,84800
10/15/2012,33.6,34.5,33.6,34.3,67600
10/16/2012,34.1,35.7,34.0,34.5,146200
10/17/2012,34.5,34.9,34.0,34.1,43800
10/18/2012,34.0,34.8,34.0,34.4,51000
10/21/2012,35.0,35.0,33.6,34.0,70400
10/22/2012,34.0,34.9,34.0,34.3,40000
10/23/2012,34.9,35.4,34.6,34.9,49200
10/30/2012,34.3,35.9,34.3,35.3,103400
10/31/2012,35.2,35.3,34.1,34.3,50800
11/1/2012,34.5,34.7,33.9,34.1,79800
11/4/2012,34.6,34.6,33.1,33.5,57000
11/5/2012,33.5,34.0,32.5,33.0,90600
11/6/2012,33.5,33.8,33.0,33.1,44200
11/7/2012,32.9,33.9,32.9,33.1,73000
11/8/2012,32.4,33.1,32.4,32.6,56600
11/11/2012,32.1,32.4,31.2,31.5,45200
11/12/2012,31.5,32.8,31.1,31.4,29800
11/13/2012,31.5,33.0,31.5,32.6,61000
11/14/2012,32.9,33.1,32.0,32.3,29000
11/15/2012,32.2,33.3,32.1,33.0,81000
11/18/2012,32.9,33.5,32.5,32.8,55600
11/19/2012,32.2,33.0,31.9,31.9,80400
11/20/2012,31.4,32.0,31.4,31.4,28200
11/21/2012,31.8,31.8,31.1,31.3,23600
11/22/2012,31.8,31.8,31.2,31.3,21400
11/26/2012,31.3,31.6,30.0,30.4,68000
11/27/2012,30.0,31.3,30.0,30.5,60400
11/28/2012,31.6,32.0,30.7,30.9,82800
11/29/2012,31.5,33.4,31.5,33.0,128400
12/2/2012,34.9,34.9,32.2,32.6,78600
12/3/2012,32.9,32.9,31.3,31.5,31800
12/4/2012,31.9,32.4,31.2,31.5,35800
12/5/2012,31.8,31.9,31.3,31.7,102400
12/6/2012,31.0,31.6,30.5,30.8,117400
12/9/2012,30.2,30.7,29.8,30.2,36600
12/10/2012,30.9,30.9,29.5,29.8,74200
12/11/2012,29.8,30.7,29.5,29.9,49600
12/12/2012,30.7,31.5,30.0,30.2,66800
12/13/2012,30.0,32.0,30.0,31.6,179600
12/17/2012,32.5,33.2,32.5,32.9,145400
12/18/2012,33.0,33.0,31.7,31.8,66600
12/19/2012,32.1,32.8,32.0,32.1,117400
12/20/2012,32.8,32.8,31.6,31.8,73200
12/23/2012,32.2,32.2,31.0,31.2,60400
12/24/2012,30.7,32.3,30.7,31.5,113400
12/26/2012,32.7,32.8,31.6,31.9,73000
12/27/2012,32.0,32.2,31.3,31.4,72200
12/30/2012,31.8,31.8,31.0,31.2,109800
1/1/2013,31.7,31.8,31.5,31.6,42800
1/2/2013,31.6,31.6,31.1,31.2,31600
1/3/2013,31.1,31.5,31.0,31.2,39600
1/6/2013,31.4,31.9,31.0,31.0,31200
1/7/2013,31.0,31.4,30.7,30.9,31000
1/8/2013,31.3,31.5,31.0,31.0,77200
1/9/2013,31.0,31.3,30.9,31.0,24200
1/10/2013,31.1,32.0,30.9,31.4,70200
1/13/2013,31.2,31.9,31.1,31.4,33600
1/14/2013,31.6,31.6,31.2,31.3,15000
1/15/2013,31.1,31.3,31.0,31.0,22800
1/16/2013,31.0,31.2,31.0,31.0,29600
1/17/2013,31.9,31.9,30.1,30.9,75000
1/20/2013,30.9,31.0,30.8,30.9,32400
1/21/2013,30.6,31.2,30.6,30.9,55400
1/22/2013,32.0,32.0,30.9,31.5,135000
1/23/2013,31.9,32.2,31.3,32.0,153600
1/24/2013,31.9,32.2,31.6,31.7,162600
1/27/2013,32.0,32.6,31.8,31.8,88200
1/28/2013,31.8,32.7,31.7,32.6,84400
1/29/2013,32.9,34.2,32.8,33.5,201200
1/30/2013,33.6,34.5,33.6,33.7,125600
1/31/2013,33.6,34.1,33.6,34.0,99000
2/3/2013,34.0,35.6,33.8,35.4,267600
2/4/2013,35.8,37.0,35.3,35.9,221000
2/5/2013,35.2,36.5,34.9,36.1,133600
2/6/2013,36.1,38.4,36.1,37.5,385800
2/7/2013,37.9,38.6,37.3,37.5,412800
2/10/2013,37.9,38.9,37.5,38.0,356200
2/11/2013,39.0,39.0,36.8,37.3,381400
2/12/2013,37.6,38.5,36.7,36.9,328800
2/13/2013,37.0,38.3,36.7,37.9,387400
2/14/2013,38.1,39.9,37.8,39.6,618800
2/17/2013,40.1,41.2,39.8,39.8,644000
2/18/2013,40.9,40.9,39.5,39.9,390400
2/19/2013,40.1,40.3,38.1,38.5,294800
2/20/2013,39.0,39.1,35.6,37.3,359000
2/24/2013,37.0,37.9,36.0,36.4,109800
2/25/2013,37.2,38.0,36.6,36.8,110200
2/26/2013,37.6,38.5,36.6,37.9,238800
2/27/2013,38.0,40.1,37.8,38.1,818400
2/28/2013,38.0,38.5,36.6,37.4,181800
3/3/2013,36.0,36.3,33.2,33.9,164200
