Date,Open,High,Low,Close,Volume
10/1/2012,54.5,54.5,51.6,52.9,8100
10/2/2012,51.3,55.0,51.3,53.9,23900
10/3/2012,54.0,55.1,53.2,54.5,16900
10/4/2012,53.4,54.8,53.4,53.8,3500
10/7/2012,52.0,53.6,51.5,51.9,15000
10/8/2012,52.0,52.0,50.0,50.6,4600
10/9/2012,52.1,53.6,52.0,53.1,2600
10/10/2012,50.5,52.9,49.1,49.9,7500
10/11/2012,51.1,51.1,50.0,50.1,1400
10/14/2012,50.2,50.2,49.2,50.0,5000
10/15/2012,49.0,54.0,49.0,52.8,4200
10/16/2012,51.1,53.0,51.1,51.8,4300
10/17/2012,50.2,50.3,50.2,50.2,1100
10/18/2012,50.0,53.5,50.0,52.5,3500
10/22/2012,50.5,50.5,50.4,50.4,2200
10/23/2012,52.9,52.9,51.1,51.2,5100
10/30/2012,51.2,51.2,49.9,51.0,1100
10/31/2012,49.6,49.6,47.8,48.5,4200
11/1/2012,48.8,49.0,48.8,48.8,3600
11/4/2012,48.5,50.0,47.9,48.3,4000
11/5/2012,49.0,50.0,48.0,49.4,8200
11/6/2012,48.2,48.9,48.2,48.7,700
11/7/2012,47.3,47.8,47.1,47.3,4100
11/8/2012,47.1,49.1,47.1,47.3,2100
11/11/2012,46.8,46.8,46.8,46.8,400
11/12/2012,47.0,48.0,46.8,47.7,6600
11/13/2012,47.4,48.0,46.7,47.3,2400
11/14/2012,46.7,47.0,46.7,46.8,300
11/15/2012,47.0,48.0,47.0,48.0,5800
11/18/2012,48.1,49.0,48.1,48.4,500
11/19/2012,48.5,48.5,46.1,47.2,1300
11/20/2012,46.5,46.5,46.2,46.2,1200
11/21/2012,46.2,46.2,46.0,46.0,1400
11/22/2012,48.0,48.0,47.0,47.6,500
11/26/2012,45.0,46.5,44.0,44.7,1000
11/27/2012,43.1,45.0,43.1,43.9,900
11/28/2012,41.0,45.9,41.0,44.1,400
11/29/2012,46.0,47.0,46.0,46.4,3200
12/2/2012,46.9,47.0,46.5,46.8,1700
12/3/2012,44.1,44.5,43.9,44.4,1400
12/4/2012,44.6,44.6,44.6,44.6,100
12/5/2012,45.2,45.9,45.1,45.5,400
12/6/2012,45.0,45.0,45.0,45.0,100
