Date,Open,High,Low,Close,Volume
4/5/2015,98.0,139.9,98.0,134.6,6983330
4/6/2015,140.0,151.8,125.6,128.1,2043970
4/7/2015,123.0,150.0,117.0,148.2,4446350
4/8/2015,152.0,159.0,148.0,153.6,2533610
4/9/2015,150.0,158.0,143.5,145.3,3046210
4/12/2015,144.0,159.8,144.0,159.8,2442840
4/13/2015,165.0,175.7,165.0,175.7,2785790
4/15/2015,182.0,193.2,178.0,190.9,2977330
4/16/2015,188.0,208.4,186.1,207.8,2650090
4/19/2015,213.8,225.0,190.2,199.3,2839380
4/20/2015,197.2,214.8,195.3,211.7,2954620
4/21/2015,224.9,228.7,216.0,225.8,2346340
4/22/2015,232.8,233.9,206.9,210.7,2818270
4/23/2015,215.0,221.0,196.0,198.2,2265760
4/26/2015,202.0,204.0,181.5,185.5,2335700
4/27/2015,186.5,195.0,170.0,173.4,1933270
4/29/2015,176.0,190.7,176.0,190.3,1648710
4/30/2015,197.0,205.0,178.7,182.3,2791580
5/4/2015,180.1,194.9,171.1,189.1,1916050
5/5/2015,190.0,194.5,183.0,185.0,1794430
5/6/2015,185.0,193.4,182.0,186.4,1533480
5/7/2015,189.0,203.9,188.0,198.7,2515100
5/10/2015,205.0,214.9,204.0,211.8,2436170
5/11/2015,209.9,215.0,201.0,203.5,2223950
5/12/2015,202.0,210.9,200.2,203.0,1851550
5/13/2015,204.0,209.9,198.0,203.1,1920960
5/14/2015,206.9,219.9,204.5,218.5,2573020
5/17/2015,222.0,226.5,215.5,219.4,2441570
5/18/2015,220.0,221.0,212.0,212.7,1364830
5/19/2015,213.4,224.9,213.4,220.6,1749970
5/21/2015,205.7,213.9,194.2,197.4,2626770
5/24/2015,195.1,198.8,185.0,188.8,829755
5/25/2015,194.8,195.0,184.9,185.8,1487950
5/26/2015,189.8,202.0,187.6,194.7,1495760
5/27/2015,199.0,201.8,190.3,191.7,1358550
5/28/2015,194.0,196.1,185.2,186.1,1379660
5/31/2015,189.8,192.7,182.1,183.4,1562560
6/1/2015,187.7,193.0,180.7,182.3,1168130
6/2/2015,186.0,186.0,173.0,174.2,791030
6/4/2015,175.2,178.8,170.0,173.9,683543
6/7/2015,179.9,183.0,163.8,168.4,864373
6/8/2015,170.8,170.8,153.7,155.5,1038400
6/9/2015,157.0,169.8,152.5,165.9,890727
6/10/2015,170.0,174.8,165.0,166.3,890640
6/11/2015,168.0,168.0,157.0,158.2,560694
6/14/2015,159.6,159.6,154.1,156.4,426224
6/15/2015,158.5,164.2,156.4,162.1,566798
6/16/2015,164.3,165.0,158.6,159.4,383238
6/17/2015,160.0,162.5,157.8,158.5,503946
6/18/2015,160.0,160.4,156.0,156.8,426982
6/21/2015,158.5,160.5,156.5,158.3,340892
6/22/2015,159.0,161.9,157.2,157.8,288380
6/23/2015,159.9,160.0,153.1,154.4,365689
6/24/2015,158.0,161.0,156.2,157.1,660121
6/25/2015,158.0,158.0,151.5,152.2,316503
6/28/2015,153.8,154.9,149.8,150.7,374157
6/29/2015,152.7,155.5,150.7,154.2,309389
6/30/2015,155.1,167.5,155.1,165.6,1037200
7/2/2015,166.0,167.9,160.5,165.8,1023970
7/5/2015,165.7,171.0,163.5,164.5,1050540
7/6/2015,164.5,164.9,156.0,158.0,668549
7/7/2015,158.5,161.8,157.0,159.0,548384
7/8/2015,160.0,162.0,156.6,157.3,385766
7/9/2015,158.0,158.8,155.0,155.8,434698
7/12/2015,156.5,157.8,151.9,153.1,604253
7/13/2015,155.4,159.1,154.0,156.6,440633
7/14/2015,157.0,164.0,157.0,161.9,976050
7/21/2015,163.9,169.9,163.7,167.9,734839
7/22/2015,169.4,172.0,160.7,163.1,1012460
7/23/2015,162.4,164.9,158.7,160.0,784602
7/26/2015,162.9,164.0,157.0,157.4,615072
7/27/2015,159.9,164.0,155.7,162.1,906380
7/28/2015,163.0,168.0,163.0,167.1,1371590
7/29/2015,167.0,169.0,163.1,165.7,690143
7/30/2015,165.7,166.8,163.5,165.0,809936
8/2/2015,166.9,166.9,160.0,160.3,868420
8/3/2015,160.3,163.0,157.0,158.1,941089
8/4/2015,158.5,165.1,156.5,163.8,1075240
8/5/2015,163.7,174.0,156.9,172.2,6417700
8/6/2015,172.5,179.5,170.0,172.1,2128980
