Date,Open,High,Low,Close,Volume
10/1/2012,41.0,43.0,39.5,42.5,372375
10/2/2012,43.8,44.9,42.7,43.7,445400
10/3/2012,44.9,44.9,42.6,42.8,457375
10/4/2012,42.9,43.2,42.0,42.2,224475
10/7/2012,42.5,42.9,39.8,40.1,291075
10/8/2012,41.4,41.4,38.9,39.6,255300
10/9/2012,41.2,42.0,40.6,40.8,147900
10/10/2012,41.5,41.6,39.7,39.8,196775
10/11/2012,40.8,40.8,39.0,39.7,170725
10/14/2012,39.4,40.1,39.0,39.0,151625
10/15/2012,39.2,39.9,38.6,39.1,183650
10/16/2012,39.6,40.0,38.9,39.1,138075
10/17/2012,39.5,39.9,38.5,38.7,189225
10/18/2012,38.6,39.4,38.6,38.9,105325
10/21/2012,39.5,40.2,38.7,39.7,182250
10/22/2012,40.0,40.7,39.7,40.4,212150
10/23/2012,40.5,41.0,40.4,40.7,207750
10/30/2012,40.0,40.7,39.8,40.0,93175
10/31/2012,39.5,40.1,38.2,38.5,199325
11/1/2012,38.5,39.2,37.8,38.9,212925
11/4/2012,38.9,39.4,38.3,38.4,106525
11/5/2012,38.3,38.8,37.9,38.0,188675
11/6/2012,38.1,38.4,37.8,37.9,89025
11/7/2012,38.7,38.7,37.5,37.8,115100
11/8/2012,38.1,38.1,37.2,37.3,109425
11/11/2012,37.5,37.5,36.0,36.1,252850
11/12/2012,36.5,36.5,35.8,35.9,138050
11/13/2012,35.9,36.5,35.5,36.3,95475
11/14/2012,35.9,36.9,35.9,36.4,87575
11/15/2012,37.0,37.0,36.1,36.2,101625
11/18/2012,36.2,36.5,35.8,36.0,109850
11/19/2012,37.0,37.0,34.8,34.9,140250
11/20/2012,35.2,35.6,34.8,34.9,187350
11/21/2012,35.9,35.9,34.3,34.4,225850
11/22/2012,34.5,35.0,33.9,34.5,305000
11/26/2012,34.8,34.8,33.3,33.3,130775
11/27/2012,34.0,34.0,33.0,33.0,173325
11/28/2012,33.3,33.9,32.6,32.8,128350
11/29/2012,33.8,35.6,33.1,35.0,330200
12/2/2012,35.5,36.3,34.8,34.9,177450
12/3/2012,34.3,34.8,33.9,34.0,108325
12/4/2012,33.6,34.4,33.4,34.0,77450
12/5/2012,34.0,34.5,33.4,33.9,201550
12/6/2012,33.8,33.9,33.2,33.5,91150
12/9/2012,33.8,33.8,32.8,32.8,115650
12/10/2012,32.7,34.5,32.5,34.1,449900
12/11/2012,33.5,35.5,33.4,35.3,473325
12/12/2012,35.4,36.6,35.3,35.9,499875
12/13/2012,36.0,37.8,35.3,37.2,527700
12/17/2012,37.2,39.3,37.2,38.7,476425
12/18/2012,38.9,38.9,37.9,38.4,411400
12/19/2012,38.1,40.0,38.1,39.7,524750
12/20/2012,39.6,39.7,38.7,38.9,263375
12/23/2012,38.1,39.0,37.6,37.8,355925
12/24/2012,37.8,38.0,37.4,37.5,240475
12/26/2012,37.7,38.7,37.5,38.5,224800
12/27/2012,38.2,39.0,38.1,38.3,271925
12/30/2012,38.9,38.9,38.1,38.1,226275
1/1/2013,39.0,39.2,37.8,37.8,134700
1/2/2013,37.8,38.0,37.1,37.4,95275
1/3/2013,37.9,37.9,37.2,37.3,92800
1/6/2013,37.8,37.8,37.3,37.3,51725
1/7/2013,37.3,37.3,36.4,36.4,123375
1/8/2013,36.4,36.9,36.1,36.2,88075
1/9/2013,36.5,36.9,36.1,36.4,95675
1/10/2013,36.5,37.0,36.4,36.9,98150
1/13/2013,36.8,37.0,36.5,36.5,69250
1/14/2013,36.8,36.8,36.1,36.1,111400
1/15/2013,36.1,36.5,36.0,36.1,57875
1/16/2013,36.0,36.5,36.0,36.3,76175
1/17/2013,36.0,36.8,36.0,36.6,49650
1/20/2013,36.6,36.6,36.1,36.1,116900
1/21/2013,36.0,36.3,35.8,36.0,72400
1/22/2013,36.0,36.2,35.8,36.0,119150
1/23/2013,36.2,36.5,36.1,36.2,55050
1/24/2013,36.3,36.7,36.1,36.5,152825
1/27/2013,36.6,37.0,36.5,36.6,100300
1/28/2013,37.5,37.5,36.7,36.9,168725
1/29/2013,37.0,38.0,37.0,37.5,171725
1/30/2013,38.0,38.1,36.8,37.0,255300
1/31/2013,37.0,37.2,36.6,37.0,225200
2/3/2013,37.0,37.7,36.9,37.1,222825
2/4/2013,37.3,37.7,36.6,36.8,225300
2/5/2013,37.0,37.2,36.7,37.0,192200
2/6/2013,37.5,37.5,36.9,37.0,254375
2/7/2013,37.0,37.3,36.8,36.8,271750
2/10/2013,36.8,37.3,36.7,37.0,325200
2/11/2013,37.2,38.1,37.2,37.6,434725
2/12/2013,38.2,38.2,37.0,37.2,193000
2/13/2013,37.0,37.5,36.9,37.1,290875
2/14/2013,37.2,37.8,37.0,37.5,264975
2/17/2013,37.8,38.7,37.5,37.8,642475
2/18/2013,37.6,37.9,37.0,37.2,440200
2/19/2013,37.5,37.5,36.5,36.6,435375
2/20/2013,36.5,36.8,36.0,36.1,351700
2/24/2013,35.7,35.9,35.0,35.2,363800
2/25/2013,35.7,35.7,34.8,34.9,326450
2/26/2013,35.6,36.2,35.1,36.0,694100
2/27/2013,36.3,36.3,34.7,34.7,529150
2/28/2013,35.6,35.6,34.5,34.8,290275
3/3/2013,34.7,34.7,32.1,32.3,802900
3/4/2013,32.9,34.5,32.8,33.8,516775
3/5/2013,34.6,35.0,33.8,34.1,414550
3/6/2013,34.0,34.2,33.7,33.9,525225
3/7/2013,33.0,34.0,33.0,33.7,465875
3/10/2013,34.5,34.5,33.3,33.6,485100
3/11/2013,34.0,34.0,33.0,33.6,458575
3/12/2013,33.2,34.0,33.2,33.8,464950
3/13/2013,33.8,35.0,33.8,34.7,550150
3/14/2013,34.9,36.7,34.5,35.9,644225
3/18/2013,36.0,36.0,35.2,35.7,445625
