Date,Open,High,Low,Close,Volume
1/17/2016,11.0,18.0,9.7,13.0,296350
1/18/2016,13.0,13.0,11.2,12.2,40000
1/19/2016,11.4,11.4,11.0,11.0,42980
1/20/2016,10.0,10.3,9.9,10.1,195769
1/21/2016,10.0,10.3,10.0,10.3,45980
1/24/2016,10.1,10.3,9.3,9.9,85146
1/25/2016,9.6,10.3,9.6,10.1,31901
1/26/2016,9.7,10.1,9.7,10.0,23300
1/27/2016,10.2,10.2,9.9,10.1,4050
1/28/2016,10.0,10.0,9.5,9.9,9800
1/31/2016,10.0,10.1,9.9,10.0,26158
2/1/2016,10.1,10.1,9.7,10.0,3750
2/2/2016,9.6,10.0,9.6,10.0,9173
2/3/2016,10.0,10.0,9.8,9.9,15285
2/4/2016,9.9,9.9,9.8,9.8,4500
2/7/2016,10.0,10.0,9.8,10.0,1100
2/8/2016,9.8,9.9,9.8,9.8,5700
2/9/2016,9.9,9.9,9.8,9.8,3000
2/10/2016,10.0,10.3,9.8,10.1,6300
2/14/2016,9.8,9.8,9.8,9.8,2000
2/15/2016,9.6,9.6,9.4,9.6,4650
2/16/2016,9.5,9.5,9.5,9.5,1350
2/17/2016,9.8,10.0,9.8,9.9,10404
2/18/2016,9.7,9.7,9.6,9.6,1890
2/22/2016,9.5,10.1,9.5,9.9,5300
2/23/2016,9.7,10.0,9.7,9.9,1850
2/25/2016,10.0,10.0,10.0,10.0,100
2/28/2016,9.6,9.6,9.6,9.6,2000
2/29/2016,9.7,9.7,9.7,9.7,250
3/1/2016,9.7,10.0,9.7,9.7,4100
3/9/2016,10.0,10.0,10.0,10.0,100
3/13/2016,9.7,9.7,9.7,9.7,900
3/15/2016,9.7,9.7,9.7,9.7,1650
3/20/2016,9.7,9.7,9.7,9.7,500
3/21/2016,9.6,9.6,9.6,9.6,1500
3/22/2016,9.5,9.5,9.5,9.5,1600
3/27/2016,9.5,9.5,9.5,9.5,325
3/28/2016,9.6,9.6,9.5,9.6,5900
4/3/2016,9.6,9.6,9.3,9.3,5500
4/4/2016,9.5,9.5,9.2,9.2,4583
4/5/2016,9.2,9.2,9.2,9.2,5000
4/6/2016,9.2,9.2,9.0,9.1,4917
4/7/2016,9.2,9.2,9.2,9.2,5000
4/10/2016,9.1,9.5,8.6,9.2,76173
4/11/2016,9.4,9.4,9.4,9.4,100
4/18/2016,9.2,9.4,9.2,9.3,1000
4/19/2016,9.6,9.6,9.0,9.1,1100
4/21/2016,9.1,9.1,9.0,9.1,2020
5/9/2016,8.6,8.6,8.5,8.5,500
5/10/2016,8.9,8.9,8.9,8.9,100
5/11/2016,9.0,9.0,9.0,9.0,202
5/16/2016,9.3,9.3,9.3,9.3,100
5/18/2016,8.6,8.6,8.5,8.5,2400
5/22/2016,9.2,9.2,9.2,9.2,5000
5/26/2016,8.9,8.9,8.9,8.9,500
