Date,Open,High,Low,Close,Volume
12/5/2016,11.0,11.1,9.2,9.5,350915
12/6/2016,9.3,9.4,9.1,9.2,113100
12/7/2016,9.1,9.2,8.8,8.9,246182
12/8/2016,8.9,9.0,8.7,8.9,72284
12/11/2016,8.8,9.0,8.8,8.8,76670
12/12/2016,8.7,8.9,8.6,8.7,44700
12/14/2016,8.7,8.7,8.6,8.7,52830
12/15/2016,8.6,8.8,8.6,8.6,43760
12/18/2016,8.7,8.7,8.4,8.5,73180
12/19/2016,8.4,8.5,8.3,8.4,37600
12/20/2016,8.4,8.5,8.3,8.5,47573
12/21/2016,8.5,8.5,8.4,8.5,14050
12/22/2016,8.5,8.7,8.5,8.6,18851
12/26/2016,8.7,8.8,8.5,8.5,37634
12/27/2016,8.6,9.1,8.6,9.0,82361
12/28/2016,9.1,9.3,8.7,8.8,46455
12/29/2016,8.8,9.0,8.8,8.9,33159
1/1/2017,9.0,9.1,8.9,8.9,41894
1/2/2017,8.9,8.9,8.8,8.8,33572
1/3/2017,8.8,8.8,8.7,8.7,48490
1/4/2017,8.7,8.8,8.6,8.6,59810
1/5/2017,8.7,8.8,8.5,8.7,37635
1/8/2017,8.8,8.8,8.6,8.7,28550
1/9/2017,8.7,8.9,8.6,8.9,44465
1/10/2017,8.9,8.9,8.7,8.9,41790
1/11/2017,9.0,9.1,8.8,9.1,128954
1/12/2017,9.1,9.9,9.1,9.8,335306
1/15/2017,9.8,10.1,9.7,9.9,182423
1/16/2017,10.1,10.1,9.6,9.7,79373
1/17/2017,9.8,9.9,9.6,9.7,265177
1/18/2017,9.8,9.8,9.6,9.7,73521
1/19/2017,9.7,9.7,9.4,9.5,43753
1/22/2017,9.7,9.9,9.7,9.8,117173
1/23/2017,9.8,9.8,9.8,9.8,22690
1/24/2017,9.7,10.1,9.7,9.8,80538
1/25/2017,9.8,9.8,9.1,9.5,22845
1/26/2017,9.5,9.5,9.4,9.4,1700
1/29/2017,9.4,9.4,9.2,9.3,1810
1/30/2017,9.1,9.2,9.0,9.1,14901
1/31/2017,9.4,9.4,8.9,9.1,5900
2/1/2017,9.1,9.4,8.9,8.9,34144
2/2/2017,9.0,9.0,8.8,9.0,8600
2/5/2017,8.8,8.8,8.7,8.7,26460
2/6/2017,8.8,8.8,8.4,8.5,42905
2/7/2017,8.5,8.5,8.4,8.5,26385
2/8/2017,8.6,9.0,8.6,8.9,23711
2/9/2017,9.0,9.0,8.8,8.9,7400
2/12/2017,8.9,9.0,8.8,8.8,25091
2/13/2017,8.9,8.9,8.6,8.7,14310
2/14/2017,8.9,8.9,8.7,8.9,38100
2/15/2017,8.9,9.0,8.9,9.0,37353
2/16/2017,9.0,9.0,8.9,9.0,1500
2/19/2017,9.0,9.0,8.8,8.9,42101
2/20/2017,8.8,8.8,8.8,8.8,8499
2/22/2017,8.8,8.9,8.6,8.8,23000
2/23/2017,8.7,8.7,8.7,8.7,2500
2/26/2017,8.7,8.7,8.7,8.7,3000
2/27/2017,8.9,8.9,8.7,8.7,7294
