Date,Open,High,Low,Close,Volume
9/23/2020,378.0,378.0,378.0,378.0,348
9/24/2020,567.0,567.0,567.0,567.0,2442
9/27/2020,609.5,609.5,609.5,609.5,13299
9/28/2020,655.2,655.2,655.2,655.2,12257
9/29/2020,704.3,704.3,704.3,704.3,6868
9/30/2020,757.1,757.1,757.1,757.1,2912
10/1/2020,813.8,813.8,813.8,813.8,8723
10/4/2020,874.8,874.8,874.8,874.8,105534
10/5/2020,940.4,940.4,880.0,940.4,542672
10/6/2020,999.0,1009.0,960.0,1002.7,189538
10/7/2020,1005.0,1009.0,940.1,940.1,196920
10/8/2020,926.0,926.0,869.6,869.6,210663
10/11/2020,825.0,908.0,805.0,885.9,236163
10/12/2020,890.1,890.1,819.5,819.5,154742
10/13/2020,795.0,810.0,761.2,767.4,217346
10/14/2020,790.0,824.9,775.0,820.3,206047
10/15/2020,828.8,849.8,820.0,834.0,114909
10/18/2020,840.0,868.5,825.0,830.3,127492
10/19/2020,832.0,837.8,786.0,799.3,139792
10/20/2020,801.0,834.0,781.1,786.2,142101
10/21/2020,795.0,810.0,780.0,788.9,109531
10/22/2020,775.1,790.1,751.0,755.8,131412
10/25/2020,750.0,770.0,680.0,688.6,215894
10/27/2020,695.0,708.0,655.0,663.1,140217
10/28/2020,660.0,670.0,620.0,637.7,160952
10/29/2020,641.0,685.5,631.0,685.5,120075
11/1/2020,700.0,735.0,690.0,714.5,129516
11/2/2020,718.0,738.0,700.1,704.7,109884
11/3/2020,704.0,710.0,673.1,678.6,101035
11/4/2020,683.7,701.8,670.6,694.5,63039
11/5/2020,706.0,738.0,702.0,722.9,178650
11/8/2020,729.0,777.1,725.1,777.1,295009
11/9/2020,788.0,815.5,770.0,774.9,193732
11/10/2020,777.0,800.0,750.0,792.7,141391
11/11/2020,792.8,806.8,773.0,778.8,91112
11/12/2020,837.2,837.2,799.0,836.8,351386
11/15/2020,848.0,854.9,795.0,803.1,156595
11/16/2020,803.1,818.0,783.4,791.3,118874
11/17/2020,792.0,800.0,760.1,766.3,75543
11/18/2020,766.3,774.9,748.0,761.8,76374
11/22/2020,761.8,769.9,726.2,730.6,81157
11/23/2020,730.0,730.0,693.2,700.9,78637
11/24/2020,713.0,732.0,705.0,727.8,61990
11/25/2020,732.0,744.9,715.1,720.0,50402
11/26/2020,728.8,728.8,706.3,713.4,66145
11/29/2020,717.7,724.1,705.8,708.7,46638
11/30/2020,716.8,716.8,695.1,699.8,54314
12/1/2020,709.0,745.9,699.9,743.3,106389
12/2/2020,747.7,794.9,736.4,789.5,151383
12/3/2020,800.0,807.0,777.0,796.6,100062
12/6/2020,800.0,829.9,793.1,818.9,122273
12/7/2020,821.0,838.0,797.0,813.5,115393
12/8/2020,822.0,822.9,795.2,801.7,56850
12/9/2020,801.7,828.3,795.0,822.8,109884
12/10/2020,831.0,884.5,825.3,884.5,177580
12/13/2020,920.0,950.8,916.5,946.6,171791
12/14/2020,940.0,949.0,916.0,919.5,172233
12/15/2020,916.1,988.4,916.1,977.1,242627
12/17/2020,990.0,1039.0,960.4,1026.7,183394
12/20/2020,1039.0,1090.8,1006.0,1074.5,247204
12/21/2020,1080.0,1095.0,1027.0,1032.4,178479
12/22/2020,1039.6,1066.0,1005.0,1021.4,183138
12/23/2020,1030.0,1039.9,957.7,961.2,229611
