Date,Open,High,Low,Close,Volume
5/15/2014,54.4,54.4,54.4,54.4,200
5/25/2014,54.4,54.4,54.4,54.4,0
5/29/2014,59.8,59.8,59.8,59.8,5200
6/2/2014,400.0,515.0,350.0,487.1,302600
6/3/2014,524.6,524.6,449.6,449.6,51800
6/4/2014,412.2,412.2,412.2,412.2,5800
6/5/2014,376.2,419.9,376.2,376.5,243800
6/8/2014,381.0,409.4,381.0,405.1,77000
6/9/2014,411.0,415.0,374.5,382.5,61800
6/10/2014,382.0,383.0,355.0,360.4,98000
6/12/2014,300.0,301.4,290.0,301.4,9800
6/15/2014,327.7,327.7,276.0,279.8,114000
6/16/2014,288.0,290.0,260.2,264.1,49400
6/17/2014,266.0,284.0,266.0,270.1,60800
6/18/2014,274.0,279.8,271.5,274.5,62200
6/19/2014,279.0,279.0,262.1,263.8,45000
6/22/2014,260.4,270.0,258.0,260.2,30400
6/23/2014,260.3,261.1,248.1,250.0,33600
6/24/2014,246.7,257.8,245.0,246.6,29800
6/25/2014,252.7,268.1,251.5,268.1,36800
6/26/2014,279.0,279.0,257.4,263.8,34400
6/29/2014,261.0,269.8,256.0,259.6,44800
6/30/2014,259.9,262.9,247.0,248.7,58800
7/2/2014,257.0,257.5,242.0,248.9,27000
7/3/2014,251.4,257.0,248.7,250.7,29200
7/6/2014,248.3,250.0,242.0,244.1,10400
7/7/2014,244.2,247.4,241.0,242.3,13600
7/8/2014,242.1,243.0,235.0,236.1,26600
7/9/2014,235.0,247.8,235.0,236.0,26400
7/10/2014,237.0,239.2,227.1,228.9,17600
7/13/2014,227.1,227.1,210.6,213.0,28200
7/14/2014,217.9,225.8,216.1,223.7,19400
7/15/2014,221.1,221.1,210.0,211.6,29800
7/16/2014,215.0,229.0,214.9,226.5,40800
7/17/2014,222.5,235.0,222.0,233.9,31400
7/20/2014,236.8,237.0,223.3,225.6,24800
7/21/2014,224.0,224.0,215.0,220.1,32000
7/22/2014,221.6,222.0,216.5,217.7,22000
7/23/2014,219.0,221.5,211.2,212.1,31800
7/24/2014,215.8,216.0,211.0,214.4,19600
8/3/2014,219.0,219.0,202.0,204.5,31000
8/4/2014,205.2,214.5,204.7,212.2,62800
8/5/2014,216.0,228.6,216.0,218.1,67400
8/6/2014,220.0,220.9,212.6,214.1,58200
8/7/2014,217.6,232.8,217.5,232.8,79200
8/10/2014,248.0,253.1,248.0,253.1,24000
8/11/2014,269.4,275.0,255.0,259.1,148200
8/12/2014,264.8,276.8,258.0,261.7,85200
8/13/2014,266.0,278.0,266.0,275.3,97600
8/14/2014,280.0,286.0,275.5,280.9,67600
8/18/2014,285.0,285.0,262.9,264.7,61400
8/19/2014,266.0,268.0,251.2,253.7,57800
8/20/2014,260.0,262.0,241.0,243.3,47800
8/21/2014,244.0,258.0,235.3,250.5,38400
8/24/2014,258.0,258.0,240.0,243.2,40000
8/25/2014,241.3,246.6,232.0,233.4,20400
8/26/2014,236.2,240.6,231.0,233.2,44400
8/27/2014,232.0,243.0,230.4,238.6,21800
8/28/2014,236.0,245.0,234.0,235.2,22400
8/31/2014,234.1,235.0,223.0,224.9,39600
9/1/2014,227.8,229.6,219.0,219.5,18400
9/2/2014,222.3,232.8,222.3,225.9,20000
9/3/2014,230.0,245.6,230.0,245.6,56200
9/4/2014,254.0,254.0,236.0,237.2,52000
9/7/2014,240.9,248.0,233.8,235.4,22000
9/8/2014,235.5,237.0,227.7,229.3,36600
9/9/2014,236.8,243.9,233.0,234.0,30600
9/10/2014,240.8,245.0,235.3,236.2,42000
9/11/2014,242.4,249.7,238.0,239.1,43000
9/14/2014,245.0,248.9,241.5,245.7,51200
9/15/2014,244.0,244.5,236.0,236.6,30600
9/16/2014,236.0,237.4,231.1,234.3,39800
9/17/2014,238.0,238.8,231.2,232.0,23000
9/18/2014,230.0,236.0,228.5,229.2,25000
9/21/2014,229.2,233.0,227.7,229.0,21400
9/22/2014,228.5,229.5,223.1,224.7,28000
9/23/2014,224.2,227.0,220.0,221.5,15800
9/24/2014,223.7,224.3,216.0,217.5,24000
9/25/2014,223.5,233.9,220.5,223.5,19200
9/28/2014,229.0,229.8,223.1,223.4,16600
9/29/2014,219.1,230.0,219.0,220.6,25600
9/30/2014,222.0,224.0,217.0,218.6,22800
10/1/2014,216.0,224.5,216.0,220.4,18400
10/2/2014,219.4,224.4,217.3,218.7,16400
10/12/2014,218.7,219.8,218.7,219.0,13600
10/13/2014,226.7,230.0,220.2,227.3,26400
10/14/2014,230.9,236.9,229.9,231.5,39200
10/15/2014,232.0,236.0,223.1,225.8,23000
10/16/2014,222.5,235.0,222.5,228.9,14000
10/19/2014,227.0,230.0,223.1,225.5,11200
10/20/2014,223.2,224.0,220.1,221.9,10000
10/21/2014,218.2,232.0,218.1,223.2,29200
10/22/2014,224.2,224.2,220.0,220.9,19800
10/23/2014,225.0,225.0,220.2,221.1,11800
10/26/2014,227.5,227.5,221.0,221.7,10000
10/27/2014,218.9,222.0,218.9,220.6,9800
10/28/2014,218.4,222.0,218.0,218.5,8200
10/29/2014,222.0,226.0,219.0,220.2,17400
10/30/2014,216.7,222.9,216.7,218.5,13600
11/2/2014,219.9,227.0,217.1,221.2,28000
11/3/2014,218.0,224.5,213.0,214.3,28400
11/5/2014,214.0,219.0,212.6,213.5,18800
11/6/2014,212.0,217.0,211.6,211.9,17200
11/9/2014,210.4,211.0,205.0,205.2,24000
11/10/2014,204.8,216.0,204.5,207.6,16800
11/11/2014,214.0,214.0,206.0,206.6,16800
11/12/2014,209.9,218.0,207.4,214.5,27200
11/13/2014,218.5,225.0,215.5,217.7,34200
11/16/2014,219.2,234.6,219.1,232.2,71600
11/17/2014,236.0,249.0,236.0,238.7,68200
11/18/2014,239.8,259.5,239.8,259.5,116600
11/19/2014,270.0,280.0,245.0,245.9,78000
11/20/2014,254.0,257.8,235.0,237.3,41600
11/23/2014,244.0,250.0,230.2,233.8,36400
11/24/2014,230.1,234.0,216.2,218.8,33000
11/25/2014,212.2,230.0,212.2,221.1,24000
11/26/2014,226.0,230.0,216.0,219.7,24400
11/27/2014,218.0,224.9,214.6,215.7,28600
11/30/2014,219.2,219.2,213.0,217.3,20400
12/1/2014,219.8,221.0,216.1,216.8,15200
12/2/2014,218.3,232.0,218.3,222.6,40000
12/3/2014,226.8,231.0,223.0,225.4,31400
12/4/2014,225.0,225.0,217.3,218.2,24000
12/7/2014,222.0,223.0,213.5,215.3,34800
12/8/2014,216.1,219.0,213.7,214.5,19400
12/9/2014,215.2,219.0,214.5,217.3,15400
12/10/2014,217.3,219.9,212.0,213.6,19600
12/11/2014,214.0,216.9,208.0,210.2,15004
12/14/2014,210.2,214.9,210.2,212.0,5868
12/15/2014,211.9,215.0,210.0,211.5,5977
12/17/2014,213.8,214.0,212.2,213.1,4805
12/18/2014,214.9,215.0,211.1,214.5,5893
12/21/2014,213.5,214.6,208.8,210.0,7292
12/22/2014,213.4,213.4,210.6,211.8,4527
12/23/2014,212.4,212.4,210.1,210.9,4961
12/24/2014,210.0,210.9,206.0,207.0,15606
12/28/2014,206.4,208.0,197.0,201.0,14268
12/29/2014,202.6,208.0,202.6,206.4,6637
12/30/2014,209.9,214.0,208.5,212.4,5521
1/1/2015,214.0,215.8,211.0,213.5,11296
1/5/2015,210.6,213.5,210.5,211.6,12251
1/6/2015,211.2,215.5,210.9,212.5,5928
1/7/2015,213.3,214.8,208.0,209.3,9708
1/8/2015,210.8,212.8,209.0,210.1,8020
1/11/2015,214.0,214.4,208.5,209.5,6810
1/12/2015,208.2,210.0,207.1,207.7,12048
1/13/2015,209.0,212.0,207.0,211.1,9213
1/14/2015,208.5,210.9,208.5,209.3,4327
1/15/2015,209.0,225.9,209.0,223.1,43199
1/18/2015,225.0,233.8,218.9,229.4,42308
1/19/2015,223.1,227.9,211.1,213.4,23701
1/20/2015,216.1,219.5,213.0,214.0,17464
1/21/2015,212.0,212.0,207.5,208.9,11666
1/22/2015,208.5,214.0,208.5,211.2,14150
1/25/2015,208.1,213.0,206.0,206.8,17721
1/26/2015,210.2,211.8,206.0,206.7,8157
1/27/2015,206.2,210.0,206.1,208.5,10204
1/28/2015,208.0,213.5,207.1,210.4,9062
1/29/2015,206.3,209.5,206.3,207.2,7939
2/1/2015,210.0,210.0,198.0,199.2,21274
2/2/2015,198.0,199.0,194.7,195.9,10103
2/3/2015,195.7,200.0,195.7,197.1,5318
2/4/2015,196.8,198.5,195.0,196.1,7025
2/5/2015,196.1,198.0,192.0,196.2,9872
2/8/2015,196.2,199.8,195.0,196.6,7405
2/9/2015,196.0,208.0,196.0,204.1,13920
2/10/2015,205.5,210.0,205.5,207.0,12057
2/11/2015,207.0,207.4,204.0,204.2,13602
2/12/2015,205.0,208.0,204.2,206.7,8762
2/15/2015,207.1,209.8,203.0,206.5,8627
2/16/2015,209.0,214.9,204.0,206.1,21427
2/17/2015,207.0,207.9,205.1,206.0,15649
2/18/2015,207.5,208.0,203.1,203.8,15835
2/19/2015,196.0,205.8,196.0,201.8,11610
2/22/2015,205.8,214.0,205.0,211.2,22477
2/23/2015,214.8,215.0,209.6,212.2,27745
2/24/2015,214.0,214.7,209.0,210.4,12974
2/25/2015,211.2,211.2,205.7,206.5,18594
2/26/2015,211.5,218.0,210.5,216.1,42860
3/1/2015,218.0,228.9,218.0,225.7,51022
3/2/2015,222.1,225.0,213.0,214.3,26975
3/3/2015,212.1,217.0,208.0,209.9,22464
3/4/2015,214.8,216.8,211.0,214.2,8468
3/5/2015,215.5,216.0,211.2,212.0,9391
3/8/2015,214.4,214.4,210.0,210.9,6461
3/9/2015,214.7,214.7,209.7,210.5,7279
3/10/2015,211.7,212.9,209.7,210.1,5762
3/11/2015,211.0,212.5,206.1,208.1,12123
3/12/2015,207.0,220.0,207.0,218.3,16026
3/15/2015,220.0,220.0,211.5,212.8,13304
3/16/2015,211.4,213.9,210.0,210.6,8693
3/18/2015,210.0,212.0,208.2,209.7,5490
3/19/2015,212.0,212.0,209.0,209.5,3477
3/22/2015,213.0,217.0,213.0,216.2,12932
3/23/2015,216.5,222.0,215.0,215.6,19398
3/24/2015,217.8,219.1,213.5,216.3,6477
3/25/2015,218.0,229.7,218.0,228.7,63751
3/29/2015,230.2,233.5,224.0,225.8,37811
3/30/2015,222.5,227.1,220.0,225.3,23175
3/31/2015,229.8,229.8,221.8,222.2,23915
4/1/2015,222.0,224.9,217.0,217.3,28429
4/2/2015,220.0,220.0,214.0,214.7,15597
4/5/2015,214.1,217.8,211.0,211.3,9785
4/6/2015,213.1,214.4,201.0,206.8,11055
4/7/2015,205.2,211.0,205.2,209.8,18473
4/8/2015,211.1,213.8,207.0,208.6,16015
