Date,Open,High,Low,Close,Volume
3/25/2015,25.0,27.0,23.2,24.3,3945210
3/29/2015,24.5,25.3,22.2,23.2,1142780
3/30/2015,23.0,23.9,22.3,23.4,1277970
3/31/2015,23.5,24.2,22.7,23.1,1053220
4/1/2015,23.2,23.4,22.1,22.3,975416
4/2/2015,22.2,22.4,21.0,21.2,886071
4/5/2015,21.2,21.3,19.2,19.4,1065840
4/6/2015,19.5,20.1,17.7,17.9,1166690
4/7/2015,17.6,18.2,16.7,17.1,845832
4/8/2015,17.5,17.6,16.5,17.2,627871
4/9/2015,17.3,17.4,16.2,16.6,655947
4/12/2015,16.3,17.8,16.0,17.5,784327
4/13/2015,17.6,18.8,17.4,18.0,1057280
4/15/2015,18.3,19.3,17.9,19.0,1008040
4/16/2015,19.3,20.9,19.0,20.4,1679430
4/19/2015,20.4,22.4,20.1,22.3,1297610
4/20/2015,22.5,22.7,20.1,20.4,1211870
4/21/2015,20.1,20.8,19.3,20.0,877531
4/22/2015,20.3,20.6,19.2,19.5,803765
4/23/2015,19.6,20.3,19.2,19.9,611374
4/26/2015,20.0,20.6,19.0,19.1,303251
4/27/2015,19.2,19.4,17.7,17.9,316444
4/29/2015,17.6,18.5,17.3,17.8,204693
4/30/2015,17.5,18.0,16.4,17.8,403127
5/4/2015,18.1,18.1,16.5,16.7,260160
5/5/2015,17.5,18.3,17.1,18.2,175701
5/6/2015,18.4,19.5,18.2,19.2,295256
5/7/2015,19.3,20.1,18.9,19.6,567835
5/10/2015,19.6,20.6,19.6,20.5,716898
5/11/2015,21.3,21.7,20.1,21.2,776589
5/12/2015,21.3,21.5,20.8,21.1,854088
5/13/2015,20.9,23.1,20.9,22.3,951471
5/14/2015,22.6,23.2,21.6,21.8,1141510
5/17/2015,21.1,21.6,20.3,20.9,869637
5/18/2015,21.5,22.0,20.1,20.2,1094980
5/19/2015,20.5,20.9,20.2,20.6,465466
5/20/2015,20.6,22.4,20.6,22.0,1714860
5/24/2015,20.7,20.7,19.7,19.9,1180370
5/25/2015,20.2,20.9,20.1,20.6,1159500
5/26/2015,20.5,20.7,20.0,20.1,760405
5/27/2015,20.2,20.5,19.8,20.1,731473
5/28/2015,20.1,20.2,19.3,19.4,523938
5/31/2015,20.5,20.5,19.3,19.5,640459
6/1/2015,19.9,20.0,19.0,19.1,432190
6/2/2015,20.3,20.9,19.0,19.1,510435
6/4/2015,19.0,20.5,19.0,19.4,282390
6/7/2015,19.5,20.3,19.4,20.1,808715
6/8/2015,20.1,20.1,19.0,19.5,449220
6/9/2015,19.2,19.9,19.0,19.4,238417
6/10/2015,19.0,19.9,19.0,19.5,384360
6/11/2015,19.8,21.2,19.5,20.7,2026890
6/14/2015,21.0,21.9,20.3,21.0,872986
6/15/2015,21.1,22.7,21.0,22.3,1399560
6/16/2015,22.5,22.8,21.6,22.6,977559
6/17/2015,22.7,23.6,22.2,23.3,1463600
6/18/2015,23.5,23.5,22.5,22.7,986765
6/21/2015,21.1,22.9,21.1,22.3,439715
6/22/2015,22.7,23.1,22.0,22.9,1068430
6/23/2015,23.7,24.4,22.7,23.0,1777550
6/24/2015,23.4,23.4,22.6,22.8,741418
6/25/2015,22.4,23.0,22.0,22.5,445097
6/28/2015,22.5,22.7,21.9,22.0,292392
6/29/2015,22.6,22.9,21.6,22.2,329590
6/30/2015,22.2,22.9,22.2,22.6,398957
7/2/2015,22.9,22.9,22.3,22.4,356068
7/5/2015,22.4,23.0,22.3,22.6,564005
7/6/2015,22.8,22.8,22.3,22.5,288098
7/7/2015,22.7,22.8,22.1,22.3,286582
7/8/2015,22.3,22.8,22.3,22.6,655353
7/9/2015,22.5,22.6,21.7,21.8,558827
7/12/2015,21.0,21.7,20.8,21.0,792615
7/13/2015,20.9,21.1,20.3,20.6,231778
7/14/2015,20.6,20.6,20.1,20.3,242355
7/21/2015,20.5,21.1,20.4,20.6,139085
7/22/2015,20.5,20.9,20.3,20.6,179177
7/23/2015,20.8,21.8,20.3,20.6,319419
7/26/2015,21.0,22.6,21.0,22.6,1662210
7/27/2015,22.9,24.5,22.9,24.3,1903600
7/28/2015,24.3,25.3,23.8,25.0,1468850
7/29/2015,25.0,27.4,25.0,27.2,1407680
7/30/2015,27.0,28.5,26.4,26.8,2093970
8/2/2015,27.2,27.8,26.7,27.7,1344230
8/3/2015,27.2,29.2,27.2,28.9,2135540
8/4/2015,28.7,30.7,28.4,28.5,1227120
8/5/2015,28.4,28.6,27.3,27.7,921812
8/6/2015,27.7,28.5,27.0,27.4,1248890
8/9/2015,27.4,28.1,27.4,27.8,485924
8/10/2015,27.8,30.5,27.8,30.1,1523180
8/11/2015,30.0,30.9,30.0,30.5,1760620
8/12/2015,31.0,31.0,29.9,30.6,1303240
8/13/2015,30.4,31.3,28.9,29.2,1211490
8/16/2015,28.4,29.8,27.0,27.8,1069660
8/17/2015,27.8,28.7,27.1,28.0,968287
8/18/2015,28.0,29.3,27.5,28.0,779276
8/19/2015,27.9,28.9,27.0,27.4,655746
8/20/2015,27.5,28.3,26.9,27.1,445529
8/23/2015,27.7,27.8,26.9,27.7,935118
8/24/2015,27.2,27.9,27.0,27.3,492266
8/25/2015,27.2,27.6,27.2,27.4,475054
8/26/2015,27.6,27.6,27.4,27.5,449237
8/27/2015,27.6,27.6,27.4,27.5,216398
8/30/2015,28.0,28.0,27.4,27.5,133771
8/31/2015,27.2,27.5,27.2,27.3,154765
9/1/2015,27.6,27.6,27.0,27.3,324650
9/2/2015,27.4,29.6,27.4,29.1,1260280
9/3/2015,29.3,30.2,28.8,29.9,1192780
9/6/2015,29.8,30.4,29.2,30.3,971648
9/7/2015,30.3,31.8,30.0,31.7,1263220
9/8/2015,31.5,32.2,30.7,31.7,1102060
