Date,Open,High,Low,Close,Volume
10/2/2012,11.0,11.1,10.4,10.9,3500
10/3/2012,11.7,11.9,11.0,11.2,3900
10/4/2012,10.4,10.8,10.4,10.6,2800
10/7/2012,10.6,10.6,10.1,10.5,1900
10/8/2012,11.2,11.2,9.9,10.1,8900
10/9/2012,10.2,11.1,10.1,10.3,2100
10/10/2012,9.9,10.4,9.8,9.8,2900
10/11/2012,9.6,10.7,9.6,10.2,2000
10/15/2012,11.0,11.0,10.6,10.8,300
10/16/2012,10.9,11.5,10.9,11.2,9100
10/17/2012,11.2,11.4,11.2,11.2,1800
10/23/2012,10.6,10.6,10.5,10.5,1500
10/30/2012,9.0,11.7,9.0,10.3,200
10/31/2012,9.4,9.5,9.3,9.4,1500
11/1/2012,10.3,10.3,10.0,10.0,1100
11/4/2012,9.4,9.4,9.3,9.3,2000
11/5/2012,9.4,9.8,9.4,9.5,1800
11/6/2012,9.6,9.6,9.5,9.5,1300
11/7/2012,9.9,9.9,9.6,9.7,600
11/8/2012,9.5,9.5,8.8,8.8,7000
11/11/2012,9.0,9.0,8.8,8.9,2000
11/13/2012,9.0,9.0,9.0,9.0,500
11/14/2012,9.0,9.1,9.0,9.0,1600
11/15/2012,9.5,9.5,9.5,9.5,1000
11/18/2012,9.5,9.5,9.4,9.4,1300
11/19/2012,9.5,9.6,9.3,9.4,6000
11/20/2012,9.3,9.9,9.3,9.5,1800
11/22/2012,9.5,9.5,9.5,9.5,5100
11/26/2012,9.2,9.2,9.2,9.2,200
11/27/2012,9.1,9.1,8.6,8.8,2400
11/28/2012,9.0,9.1,9.0,9.0,4000
11/29/2012,9.1,9.2,9.1,9.1,200
12/2/2012,8.7,8.7,8.6,8.6,200
12/3/2012,8.8,8.8,8.8,8.8,400
12/5/2012,8.8,8.8,8.5,8.6,400
12/6/2012,8.5,8.5,8.5,8.5,300
12/9/2012,8.6,8.8,8.6,8.7,400
12/10/2012,9.0,9.0,9.0,9.0,100
12/11/2012,8.5,8.6,8.5,8.5,1200
12/13/2012,8.9,9.0,8.9,8.9,800
12/18/2012,9.0,9.0,8.9,8.9,2200
12/19/2012,9.0,9.0,8.8,8.9,8400
12/23/2012,8.6,8.6,8.5,8.5,2300
12/24/2012,8.6,8.8,8.6,8.7,1000
12/26/2012,8.8,8.8,8.8,8.8,100
1/1/2013,8.8,8.8,8.7,8.7,400
1/2/2013,8.7,8.7,8.7,8.7,300
1/3/2013,8.7,8.7,8.6,8.6,3500
1/6/2013,8.5,8.5,8.5,8.5,3400
1/7/2013,8.5,8.5,8.5,8.5,100
1/8/2013,8.7,8.7,8.2,8.2,800
1/10/2013,8.4,8.4,8.3,8.3,500
1/13/2013,8.7,8.8,8.7,8.7,1100
1/14/2013,8.8,8.8,8.5,8.6,1100
1/15/2013,8.5,8.5,8.5,8.5,500
1/17/2013,8.5,8.7,8.3,8.5,700
1/21/2013,8.5,8.6,8.5,8.5,1700
1/22/2013,8.6,8.6,8.5,8.5,1200
1/24/2013,8.6,8.7,8.6,8.6,1100
1/27/2013,8.7,8.7,8.7,8.7,400
1/28/2013,8.8,8.8,8.8,8.8,500
1/29/2013,8.8,8.8,8.6,8.7,1800
1/30/2013,8.5,8.5,8.5,8.5,100
1/31/2013,8.2,8.5,8.2,8.4,1100
2/3/2013,8.5,8.5,8.4,8.4,500
2/4/2013,8.4,8.4,8.3,8.3,1000
2/6/2013,8.6,8.6,8.4,8.5,700
