timestamp,closing,opening,high,low,volume
2023-06-06 10:08:00,19.3,19.3,19.3,19.3,1
2023-06-07 10:04:00,21.2,21.2,21.2,21.2,4803
2023-06-07 13:16:00,21.2,21.2,21.2,21.2,100
2023-06-08 10:16:00,23.3,23.3,23.3,23.3,1
2023-06-11 10:08:00,25.6,25.6,25.6,25.6,101
2023-06-11 14:20:00,25.6,25.6,25.6,25.6,50
2023-06-12 10:02:00,28.1,28.1,28.1,28.1,2804
2023-06-12 10:06:00,28.1,28.1,28.1,28.1,5605
2023-06-12 10:10:00,28.1,28.1,28.1,28.1,1653
2023-06-12 10:16:00,28.1,28.1,28.1,28.1,1
2023-06-13 10:02:00,30.9,30.9,30.9,30.9,5804
2023-06-13 10:04:00,30.9,30.9,30.9,30.9,4854
2023-06-13 10:20:00,30.9,30.9,30.9,30.9,804
2023-06-13 10:32:00,30.9,30.9,30.9,30.9,4
2023-06-13 10:36:00,30.9,30.9,30.9,30.9,4803
2023-06-13 12:00:00,30.9,30.9,30.9,30.9,2106
2023-06-13 12:02:00,30.9,30.9,30.9,30.9,303
2023-06-13 13:12:00,30.9,30.9,30.9,30.9,804
2023-06-14 10:02:00,33.9,33.9,33.9,33.9,13511
2023-06-14 10:04:00,33.9,33.9,33.9,33.9,4102
2023-06-14 10:06:00,33.9,33.9,33.9,33.9,3000
2023-06-14 10:14:00,33.9,33.9,33.9,33.9,50
2023-06-14 10:22:00,33.9,33.9,33.9,33.9,1000
2023-06-14 11:02:00,33.9,33.9,33.9,33.9,400
2023-06-14 13:54:00,33.9,33.9,33.9,33.9,1
2023-06-15 10:02:00,37.2,37.2,37.2,37.2,59949
2023-06-15 10:04:00,34.8,34.8,34.8,34.8,407242
2023-06-15 10:06:00,33,33,33,33,106116
2023-06-15 10:08:00,35,35,35,35,146433
2023-06-15 10:10:00,34.1,34.1,34.1,34.1,57942
2023-06-15 10:12:00,37.1,37.1,37.1,37.1,271640
2023-06-15 10:14:00,36,36,36,36,52852
2023-06-15 10:16:00,35.9,35.9,35.9,35.9,23976
2023-06-15 10:18:00,35.3,35.3,35.3,35.3,28701
2023-06-15 10:20:00,36,36,36,36,26643
2023-06-15 10:22:00,36.1,36.1,36.1,36.1,51032
2023-06-15 10:24:00,37.2,37.2,37.2,37.2,168796
2023-06-15 10:26:00,37.2,37.2,37.2,37.2,82965
2023-06-15 10:28:00,37.2,37.2,37.2,37.2,23021
2023-06-15 10:30:00,37.2,37.2,37.2,37.2,12762
2023-06-15 10:32:00,37.2,37.2,37.2,37.2,14908
2023-06-15 10:34:00,37.2,37.2,37.2,37.2,16418
2023-06-15 10:36:00,37.2,37.2,37.2,37.2,9606
2023-06-15 10:38:00,37.2,37.2,37.2,37.2,11410
2023-06-15 10:40:00,37.2,37.2,37.2,37.2,3805
2023-06-15 10:48:00,37.2,37.2,37.2,37.2,2
2023-06-15 10:50:00,37.2,37.2,37.2,37.2,1002
2023-06-15 10:52:00,37.2,37.2,37.2,37.2,5607
2023-06-15 10:54:00,37.2,37.2,37.2,37.2,824
2023-06-15 10:56:00,37.2,37.2,37.2,37.2,4000
2023-06-15 11:02:00,37.2,37.2,37.2,37.2,4803
2023-06-15 11:04:00,37.2,37.2,37.2,37.2,2304
2023-06-15 11:06:00,37.2,37.2,37.2,37.2,4000
2023-06-15 11:20:00,37.2,37.2,37.2,37.2,1300
2023-06-15 11:30:00,37.2,37.2,37.2,37.2,1000
2023-06-15 11:38:00,37.2,37.2,37.2,37.2,2500
2023-06-15 11:48:00,37.2,37.2,37.2,37.2,200
2023-06-15 13:26:00,37.2,37.2,37.2,37.2,2000
2023-06-15 13:42:00,37.2,37.2,37.2,37.2,4
2023-06-15 13:48:00,37.2,37.2,37.2,37.2,4803
2023-06-15 14:20:00,37.2,37.2,37.2,37.2,1
2023-06-18 10:02:00,37,37,37,37,51009
2023-06-18 10:04:00,36.6,36.6,36.6,36.6,20208
2023-06-18 10:06:00,36.2,36.2,36.2,36.2,59741
2023-06-18 10:08:00,35.4,35.4,35.4,35.4,35490
2023-06-18 10:10:00,35.4,35.4,35.4,35.4,8207
2023-06-18 10:12:00,35.3,35.3,35.3,35.3,7657
2023-06-18 10:14:00,35.1,35.1,35.1,35.1,7901
2023-06-18 10:16:00,35,35,35,35,11768
2023-06-18 10:18:00,35,35,35,35,12796
2023-06-18 10:20:00,34.8,34.8,34.8,34.8,18200
2023-06-18 10:22:00,33.8,33.8,33.8,33.8,33904
2023-06-18 10:24:00,34,34,34,34,38355
2023-06-18 10:26:00,34,34,34,34,21530
2023-06-18 10:28:00,33.8,33.8,33.8,33.8,12819
2023-06-18 10:30:00,33.8,33.8,33.8,33.8,19914
