timestamp,closing,opening,high,low,volume
2015-10-15 10:50:00,15.4,15.4,15.4,15.4,1597
2015-10-15 11:16:00,16.5,16.5,16.5,16.5,300
2015-10-15 11:22:00,16.4,16.4,16.4,16.4,2000
2015-10-15 11:28:00,16.5,16.5,16.5,16.5,84700
2015-10-15 12:06:00,16,16,16,16,1500
2015-10-15 12:08:00,16.2,16.2,16.2,16.2,24731
2015-10-15 12:20:00,16,16,16,16,133
2015-10-15 12:22:00,16,16,16,16,665
2015-10-15 12:40:00,16.2,16.2,16.2,16.2,31
2015-10-15 12:48:00,16.1,16.1,16.1,16.1,1000
2015-10-15 12:54:00,16.1,16.1,16.1,16.1,1969
2015-10-15 13:25:00,16.1,16.1,16.1,16.1,288
2015-10-15 13:37:00,16.1,16.1,16.1,16.1,288
2015-10-15 13:39:00,16.2,16.2,16.2,16.2,2000
2015-10-15 13:41:00,16.3,16.3,16.3,16.3,2000
2015-10-15 13:43:00,16.3,16.3,16.3,16.3,350
2015-10-15 13:45:00,16.2,16.2,16.2,16.2,300
2015-10-15 13:51:00,16.2,16.2,16.2,16.2,5500
2015-10-15 13:57:00,16.2,16.2,16.2,16.2,5000
2015-10-15 14:07:00,16.2,16.2,16.2,16.2,988
2015-10-15 14:09:00,16.2,16.2,16.2,16.2,1120
2015-10-15 14:17:00,16.2,16.2,16.2,16.2,558
2015-10-15 14:23:00,16.2,16.2,16.2,16.2,4342
2015-10-15 14:29:00,16.1,16.1,16.1,16.1,1213
2015-10-18 11:44:00,16,16,16,16,3000
2015-10-18 11:48:00,16,16,16,16,2000
2015-10-18 12:04:00,16,16,16,16,60
2015-10-18 12:50:00,16,16,16,16,30508
2015-10-18 12:54:00,16,16,16,16,15000
2015-10-18 12:56:00,16.2,16.2,16.2,16.2,13323
2015-10-18 13:17:00,16.5,16.5,16.5,16.5,10
2015-10-18 13:47:00,16.2,16.2,16.2,16.2,1000
2015-10-18 13:51:00,16.2,16.2,16.2,16.2,1000
2015-10-18 13:55:00,16.2,16.2,16.2,16.2,400
2015-10-18 14:07:00,16.2,16.2,16.2,16.2,500
2015-10-18 14:13:00,16.2,16.2,16.2,16.2,11000
2015-10-18 14:17:00,16.2,16.2,16.2,16.2,10000
2015-10-18 14:19:00,16.2,16.2,16.2,16.2,300
2015-10-18 14:25:00,16.2,16.2,16.2,16.2,12587
2015-10-18 14:27:00,16.1,16.1,16.1,16.1,20000
2015-10-18 14:31:00,16.1,16.1,16.1,16.1,5000
2015-10-19 11:25:00,16,16,16,16,2152
2015-10-19 11:41:00,16.1,16.1,16.1,16.1,2000
