timestamp,closing,opening,high,low,volume
2018-03-05 10:38:00,9.5,9.5,9.5,9.5,150
2018-03-05 10:45:00,9.2,9.2,9.2,9.2,500
2018-03-05 10:58:00,9,9,9,9,500
2018-03-05 11:10:00,8.9,8.9,8.9,8.9,500
2018-03-05 11:12:00,8.9,8.9,8.9,8.9,200
2018-03-05 11:14:00,8.8,8.8,8.8,8.8,100
2018-03-05 11:38:00,8.8,8.8,8.8,8.8,400
2018-03-05 11:40:00,8.5,8.5,8.5,8.5,500
2018-03-05 11:42:00,8.5,8.5,8.5,8.5,1000
2018-03-05 11:46:00,8.5,8.5,8.5,8.5,3500
2018-03-05 11:48:00,8.5,8.5,8.5,8.5,2500
2018-03-05 11:50:00,8.5,8.5,8.5,8.5,400
2018-03-05 11:58:00,8.5,8.5,8.5,8.5,1500
2018-03-05 12:00:00,8.5,8.5,8.5,8.5,7300
2018-03-05 12:02:00,8.5,8.5,8.5,8.5,1050
2018-03-05 12:04:00,8.4,8.4,8.4,8.4,2000
2018-03-05 12:06:00,8.4,8.4,8.4,8.4,500
2018-03-05 12:08:00,8.4,8.4,8.4,8.4,2000
2018-03-05 12:32:00,9,9,9,9,9850
2018-03-05 12:48:00,9,9,9,9,150
2018-03-05 12:56:00,8.5,8.5,8.5,8.5,111
2018-03-05 12:57:00,8.4,8.4,8.4,8.4,389
2018-03-05 13:42:00,8.5,8.5,8.5,8.5,1000
2018-03-05 13:58:00,8.5,8.5,8.5,8.5,500
2018-03-05 14:10:00,8.8,8.8,8.8,8.8,500
2018-03-05 14:12:00,8.9,8.9,8.9,8.9,100
2018-03-05 14:20:00,9.3,9.3,9.3,9.3,4450
2018-03-05 14:22:00,9.3,9.3,9.3,9.3,500
2018-03-05 14:24:00,8.5,8.5,8.5,8.5,3950
2018-03-05 14:27:00,9.4,9.4,9.4,9.4,1150
2018-03-06 10:36:00,10,10,10,10,1
2018-03-06 10:38:00,10,10,10,10,4000
2018-03-06 10:40:00,10,10,10,10,9499
2018-03-06 10:42:00,10,10,10,10,33500
2018-03-06 10:44:00,10,10,10,10,7500
2018-03-06 10:46:00,10,10,10,10,5000
2018-03-06 10:50:00,10,10,10,10,5000
2018-03-06 11:19:00,9.9,9.9,9.9,9.9,500
2018-03-06 11:35:00,9.8,9.8,9.8,9.8,72
2018-03-06 12:34:00,9.6,9.6,9.6,9.6,1500
2018-03-06 12:36:00,9.6,9.6,9.6,9.6,2000
