timestamp,closing,opening,high,low,volume
2015-10-15 12:54:00,17.9,17.9,17.9,17.9,120
2015-10-15 14:17:00,18,18,18,18,9407
2015-10-15 14:23:00,18,18,18,18,1455
2015-10-18 11:50:00,16.6,16.6,16.6,16.6,12
2015-10-18 12:39:00,16.9,16.9,16.9,16.9,27
2015-10-18 14:17:00,16.9,16.9,16.9,16.9,140
2015-10-18 14:19:00,16.8,16.8,16.8,16.8,508
2015-10-19 10:47:00,16.2,16.2,16.2,16.2,265
2015-10-19 13:51:00,16.8,16.8,16.8,16.8,360
2015-10-19 14:09:00,16.8,16.8,16.8,16.8,30
2015-10-19 14:27:00,17.8,17.8,17.8,17.8,400
2015-10-20 12:33:00,17,17,17,17,64
2015-10-20 12:35:00,17,17,17,17,436
2015-10-20 12:37:00,16.8,16.8,16.8,16.8,482
2015-10-20 13:23:00,17.5,17.5,17.5,17.5,118
2015-10-20 13:57:00,17.5,17.5,17.5,17.5,7382
2015-10-20 14:24:00,16.9,16.9,16.9,16.9,100
2015-10-21 12:11:00,17.5,17.5,17.5,17.5,26180
2015-10-21 12:15:00,17.5,17.5,17.5,17.5,894
2015-10-21 12:21:00,17.5,17.5,17.5,17.5,240
2015-10-21 12:27:00,17.5,17.5,17.5,17.5,832
2015-10-21 14:27:00,17.5,17.5,17.5,17.5,118
2015-10-21 14:29:00,17.9,17.9,17.9,17.9,500
2015-11-01 10:44:00,16.5,17.9,17.9,16.5,29264
2015-11-01 11:18:00,17.5,17.5,17.5,17.5,4000
2015-11-01 12:02:00,17.5,17.5,17.5,17.5,4500
2015-11-01 12:46:00,18,18,18,18,2000
2015-11-01 12:52:00,18,18,18,18,200
2015-11-01 13:06:00,17.8,17.8,17.8,17.8,200
2015-11-01 13:08:00,17.8,17.8,17.8,17.8,200
2015-11-01 13:12:00,17.8,17.8,17.8,17.8,200
2015-11-01 13:18:00,17.8,17.8,17.8,17.8,100
2015-11-01 13:34:00,18.5,18.5,18.5,18.5,7450
2015-11-01 13:46:00,17.9,17.9,17.9,17.9,200
2015-11-01 14:02:00,17.9,17.9,17.9,17.9,15550
2015-11-02 12:14:00,18,18,18,18,1000
2015-11-02 12:41:00,18.5,18.5,18.5,18.5,1600
2015-11-02 12:53:00,18.5,18.5,18.5,18.5,5000
2015-11-02 13:38:00,18,18,18,18,400
