timestamp,closing,opening,high,low,volume
2022-02-23 10:12:00,62.6,62.6,62.6,62.6,300
2022-02-23 10:15:00,62.6,62.6,62.6,62.6,584
2022-02-23 10:16:00,62.7,62.7,62.7,62.7,100
2022-02-23 10:22:00,62.7,62.7,62.7,62.7,296
2022-02-23 10:29:00,63,63,63,63,16
2022-02-23 10:42:00,63,63,63,63,25
2022-02-23 10:44:00,63.2,63.2,63.2,63.2,100
2022-02-23 10:49:00,65,65,65,65,10
2022-02-23 10:56:00,64.7,64.7,64.7,64.7,30
2022-02-23 10:58:00,64.5,64.5,64.5,64.5,50
2022-02-23 10:59:00,64.7,64.7,64.7,64.7,170
2022-02-23 11:02:00,65,65,65,65,1255
2022-02-23 11:04:00,64.7,64.7,64.7,64.7,358
2022-02-23 11:05:00,64.7,64.7,64.7,64.7,50
2022-02-23 11:06:00,64.7,64.7,64.7,64.7,300
2022-02-23 11:08:00,64.7,64.7,64.7,64.7,25
2022-02-23 11:12:00,65,65,65,65,2103
2022-02-23 11:13:00,65.3,65.3,65.3,65.3,300
2022-02-23 11:16:00,65.3,65,65.3,65,5580
2022-02-23 11:19:00,65.3,65.3,65.3,65.3,5
2022-02-23 11:20:00,65.7,65.7,65.7,65.7,100
2022-02-23 11:21:00,65.7,65.7,65.7,65.7,92
2022-02-23 11:23:00,66,65.6,66,65.6,1324
2022-02-23 11:24:00,66,66,66,66,500
2022-02-23 11:26:00,66.3,66.3,66.3,66.3,100
2022-02-23 11:27:00,67.5,66.3,67.9,66.3,8861
2022-02-23 11:28:00,67.9,67.9,67.9,67.9,22009
2022-02-23 11:29:00,67.9,67.9,67.9,67.9,18095
2022-02-23 11:30:00,67.9,67.9,67.9,67.9,629
2022-02-23 11:31:00,67.9,67.9,67.9,67.9,30
2022-02-23 11:32:00,67.9,67.9,67.9,67.9,300
2022-02-23 11:33:00,67.9,67.9,67.9,67.9,15446
2022-02-23 11:34:00,67.9,67.9,67.9,67.9,310
2022-02-23 11:36:00,67.9,67.9,67.9,67.9,4
2022-02-23 11:37:00,67.9,67.9,67.9,67.9,2508
2022-02-23 11:42:00,67.9,67.9,67.9,67.9,500
2022-02-23 11:55:00,67.9,67.9,67.9,67.9,300
2022-02-23 11:57:00,67.9,67.9,67.9,67.9,60
2022-02-23 11:59:00,67.9,67.9,67.9,67.9,1800
2022-02-23 12:00:00,67.9,67.9,67.9,67.9,500
2022-02-23 12:01:00,67.9,67.9,67.9,67.9,10
2022-02-23 12:02:00,67.9,67.9,67.9,67.9,500
2022-02-23 12:03:00,67.9,67.9,67.9,67.9,391
2022-02-23 12:04:00,67.9,67.9,67.9,67.9,1761
2022-02-23 12:05:00,67.9,67.9,67.9,67.9,1369
2022-02-23 12:06:00,67.9,67.9,67.9,67.9,1280
2022-02-23 12:07:00,67.9,67.9,67.9,67.9,1576
2022-02-23 12:10:00,67.9,67.9,67.9,67.9,1113
2022-02-23 12:12:00,67.9,67.9,67.9,67.9,200
2022-02-23 12:13:00,67.9,67.9,67.9,67.9,600
2022-02-23 12:15:00,67.9,67.9,67.9,67.9,500
2022-02-23 12:19:00,67.9,67.9,67.9,67.9,5000
2022-02-23 12:30:00,67.9,67.9,67.9,67.9,210
2022-02-23 12:31:00,67.9,67.9,67.9,67.9,2231
2022-02-23 12:36:00,67.9,67.9,67.9,67.9,190
2022-02-23 12:50:00,67.9,67.9,67.9,67.9,66
2022-02-23 13:41:00,67.9,67.9,67.9,67.9,500
2022-02-23 14:05:00,67.9,67.9,67.9,67.9,200
2022-02-23 14:33:00,67.9,67.9,67.9,67.9,1000
2022-02-24 10:00:00,74.6,74.6,74.6,74.6,36342
2022-02-24 10:01:00,74.6,74.6,74.6,74.6,18489
2022-02-24 10:02:00,74.6,74.6,74.6,74.6,15264
2022-02-24 10:03:00,74.6,74.6,74.6,74.6,18419
2022-02-24 10:04:00,74.6,74.6,74.6,74.6,5760
2022-02-24 10:05:00,74.6,74.6,74.6,74.6,629
2022-02-24 10:06:00,74.6,74.6,74.6,74.6,700
2022-02-24 10:07:00,74.6,74.6,74.6,74.6,39241
2022-02-24 10:08:00,74,74.5,74.5,74,942
2022-02-24 10:09:00,73.6,74,74,73.6,303
2022-02-24 10:10:00,73.6,74,74,73.6,1120
2022-02-24 10:11:00,74.4,74,74.4,73.7,11543
2022-02-24 10:12:00,74.4,74.4,74.4,74.4,1698
2022-02-24 10:13:00,74.5,74.4,74.5,74.4,6034
2022-02-24 10:14:00,74.6,74.5,74.6,74.5,2744
2022-02-24 10:15:00,74.6,74.6,74.6,74.5,6852
2022-02-24 10:16:00,74.6,74.6,74.6,74.6,18277
2022-02-24 10:17:00,74.6,74.6,74.6,74.5,30539
2022-02-24 10:18:00,74.6,74.6,74.6,74.6,2326
2022-02-24 10:19:00,74.6,74.6,74.6,74.6,1000
2022-02-24 10:21:00,74.6,74.6,74.6,74.6,10
2022-02-24 10:22:00,74.6,74.6,74.6,74.6,100
2022-02-24 10:25:00,74.6,74.6,74.6,74.6,5312
2022-02-24 10:27:00,74.6,74.6,74.6,74.6,300
2022-02-24 10:30:00,74.6,74.6,74.6,74.6,500
2022-02-24 10:33:00,74.6,74.6,74.6,74.6,813
2022-02-24 10:35:00,74.6,74.6,74.6,74.6,50
2022-02-24 10:37:00,74.6,74.6,74.6,74.6,1000
2022-02-24 10:38:00,74.6,74.6,74.6,74.6,10000
2022-02-24 10:40:00,74.6,74.6,74.6,74.6,390
2022-02-24 10:46:00,74.6,74.6,74.6,74.6,300
2022-02-24 10:47:00,74.6,74.6,74.6,74.6,30
2022-02-24 11:01:00,74.6,74.6,74.6,74.6,9400
2022-02-24 11:02:00,74.6,74.6,74.6,74.6,77
2022-02-24 11:07:00,74.6,74.6,74.6,74.6,100
2022-02-24 11:11:00,74.6,74.6,74.6,74.6,20
2022-02-24 11:16:00,74.6,74.6,74.6,74.6,1000
