timestamp,closing,opening,high,low,volume
2015-10-15 10:34:00,70.5,70.5,70.5,70.5,220
2015-10-15 10:36:00,70.9,70.9,70.9,70.9,200
2015-10-15 10:38:00,71,71,71,71,2000
2015-10-15 10:40:00,71.7,71.7,71.7,71.7,1000
2015-10-15 10:42:00,71.4,71.4,71.4,71.4,500
2015-10-15 10:46:00,71,71,71,71,2400
2015-10-15 10:48:00,71,71,71,71,1900
2015-10-15 10:50:00,71,71,71,71,4500
2015-10-15 10:52:00,71,71,71,71,2500
2015-10-15 10:54:00,71,71,71,71,1670
2015-10-15 10:56:00,71,71,71,71,4280
2015-10-15 10:58:00,71,71,71,71,1000
2015-10-15 11:00:00,71,71,71,71,1000
2015-10-15 11:04:00,71,71,71,71,2000
2015-10-15 11:10:00,71.1,71.1,71.1,71.1,1000
2015-10-15 11:12:00,71,71,71,71,5361
2015-10-15 11:14:00,70.9,70.9,70.9,70.9,61
2015-10-15 11:16:00,71.2,71.2,71.2,71.2,100
2015-10-15 11:18:00,71,71,71,71,2939
2015-10-15 11:20:00,71.1,71.1,71.1,71.1,5000
2015-10-15 11:22:00,71,71,71,71,2271
2015-10-15 11:24:00,70.9,70.9,70.9,70.9,2343
2015-10-15 11:26:00,70.7,70.7,70.7,70.7,16100
2015-10-15 11:34:00,71,71,71,71,140
2015-10-15 11:42:00,71,71,71,71,1500
2015-10-15 11:44:00,71,71,71,71,6000
2015-10-15 11:48:00,70.9,70.9,70.9,70.9,700
2015-10-15 11:50:00,70.8,70.8,70.8,70.8,500
2015-10-15 11:52:00,70.8,70.8,70.8,70.8,500
2015-10-15 11:54:00,70.8,70.8,70.8,70.8,4250
2015-10-15 11:56:00,70.8,70.8,70.8,70.8,370
2015-10-15 11:58:00,70.8,70.8,70.8,70.8,2200
2015-10-15 12:00:00,70.6,70.6,70.6,70.6,4500
2015-10-15 12:02:00,70.6,70.6,70.6,70.6,1250
2015-10-15 12:04:00,70.5,70.5,70.5,70.5,2500
2015-10-15 12:06:00,70.5,70.5,70.5,70.5,500
2015-10-15 12:12:00,70.5,70.5,70.5,70.5,3153
2015-10-15 12:14:00,70.5,70.5,70.5,70.5,9500
2015-10-15 12:17:00,70.4,70.4,70.4,70.4,880
2015-10-15 12:20:00,70.4,70.4,70.4,70.4,300
2015-10-15 12:22:00,70.7,70.7,70.7,70.7,50
2015-10-15 12:26:00,70.8,70.8,70.8,70.8,1833
2015-10-15 12:28:00,70.5,70.5,70.5,70.5,300
2015-10-15 12:38:00,70.7,70.7,70.7,70.7,141
2015-10-15 12:40:00,70.8,70.8,70.8,70.8,500
2015-10-15 12:42:00,70.8,70.8,70.8,70.8,3570
2015-10-15 12:46:00,70.9,70.9,70.9,70.9,280
2015-10-15 12:52:00,70.8,70.8,70.8,70.8,14
2015-10-15 12:54:00,70.7,70.7,70.7,70.7,840
2015-10-15 13:00:00,70.7,70.7,70.7,70.7,203
2015-10-15 13:02:00,70.5,70.5,70.5,70.5,7120
2015-10-15 13:07:00,70.4,70.4,70.4,70.4,6550
2015-10-15 13:11:00,70.5,70.5,70.5,70.5,500
2015-10-15 13:13:00,70,70,70,70,51229
2015-10-15 13:21:00,70,70,70,70,5700
2015-10-15 13:31:00,70,70,70,70,7900
2015-10-15 13:33:00,69.8,69.8,69.8,69.8,4700
2015-10-15 13:35:00,70,70,70,70,400
2015-10-15 13:51:00,69.7,69.7,69.7,69.7,1579
2015-10-15 13:53:00,69.7,69.7,69.7,69.7,2000
2015-10-15 13:57:00,69.5,69.5,69.5,69.5,11250
2015-10-15 14:03:00,69.7,69.7,69.7,69.7,1350
2015-10-15 14:05:00,69.7,69.7,69.7,69.7,1450
2015-10-15 14:07:00,69.7,69.7,69.7,69.7,500
2015-10-15 14:09:00,69.7,69.7,69.7,69.7,3100
2015-10-15 14:11:00,69.4,69.4,69.4,69.4,19057
2015-10-15 14:13:00,69.1,69.1,69.1,69.1,12400
2015-10-15 14:15:00,68.8,68.8,68.8,68.8,19090
2015-10-15 14:17:00,69,69,69,69,18845
2015-10-15 14:21:00,69.5,69.5,69.5,69.5,700
2015-10-15 14:23:00,69.4,69.4,69.4,69.4,7220
2015-10-15 14:25:00,69.7,69.7,69.7,69.7,6005
2015-10-15 14:27:00,69.7,69.7,69.7,69.7,1800
2015-10-15 14:29:00,69.5,69.5,69.5,69.5,4780
2015-10-15 14:31:00,69.6,69.6,69.6,69.6,11550
2015-10-18 10:38:00,69.3,69.3,69.3,69.3,1350
2015-10-18 10:40:00,69.2,69.2,69.2,69.2,30
2015-10-18 10:42:00,69,69,69,69,29070
2015-10-18 10:44:00,69,69,69,69,5100
2015-10-18 10:46:00,69.2,69.2,69.2,69.2,35
2015-10-18 10:48:00,69.2,69.2,69.2,69.2,1500
2015-10-18 10:57:00,69.3,69.3,69.3,69.3,1900
2015-10-18 10:59:00,68.9,68.9,68.9,68.9,16915
2015-10-18 11:03:00,68.8,68.8,68.8,68.8,2500
2015-10-18 11:05:00,68.9,68.9,68.9,68.9,1600
2015-10-18 11:07:00,68.9,68.9,68.9,68.9,5530
2015-10-18 11:13:00,69,69,69,69,1
2015-10-18 11:15:00,68.8,68.8,68.8,68.8,9900
2015-10-18 11:17:00,68.6,68.6,68.6,68.6,10300
2015-10-18 11:19:00,68.3,68.3,68.3,68.3,9220
2015-10-18 11:21:00,67.9,67.9,67.9,67.9,46280
2015-10-18 11:23:00,68,68,68,68,6000
2015-10-18 11:25:00,67.9,67.9,67.9,67.9,11720
2015-10-18 11:26:00,67.8,67.8,67.8,67.8,2000
2015-10-18 11:28:00,67.9,67.9,67.9,67.9,500
2015-10-18 11:30:00,67.7,67.7,67.7,67.7,690
2015-10-18 11:32:00,67.5,67.5,67.5,67.5,19710
2015-10-18 11:34:00,67.5,67.5,67.5,67.5,16750
2015-10-18 11:38:00,67.5,67.5,67.5,67.5,2300
2015-10-18 11:42:00,67.8,67.8,67.8,67.8,14130
2015-10-18 11:43:00,67.5,67.5,67.5,67.5,3180
2015-10-18 11:44:00,67.5,67.5,67.5,67.5,7200
2015-10-18 11:46:00,67.6,67.6,67.6,67.6,2000
2015-10-18 11:50:00,67.6,67.6,67.6,67.6,1500
2015-10-18 11:52:00,67.7,67.7,67.7,67.7,2000
2015-10-18 11:56:00,67.6,67.6,67.6,67.6,16700
2015-10-18 11:58:00,67.6,67.6,67.6,67.6,5232
2015-10-18 12:00:00,67.6,67.6,67.6,67.6,1900
2015-10-18 12:02:00,67.5,67.5,67.5,67.5,13200
2015-10-18 12:04:00,67.5,67.5,67.5,67.5,5400
2015-10-18 12:13:00,67.5,67.5,67.5,67.5,2000
2015-10-18 12:15:00,67.6,67.6,67.6,67.6,4000
2015-10-18 12:17:00,67.5,67.5,67.5,67.5,1100
2015-10-18 12:21:00,67.6,67.6,67.6,67.6,400
2015-10-18 12:23:00,67.6,67.6,67.6,67.6,300
2015-10-18 12:25:00,67.5,67.5,67.5,67.5,11958
2015-10-18 12:29:00,67.5,67.5,67.5,67.5,2000
2015-10-18 12:31:00,67.6,67.6,67.6,67.6,4000
2015-10-18 12:33:00,67.6,67.6,67.6,67.6,2500
2015-10-18 12:35:00,67.5,67.5,67.5,67.5,2870
2015-10-18 12:43:00,67.5,67.5,67.5,67.5,9450
2015-10-18 12:44:00,67.5,67.5,67.5,67.5,1200
2015-10-18 12:45:00,67.5,67.5,67.5,67.5,20
2015-10-18 12:46:00,67.5,67.5,67.5,67.5,22072
2015-10-18 12:50:00,67.6,67.6,67.6,67.6,1345
2015-10-18 12:52:00,68,68,68,68,7855
2015-10-18 13:00:00,68.1,68.1,68.1,68.1,14000
2015-10-18 13:02:00,68.2,68.2,68.2,68.2,5500
2015-10-18 13:04:00,67.7,67.7,67.7,67.7,1650
2015-10-18 13:06:00,68.2,68.2,68.2,68.2,145
2015-10-18 13:15:00,67.9,67.9,67.9,67.9,70
2015-10-18 13:17:00,67.7,67.7,67.7,67.7,430
2015-10-18 13:27:00,67.6,67.6,67.6,67.6,15000
2015-10-18 13:29:00,67.6,67.6,67.6,67.6,4408
2015-10-18 13:35:00,67.9,67.9,67.9,67.9,200
2015-10-18 13:39:00,67.9,67.9,67.9,67.9,2590
2015-10-18 13:40:00,67.9,67.9,67.9,67.9,3000
2015-10-18 13:41:00,67.9,67.9,67.9,67.9,300
2015-10-18 13:42:00,67.9,67.9,67.9,67.9,11000
2015-10-18 13:51:00,67.5,67.5,67.5,67.5,44680
2015-10-18 13:53:00,67.4,67.4,67.4,67.4,8968
2015-10-18 13:57:00,67.4,67.4,67.4,67.4,13600
2015-10-18 13:59:00,67.4,67.4,67.4,67.4,10610
2015-10-18 14:01:00,67.3,67.3,67.3,67.3,25550
2015-10-18 14:03:00,66.9,66.9,66.9,66.9,23470
2015-10-18 14:05:00,67.2,67.2,67.2,67.2,1000
2015-10-18 14:07:00,67,67,67,67,12087
2015-10-18 14:09:00,66.9,66.9,66.9,66.9,6500
2015-10-18 14:11:00,66.9,66.9,66.9,66.9,7250
2015-10-18 14:13:00,66.9,66.9,66.9,66.9,1576
2015-10-18 14:15:00,66.9,66.9,66.9,66.9,7694
2015-10-18 14:17:00,67,67,67,67,5156
2015-10-18 14:19:00,66.9,66.9,66.9,66.9,8100
2015-10-18 14:21:00,66.9,66.9,66.9,66.9,1900
2015-10-18 14:23:00,66.8,66.8,66.8,66.8,8459
2015-10-18 14:25:00,66.8,66.8,66.8,66.8,2215
2015-10-18 14:27:00,67,67,67,67,6686
2015-10-18 14:29:00,67,67,67,67,10137
2015-10-18 14:31:00,66.8,66.8,66.8,66.8,12037
2015-10-18 14:33:00,66.8,66.8,66.8,66.8,13913
2015-10-19 10:35:00,67,67,67,67,1000
2015-10-19 10:43:00,67.4,67.4,67.4,67.4,1000
2015-10-19 10:47:00,67.4,67.4,67.4,67.4,2000
2015-10-19 10:59:00,67.9,67.9,67.9,67.9,1500
2015-10-19 11:01:00,67.9,67.9,67.9,67.9,5070
2015-10-19 11:03:00,68,68,68,68,6410
2015-10-19 11:05:00,68,68,68,68,2300
2015-10-19 11:07:00,68,68,68,68,13200
2015-10-19 11:09:00,68,68,68,68,100
2015-10-19 11:13:00,68,68,68,68,1000
2015-10-19 11:15:00,68.1,68.1,68.1,68.1,500
2015-10-19 11:17:00,67.9,67.9,67.9,67.9,7290
2015-10-19 11:19:00,67.9,67.9,67.9,67.9,3000
2015-10-19 11:21:00,67.8,67.8,67.8,67.8,200
2015-10-19 11:23:00,67.9,67.9,67.9,67.9,570
2015-10-19 11:25:00,67.6,67.6,67.6,67.6,5000
2015-10-19 11:31:00,67.5,67.5,67.5,67.5,841
2015-10-19 11:33:00,67.5,67.5,67.5,67.5,559
2015-10-19 11:35:00,67.3,67.3,67.3,67.3,29
2015-10-19 11:37:00,67.3,67.3,67.3,67.3,300
2015-10-19 11:41:00,67.3,67.3,67.3,67.3,1571
2015-10-19 11:43:00,67.5,67.5,67.5,67.5,2660
2015-10-19 11:45:00,67.6,67.6,67.6,67.6,500
2015-10-19 11:49:00,67.6,67.6,67.6,67.6,2690
2015-10-19 11:51:00,67.6,67.6,67.6,67.6,540
2015-10-19 11:55:00,67.5,67.5,67.5,67.5,2500
2015-10-19 12:03:00,67.3,67.3,67.3,67.3,299
2015-10-19 12:17:00,67.5,67.5,67.5,67.5,400
2015-10-19 12:21:00,67.6,67.6,67.6,67.6,300
2015-10-19 12:23:00,67.9,67.9,67.9,67.9,5800
2015-10-19 12:25:00,67.9,67.9,67.9,67.9,1567
2015-10-19 12:29:00,68,68,68,68,1819
2015-10-19 12:31:00,68,68,68,68,5264
2015-10-19 12:33:00,68,68,68,68,1036
2015-10-19 12:35:00,68,68,68,68,1000
