timestamp,closing,opening,high,low,volume
2015-10-15 12:50:00,7.9,7.9,7.9,7.9,100
2015-10-15 13:15:00,7.8,7.8,7.8,7.8,100
2015-10-15 14:03:00,7.9,7.9,7.9,7.9,150
2015-10-15 14:31:00,7.9,7.9,7.9,7.9,1000
2015-10-18 11:01:00,7.4,7.4,7.4,7.4,400
2015-10-18 11:38:00,7.4,7.4,7.4,7.4,1498
2015-10-18 11:43:00,7.3,7.3,7.3,7.3,3950
2015-10-18 11:44:00,7.3,7.3,7.3,7.3,2052
2015-10-18 11:46:00,7.3,7.3,7.3,7.3,2500
2015-10-18 13:13:00,7.5,7.5,7.5,7.5,3600
2015-10-18 13:51:00,7.5,7.5,7.5,7.5,1000
2015-10-18 14:01:00,7.5,7.5,7.5,7.5,400
2015-10-18 14:19:00,7.7,7.7,7.7,7.7,500
2015-10-18 14:33:00,7.7,7.7,7.7,7.7,175
2015-10-19 10:41:00,7.7,7.7,7.7,7.7,100
2015-10-19 10:47:00,7.7,7.7,7.7,7.7,100
2015-10-19 11:31:00,7.5,7.5,7.5,7.5,400
2015-10-19 11:37:00,7.5,7.5,7.5,7.5,600
2015-10-19 12:31:00,7.5,7.5,7.5,7.5,500
2015-10-19 13:51:00,7.5,7.5,7.5,7.5,200
2015-10-20 10:49:00,7.1,7.1,7.1,7.1,1000
2015-11-01 10:58:00,7.9,7.8,7.9,7.8,380
2015-11-01 11:20:00,7.2,7.2,7.2,7.2,1900
2015-11-01 12:02:00,7.2,7.2,7.2,7.2,2150
2015-11-01 12:08:00,7.2,7.2,7.2,7.2,1000
2015-11-01 12:52:00,7.2,7.2,7.2,7.2,300
2015-11-01 13:30:00,7.3,7.3,7.3,7.3,1000
2015-11-01 13:38:00,7.3,7.3,7.3,7.3,5
2015-11-01 13:40:00,7.3,7.3,7.3,7.3,995
2015-11-01 14:02:00,7.3,7.3,7.3,7.3,5450
2015-11-01 14:16:00,7.3,7.3,7.3,7.3,50
2015-11-02 11:56:00,7.1,7.1,7.1,7.1,900
2015-11-02 12:18:00,7.6,7.6,7.6,7.6,15
