timestamp,closing,opening,high,low,volume
2019-04-09 10:30:00,47.3,47.3,47.3,47.3,28845
2019-04-09 10:31:00,47.9,47.9,47.9,47.9,579985
2019-04-09 10:32:00,47,47,47,47,326945
2019-04-09 10:33:00,49,49,49,49,255843
2019-04-09 10:34:00,48,48,48,48,200550
2019-04-09 10:35:00,46.8,46.8,46.8,46.8,90745
2019-04-09 10:36:00,48,48,48,48,93732
2019-04-09 10:37:00,48.8,48.8,48.8,48.8,138908
2019-04-09 10:38:00,48.9,48.9,48.9,48.9,125126
2019-04-09 10:39:00,48.1,48.1,48.1,48.1,73479
2019-04-09 10:40:00,47.9,47.9,47.9,47.9,76105
2019-04-09 10:41:00,48,48,48,48,80273
2019-04-09 10:43:00,48.4,48.5,48.5,48.4,130400
2019-04-09 10:44:00,47.8,47.8,47.8,47.8,46330
2019-04-09 10:45:00,47.8,47.8,47.8,47.8,27859
2019-04-09 10:46:00,47.7,47.7,47.7,47.7,44419
2019-04-09 10:47:00,47.9,47.9,47.9,47.9,40396
2019-04-09 10:48:00,48,48,48,48,68995
2019-04-09 10:49:00,48,48,48,48,108778
2019-04-09 10:50:00,48.1,48.1,48.1,48.1,65589
2019-04-09 10:51:00,48,48,48,48,52609
2019-04-09 10:52:00,48.1,48.1,48.1,48.1,68108
2019-04-09 10:53:00,48.4,48.4,48.4,48.4,82651
2019-04-09 10:54:00,48.6,48.6,48.6,48.6,99716
2019-04-09 10:55:00,48.4,48.4,48.4,48.4,28800
2019-04-09 10:56:00,48.9,48.9,48.9,48.9,43923
2019-04-09 10:57:00,49.8,49.8,49.8,49.8,142630
2019-04-09 10:58:00,49.8,49.8,49.8,49.8,81689
2019-04-09 10:59:00,49.9,49.9,49.9,49.9,119166
2019-04-09 11:00:00,50.6,50.6,50.6,50.6,202405
2019-04-09 11:01:00,50.9,50.9,50.9,50.9,109073
2019-04-09 11:03:00,49.5,49.5,49.5,49.5,70010
2019-04-09 11:04:00,50,49.7,50,49.7,68968
2019-04-09 11:05:00,50.4,50.4,50.4,50.4,63086
2019-04-09 11:06:00,50.3,50.3,50.3,50.3,51389
2019-04-09 11:07:00,49.9,49.9,49.9,49.9,43876
2019-04-09 11:08:00,49.9,49.9,49.9,49.9,23716
2019-04-09 11:09:00,49.8,49.8,49.8,49.8,9790
2019-04-09 11:10:00,49.9,49.9,49.9,49.9,50966
2019-04-09 11:11:00,49.8,49.8,49.8,49.8,18097
2019-04-09 11:12:00,49.7,49.7,49.7,49.7,9142
2019-04-09 11:13:00,49.4,49.4,49.4,49.4,24775
2019-04-09 11:14:00,49,49,49,49,11846
2019-04-09 11:15:00,49.1,49.1,49.1,49.1,21737
2019-04-09 11:16:00,48.7,48.7,48.7,48.7,23553
2019-04-09 11:17:00,48.4,48.4,48.4,48.4,25772
2019-04-09 11:18:00,48.4,48.4,48.4,48.4,33658
2019-04-09 11:19:00,48.5,48.5,48.5,48.5,19041
2019-04-09 11:20:00,49.1,49.1,49.1,49.1,15204
2019-04-09 11:21:00,48.9,48.9,48.9,48.9,37832
2019-04-09 11:22:00,48.7,48.7,48.7,48.7,15100
2019-04-09 11:23:00,48.7,48.7,48.7,48.7,3200
2019-04-09 11:24:00,48.8,48.8,48.8,48.8,9680
2019-04-09 11:25:00,48.5,48.5,48.5,48.5,26226
2019-04-09 11:26:00,48.5,48.5,48.5,48.5,14030
2019-04-09 11:27:00,48.7,48.7,48.7,48.7,11674
2019-04-09 11:28:00,48.8,48.8,48.8,48.8,5860
2019-04-09 11:30:00,48.6,48.6,48.6,48.6,11816
2019-04-09 11:31:00,48.8,48.6,48.8,48.6,10649
2019-04-09 11:32:00,48.5,48.5,48.5,48.5,37298
2019-04-09 11:33:00,48.6,48.6,48.6,48.6,12602
2019-04-09 11:34:00,48.6,48.6,48.6,48.6,5100
2019-04-09 11:35:00,48.3,48.3,48.3,48.3,18131
2019-04-09 11:36:00,48.5,48.5,48.5,48.5,15561
2019-04-09 11:37:00,48.3,48.3,48.3,48.3,5728
2019-04-09 11:38:00,48.3,48.3,48.3,48.3,14600
2019-04-09 11:39:00,48.3,48.3,48.3,48.3,11235
2019-04-09 11:40:00,48.1,48.1,48.1,48.1,23986
2019-04-09 11:41:00,48.1,48.1,48.1,48.1,10915
2019-04-09 11:42:00,48.1,48.1,48.1,48.1,11265
2019-04-09 11:43:00,48.1,48.1,48.1,48.1,5100
2019-04-09 11:44:00,48.1,48.1,48.1,48.1,25310
2019-04-09 11:45:00,48.1,48.1,48.1,48.1,17091
2019-04-09 11:46:00,48.1,48.1,48.1,48.1,18364
2019-04-09 11:47:00,48.2,48.2,48.2,48.2,10640
2019-04-09 11:48:00,48.1,48.1,48.1,48.1,10242
2019-04-09 11:49:00,48.2,48.2,48.2,48.2,8660
2019-04-09 11:51:00,48.2,48.2,48.2,48.2,12148
2019-04-09 11:52:00,48.3,48.3,48.3,48.3,8776
2019-04-09 11:53:00,48.5,48.5,48.5,48.5,18970
2019-04-09 11:54:00,48.3,48.3,48.3,48.3,29086
2019-04-09 11:55:00,48.3,48.3,48.3,48.3,53070
2019-04-09 11:56:00,48.4,48.4,48.4,48.4,6800
2019-04-09 11:57:00,48.5,48.5,48.5,48.5,7650
2019-04-09 11:58:00,48.9,48.9,48.9,48.9,16359
2019-04-09 11:59:00,48.8,48.8,48.8,48.8,22510
2019-04-09 12:00:00,48.9,48.9,48.9,48.9,4250
2019-04-09 12:01:00,48.8,48.8,48.8,48.8,6080
2019-04-09 12:02:00,48.8,48.8,48.8,48.8,6205
2019-04-09 12:04:00,48.8,48.8,48.8,48.8,7730
2019-04-09 12:05:00,48.6,48.7,48.7,48.6,21212
2019-04-09 12:06:00,48.5,48.5,48.5,48.5,10140
2019-04-09 12:07:00,48.3,48.3,48.3,48.3,23150
2019-04-09 12:08:00,48.1,48.1,48.1,48.1,18842
2019-04-09 12:09:00,48.1,48.1,48.1,48.1,22900
2019-04-09 12:10:00,48.2,48.2,48.2,48.2,6150
2019-04-09 12:12:00,48.1,48.1,48.1,48.1,6120
2019-04-09 12:13:00,48.1,48.1,48.1,48.1,9550
2019-04-09 12:14:00,48.4,48.4,48.4,48.4,7985
2019-04-09 12:15:00,48.5,48.5,48.5,48.5,3405
2019-04-09 12:16:00,48.7,48.7,48.7,48.7,3856
2019-04-09 12:17:00,48.9,48.9,48.9,48.9,3815
2019-04-09 12:18:00,49.3,49.3,49.3,49.3,30828
2019-04-09 12:19:00,49.2,49.2,49.2,49.2,2200
2019-04-09 12:20:00,49.2,49.2,49.2,49.2,17700
2019-04-09 12:21:00,49,49,49,49,20732
2019-04-09 12:22:00,48.7,48.7,48.7,48.7,4830
2019-04-09 12:23:00,48.7,48.7,48.7,48.7,3400
2019-04-09 12:25:00,48.6,48.6,48.6,48.6,12851
2019-04-09 12:26:00,48.3,48.3,48.3,48.3,31263
2019-04-09 12:27:00,48.2,48.2,48.2,48.2,5550
2019-04-09 12:28:00,48.2,48.2,48.2,48.2,7518
2019-04-09 12:29:00,48.2,48.2,48.2,48.2,3675
2019-04-09 12:30:00,48.2,48.2,48.2,48.2,4200
2019-04-09 12:32:00,48.3,48.2,48.3,48.2,5900
2019-04-09 12:33:00,48.2,48.2,48.2,48.2,4315
2019-04-09 12:34:00,48.2,48.2,48.2,48.2,2300
2019-04-09 12:35:00,48.3,48.3,48.3,48.3,2900
2019-04-09 12:36:00,48.3,48.3,48.3,48.3,6000
2019-04-09 12:38:00,48.2,48.2,48.2,48.2,9304
2019-04-09 12:39:00,48.1,48.1,48.1,48.1,14347
2019-04-09 12:40:00,48.1,48.1,48.1,48.1,13069
2019-04-09 12:41:00,48.2,48.2,48.2,48.2,13406
2019-04-09 12:42:00,48.3,48.3,48.3,48.3,13500
2019-04-09 12:43:00,48.3,48.3,48.3,48.3,8555
2019-04-09 12:44:00,48.3,48.3,48.3,48.3,4500
2019-04-09 12:45:00,48.3,48.3,48.3,48.3,7800
2019-04-09 12:46:00,48.1,48.1,48.1,48.1,11046
2019-04-09 12:47:00,48.1,48.1,48.1,48.1,69238
2019-04-09 12:48:00,47.9,47.9,47.9,47.9,12414
2019-04-09 12:49:00,47.8,47.8,47.8,47.8,6604
2019-04-09 12:50:00,47.9,47.9,47.9,47.9,6290
2019-04-09 12:51:00,47.9,47.9,47.9,47.9,3650
2019-04-09 12:52:00,47.8,47.8,47.8,47.8,19182
2019-04-09 12:53:00,47.9,47.9,47.9,47.9,8415
2019-04-09 12:54:00,47.8,47.8,47.8,47.8,18105
2019-04-09 12:55:00,47.8,47.8,47.8,47.8,7810
2019-04-09 12:56:00,47.8,47.8,47.8,47.8,4360
2019-04-09 12:57:00,47.8,47.8,47.8,47.8,3590
2019-04-09 12:58:00,47.8,47.8,47.8,47.8,700
2019-04-09 12:59:00,47.8,47.8,47.8,47.8,4615
2019-04-09 13:00:00,47.8,47.8,47.8,47.8,3000
2019-04-09 13:01:00,47.8,47.8,47.8,47.8,3700
2019-04-09 13:02:00,47.8,47.8,47.8,47.8,4650
2019-04-09 13:03:00,47.7,47.7,47.7,47.7,10432
2019-04-09 13:04:00,47.7,47.7,47.7,47.7,5120
2019-04-09 13:05:00,47.5,47.5,47.5,47.5,12454
2019-04-09 13:06:00,47.4,47.4,47.4,47.4,17646
2019-04-09 13:07:00,47.2,47.2,47.2,47.2,5290
2019-04-09 13:08:00,47.2,47.2,47.2,47.2,5003
2019-04-09 13:09:00,47.2,47.2,47.2,47.2,8090
2019-04-09 13:10:00,47.3,47.3,47.3,47.3,6037
2019-04-09 13:12:00,47.1,47.1,47.1,47.1,30319
2019-04-09 13:13:00,47.1,47.1,47.1,47.1,31280
2019-04-09 13:14:00,47.1,47.1,47.1,47.1,9572
2019-04-09 13:15:00,47,47,47,47,44300
2019-04-09 13:16:00,46.8,46.8,46.8,46.8,19593
2019-04-09 13:17:00,46.8,46.8,46.8,46.8,6645
2019-04-09 13:18:00,46.7,46.7,46.7,46.7,2650
2019-04-09 13:19:00,46.7,46.7,46.7,46.7,4725
2019-04-09 13:20:00,46.7,46.7,46.7,46.7,10968
2019-04-09 13:21:00,46.6,46.6,46.6,46.6,10353
2019-04-09 13:22:00,46.7,46.7,46.7,46.7,29900
2019-04-09 13:23:00,46.6,46.6,46.6,46.6,9101
2019-04-09 13:24:00,46.7,46.7,46.7,46.7,9031
2019-04-09 13:26:00,46.6,46.8,46.8,46.6,18256
2019-04-09 13:27:00,46.6,46.6,46.6,46.6,4865
2019-04-09 13:28:00,46.8,46.8,46.8,46.8,8210
2019-04-09 13:29:00,46.7,46.7,46.7,46.7,38477
2019-04-09 13:30:00,46.4,46.4,46.4,46.4,15878
