timestamp,closing,opening,high,low,volume
2015-10-15 11:58:00,50.4,50.4,50.4,50.4,71
2015-10-15 12:00:00,50.4,50.4,50.4,50.4,100
2015-10-15 12:10:00,50.3,50.3,50.3,50.3,180
2015-10-15 12:32:00,50.3,50.3,50.3,50.3,5
2015-10-15 12:38:00,50.3,50.3,50.3,50.3,328
2015-10-15 14:11:00,50.4,50.4,50.4,50.4,10
2015-10-15 14:27:00,50.3,50.3,50.3,50.3,1000
2015-10-18 12:00:00,50.3,50.3,50.3,50.3,180
2015-10-18 12:06:00,50,50,50,50,4320
2015-10-18 12:23:00,49.4,49.4,49.4,49.4,1653
2015-10-18 12:37:00,49.5,49.5,49.5,49.5,1100
2015-10-18 13:29:00,49.4,49.4,49.4,49.4,1000
2015-10-18 14:15:00,49.5,49.5,49.5,49.5,200
2015-10-18 14:17:00,50.4,50.4,50.4,50.4,200
2015-10-18 14:21:00,49.7,49.7,49.7,49.7,50
2015-10-18 14:27:00,49.7,49.7,49.7,49.7,600
2015-10-18 14:31:00,49.5,49.5,49.5,49.5,200
2015-10-19 13:11:00,50,50,50,50,300
2015-10-19 13:37:00,49.3,49.3,49.3,49.3,67
2015-10-19 13:39:00,49,49,49,49,400
2015-10-19 13:43:00,50,50,50,50,100
2015-10-19 13:49:00,50,50,50,50,100
2015-10-19 14:03:00,49,49,49,49,1591
2015-10-19 14:07:00,48.9,48.9,48.9,48.9,70
2015-10-19 14:09:00,48.9,48.9,48.9,48.9,1630
2015-10-19 14:11:00,48.3,48.3,48.3,48.3,1400
2015-10-19 14:13:00,48.2,48.2,48.2,48.2,80
2015-10-19 14:15:00,48.1,48.1,48.1,48.1,1220
2015-10-19 14:17:00,48.1,48.1,48.1,48.1,3780
2015-10-19 14:21:00,48,48,48,48,123
2015-10-20 10:45:00,50.2,50.2,50.2,50.2,200
2015-10-20 11:01:00,50.4,50.4,50.4,50.4,133
2015-10-20 12:03:00,50,50,50,50,800
2015-10-20 12:07:00,50,50,50,50,1000
2015-10-20 12:37:00,49.9,49.9,49.9,49.9,400
2015-10-20 12:49:00,49.2,49.2,49.2,49.2,145
2015-10-20 12:51:00,48.8,48.8,48.8,48.8,1600
2015-10-20 12:53:00,48.8,48.8,48.8,48.8,2000
2015-10-21 10:57:00,48.2,48.2,48.2,48.2,907
2015-10-21 13:15:00,51,51,51,51,2000
2015-10-21 14:07:00,50,50,50,50,480
2015-10-21 14:15:00,51,51,51,51,2520
2015-11-01 12:40:00,49,51,51,49,6107
2015-11-01 13:32:00,48,48,48,48,180
2015-11-01 14:02:00,48,48,48,48,380
2015-11-01 14:24:00,49,49,49,49,200
2015-11-02 11:08:00,47.2,47.2,47.2,47.2,53
2015-11-02 11:13:00,47.2,47.2,47.2,47.2,53
2015-11-02 11:25:00,47.2,47.2,47.2,47.2,53
2015-11-02 11:37:00,47.2,47.2,47.2,47.2,53
2015-11-02 11:50:00,47.7,47.7,47.7,47.7,440
2015-11-02 13:16:00,47.8,47.8,47.8,47.8,300
2015-11-02 13:52:00,48.1,48.1,48.1,48.1,200
2015-11-02 13:57:00,48.1,48.1,48.1,48.1,993
2015-11-02 14:24:00,48.5,48.5,48.5,48.5,770
2015-11-03 12:36:00,49.4,49.4,49.4,49.4,9
2015-11-03 12:51:00,48.7,48.7,48.7,48.7,1100
2015-11-03 12:53:00,48.6,48.6,48.6,48.6,4291
2015-11-03 12:59:00,49,49,49,49,50
2015-11-03 13:01:00,48,48,48,48,8009
2015-11-03 14:10:00,47.7,47.7,47.7,47.7,14409
2015-11-03 14:13:00,47.9,47.9,47.9,47.9,1000
2015-11-03 14:17:00,47.8,47.8,47.8,47.8,1600
2015-11-03 14:19:00,47.7,47.7,47.7,47.7,1000
2015-11-03 14:27:00,48,48,48,48,1400
2015-11-04 10:41:00,47.2,47.2,47.2,47.2,18
2015-11-04 12:08:00,47.5,47.5,47.5,47.5,817
2015-11-04 12:42:00,47.5,47.5,47.5,47.5,363
2015-11-04 14:17:00,47.6,47.6,47.6,47.6,2000
2015-11-04 14:21:00,47.6,47.6,47.6,47.6,100
2015-11-11 12:40:00,46.3,46.3,46.3,46.3,544
2015-11-11 12:46:00,47,47,47,47,1263
2015-11-11 12:48:00,47,47,47,47,100
2015-11-11 12:51:00,46.3,46.3,46.3,46.3,93
2015-11-11 13:01:00,46.3,46.3,46.3,46.3,2000
2015-11-11 13:13:00,46.3,46.3,46.3,46.3,2000
2015-11-11 13:28:00,46.1,46.1,46.1,46.1,1000
2015-11-11 13:32:00,46.8,46.8,46.8,46.8,82
2015-11-11 14:04:00,46.5,46.5,46.5,46.5,318
2015-11-11 14:30:00,46,46,46,46,1780
2015-11-12 11:40:00,46.7,46.7,46.7,46.7,1831
2015-11-12 11:43:00,46.5,46.5,46.5,46.5,180
2015-11-12 11:49:00,46.7,46.7,46.7,46.7,200
