timestamp,closing,opening,high,low,volume
2015-10-15 10:44:00,610,610,610,610,1000
2015-10-15 10:48:00,608.3,608.3,608.3,608.3,2300
2015-10-15 10:52:00,620.8,620.8,620.8,620.8,200
2015-10-15 10:58:00,621,621,621,621,1200
2015-10-15 11:10:00,615,615,615,615,100
2015-10-15 11:14:00,611.1,611.1,611.1,611.1,300
2015-10-15 11:16:00,611,611,611,611,1600
2015-10-15 11:42:00,618.9,618.9,618.9,618.9,300
2015-10-15 11:56:00,619,619,619,619,25
2015-10-15 12:00:00,615.1,615.1,615.1,615.1,503
2015-10-15 12:10:00,615.1,615.1,615.1,615.1,10
2015-10-15 12:12:00,615.1,615.1,615.1,615.1,50
2015-10-15 12:20:00,615.1,615.1,615.1,615.1,600
2015-10-15 12:34:00,615.1,615.1,615.1,615.1,20
2015-10-15 12:36:00,615.1,615.1,615.1,615.1,450
2015-10-15 12:38:00,618,618,618,618,1600
2015-10-15 12:46:00,615,615,615,615,847
2015-10-15 12:48:00,611.5,611.5,611.5,611.5,700
2015-10-15 12:50:00,610,610,610,610,483
2015-10-15 12:58:00,609.5,609.5,609.5,609.5,64
2015-10-15 13:09:00,609,609,609,609,1011
2015-10-15 13:13:00,608.8,608.8,608.8,608.8,20
2015-10-15 13:25:00,609,609,609,609,1000
2015-10-15 13:27:00,609,609,609,609,310
2015-10-15 13:31:00,609,609,609,609,2490
2015-10-15 13:39:00,609,609,609,609,550
2015-10-15 13:41:00,609.1,609.1,609.1,609.1,100
2015-10-15 13:43:00,612,612,612,612,18
2015-10-15 13:45:00,612.9,612.9,612.9,612.9,100
2015-10-15 13:49:00,609,609,609,609,1682
2015-10-15 13:53:00,609,609,609,609,210
2015-10-15 13:57:00,609,609,609,609,250
2015-10-15 14:11:00,609.1,609.1,609.1,609.1,2400
2015-10-15 14:15:00,608.9,608.9,608.9,608.9,275
2015-10-15 14:17:00,608.9,608.9,608.9,608.9,2000
2015-10-15 14:19:00,608.9,608.9,608.9,608.9,1800
2015-10-15 14:23:00,609,609,609,609,75
2015-10-15 14:25:00,611,611,611,611,160
2015-10-15 14:27:00,611,611,611,611,100
2015-10-15 14:29:00,609.5,609.5,609.5,609.5,470
2015-10-18 11:46:00,613.7,613.7,613.7,613.7,67
2015-10-18 11:48:00,613.8,613.8,613.8,613.8,33
2015-10-18 11:52:00,609,609,609,609,51
2015-10-18 12:19:00,608.9,608.9,608.9,608.9,40
2015-10-18 12:21:00,608.9,608.9,608.9,608.9,60
2015-10-18 12:25:00,608.9,608.9,608.9,608.9,2
2015-10-18 12:27:00,608.9,608.9,608.9,608.9,998
2015-10-18 12:29:00,608,608,608,608,2
2015-10-18 12:45:00,607,607,607,607,50
2015-10-18 12:52:00,603.9,603.9,603.9,603.9,130
2015-10-18 12:54:00,603.9,603.9,603.9,603.9,87
2015-10-18 12:56:00,603.8,603.8,603.8,603.8,194
2015-10-18 13:02:00,603.8,603.8,603.8,603.8,100
2015-10-18 13:04:00,603.9,603.9,603.9,603.9,200
2015-10-18 13:06:00,603.9,603.9,603.9,603.9,50
2015-10-18 13:15:00,603.5,603.5,603.5,603.5,100
2015-10-18 13:21:00,603,603,603,603,500
2015-10-18 13:35:00,603,603,603,603,556
2015-10-18 13:53:00,606.5,606.5,606.5,606.5,50
2015-10-18 13:55:00,604.1,604.1,604.1,604.1,750
2015-10-18 13:57:00,603,603,603,603,1432
2015-10-18 14:09:00,607.4,607.4,607.4,607.4,71
2015-10-18 14:13:00,607.5,607.5,607.5,607.5,345
2015-10-18 14:15:00,607.5,607.5,607.5,607.5,470
2015-10-18 14:27:00,607.8,607.8,607.8,607.8,20
2015-10-18 14:29:00,607.9,607.9,607.9,607.9,94
2015-10-18 14:31:00,600,600,600,600,2500
2015-10-19 10:39:00,619,619,619,619,1000
2015-10-19 10:47:00,619,619,619,619,1000
2015-10-19 10:51:00,618,618,618,618,1
2015-10-19 11:33:00,605.2,605.2,605.2,605.2,60
2015-10-19 11:35:00,605.2,605.2,605.2,605.2,40
