timestamp,closing,opening,high,low,volume
2015-10-15 12:18:00,13.5,13.5,13.5,13.5,490
2015-10-15 12:38:00,13,13,13,13,2000
2015-10-15 13:09:00,13.3,13.3,13.3,13.3,10
2015-10-15 13:23:00,13,13,13,13,1000
2015-10-15 13:41:00,13,13,13,13,500
2015-10-15 13:43:00,13,13,13,13,1500
2015-10-15 14:07:00,12.9,12.9,12.9,12.9,1000
2015-10-15 14:09:00,12.9,12.9,12.9,12.9,500
2015-10-18 11:15:00,12.8,12.8,12.8,12.8,2000
2015-10-18 13:25:00,12.5,12.5,12.5,12.5,2500
2015-10-18 13:31:00,12.4,12.4,12.4,12.4,1040
2015-10-18 14:07:00,12.4,12.4,12.4,12.4,4460
2015-10-18 14:13:00,12.3,12.3,12.3,12.3,700
2015-10-18 14:25:00,12.2,12.2,12.2,12.2,1800
2015-10-18 14:31:00,12.1,12.1,12.1,12.1,550
2015-10-19 11:09:00,12.4,12.4,12.4,12.4,1000
2015-10-19 11:25:00,12.4,12.4,12.4,12.4,1000
2015-10-19 11:49:00,12.4,12.4,12.4,12.4,900
2015-10-19 11:59:00,12.4,12.4,12.4,12.4,200
2015-10-19 12:39:00,12.5,12.5,12.5,12.5,2300
2015-10-19 12:41:00,12.2,12.2,12.2,12.2,7000
2015-10-19 13:37:00,12.3,12.3,12.3,12.3,4000
2015-10-20 11:25:00,12.5,12.5,12.5,12.5,1000
2015-10-20 11:27:00,12.4,12.4,12.4,12.4,1000
2015-10-20 11:31:00,12.3,12.3,12.3,12.3,2500
2015-10-20 11:33:00,12.9,12.9,12.9,12.9,2000
2015-10-20 11:35:00,12.9,12.9,12.9,12.9,1000
2015-10-20 11:37:00,13,13,13,13,1100
2015-10-20 11:39:00,13,13,13,13,300
2015-10-20 13:23:00,12.2,12.2,12.2,12.2,5000
2015-10-20 13:37:00,12.4,12.4,12.4,12.4,800
2015-10-20 13:39:00,12.2,12.2,12.2,12.2,515
2015-10-20 13:55:00,11.4,11.4,11.4,11.4,500
2015-10-20 13:57:00,11.3,11.3,11.3,11.3,500
2015-10-20 14:29:00,11.6,11.6,11.6,11.6,200
2015-10-21 11:37:00,12.8,12.8,12.8,12.8,10
2015-10-21 12:45:00,12.5,12.5,12.5,12.5,200
2015-10-21 12:51:00,12.5,12.5,12.5,12.5,70
2015-10-21 13:07:00,12.1,12.1,12.1,12.1,2100
2015-10-21 13:13:00,12.1,12.1,12.1,12.1,1000
2015-10-21 13:19:00,12,12,12,12,1800
2015-10-21 13:21:00,11.9,11.9,11.9,11.9,1000
2015-10-21 13:47:00,12,12,12,12,5
2015-10-21 14:03:00,11.7,11.7,11.7,11.7,10
2015-10-21 14:09:00,11.8,11.8,11.8,11.8,45
2015-10-21 14:19:00,12,12,12,12,1000
2015-10-21 14:21:00,12.1,12.1,12.1,12.1,255
2015-11-01 13:32:00,9.7,12.1,12.1,9.7,7500
2015-11-01 13:38:00,8.7,8.7,8.7,8.7,1600
2015-11-01 13:40:00,8.5,8.5,8.5,8.5,7900
2015-11-01 13:54:00,8.5,8.5,8.5,8.5,500
2015-11-01 14:02:00,8.4,8.4,8.4,8.4,11005
