timestamp,closing,opening,high,low,volume
2021-03-09 10:22:00,40.5,40.5,40.5,40.5,1
2021-03-09 10:31:00,40.5,40.5,40.5,40.5,10
2021-03-09 11:55:00,40.5,40.5,40.5,40.5,210
2021-03-09 13:55:00,40.5,40.5,40.5,40.5,200
2021-03-10 10:00:00,52.7,60,60,52.7,2644892
2021-03-10 10:01:00,53,49,53,47.3,705441
2021-03-10 10:02:00,55.5,57.8,57.8,55.5,85070
2021-03-10 10:03:00,53.2,55.2,55.2,53.2,118667
2021-03-10 10:04:00,51,51.5,51.5,50.8,222106
2021-03-10 10:05:00,55,51,55,51,111727
2021-03-10 10:06:00,54,54.8,54.8,54,155940
2021-03-10 10:07:00,53.9,54,54,53.9,75190
2021-03-10 10:08:00,53.8,53.9,53.9,53.7,85056
2021-03-10 10:09:00,52.6,53.7,53.7,52.6,62252
2021-03-10 10:10:00,52.8,52.7,52.9,52.7,52992
2021-03-10 10:11:00,53.2,53,53.2,52.8,165156
2021-03-10 10:12:00,53.4,53.7,53.9,53.4,91142
2021-03-10 10:13:00,53.5,53.5,53.5,53.4,97403
2021-03-10 10:14:00,53.5,53.6,53.6,53.4,64585
2021-03-10 10:15:00,52.9,53.3,53.3,52.9,117438
2021-03-10 10:16:00,52,52.8,52.8,52,107998
2021-03-10 10:17:00,51.9,52,52,51.9,121917
2021-03-10 10:18:00,52.5,52.2,52.6,52.2,73347
2021-03-10 10:19:00,53.6,52.6,53.6,52.6,57988
2021-03-10 10:20:00,53.6,53.3,53.6,53.3,78236
2021-03-10 10:21:00,53.5,53.6,53.7,53.5,64168
2021-03-10 10:22:00,53.3,53.5,53.5,53.3,105361
2021-03-10 10:23:00,52.9,53.3,53.3,52.9,96192
2021-03-10 10:24:00,52.3,52.7,52.7,52.2,59992
2021-03-10 10:25:00,52.6,52.3,52.7,52.3,67649
2021-03-10 10:26:00,52.9,52.8,53,52.8,37759
2021-03-10 10:27:00,52.5,52.8,52.8,52.5,45796
2021-03-10 10:28:00,52.6,52.4,52.6,52.4,37586
2021-03-10 10:29:00,52.7,52.5,52.7,52.5,43492
2021-03-10 10:30:00,52.9,52.7,52.9,52.7,52890
2021-03-10 10:31:00,52.9,52.9,52.9,52.9,31426
2021-03-10 10:32:00,53.5,52.8,53.5,52.8,170978
2021-03-10 10:33:00,54.8,53.8,54.9,53.8,151063
2021-03-10 10:34:00,54.7,54.7,54.9,54.7,61676
2021-03-10 10:35:00,53.8,54.7,54.7,53.8,55319
2021-03-10 10:36:00,53.1,53.5,53.5,53.1,57971
2021-03-10 10:37:00,52.9,53.1,53.1,52.9,72122
2021-03-10 10:38:00,53.1,53,53.2,53,22142
2021-03-10 10:39:00,53.3,53.2,53.4,53.2,29771
2021-03-10 10:40:00,53.2,53.2,53.2,53.1,53896
2021-03-10 10:41:00,53.3,53.1,53.4,53.1,42211
2021-03-10 10:42:00,54,53.2,54,53.2,44520
2021-03-10 10:43:00,54.3,54.1,54.3,54.1,50736
2021-03-10 10:44:00,54.4,54.2,54.4,54.2,48458
2021-03-10 10:45:00,53.9,54.5,54.5,53.9,45323
2021-03-10 10:46:00,54,54.1,54.1,53.9,11388
2021-03-10 10:47:00,53.9,53.9,53.9,53.8,22799
2021-03-10 10:48:00,54.1,54,54.1,53.9,78655
2021-03-10 10:49:00,54,53.9,54.1,53.9,12599
2021-03-10 10:50:00,54.1,54,54.2,54,50290
2021-03-10 10:51:00,54.2,54.1,54.2,54.1,52817
2021-03-10 10:52:00,54.2,54.1,54.2,54.1,48655
2021-03-10 10:53:00,54,54.1,54.1,54,36678
2021-03-10 10:54:00,54,54,54.1,54,36034
2021-03-10 10:55:00,53.7,54,54,53.7,30070
2021-03-10 10:56:00,53.3,53.6,53.6,53.3,55661
2021-03-10 10:57:00,53.1,53.3,53.3,53.1,42468
2021-03-10 10:58:00,52.9,53,53,52.9,91720
2021-03-10 10:59:00,53.1,52.9,53.1,52.9,27821
2021-03-10 11:00:00,52.9,53,53.1,52.9,19297
2021-03-10 11:01:00,52.9,52.9,52.9,52.9,24068
2021-03-10 11:02:00,52.9,52.9,53,52.8,15723
2021-03-10 11:03:00,52.7,52.8,52.9,52.7,50920
2021-03-10 11:04:00,52.8,52.7,52.9,52.7,12120
2021-03-10 11:05:00,52.8,52.8,52.9,52.8,28160
2021-03-10 11:06:00,52.9,52.9,52.9,52.9,23300
2021-03-10 11:07:00,53,53,53,52.9,52418
2021-03-10 11:08:00,53,53.1,53.1,53,21197
2021-03-10 11:09:00,52.8,53.1,53.1,52.8,66039
2021-03-10 11:10:00,52.8,52.9,52.9,52.8,34542
2021-03-10 11:11:00,52.8,52.8,52.9,52.8,37270
2021-03-10 11:12:00,52.7,52.7,52.7,52.6,12000
2021-03-10 11:13:00,52.6,52.8,52.8,52.6,12597
2021-03-10 11:14:00,52.6,52.6,52.6,52.5,30663
2021-03-10 11:15:00,52.2,52.6,52.6,52.2,76501
2021-03-10 11:16:00,52.3,52.3,52.3,52.2,61439
2021-03-10 11:17:00,51.9,52.3,52.3,51.9,168466
2021-03-10 11:18:00,52.1,51.9,52.4,51.9,21827
2021-03-10 11:19:00,52.4,52,52.4,52,25270
2021-03-10 11:20:00,52.1,52.2,52.2,52.1,13915
2021-03-10 11:21:00,52.1,52.1,52.3,52.1,12700
2021-03-10 11:22:00,52.2,52.2,52.3,52.2,27466
2021-03-10 11:23:00,52.3,52.1,52.3,52.1,22118
2021-03-10 11:24:00,52.2,52.3,52.3,52.2,20443
2021-03-10 11:25:00,52.4,52.3,52.5,52.3,11650
2021-03-10 11:26:00,52.5,52.5,52.5,52.4,21758
2021-03-10 11:27:00,52.4,52.4,52.5,52.4,9550
2021-03-10 11:28:00,52.4,52.4,52.5,52.3,18317
2021-03-10 11:29:00,52.3,52.4,52.4,52.3,13305
2021-03-10 11:30:00,52.4,52.4,52.4,52.3,11950
2021-03-10 11:31:00,52.2,52.3,52.3,52.2,13138
2021-03-10 11:32:00,52.2,52.2,52.2,52.2,17879
2021-03-10 11:33:00,51.7,52.2,52.2,51.7,83341
2021-03-10 11:34:00,51.8,51.8,51.9,51.7,9160
2021-03-10 11:35:00,51.7,51.8,51.8,51.7,16532
2021-03-10 11:36:00,51.7,51.8,51.8,51.6,30671
2021-03-10 11:37:00,51.5,51.7,51.7,51.5,35341
2021-03-10 11:38:00,51.6,51.5,51.6,51.4,11883
2021-03-10 11:39:00,51.6,51.5,51.6,51.5,13780
2021-03-10 11:40:00,51.6,51.6,51.7,51.5,7680
2021-03-10 11:41:00,51.5,51.6,51.6,51.5,16246
2021-03-10 11:42:00,51.6,51.5,51.6,51.5,15741
2021-03-10 11:43:00,51.7,51.5,51.7,51.5,10962
2021-03-10 11:44:00,51.8,51.6,51.8,51.6,20120
2021-03-10 11:45:00,52.2,51.9,52.2,51.9,18172
2021-03-10 11:46:00,52.2,52.2,52.2,52.2,18925
2021-03-10 11:47:00,52.1,52.2,52.2,52,9160
2021-03-10 11:48:00,52.4,52.1,52.4,52.1,8750
2021-03-10 11:49:00,52.5,52.5,52.5,52.5,32085
2021-03-10 11:50:00,52.4,52.5,52.5,52.3,15580
2021-03-10 11:51:00,52.4,52.4,52.5,52.4,8663
2021-03-10 11:52:00,52.4,52.4,52.5,52.4,6800
2021-03-10 11:53:00,52.2,52.3,52.3,52.2,10790
2021-03-10 11:54:00,52.3,52.2,52.4,52.2,6545
2021-03-10 11:55:00,52.5,52.3,52.5,52.3,9465
2021-03-10 11:56:00,52.3,52.4,52.4,52.3,17580
2021-03-10 11:57:00,52.3,52.3,52.4,52.3,7211
2021-03-10 11:58:00,52.4,52.3,52.4,52.3,9882
2021-03-10 11:59:00,52.4,52.3,52.4,52.3,4180
2021-03-10 12:00:00,52.4,52.4,52.5,52.4,13550
2021-03-10 12:01:00,52.4,52.5,52.5,52.4,10100
2021-03-10 12:02:00,52.4,52.3,52.5,52.3,3146
2021-03-10 12:03:00,52.3,52.4,52.5,52.3,7056
2021-03-10 12:04:00,52.5,52.3,52.5,52.3,14132
2021-03-10 12:05:00,52.4,52.5,52.5,52.4,3539
2021-03-10 12:06:00,52.4,52.3,52.4,52.3,7550
2021-03-10 12:07:00,52.5,52.5,52.5,52.4,4900
2021-03-10 12:08:00,52.4,52.4,52.4,52.3,8250
2021-03-10 12:09:00,52.6,52.4,52.6,52.4,10461
2021-03-10 12:10:00,52.6,52.6,52.6,52.6,5755
2021-03-10 12:11:00,52.8,52.5,52.8,52.5,25836
2021-03-10 12:12:00,52.7,52.7,52.8,52.7,46370
2021-03-10 12:13:00,52.8,52.8,52.9,52.8,46339
2021-03-10 12:14:00,53.1,52.8,53.1,52.8,56761
2021-03-10 12:15:00,53.5,53.4,53.6,53.3,65603
2021-03-10 12:16:00,53.6,53.5,53.7,53.5,10000
2021-03-10 12:17:00,53.2,53.5,53.5,53.2,12921
2021-03-10 12:18:00,53.3,53.2,53.3,53.2,12100
2021-03-10 12:19:00,53.1,53,53.2,53,13950
2021-03-10 12:20:00,53.2,53.2,53.2,53.1,7870
2021-03-10 12:21:00,52.9,53,53,52.9,16218
2021-03-10 12:22:00,52.8,52.9,53,52.8,12000
2021-03-10 12:23:00,52.9,52.8,52.9,52.8,18600
2021-03-10 12:24:00,52.7,52.8,52.8,52.7,11500
2021-03-10 12:25:00,52.8,52.8,52.9,52.8,10200
2021-03-10 12:26:00,53,52.9,53,52.9,9722
2021-03-10 12:27:00,52.9,53,53,52.9,23418
2021-03-10 12:28:00,53.4,53.1,53.4,53.1,12281
2021-03-10 12:29:00,53.4,53.2,53.4,53.2,36200
2021-03-10 12:30:00,53.4,53.4,53.5,53.4,47227
2021-03-10 12:31:00,53.3,53.4,53.4,53.3,19835
2021-03-10 12:32:00,53.3,53.3,53.3,53.3,23790
2021-03-10 12:33:00,53.3,53.3,53.3,53.1,7600
2021-03-10 12:34:00,53.3,53.3,53.3,53.1,17449
2021-03-10 12:35:00,53.3,53.3,53.3,53.1,7585
2021-03-10 12:36:00,53.3,53.4,53.4,53.3,31308
2021-03-10 12:37:00,53.4,53.3,53.4,53.3,44073
2021-03-10 12:38:00,53.7,53.4,53.7,53.4,30759
2021-03-10 12:39:00,53.9,53.6,53.9,53.6,116350
2021-03-10 12:40:00,54.1,53.8,54.2,53.8,157875
2021-03-10 12:41:00,54.5,54.2,54.5,54.2,19724
2021-03-10 12:42:00,54.8,54.6,54.9,54.6,34350
2021-03-10 12:43:00,54.8,54.8,54.9,54.8,34263
2021-03-10 12:44:00,54.9,54.8,54.9,54.8,31770
2021-03-10 12:45:00,54.8,54.9,54.9,54.8,26118
2021-03-10 12:46:00,55,54.9,55,54.9,29753
2021-03-10 12:47:00,55,55,55,54.9,49822
2021-03-10 12:48:00,55.2,54.9,55.2,54.9,187691
2021-03-10 12:49:00,56.1,55.7,56.1,55.7,119783
2021-03-10 12:50:00,56.8,56.4,57,56.4,35010
2021-03-10 12:51:00,56.8,56.8,56.8,56.5,56117
2021-03-10 12:52:00,56.8,56.9,56.9,56.8,18523
2021-03-10 12:53:00,56.2,56.7,56.7,56.2,12660
2021-03-10 12:54:00,55.5,56.2,56.2,55.5,30213
2021-03-10 12:55:00,55.4,55.5,55.9,55.4,13601
2021-03-10 12:56:00,55.8,55.4,55.8,55.4,4120
2021-03-10 12:57:00,55.7,55.8,55.8,55.7,8958
2021-03-10 12:58:00,56.1,55.8,56.1,55.7,33616
2021-03-10 12:59:00,56.5,56.1,56.6,56.1,38339
2021-03-10 13:00:00,56.4,56.3,56.4,56.3,6758
2021-03-10 13:01:00,56.4,56.3,56.4,56.2,6595
2021-03-10 13:02:00,56.2,56.4,56.4,56.2,13038
2021-03-10 13:03:00,55.8,56.1,56.1,55.8,13228
2021-03-10 13:04:00,55.8,55.8,56,55.8,5842
2021-03-10 13:05:00,56,55.8,56,55.8,5681
2021-03-10 13:06:00,56,56,56.1,56,6613
2021-03-10 13:07:00,56,56,56.1,56,7770
2021-03-10 13:08:00,56,56.1,56.1,56,15317
2021-03-10 13:09:00,56,56,56.1,56,4743
2021-03-10 13:10:00,56.4,56,56.4,56,9596
2021-03-10 13:11:00,56.6,56.4,56.6,56.4,29297
2021-03-10 13:12:00,56.7,56.6,56.7,56.6,9530
2021-03-10 13:13:00,56.7,56.7,56.8,56.6,32243
2021-03-10 13:14:00,56.9,56.7,56.9,56.7,33655
2021-03-10 13:15:00,56.9,56.9,57,56.8,56669
2021-03-10 13:16:00,56.9,57,57,56.9,10660
2021-03-10 13:17:00,56.9,56.9,57,56.9,23241
2021-03-10 13:18:00,56.9,56.9,56.9,56.9,17352
2021-03-10 13:19:00,57,57,57,56.9,11720
2021-03-10 13:20:00,56.9,56.9,56.9,56.9,4369
2021-03-10 13:21:00,56.9,57,57,56.9,8430
2021-03-10 13:22:00,57,56.9,57.1,56.9,43332
2021-03-10 13:23:00,57.5,57,57.5,57,16210
2021-03-10 13:24:00,57.8,57.5,57.8,57.5,68451
2021-03-10 13:25:00,57.9,57.7,57.9,57.7,31063
2021-03-10 13:26:00,57.9,57.9,58,57.9,30110
2021-03-10 13:27:00,58.2,58,58.2,58,23905
2021-03-10 13:28:00,58.6,58.5,58.7,58.5,62852
2021-03-10 13:29:00,58.6,58.7,58.7,58.6,10135
2021-03-10 13:30:00,58.6,58.6,58.8,58.6,21190
2021-03-10 13:31:00,59,58.7,59,58.7,18326
2021-03-10 13:32:00,59.6,59.2,59.7,59.2,56469
2021-03-10 13:33:00,59.6,59.7,59.7,59.5,15980
2021-03-10 13:34:00,59.7,59.7,59.8,59.4,78789
