timestamp,closing,opening,high,low,volume
2015-10-15 10:36:00,40,40,40,40,330
2015-10-15 10:44:00,40,40,40,40,200
2015-10-15 11:04:00,40.4,40.4,40.4,40.4,10
2015-10-15 11:26:00,40,40,40,40,270
2015-10-15 11:28:00,40.3,40.3,40.3,40.3,9000
2015-10-15 11:36:00,40.4,40.4,40.4,40.4,2420
2015-10-15 11:54:00,40.4,40.4,40.4,40.4,200
2015-10-15 11:56:00,40.5,40.5,40.5,40.5,2000
2015-10-15 12:00:00,40.5,40.5,40.5,40.5,1000
2015-10-15 12:02:00,40.5,40.5,40.5,40.5,6000
2015-10-15 12:04:00,40.5,40.5,40.5,40.5,500
2015-10-15 12:06:00,40.5,40.5,40.5,40.5,200
2015-10-15 12:08:00,40.5,40.5,40.5,40.5,10500
2015-10-15 12:14:00,40.4,40.4,40.4,40.4,455
2015-10-15 12:17:00,40.1,40.1,40.1,40.1,3000
2015-10-15 12:18:00,40.1,40.1,40.1,40.1,7100
2015-10-15 12:20:00,40.2,40.2,40.2,40.2,4000
2015-10-15 12:26:00,40.2,40.2,40.2,40.2,1400
2015-10-15 12:31:00,40.4,40.4,40.4,40.4,45
2015-10-15 12:34:00,40.4,40.4,40.4,40.4,55
2015-10-15 12:36:00,40.4,40.4,40.4,40.4,95
2015-10-15 12:38:00,40.3,40.5,40.5,40.3,3455
2015-10-15 12:40:00,40.5,40.5,40.5,40.5,200
2015-10-15 12:50:00,40.5,40.5,40.5,40.5,4505
2015-10-15 12:56:00,40.4,40.4,40.4,40.4,105
2015-10-15 13:07:00,40.4,40.4,40.4,40.4,495
2015-10-15 13:19:00,40.1,40.1,40.1,40.1,15000
2015-10-15 13:39:00,40.1,40.1,40.1,40.1,350
2015-10-15 13:57:00,40.1,40.1,40.1,40.1,8325
2015-10-15 13:59:00,40.1,40.1,40.1,40.1,2000
2015-10-15 14:01:00,40,40,40,40,21857
2015-10-15 14:03:00,40,40,40,40,1000
2015-10-15 14:15:00,39.6,39.6,39.6,39.6,15000
2015-10-15 14:19:00,39.6,39.6,39.6,39.6,15000
2015-10-15 14:23:00,39.9,39.9,39.9,39.9,1600
2015-10-15 14:25:00,39.9,39.9,39.9,39.9,12000
2015-10-15 14:27:00,39.6,39.6,39.6,39.6,3843
2015-10-15 14:29:00,39.8,39.8,39.8,39.8,100
2015-10-15 14:31:00,39.5,39.5,39.5,39.5,10737
2015-10-18 11:05:00,39.7,39.7,39.7,39.7,1250
2015-10-18 11:07:00,39.5,39.5,39.5,39.5,10000
2015-10-18 11:15:00,39.4,39.4,39.4,39.4,500
2015-10-18 11:17:00,39.4,39.4,39.4,39.4,2500
2015-10-18 11:19:00,39.3,39.3,39.3,39.3,2000
2015-10-18 11:21:00,39.3,39.3,39.3,39.3,500
2015-10-18 11:23:00,39.3,39.3,39.3,39.3,200
2015-10-18 11:24:00,39.3,39.3,39.3,39.3,3000
2015-10-18 11:26:00,39.3,39.3,39.3,39.3,1000
2015-10-18 11:36:00,39.3,39.3,39.3,39.3,1200
2015-10-18 11:38:00,39.3,39.3,39.3,39.3,500
2015-10-18 11:42:00,39.3,39.3,39.3,39.3,3500
2015-10-18 11:46:00,39.3,39.3,39.3,39.3,8600
2015-10-18 11:48:00,39.2,39.2,39.2,39.2,12900
2015-10-18 11:50:00,39.1,39.1,39.1,39.1,600
2015-10-18 11:58:00,39.2,39.2,39.2,39.2,150
2015-10-18 12:00:00,39.1,39.1,39.1,39.1,14490
2015-10-18 12:02:00,39,39,39,39,20010
2015-10-18 12:13:00,39.2,39.2,39.2,39.2,10
2015-10-18 12:17:00,39.2,39.2,39.2,39.2,210
2015-10-18 12:52:00,38.7,38.7,38.7,38.7,3000
2015-10-18 13:00:00,38.7,38.7,38.7,38.7,50
2015-10-18 13:08:00,38.7,38.7,38.7,38.7,200
2015-10-18 13:15:00,38.8,38.8,38.8,38.8,500
2015-10-18 13:17:00,38.7,38.7,38.7,38.7,1020
2015-10-18 13:21:00,38.7,38.7,38.7,38.7,3300
2015-10-18 13:23:00,38.7,38.7,38.7,38.7,5000
2015-10-18 13:33:00,38.7,38.7,38.7,38.7,250
2015-10-18 13:35:00,38.7,38.7,38.7,38.7,1120
2015-10-18 13:39:00,38.6,38.6,38.6,38.6,290
2015-10-18 13:41:00,38.6,38.6,38.6,38.6,200
2015-10-18 13:42:00,38.8,38.8,38.8,38.8,450
2015-10-18 13:47:00,38.7,38.7,38.7,38.7,1000
2015-10-18 13:51:00,38.7,38.7,38.7,38.7,220
2015-10-18 13:57:00,38.7,38.7,38.7,38.7,1000
2015-10-18 14:01:00,38.6,38.6,38.6,38.6,1500
2015-10-18 14:03:00,38.7,38.7,38.7,38.7,53
2015-10-18 14:07:00,38.6,38.6,38.6,38.6,200
2015-10-18 14:09:00,38.6,38.6,38.6,38.6,6040
2015-10-18 14:19:00,38.6,38.6,38.6,38.6,608
2015-10-18 14:21:00,38.6,38.6,38.6,38.6,3520
2015-10-18 14:25:00,38.7,38.7,38.7,38.7,100
2015-10-18 14:27:00,38.7,38.7,38.7,38.7,3000
2015-10-18 14:31:00,38.6,38.6,38.6,38.6,1816
2015-10-18 14:33:00,38.7,38.7,38.7,38.7,500
2015-10-19 10:55:00,38.2,38.2,38.2,38.2,70
2015-10-19 11:01:00,39.4,39.4,39.4,39.4,1000
2015-10-19 11:03:00,39.9,39.9,39.9,39.9,20000
2015-10-19 11:11:00,40,40,40,40,8350
2015-10-19 11:27:00,39.7,39.7,39.7,39.7,1250
2015-10-19 11:33:00,39.3,39.3,39.3,39.3,5000
2015-10-19 11:37:00,38.8,38.8,38.8,38.8,600
2015-10-19 11:39:00,38.6,38.6,38.6,38.6,20600
2015-10-19 11:41:00,38.6,38.6,38.6,38.6,2160
2015-10-19 11:47:00,38.6,38.6,38.6,38.6,2700
2015-10-19 11:49:00,38.6,38.6,38.6,38.6,5800
2015-10-19 11:51:00,38.8,38.8,38.8,38.8,200
2015-10-19 11:59:00,39,39,39,39,1900
2015-10-19 12:05:00,39.4,39.4,39.4,39.4,4000
2015-10-19 12:07:00,40,40,40,40,40140
2015-10-19 12:21:00,39.1,39.1,39.1,39.1,100
2015-10-19 12:31:00,39.1,39.1,39.1,39.1,2000
2015-10-19 12:39:00,39.4,39.4,39.4,39.4,3200
2015-10-19 12:45:00,39.5,39.5,39.5,39.5,1660
2015-10-19 12:49:00,39.6,39.6,39.6,39.6,6340
2015-10-19 13:17:00,39.3,39.3,39.3,39.3,200
2015-10-19 13:19:00,39.5,39.5,39.5,39.5,1000
2015-10-19 13:21:00,39.5,39.5,39.5,39.5,2000
2015-10-19 13:23:00,39.5,39.5,39.5,39.5,1045
2015-10-19 13:25:00,39.6,39.6,39.6,39.6,2750
2015-10-19 13:27:00,39.1,39.1,39.1,39.1,200
2015-10-19 13:29:00,39.2,39.2,39.2,39.2,9000
2015-10-19 13:31:00,39.2,39.2,39.2,39.2,21000
2015-10-19 13:53:00,39.3,39.3,39.3,39.3,2340
2015-10-19 13:57:00,39.2,39.2,39.2,39.2,1055
2015-10-19 14:07:00,39.5,39.5,39.5,39.5,7305
2015-10-19 14:11:00,40,40,40,40,24570
2015-10-19 14:17:00,40.1,40.1,40.1,40.1,9025
2015-10-19 14:19:00,40.1,40.1,40.1,40.1,2000
2015-10-19 14:21:00,40.1,40.1,40.1,40.1,4000
2015-10-19 14:23:00,40.1,40.1,40.1,40.1,1000
2015-10-19 14:25:00,40.6,40.6,40.6,40.6,8010
2015-10-20 10:41:00,39.1,39.1,39.1,39.1,200
2015-10-20 10:47:00,39.5,39.5,39.5,39.5,5000
2015-10-20 11:05:00,39.4,39.4,39.4,39.4,2000
2015-10-20 11:09:00,39.4,39.4,39.4,39.4,2050
2015-10-20 11:11:00,39.2,39.2,39.2,39.2,10600
2015-10-20 11:23:00,39.5,39.5,39.5,39.5,100
2015-10-20 11:31:00,39.4,39.4,39.4,39.4,900
2015-10-20 11:33:00,39.7,39.7,39.7,39.7,6113
2015-10-20 11:35:00,40.3,40.3,40.3,40.3,9500
2015-10-20 12:01:00,40.7,40.7,40.7,40.7,18500
2015-10-20 12:07:00,40.2,40.2,40.2,40.2,200
2015-10-20 12:09:00,40.9,40.9,40.9,40.9,1
2015-10-20 12:19:00,40.5,40.5,40.5,40.5,2000
2015-10-20 12:21:00,40.8,40.8,40.8,40.8,7800
2015-10-20 12:31:00,40.5,40.5,40.5,40.5,1500
2015-10-20 12:37:00,40.3,40.3,40.3,40.3,120
2015-10-20 12:39:00,40.4,40.4,40.4,40.4,12030
2015-10-20 12:41:00,40.4,40.4,40.4,40.4,200
2015-10-20 12:47:00,40.9,40.9,40.9,40.9,34730
2015-10-20 12:53:00,40.8,40.8,40.8,40.8,125
2015-10-20 12:55:00,40.9,40.9,40.9,40.9,14515
2015-10-20 12:57:00,40.9,40.9,40.9,40.9,35
2015-10-20 13:09:00,40.7,40.7,40.7,40.7,9980
