timestamp,closing,opening,high,low,volume
2015-10-15 12:02:00,15.8,15.8,15.8,15.8,60
2015-10-15 12:06:00,14.5,14.5,14.5,14.5,2
2015-10-15 12:08:00,15.8,15.8,15.8,15.8,727
2015-10-15 12:50:00,14.3,14.3,14.3,14.3,5756
2015-10-15 13:47:00,14.5,14.5,14.5,14.5,500
2015-10-15 14:31:00,15.5,15.5,15.5,15.5,500
2015-10-18 11:15:00,14.7,14.7,14.7,14.7,100
2015-10-18 11:19:00,14.5,14.5,14.5,14.5,1000
2015-10-18 12:43:00,14.5,14.5,14.5,14.5,300
2015-10-18 13:17:00,15.4,15.4,15.4,15.4,800
2015-10-18 14:01:00,15,15,15,15,2000
2015-10-18 14:13:00,15,15,15,15,1000
2015-10-18 14:19:00,15,15,15,15,1000
2015-10-18 14:31:00,15.3,15.3,15.3,15.3,400
2015-10-18 14:33:00,15.3,15.3,15.3,15.3,500
2015-10-19 11:23:00,15,15,15,15,500
2015-10-19 12:13:00,16,16,16,16,1689
2015-10-19 12:41:00,15,15,15,15,900
2015-10-19 13:09:00,14.6,14.6,14.6,14.6,100
2015-10-19 13:11:00,14.5,14.5,14.5,14.5,900
2015-10-19 14:25:00,14.5,14.5,14.5,14.5,1200
2015-10-20 13:13:00,14.2,14.2,14.2,14.2,1500
2015-10-20 13:15:00,14.1,14.1,14.1,14.1,1000
2015-10-20 13:17:00,14,14,14,14,2500
2015-10-20 14:19:00,13.9,13.9,13.9,13.9,300
2015-10-20 14:21:00,13.8,13.8,13.8,13.8,300
2015-10-20 14:25:00,13.7,13.7,13.7,13.7,900
2015-10-20 14:27:00,13.7,13.7,13.7,13.7,860
2015-10-20 14:29:00,13.6,13.6,13.6,13.6,1000
2015-10-21 11:23:00,14,14,14,14,10
2015-10-21 11:35:00,13.6,13.6,13.6,13.6,990
2015-10-21 12:17:00,13.7,13.7,13.7,13.7,200
2015-10-21 12:39:00,14,14,14,14,1000
2015-10-21 12:45:00,14.4,14.4,14.4,14.4,2400
2015-10-21 13:43:00,14.8,14.8,14.8,14.8,10
2015-10-21 13:45:00,14,14,14,14,2648
2015-10-21 14:09:00,14,14,14,14,300
2015-10-21 14:11:00,14,14,14,14,500
2015-11-01 13:38:00,14.3,14,14.3,14,8063
2015-11-01 13:54:00,13.5,13.5,13.5,13.5,6600
2015-11-01 14:02:00,13.5,13.5,13.5,13.5,6605
2015-11-01 14:06:00,13.5,13.5,13.5,13.5,1995
2015-11-01 14:08:00,13.5,13.5,13.5,13.5,5000
2015-11-02 11:13:00,13,13,13,13,200
2015-11-02 11:25:00,13,13,13,13,200
2015-11-02 11:37:00,13,13,13,13,200
2015-11-02 12:04:00,13,13,13,13,2300
2015-11-02 12:10:00,12.9,12.9,12.9,12.9,300
2015-11-02 12:12:00,12.9,12.9,12.9,12.9,300
2015-11-02 12:19:00,13.3,13.3,13.3,13.3,10
2015-11-02 12:31:00,12.9,12.9,12.9,12.9,300
2015-11-02 12:35:00,13,13,13,13,2001
2015-11-02 12:39:00,13.2,13.2,13.2,13.2,9
2015-11-02 12:45:00,13.2,13.2,13.2,13.2,9
2015-11-02 12:51:00,13,13,13,13,2000
2015-11-02 13:02:00,13,13,13,13,1000
2015-11-02 13:12:00,13.1,13.1,13.1,13.1,1100
2015-11-02 13:34:00,13.1,13.1,13.1,13.1,700
2015-11-02 13:54:00,13.2,13.2,13.2,13.2,4731
2015-11-02 13:57:00,13,13,13,13,15576
2015-11-02 14:01:00,13.1,13.1,13.1,13.1,1100
2015-11-02 14:18:00,13.1,13.1,13.1,13.1,900
2015-11-02 14:20:00,13,13,13,13,2052
2015-11-02 14:28:00,12.9,12.9,12.9,12.9,8300
2015-11-02 14:30:00,12.7,12.7,12.7,12.7,10748
2015-11-03 12:32:00,14.1,14.1,14.1,14.1,1000
2015-11-03 12:39:00,14.1,14.1,14.1,14.1,1000
2015-11-03 12:40:00,14.1,14.1,14.1,14.1,1400
2015-11-03 12:43:00,14.1,14.1,14.1,14.1,100
2015-11-03 12:44:00,14,14,14,14,800
2015-11-03 13:17:00,14,14,14,14,100
2015-11-03 13:22:00,14,14,14,14,400
2015-11-03 14:10:00,14,14,14,14,3800
2015-11-03 14:15:00,14,14,14,14,1110
2015-11-03 14:21:00,14,14,14,14,2130
2015-11-03 14:25:00,14.1,14.1,14.1,14.1,1076
2015-11-04 11:23:00,14.5,14.5,14.5,14.5,5
2015-11-04 11:36:00,15,15,15,15,30000
2015-11-04 11:38:00,15,15,15,15,800
2015-11-04 11:46:00,14.6,14.6,14.6,14.6,1000
2015-11-04 12:30:00,15.2,15.2,15.2,15.2,1
2015-11-04 13:02:00,15,15,15,15,11
2015-11-04 13:10:00,15,15,15,15,500
2015-11-04 13:13:00,15.2,15.2,15.2,15.2,2000
2015-11-04 13:19:00,15,15,15,15,1000
2015-11-04 13:51:00,15.2,15.2,15.2,15.2,1000
2015-11-04 14:15:00,15,15,15,15,1500
2015-11-04 14:17:00,15.2,15.2,15.2,15.2,20000
2015-11-04 14:23:00,15.2,15.2,15.2,15.2,999
2015-11-11 13:13:00,15,15,15,15,10000
2015-11-11 13:22:00,15,15,15,15,3718
2015-11-11 13:42:00,14.8,14.8,14.8,14.8,1500
2015-11-12 12:06:00,15,15,15,15,3000
2015-11-12 12:12:00,15,15,15,15,3000
2015-11-12 12:18:00,15,15,15,15,3000
2015-11-12 12:24:00,15,15,15,15,3000
