timestamp,closing,opening,high,low,volume
2021-02-02 10:00:00,81,81,81,81,220
2021-02-02 10:18:00,81,81,81,81,100
2021-02-02 10:33:00,81,81,81,81,100
2021-02-02 10:55:00,81,81,81,81,100
2021-02-02 11:29:00,81,81,81,81,1
2021-02-02 11:33:00,81,81,81,81,1
2021-02-02 11:40:00,81,81,81,81,1
2021-02-02 12:13:00,81,81,81,81,100
2021-02-02 12:14:00,81,81,81,81,7
2021-02-02 12:35:00,81,81,81,81,10
2021-02-02 12:41:00,81,81,81,81,5
2021-02-02 13:21:00,81,81,81,81,10
2021-02-02 13:34:00,81,81,81,81,25
2021-02-02 14:18:00,81,81,81,81,20
2021-02-02 14:19:00,81,81,81,81,15
2021-02-02 14:20:00,81,81,81,81,11
2021-02-02 14:21:00,81,81,81,81,4
2021-02-03 10:00:00,111.2,111.2,111.2,110.1,757220
2021-02-03 10:01:00,100,111.2,111.2,100,295574
2021-02-03 10:02:00,96.4,100,100,96.2,89556
2021-02-03 10:03:00,96,96.5,96.5,95.2,247804
2021-02-03 10:04:00,102.2,100,102.2,99,95913
2021-02-03 10:05:00,105,102.3,105,102.3,15770
2021-02-03 10:06:00,107.9,105.9,107.9,105,37179
2021-02-03 10:07:00,101,104.3,104.3,101,82542
2021-02-03 10:08:00,98.2,99.4,99.4,97.3,53897
2021-02-03 10:09:00,99,98.2,99,98.2,102710
2021-02-03 10:10:00,100,99,100,99,44505
2021-02-03 10:11:00,99.9,99.8,100,99.8,43775
2021-02-03 10:12:00,104.9,100,104.9,100,47311
2021-02-03 10:13:00,104.3,104.9,104.9,104,30669
2021-02-03 10:14:00,104.8,104.7,104.9,104.7,37552
2021-02-03 10:15:00,101.1,104.7,104.7,101.1,17915
2021-02-03 10:16:00,102.1,102.1,103,102.1,15558
2021-02-03 10:17:00,102.5,102.1,103,102.1,15160
2021-02-03 10:18:00,102.3,102.4,102.6,102.3,32952
2021-02-03 10:19:00,102.6,102.4,102.6,102.3,27200
2021-02-03 10:20:00,102.4,102.6,103,102.4,25349
2021-02-03 10:21:00,102,102.5,102.5,102,17184
2021-02-03 10:22:00,101.2,102,102,101.2,17896
2021-02-03 10:23:00,100.5,101.2,101.3,100.5,22177
2021-02-03 10:24:00,100.2,100.3,100.3,100,41974
2021-02-03 10:25:00,99,100,100,99,18192
2021-02-03 10:26:00,98.6,99,99,98.6,12903
2021-02-03 10:27:00,99,98.6,99,98.6,14048
2021-02-03 10:28:00,99.4,99,99.4,99,11312
2021-02-03 10:29:00,100,99.9,100,99.5,36942
2021-02-03 10:30:00,101,101,101.3,101,25383
2021-02-03 10:31:00,99.5,100,100,99.5,41237
2021-02-03 10:32:00,99.6,99.5,100,99.5,12690
2021-02-03 10:33:00,99.9,100,100,99.9,11845
2021-02-03 10:34:00,99.9,100,100.3,99.9,27023
2021-02-03 10:35:00,99.7,100,100,99.7,14833
2021-02-03 10:36:00,99.6,99.8,99.8,99.6,15491
2021-02-03 10:37:00,99.5,99.5,99.5,99.1,25783
2021-02-03 10:38:00,98.9,99.5,99.5,98.9,25946
2021-02-03 10:39:00,99.2,98.9,99.2,98.9,48099
2021-02-03 10:40:00,99.9,99.5,99.9,99.5,16035
2021-02-03 10:41:00,100.9,100.2,100.9,100.2,29873
2021-02-03 10:42:00,101.1,101.1,101.1,100.6,28264
2021-02-03 10:43:00,102,101.1,102,101.1,42238
2021-02-03 10:44:00,102.1,102,102.2,102,37286
2021-02-03 10:45:00,102.2,102.9,102.9,102,28007
2021-02-03 10:46:00,102.1,102.1,102.3,102.1,24550
2021-02-03 10:47:00,101.9,102,102.2,101.5,21044
2021-02-03 10:48:00,101.7,101.5,101.8,101.2,26340
2021-02-03 10:49:00,101,101.2,101.3,101,12549
2021-02-03 10:50:00,100,101.1,101.1,100,38829
2021-02-03 10:51:00,100,99.7,100,99.4,12636
2021-02-03 10:52:00,99.4,99.4,99.4,99.4,7578
2021-02-03 10:53:00,99.5,99.7,100,99.4,5381
2021-02-03 10:54:00,99.6,100,100,99.5,12302
2021-02-03 10:55:00,99.5,99.6,99.6,99.5,7835
2021-02-03 10:56:00,99.5,99.5,99.6,99.5,7560
2021-02-03 10:57:00,99.6,99.5,99.6,99.5,5313
2021-02-03 10:58:00,99.5,99.5,99.6,99.5,14078
2021-02-03 10:59:00,99.8,99.5,99.9,99.5,13105
2021-02-03 11:00:00,99.8,99.7,99.8,99.7,7885
2021-02-03 11:01:00,100,99.9,100,99.8,35150
2021-02-03 11:02:00,100,100,100,99.9,22560
2021-02-03 11:03:00,99.8,99.9,99.9,99.8,21825
2021-02-03 11:04:00,99.8,99.9,99.9,99.8,6318
2021-02-03 11:05:00,99.8,99.8,99.9,99.8,29157
2021-02-03 11:06:00,99.8,99.8,99.9,99.8,16863
2021-02-03 11:07:00,100,99.8,100.1,99.8,23822
2021-02-03 11:08:00,100.7,100.2,100.8,100,22468
2021-02-03 11:09:00,100.5,100.1,100.7,100.1,9514
2021-02-03 11:10:00,100.8,100.5,100.8,100.5,22491
2021-02-03 11:11:00,100.2,100.8,100.8,100.2,11203
2021-02-03 11:12:00,100,100,100.2,100,8424
2021-02-03 11:13:00,99.9,100.1,100.1,99.9,9706
2021-02-03 11:14:00,99.9,99.8,99.9,99.8,5611
2021-02-03 11:15:00,100,100,100,99.9,2538
2021-02-03 11:16:00,100.8,100,100.8,100,17488
2021-02-03 11:17:00,100.3,100.1,100.3,100.1,6004
2021-02-03 11:18:00,100.8,100.3,100.8,100.3,8881
2021-02-03 11:19:00,100.8,100.4,100.8,100.4,10362
2021-02-03 11:20:00,100.1,100.9,101,100.1,49551
2021-02-03 11:21:00,100.2,100.1,100.2,100,6809
2021-02-03 11:22:00,100.8,100.2,100.8,100.2,8437
2021-02-03 11:23:00,100.8,100.9,101,100.8,17186
2021-02-03 11:24:00,100.8,100.7,100.8,100.7,3300
2021-02-03 11:25:00,100.9,100.8,101,100.8,9300
2021-02-03 11:26:00,101.7,101.1,101.7,101,26775
2021-02-03 11:27:00,101.1,101.6,101.6,101.1,14785
2021-02-03 11:28:00,101.1,101,101.1,100.9,24009
2021-02-03 11:29:00,100.8,101,101,100.8,7409
2021-02-03 11:30:00,100.3,100.9,100.9,100.3,13594
2021-02-03 11:31:00,100.5,100.4,100.5,100.4,8910
2021-02-03 11:32:00,100.3,100.5,100.6,100.3,10678
2021-02-03 11:33:00,100,100.4,100.4,100,41837
2021-02-03 11:34:00,99.8,99.8,100,99.8,26806
2021-02-03 11:35:00,99.9,99.9,99.9,99.8,5340
2021-02-03 11:36:00,99.9,99.9,100,99.9,8415
2021-02-03 11:37:00,99.9,100,100,99.9,5488
2021-02-03 11:38:00,99.9,100,100,99.9,6250
2021-02-03 11:39:00,99.8,99.9,99.9,99.8,6249
2021-02-03 11:40:00,100,99.9,100,99.9,11246
2021-02-03 11:41:00,100,100,100,100,6850
2021-02-03 11:42:00,99.9,100,100,99.9,11115
2021-02-03 11:43:00,100,100,100,100,19898
2021-02-03 11:44:00,100.2,100.1,100.2,100,5563
2021-02-03 11:45:00,100.3,100.2,100.3,100.2,17315
2021-02-03 11:46:00,100.3,100.2,100.3,100.2,3637
2021-02-03 11:47:00,100.8,100.7,101,100.7,27600
2021-02-03 11:48:00,100.9,101,101,100.9,13136
2021-02-03 11:49:00,100.9,100.9,100.9,100.9,6632
2021-02-03 11:50:00,100.5,100.9,100.9,100.5,6773
2021-02-03 11:51:00,100.9,100.4,100.9,100.4,3770
2021-02-03 11:52:00,101,100.6,101,100.5,9700
2021-02-03 11:53:00,100.6,100.9,100.9,100.6,5843
2021-02-03 11:54:00,100.5,100.5,101,100.3,8136
2021-02-03 11:55:00,100.5,101,101,100.4,5770
2021-02-03 11:56:00,100.9,100.5,100.9,100.5,6650
2021-02-03 11:57:00,100.5,100.9,100.9,100.5,7400
2021-02-03 11:58:00,100.4,100.9,100.9,100.4,7219
2021-02-03 11:59:00,100.6,100.5,100.6,100.5,2040
2021-02-03 12:00:00,100.4,100.6,100.9,100.4,5150
2021-02-03 12:01:00,100.5,100.4,100.8,100.4,2400
2021-02-03 12:02:00,100.6,100.6,100.8,100.6,2850
2021-02-03 12:03:00,100.5,100.5,100.6,100.5,11950
2021-02-03 12:04:00,100.8,100.6,100.9,100.6,3650
2021-02-03 12:05:00,100.5,100.8,100.8,100.5,2066
2021-02-03 12:06:00,100.7,100.5,100.7,100.5,2210
2021-02-03 12:07:00,100.8,100.6,100.8,100.6,6050
2021-02-03 12:08:00,100.6,100.7,100.7,100.6,4705
2021-02-03 12:09:00,100.7,100.7,100.8,100.7,2921
2021-02-03 12:10:00,100.9,100.7,100.9,100.7,5085
2021-02-03 12:11:00,100.9,100.9,101,100.8,36182
2021-02-03 12:12:00,101,101,101,101,21771
2021-02-03 12:13:00,101,101,101.2,101,10555
2021-02-03 12:14:00,101.1,101.2,101.2,101.1,8162
2021-02-03 12:15:00,101.1,101.1,101.1,101.1,3781
2021-02-03 12:16:00,101.2,101.1,101.2,101.1,20782
2021-02-03 12:17:00,101.3,101.2,101.3,101.2,21602
2021-02-03 12:18:00,101.3,101.5,101.5,101.3,3991
2021-02-03 12:19:00,101.5,101.4,101.5,101.4,12917
2021-02-03 12:20:00,101.4,101.4,101.4,101.3,6790
2021-02-03 12:21:00,101.5,101.3,101.5,101.3,4241
2021-02-03 12:22:00,101.4,101.4,101.5,101.3,6760
2021-02-03 12:23:00,101.7,101.5,101.7,101.4,6265
2021-02-03 12:24:00,101.8,101.7,101.8,101.7,4756
2021-02-03 12:25:00,101.7,101.8,101.8,101.7,5664
2021-02-03 12:26:00,101.7,101.7,101.8,101.7,8068
2021-02-03 12:27:00,101.8,101.7,101.8,101.7,25097
2021-02-03 12:28:00,101.9,101.8,101.9,101.7,12600
2021-02-03 12:29:00,102,102,102,101.9,25290
2021-02-03 12:30:00,101.9,101.9,102,101.9,15888
2021-02-03 12:31:00,101.9,101.9,102,101.9,11815
2021-02-03 12:32:00,102,102,102.1,102,13372
2021-02-03 12:33:00,102.2,102.1,102.2,102.1,20837
2021-02-03 12:34:00,103.9,102.2,103.9,102.2,22961
2021-02-03 12:35:00,105,103.8,105,103.8,58189
2021-02-03 12:36:00,104.9,105,105,104.9,59321
2021-02-03 12:37:00,104,105,105,104,3736
2021-02-03 12:38:00,103.2,103,103.2,102.5,1650
2021-02-03 12:39:00,104,104.1,104.7,104,2931
2021-02-03 12:40:00,104,104,104,103.7,2099
2021-02-03 12:41:00,103.9,104,104.1,103.9,7555
2021-02-03 12:42:00,104,103.7,104,103.7,2385
2021-02-03 12:43:00,103.7,103.7,103.9,103.7,3600
2021-02-03 12:44:00,103.7,103.7,103.7,103.7,8141
2021-02-03 12:45:00,103.2,103.7,103.7,103.2,3240
2021-02-03 12:46:00,103,103.2,103.2,103,5442
2021-02-03 12:47:00,102.2,103,103.1,102.2,2845
2021-02-03 12:48:00,102.2,102.2,102.2,102.2,2648
2021-02-03 12:49:00,102.1,102.2,102.9,102.1,2673
2021-02-03 12:50:00,101.3,102,102,101.3,3578
2021-02-03 12:51:00,101.5,101,101.5,101,2561
2021-02-03 12:52:00,101.5,101.4,101.5,101.4,1770
2021-02-03 12:53:00,101.7,101.5,101.7,101.5,700
2021-02-03 12:54:00,102.9,101.7,102.9,101.6,2805
2021-02-03 12:55:00,101.7,101.7,102,101.7,2224
2021-02-03 12:56:00,101.8,102,102,101.8,698
2021-02-03 12:57:00,102,101.8,102,101.8,752
2021-02-03 12:58:00,102,102,102,101.8,2874
2021-02-03 12:59:00,102,102,102,102,1630
2021-02-03 13:00:00,101.9,101.9,102.4,101.9,2445
2021-02-03 13:01:00,101.9,102,102,101.9,1698
2021-02-03 13:02:00,101.9,101.9,101.9,101.9,16098
2021-02-03 13:03:00,102,102,102.4,101.9,3950
2021-02-03 13:04:00,102,102.5,102.5,102,4083
2021-02-03 13:05:00,102.1,102,102.5,102,3694
2021-02-03 13:06:00,102.4,102.1,102.4,102.1,7980
2021-02-03 13:07:00,102.6,102.4,102.6,102.4,10600
2021-02-03 13:08:00,102.7,102.6,102.7,102.6,9436
2021-02-03 13:09:00,103,102.7,103,102.7,1850
2021-02-03 13:10:00,103,102.8,103,102.8,8055
2021-02-03 13:11:00,103,103,103,103,985
2021-02-03 13:12:00,103.6,103.4,103.6,103,6725
2021-02-03 13:13:00,103.9,103.5,103.9,103.5,9861
2021-02-03 13:14:00,104.3,104,104.3,104,12200
2021-02-03 13:15:00,104.5,104.3,104.7,104.3,12350
2021-02-03 13:16:00,104.8,104.7,104.8,104.7,15700
2021-02-03 13:17:00,104.8,104.7,104.8,104.7,4470
2021-02-03 13:18:00,104.8,104.8,104.9,104.8,2073
2021-02-03 13:19:00,104.8,104.8,104.8,104.7,2572
2021-02-03 13:20:00,104.4,104.7,104.8,104.4,3282
2021-02-03 13:21:00,104.6,104.5,104.6,104.5,2271
2021-02-03 13:22:00,104,104.5,104.5,104,3870
2021-02-03 13:23:00,103.4,104.2,104.2,103.4,2377
2021-02-03 13:24:00,103.5,103.5,103.5,103.3,1650
2021-02-03 13:25:00,103.4,103.5,103.5,103.4,1500
2021-02-03 13:26:00,103.3,103.4,103.4,103.3,1898
2021-02-03 13:27:00,103.4,103.4,103.4,103.3,1371
2021-02-03 13:28:00,103.8,103.4,103.8,103.4,2481
2021-02-03 13:29:00,103.5,103.6,103.6,103.5,2093
2021-02-03 13:30:00,103.6,103.6,103.6,103.6,5208
2021-02-03 13:31:00,103.7,103.6,103.7,103.6,1790
2021-02-03 13:32:00,103.6,103.7,103.7,103.6,2828
2021-02-03 13:33:00,103.7,103.6,103.7,103.6,2497
2021-02-03 13:34:00,103.7,103.8,103.8,103.7,6188
2021-02-03 13:35:00,103.8,103.8,103.8,103.7,11762
