timestamp,closing,opening,high,low,volume
2021-06-13 11:07:00,11,11,11,11,1
2021-06-13 12:33:00,11,11,11,11,1500
2021-06-14 10:38:00,12.1,12.1,12.1,12.1,5000
2021-06-14 11:17:00,12.1,12.1,12.1,12.1,3000
2021-06-14 11:20:00,12.1,12.1,12.1,12.1,1100
2021-06-14 14:29:00,12.1,12.1,12.1,12.1,53000
2021-06-15 10:02:00,13.3,13.3,13.3,13.3,100
2021-06-15 10:05:00,13.3,13.3,13.3,13.3,1000
2021-06-15 10:12:00,13.3,13.3,13.3,13.3,200
2021-06-15 10:18:00,13.3,13.3,13.3,13.3,500
2021-06-15 10:35:00,13.3,13.3,13.3,13.3,400
2021-06-15 10:57:00,13.3,13.3,13.3,13.3,50
2021-06-15 11:03:00,13.3,13.3,13.3,13.3,500
2021-06-15 11:32:00,13.3,13.3,13.3,13.3,10
2021-06-15 12:21:00,13.3,13.3,13.3,13.3,1500
2021-06-16 10:02:00,14.6,14.6,14.6,14.6,300
2021-06-16 10:04:00,14.6,14.6,14.6,14.6,100
2021-06-16 10:14:00,14.6,14.6,14.6,14.6,100
2021-06-16 10:30:00,14.6,14.6,14.6,14.6,100
2021-06-16 10:35:00,14.6,14.6,14.6,14.6,500
2021-06-16 11:43:00,14.6,14.6,14.6,14.6,175
2021-06-16 12:22:00,14.6,14.6,14.6,14.6,140
2021-06-16 12:24:00,14.6,14.6,14.6,14.6,100
2021-06-16 13:22:00,14.6,14.6,14.6,14.6,90
2021-06-16 14:05:00,14.6,14.6,14.6,14.6,130
2021-06-17 10:00:00,16,16,16,16,10000
2021-06-17 10:02:00,16,16,16,16,200
2021-06-17 10:03:00,16,16,16,16,500
2021-06-17 10:10:00,16,16,16,16,500
2021-06-17 10:24:00,16,16,16,16,2000
2021-06-17 10:26:00,16,16,16,16,1000
2021-06-17 11:09:00,16,16,16,16,100
2021-06-20 10:05:00,17.6,17.6,17.6,17.6,100
2021-06-20 10:23:00,17.6,17.6,17.6,17.6,1000
2021-06-20 10:40:00,17.6,17.6,17.6,17.6,500
2021-06-20 11:21:00,17.6,17.6,17.6,17.6,500
2021-06-20 11:27:00,17.6,17.6,17.6,17.6,1000
2021-06-20 11:36:00,17.6,17.6,17.6,17.6,5000
2021-06-20 11:53:00,17.6,17.6,17.6,17.6,100
2021-06-20 12:19:00,17.6,17.6,17.6,17.6,8
2021-06-21 10:00:00,19.3,19.3,19.3,19.3,300000
2021-06-21 10:01:00,19.3,19.3,19.3,19.3,11500
2021-06-21 10:03:00,19.3,19.3,19.3,19.3,500
2021-06-21 10:06:00,19.3,19.3,19.3,19.3,200
2021-06-21 10:07:00,19.3,19.3,19.3,19.3,1000
2021-06-21 10:08:00,19.3,19.3,19.3,19.3,1500
2021-06-21 10:09:00,19.3,19.3,19.3,19.3,3025
2021-06-21 10:10:00,19.3,19.3,19.3,19.3,26000
2021-06-21 10:13:00,19.3,19.3,19.3,19.3,1500
2021-06-21 10:16:00,19.3,19.3,19.3,19.3,3500
2021-06-21 10:18:00,19.3,19.3,19.3,19.3,100
2021-06-21 10:19:00,19.3,19.3,19.3,19.3,27400
2021-06-21 10:20:00,19.3,19.3,19.3,19.3,1900
2021-06-21 10:21:00,19.3,19.3,19.3,19.3,12000
2021-06-21 10:47:00,19.3,19.3,19.3,19.3,704000
2021-06-21 10:48:00,19.3,19.3,19.3,19.3,2000
2021-06-21 10:49:00,19.3,19.3,19.3,19.3,40000
2021-06-21 10:51:00,19.3,19.3,19.3,19.3,58500
2021-06-21 10:52:00,19.3,19.3,19.3,19.3,21000
2021-06-21 10:53:00,19.3,19.3,19.3,19.3,2500
2021-06-21 10:54:00,19.3,19.3,19.3,19.3,21000
2021-06-21 10:55:00,19.3,19.3,19.3,19.3,3500
2021-06-21 10:56:00,19.3,19.3,19.3,19.3,1000
2021-06-21 10:58:00,19.3,19.3,19.3,19.3,7101
2021-06-21 10:59:00,19.3,19.3,19.3,19.3,500
2021-06-21 11:01:00,19.3,19.3,19.3,19.3,2975
2021-06-21 11:04:00,19.3,19.3,19.3,19.3,1000
2021-06-21 11:05:00,19.3,19.3,19.3,19.3,19500
2021-06-21 11:07:00,19.3,19.3,19.3,19.3,5000
2021-06-21 11:08:00,19.3,19.3,19.3,19.3,3500
2021-06-21 11:10:00,19.3,19.3,19.3,19.3,999
2021-06-21 11:11:00,19.3,19.3,19.3,19.3,10000
2021-06-21 11:12:00,19.3,19.3,19.3,19.3,20000
2021-06-21 11:14:00,19.3,19.3,19.3,19.3,6000
2021-06-21 11:15:00,19.3,19.3,19.3,19.3,5500
2021-06-21 11:18:00,19.3,19.3,19.3,19.3,6000
2021-06-21 11:19:00,19.3,19.3,19.3,19.3,3500
2021-06-21 11:20:00,19.3,19.3,19.3,19.3,500
2021-06-21 11:23:00,19.3,19.3,19.3,19.3,2000
2021-06-21 11:25:00,19.3,19.3,19.3,19.3,5501
2021-06-21 11:28:00,19.3,19.3,19.3,19.3,5500
2021-06-21 11:30:00,19.3,19.3,19.3,19.3,3000
2021-06-21 11:39:00,19.3,19.3,19.3,19.3,5
2021-06-21 12:18:00,19.3,19.3,19.3,19.3,300
2021-06-21 12:41:00,19.3,19.3,19.3,19.3,1
2021-06-21 12:51:00,19.3,19.3,19.3,19.3,1000
2021-06-21 12:52:00,19.3,19.3,19.3,19.3,100
2021-06-21 12:53:00,19.3,19.3,19.3,19.3,2500
2021-06-21 13:23:00,19.3,19.3,19.3,19.3,50
2021-06-21 13:58:00,19.3,19.3,19.3,19.3,500
2021-06-21 14:02:00,19.3,19.3,19.3,19.3,78
2021-06-22 10:00:00,21.2,21.2,21.2,21.1,640666
2021-06-22 10:01:00,21.2,21.2,21.2,21.1,60800
2021-06-22 10:02:00,21.2,21.1,21.2,21.1,62000
2021-06-22 10:03:00,21,21.2,21.2,21,25900
2021-06-22 10:04:00,21.1,20.9,21.1,20.9,132608
2021-06-22 10:05:00,21.2,21.1,21.2,21.1,44780
2021-06-22 10:06:00,21.2,21.2,21.2,21.2,26000
2021-06-22 10:07:00,21.2,21.2,21.2,21.2,1000
2021-06-22 10:08:00,21.2,21.2,21.2,21.2,11240
2021-06-22 10:09:00,21.2,21.2,21.2,21.2,12000
2021-06-22 10:12:00,21.2,21.2,21.2,21.2,500
2021-06-22 10:13:00,21.2,21.2,21.2,21.2,500
2021-06-22 10:14:00,21.2,21.2,21.2,21.2,100
2021-06-22 10:15:00,21.2,21.2,21.2,21.2,5500
2021-06-22 10:17:00,21.2,21.2,21.2,21.2,50
2021-06-22 10:20:00,21.2,21.2,21.2,21.2,200
2021-06-22 10:22:00,21.2,21.2,21.2,21.2,200
2021-06-22 10:25:00,21.2,21.2,21.2,21.2,3000
2021-06-22 10:29:00,21.2,21.2,21.2,21.2,25000
2021-06-22 10:30:00,21.2,21.2,21.2,21.2,1500
2021-06-22 10:31:00,21.2,21.2,21.2,21.2,200
2021-06-22 10:32:00,21.2,21.2,21.2,21.2,13500
2021-06-22 10:34:00,21.2,21.2,21.2,21.2,100000
2021-06-22 10:35:00,21.2,21.2,21.2,21.2,20000
2021-06-22 10:36:00,21.2,21.2,21.2,21.2,603949
2021-06-22 10:37:00,21.2,21.2,21.2,21.2,1200
2021-06-22 10:38:00,21.2,21.2,21.2,21.2,6300
2021-06-22 10:39:00,21.1,21.2,21.2,21.1,21300
2021-06-22 10:40:00,21.2,21.1,21.2,21.1,20950
2021-06-22 10:41:00,21.2,21.1,21.2,21.1,48700
2021-06-22 10:42:00,21.2,21.2,21.2,21.2,27600
2021-06-22 10:43:00,21.2,21.2,21.2,21.2,25499
2021-06-22 10:44:00,21.2,21.2,21.2,21.2,4827
2021-06-22 10:45:00,21.2,21.2,21.2,21.2,4323
2021-06-22 10:46:00,21.2,21.2,21.2,21.2,15000
2021-06-22 10:47:00,21.2,21.2,21.2,21.2,10000
2021-06-22 10:48:00,21.2,21.2,21.2,21.2,29500
2021-06-22 10:50:00,21.2,21.2,21.2,21.2,1000
