timestamp,closing,opening,high,low,volume
2015-10-15 11:44:00,27.3,27.3,27.3,27.3,644
2015-10-15 12:22:00,27.5,27.5,27.5,27.5,50
2015-10-15 13:21:00,27.3,27.3,27.3,27.3,626
2015-10-15 13:23:00,27.9,27.9,27.9,27.9,1500
2015-10-15 14:03:00,27.3,27.3,27.3,27.3,3900
2015-10-15 14:13:00,27.4,27.4,27.4,27.4,11
2015-10-15 14:25:00,27.4,27.4,27.4,27.4,360
2015-10-18 11:09:00,26.5,26.5,26.5,26.5,1
2015-10-18 11:15:00,26.5,26.5,26.5,26.5,60
2015-10-18 11:42:00,26.6,26.6,26.6,26.6,5000
2015-10-18 12:25:00,26.8,26.8,26.8,26.8,800
2015-10-18 12:39:00,26.8,26.8,26.8,26.8,200
2015-10-19 12:37:00,26,26,26,26,11
2015-10-19 12:57:00,26.1,26.1,26.1,26.1,10
2015-10-19 13:51:00,26.1,26.1,26.1,26.1,100
2015-10-19 13:55:00,27.5,27.5,27.5,27.5,3000
2015-10-19 13:57:00,27.5,27.5,27.5,27.5,3600
2015-10-19 14:23:00,27.5,27.5,27.5,27.5,4000
2015-10-20 11:25:00,26.5,26.5,26.5,26.5,2754
2015-10-20 11:27:00,26.5,26.5,26.5,26.5,2206
2015-10-21 12:15:00,26.5,26.5,26.5,26.5,1132
2015-10-21 13:13:00,26.7,26.7,26.7,26.7,2178
2015-11-01 11:06:00,26.5,26.7,26.7,26.5,5310
2015-11-01 11:10:00,26.5,26.5,26.5,26.5,10000
2015-11-01 11:12:00,26.5,26.5,26.5,26.5,4000
2015-11-01 11:46:00,26.5,26.5,26.5,26.5,2511
2015-11-01 12:02:00,26.5,26.5,26.5,26.5,18511
2015-11-01 12:30:00,26,26,26,26,200
2015-11-01 12:34:00,26,26,26,26,1389
2015-11-01 13:04:00,25.5,25.5,25.5,25.5,100
2015-11-01 13:46:00,25.6,25.6,25.6,25.6,11
2015-11-01 13:48:00,25.6,25.6,25.6,25.6,1189
2015-11-01 13:50:00,25.6,25.6,25.6,25.6,3000
2015-11-01 13:52:00,25.6,25.6,25.6,25.6,860
2015-11-01 14:02:00,25.6,25.6,25.6,25.6,25260
2015-11-01 14:22:00,26.4,26.4,26.4,26.4,1500
2015-11-02 11:16:00,25.5,25.5,25.5,25.5,44
2015-11-02 11:25:00,25.5,25.5,25.5,25.5,44
2015-11-02 11:26:00,25.5,25.5,25.5,25.5,158
