timestamp,closing,opening,high,low,volume
2015-10-15 10:46:00,93.6,93.6,93.6,93.6,2000
2015-10-15 10:50:00,96,96,96,96,10400
2015-10-15 10:54:00,95.5,95.5,95.5,95.5,1600
2015-10-15 10:56:00,96.8,96.8,96.8,96.8,4480
2015-10-15 10:58:00,97,97,97,97,1030
2015-10-15 11:00:00,97.2,97.2,97.2,97.2,2600
2015-10-15 11:04:00,97.2,97.2,97.2,97.2,1290
2015-10-15 11:06:00,97.3,97.3,97.3,97.3,600
2015-10-15 11:08:00,97.3,97.3,97.3,97.3,1600
2015-10-15 11:10:00,97,97,97,97,950
2015-10-15 11:12:00,96.5,96.5,96.5,96.5,500
2015-10-15 11:14:00,97,97,97,97,5750
2015-10-15 11:16:00,96.9,96.9,96.9,96.9,1000
2015-10-15 11:22:00,96.9,96.9,96.9,96.9,500
2015-10-15 11:24:00,96.5,96.5,96.5,96.5,3110
2015-10-15 11:26:00,96.5,96.5,96.5,96.5,3700
2015-10-15 11:30:00,96.5,96.5,96.5,96.5,160
2015-10-15 11:32:00,96.8,96.8,96.8,96.8,1700
2015-10-15 11:34:00,96.9,96.9,96.9,96.9,900
2015-10-15 11:36:00,97,97,97,97,20020
2015-10-15 11:40:00,97.3,97.3,97.3,97.3,6130
2015-10-15 11:42:00,97.2,97.2,97.2,97.2,1000
2015-10-15 11:44:00,97,97,97,97,1000
2015-10-15 11:46:00,97.2,97.2,97.2,97.2,1300
2015-10-15 11:48:00,97.2,97.2,97.2,97.2,500
2015-10-15 11:50:00,97,97,97,97,2900
2015-10-15 11:52:00,96.9,96.9,96.9,96.9,11000
2015-10-15 11:54:00,97.2,97.2,97.2,97.2,7791
2015-10-15 11:56:00,97,97,97,97,8570
2015-10-15 11:58:00,97,97,97,97,2068
2015-10-15 12:00:00,97.3,97.3,97.3,97.3,2000
2015-10-15 12:04:00,96.9,96.9,96.9,96.9,1761
2015-10-15 12:06:00,97,97,97,97,1000
2015-10-15 12:10:00,96.5,96.5,96.5,96.5,1000
2015-10-15 12:12:00,96.9,96.9,96.9,96.9,2000
2015-10-15 12:14:00,96.3,96.3,96.3,96.3,20150
2015-10-15 12:17:00,96.4,96.4,96.4,96.4,720
2015-10-15 12:18:00,96.3,96.3,96.3,96.3,1782
2015-10-15 12:22:00,96.9,96.9,96.9,96.9,400
2015-10-15 12:24:00,96.3,96.3,96.3,96.3,80
