timestamp,closing,opening,high,low,volume
2015-10-15 10:56:00,20.6,20.6,20.6,20.6,40166
2015-10-15 11:04:00,20.6,20.6,20.6,20.6,10000
2015-10-15 11:10:00,20.5,20.5,20.5,20.5,39834
2015-10-15 11:12:00,20.5,20.5,20.5,20.5,166
2015-10-15 11:22:00,20.5,20.5,20.5,20.5,20000
2015-10-15 11:24:00,20.5,20.5,20.5,20.5,1782
2015-10-15 11:32:00,20.6,20.6,20.6,20.6,550
2015-10-15 11:34:00,20.5,20.5,20.5,20.5,18440
2015-10-15 11:44:00,20.6,20.6,20.6,20.6,84010
2015-10-15 11:46:00,20.9,20.9,20.9,20.9,563800
2015-10-15 11:48:00,20.9,20.9,20.9,20.9,30000
2015-10-15 11:54:00,20.6,20.6,20.6,20.6,330
2015-10-15 12:00:00,20.8,20.8,20.8,20.8,172
2015-10-15 12:17:00,20.6,20.6,20.6,20.6,100
2015-10-15 12:34:00,20.6,20.6,20.6,20.6,20
2015-10-15 12:40:00,20.7,20.7,20.7,20.7,430
2015-10-15 12:48:00,20.6,20.6,20.6,20.6,50999
2015-10-15 12:52:00,20.6,20.6,20.6,20.6,19138
2015-10-15 12:54:00,20.6,20.6,20.6,20.6,4688
2015-10-15 13:00:00,20.6,20.6,20.6,20.6,1000
2015-10-15 13:07:00,20.6,20.6,20.6,20.6,25
2015-10-15 13:11:00,20.6,20.6,20.6,20.6,3000
2015-10-15 13:17:00,20.6,20.6,20.6,20.6,27200
2015-10-15 13:21:00,20.6,20.6,20.6,20.6,23800
2015-10-15 13:23:00,20.6,20.6,20.6,20.6,53000
2015-10-15 13:27:00,20.6,20.6,20.6,20.6,5000
2015-10-15 13:29:00,20.6,20.6,20.6,20.6,700
2015-10-15 13:31:00,20.6,20.6,20.6,20.6,1000
2015-10-15 13:35:00,20.6,20.6,20.6,20.6,3000
2015-10-15 13:37:00,20.7,20.7,20.7,20.7,21870
