timestamp,closing,opening,high,low,volume
2015-10-15 12:36:00,50.6,50.6,50.6,50.6,175
2015-10-15 13:00:00,50,50,50,50,1000
2015-10-15 13:11:00,50,50,50,50,50
2015-10-15 13:59:00,50,50,50,50,950
2015-10-15 14:03:00,50,50,50,50,7
2015-10-15 14:09:00,50,50,50,50,25
2015-10-15 14:25:00,50.8,50.8,50.8,50.8,100
2015-10-19 11:35:00,46,46,46,46,522
2015-10-19 12:13:00,50,50,50,50,150
2015-10-19 13:35:00,47.3,47.3,47.3,47.3,441
2015-10-19 14:19:00,50.1,50.1,50.1,50.1,200
2015-10-20 10:57:00,52.2,52.2,52.2,52.2,100
2015-10-20 14:29:00,50.5,50.5,50.5,50.5,500
2015-10-21 12:05:00,48.7,48.7,48.7,48.7,95
2015-10-21 13:17:00,50.7,50.7,50.7,50.7,100
2015-10-21 13:19:00,50.8,50.8,50.8,50.8,10
2015-10-21 13:55:00,50.8,50.8,50.8,50.8,150
2015-10-21 14:17:00,49.1,49.1,49.1,49.1,200
2015-11-02 12:19:00,49.9,49.1,49.9,49.1,1630
2015-11-02 12:21:00,49.9,49.9,49.9,49.9,500
2015-11-02 12:29:00,50,50,50,50,425
2015-11-02 13:57:00,50,50,50,50,2000
2015-11-03 12:20:00,46.2,46.2,46.2,46.2,50
2015-11-03 12:25:00,46.2,46.2,46.2,46.2,50
2015-11-03 12:30:00,49.9,49.9,49.9,49.9,889
2015-11-03 12:39:00,49.9,49.9,49.9,49.9,939
2015-11-03 13:05:00,50,50,50,50,1575
2015-11-03 13:32:00,50,50,50,50,311
2015-11-03 13:36:00,50,50,50,50,300
2015-11-03 13:46:00,50,50,50,50,300
2015-11-03 13:50:00,50,50,50,50,500
2015-11-03 13:55:00,50,50,50,50,150
2015-11-03 14:03:00,50,50,50,50,500
2015-11-03 14:10:00,50,50,50,50,4575
2015-11-03 14:23:00,50,50,50,50,300
2015-11-03 14:25:00,50,50,50,50,245
2015-11-03 14:29:00,49,49,49,49,115
2015-11-04 12:01:00,50,50,50,50,904
2015-11-04 13:04:00,48,48,48,48,14
2015-11-04 14:01:00,48,48,48,48,60
2015-11-04 14:09:00,48,48,48,48,144
2015-11-22 15:51:00,50,50,50,50,400
2015-11-22 21:09:00,50,50,50,50,400
2015-11-23 00:53:00,50,50,50,50,400
2015-11-23 14:01:00,47.3,47.3,47.3,47.3,15
2015-11-23 14:07:00,47.3,47.3,47.3,47.3,15
2015-11-23 14:22:00,47.3,47.3,47.3,47.3,42
2015-11-24 13:51:00,47.4,47.4,47.4,47.4,833
2015-11-24 13:53:00,47.4,47.4,47.4,47.4,166
2015-11-24 14:13:00,48.4,48.4,48.4,48.4,400
2015-11-24 14:27:00,48.5,48.5,48.5,48.5,500
2015-11-24 14:29:00,48.5,48.5,48.5,48.5,4500
2015-11-25 12:39:00,48.5,48.5,48.5,48.5,668
2015-11-25 13:29:00,48.5,48.5,48.5,48.5,300
2015-11-25 13:59:00,48.5,48.5,48.5,48.5,32
2015-11-25 14:05:00,48.5,48.5,48.5,48.5,68
2015-11-25 14:13:00,48.5,48.5,48.5,48.5,431
2015-11-25 14:19:00,48.5,48.5,48.5,48.5,489
2015-12-01 13:28:00,47,47,47,47,412
2015-12-01 14:02:00,47,47,47,47,412
2015-12-01 14:05:00,47,47,47,47,412
2015-12-01 14:07:00,48,48,48,48,1412
2015-12-01 14:14:00,48,48,48,48,1412
2015-12-01 14:17:00,48,48,48,48,1412
2015-12-01 14:18:00,48,48,48,48,1412
2015-12-01 14:21:00,48,48,48,48,1412
2015-12-01 14:23:00,48,48,48,48,1412
2015-12-02 13:48:00,47,47,47,47,500
2015-12-03 12:18:00,49,49,49,49,1000
2015-12-03 13:46:00,49,49,49,49,404
2015-12-03 13:50:00,49,49,49,49,716
2015-12-03 14:00:00,49,49,49,49,532
2015-12-04 10:33:00,49,49,49,49,2652
2015-12-04 14:27:00,49,49,49,49,2652
2015-12-05 10:50:00,49,49,49,49,2652
2015-12-05 10:54:00,49,49,49,49,2652
2015-12-05 11:22:00,49,49,49,49,2652
2015-12-06 13:34:00,49.9,49.9,49.9,49.9,10
2015-12-06 13:40:00,48,48,48,48,300
2015-12-07 11:48:00,51,51,51,51,200
2015-12-07 12:08:00,47,47,47,47,3
2015-12-07 12:40:00,47.1,47.1,47.1,47.1,180
2015-12-08 14:30:00,47.6,47.6,47.6,47.6,250
2015-12-09 11:08:00,47.9,47.9,47.9,47.9,128
2015-12-09 14:24:00,48,48,48,48,113
2015-12-10 11:02:00,48,48,48,48,500
2015-12-10 12:10:00,48,48,48,48,200
2015-12-10 12:24:00,48,48,48,48,100
2015-12-10 14:14:00,48,48,48,48,2000
2015-12-10 14:16:00,48,48,48,48,2000
2015-12-13 12:42:00,48,48,48,48,1000
2015-12-13 12:50:00,48.1,48.1,48.1,48.1,1000
2015-12-13 13:12:00,48.8,48.8,48.8,48.8,200
2015-12-13 13:54:00,48,48,48,48,500
2015-12-13 14:20:00,48,48,48,48,200
2015-12-14 12:08:00,48,48,48,48,4500
2015-12-14 13:38:00,48.1,48.1,48.1,48.1,1000
2015-12-14 14:16:00,48.2,48.2,48.2,48.2,2000
2015-12-14 14:28:00,48.1,48.1,48.1,48.1,2000
