timestamp,closing,opening,high,low,volume
2017-02-12 10:31:00,11,11,11,11,1500
2017-02-12 10:39:00,11.1,11.1,11.1,11.1,1250
2017-02-12 10:42:00,11.2,11.2,11.2,11.2,500
2017-02-12 10:44:00,11.2,11.2,11.2,11.2,1000
2017-02-12 10:45:00,11.2,11.2,11.2,11.2,1500
2017-02-12 10:48:00,11.2,11.2,11.2,11.2,1000
2017-02-12 10:50:00,11.3,11.3,11.3,11.3,1500
2017-02-12 10:52:00,11.2,11.2,11.2,11.2,1000
2017-02-12 10:54:00,11.2,11.2,11.2,11.2,500
2017-02-12 10:58:00,11.1,11.1,11.1,11.1,500
2017-02-12 11:06:00,11.1,11.1,11.1,11.1,500
2017-02-12 11:10:00,10.9,10.9,10.9,10.9,900
2017-02-12 11:12:00,11.1,11.1,11.1,11.1,1250
2017-02-12 11:16:00,11,11,11,11,500
2017-02-12 11:20:00,11,11,11,11,1000
2017-02-12 11:22:00,11,11,11,11,1500
2017-02-12 11:26:00,11,11,11,11,2500
2017-02-12 11:28:00,11.1,11.1,11.1,11.1,1000
2017-02-12 11:30:00,11,11,11,11,500
2017-02-12 11:34:00,11,11,11,11,500
2017-02-12 11:42:00,11.3,11.3,11.3,11.3,8000
2017-02-12 11:46:00,11.1,11.1,11.1,11.1,1990
2017-02-12 11:48:00,11,11,11,11,1500
2017-02-12 11:50:00,11,11,11,11,1010
2017-02-12 11:52:00,11,11,11,11,490
2017-02-12 11:58:00,11.1,11.1,11.1,11.1,1360
2017-02-12 12:08:00,11.1,11.1,11.1,11.1,650
2017-02-12 12:12:00,11.1,11.1,11.1,11.1,1500
2017-02-12 12:28:00,11.1,11.1,11.1,11.1,500
2017-02-12 12:30:00,11.1,11.1,11.1,11.1,1000
2017-02-12 12:34:00,11.1,11.1,11.1,11.1,500
2017-02-12 12:46:00,11.1,11.1,11.1,11.1,500
2017-02-12 13:04:00,11.1,11.1,11.1,11.1,50
2017-02-12 13:06:00,11.2,11.2,11.2,11.2,1000
2017-02-12 13:36:00,11.3,11.3,11.3,11.3,1000
2017-02-12 13:38:00,11.3,11.3,11.3,11.3,1000
2017-02-12 13:40:00,11.3,11.3,11.3,11.3,3500
2017-02-12 13:42:00,11.3,11.3,11.3,11.3,500
2017-02-12 13:44:00,12,12,12,12,500
2017-02-12 13:46:00,12,12,12,12,500
2017-02-12 13:50:00,11.6,11.6,11.6,11.6,301
2017-02-12 13:52:00,11.6,11.6,11.6,11.6,200
2017-02-12 14:04:00,12,12,12,12,999
2017-02-12 14:06:00,12.2,12.2,12.2,12.2,750
2017-02-12 14:14:00,12.2,12.2,12.2,12.2,1049
2017-02-12 14:16:00,12.1,12.1,12.1,12.1,500
2017-02-12 14:22:00,12.2,12.2,12.2,12.2,1000
2017-02-12 14:26:00,12.2,12.2,12.2,12.2,500
2017-02-12 14:28:00,13.5,13.5,13.5,13.5,5451
2017-02-13 10:32:00,13.7,13.7,13.7,13.7,2000
2017-02-13 10:38:00,14.6,14.6,14.6,14.6,2500
2017-02-13 10:42:00,14.7,14.7,14.7,14.7,950
2017-02-13 10:46:00,15.2,15.2,15.2,15.2,3000
2017-02-13 10:48:00,15.9,15.9,15.9,15.9,1500
2017-02-13 10:50:00,15.9,15.9,15.9,15.9,1000
2017-02-13 10:54:00,16.1,16.1,16.1,16.1,2900
2017-02-13 10:56:00,14.8,14.8,14.8,14.8,31000
2017-02-13 11:00:00,14,14,14,14,3000
2017-02-13 11:02:00,12.5,12.5,12.5,12.5,5750
2017-02-13 11:04:00,15.4,15.4,15.4,15.4,25240
2017-02-13 11:10:00,12.2,12.2,12.2,12.2,24150
2017-02-13 11:12:00,12,12,12,12,25200
2017-02-13 11:14:00,11.2,11.2,11.2,11.2,15650
2017-02-13 11:16:00,11,11,11,11,28300
2017-02-13 11:18:00,11,11,11,11,12200
2017-02-13 11:20:00,11.8,11.8,11.8,11.8,900
2017-02-13 11:22:00,11,11,11,11,87666
2017-02-13 12:58:00,12.9,12.9,12.9,12.9,435
2017-02-13 13:05:00,13,13,13,13,1000
2017-02-13 13:08:00,13,13,13,13,1000
2017-02-13 13:16:00,14.8,14.8,14.8,14.8,300
2017-02-13 13:20:00,13,13,13,13,500
2017-02-13 13:36:00,13.1,13.1,13.1,13.1,199
2017-02-13 13:38:00,13.1,13.1,13.1,13.1,500
2017-02-13 13:57:00,13.1,13.1,13.1,13.1,1000
2017-02-13 14:03:00,13.1,13.1,13.1,13.1,250
2017-02-13 14:07:00,14.5,14.5,14.5,14.5,1
2017-02-13 14:11:00,13.2,13.2,13.2,13.2,15500
2017-02-13 14:15:00,13,13,13,13,6951
