timestamp,closing,opening,high,low,volume
2016-01-14 10:35:00,10.3,10.3,10.3,10.3,1500
2016-01-14 10:37:00,10.3,10.3,10.3,10.3,2000
2016-01-14 10:39:00,10.3,10.3,10.3,10.3,1500
2016-01-14 10:41:00,10.3,10.3,10.3,10.3,500
2016-01-14 10:45:00,10.3,10.3,10.3,10.3,500
2016-01-14 10:47:00,10.2,10.2,10.2,10.2,1500
2016-01-14 10:52:00,9.5,9.5,9.5,9.5,2000
2016-01-14 10:55:00,10,10,10,10,500
2016-01-14 10:57:00,10,10,10,10,500
2016-01-14 11:01:00,10.2,10.2,10.2,10.2,1000
2016-01-14 11:03:00,10.4,10.4,10.4,10.4,1000
2016-01-14 11:07:00,10.1,10.1,10.1,10.1,1000
2016-01-14 11:09:00,10,10,10,10,1000
2016-01-14 11:17:00,10.1,10.1,10.1,10.1,500
2016-01-14 11:21:00,10,10,10,10,2000
2016-01-14 11:23:00,10,10,10,10,1000
2016-01-14 11:25:00,10,10,10,10,2500
2016-01-14 11:29:00,10,10,10,10,2000
2016-01-14 11:45:00,10.1,10.1,10.1,10.1,500
2016-01-14 11:51:00,10.1,10.1,10.1,10.1,500
2016-01-14 12:01:00,10.1,10.1,10.1,10.1,500
2016-01-14 12:03:00,10.1,10.1,10.1,10.1,500
2016-01-14 12:19:00,10.2,10.2,10.2,10.2,2000
2016-01-14 12:21:00,10.2,10.2,10.2,10.2,1000
2016-01-14 12:23:00,10.2,10.2,10.2,10.2,500
2016-01-14 12:29:00,10.2,10.2,10.2,10.2,1000
2016-01-14 12:31:00,10.3,10.3,10.3,10.3,1000
2016-01-14 12:33:00,10.2,10.2,10.2,10.2,500
2016-01-14 12:35:00,10.2,10.2,10.2,10.2,2500
2016-01-14 12:39:00,10.2,10.2,10.2,10.2,500
2016-01-14 12:47:00,10.2,10.2,10.2,10.2,2500
2016-01-14 12:49:00,10.2,10.2,10.2,10.2,1000
2016-01-14 12:57:00,10.2,10.2,10.2,10.2,500
2016-01-14 13:05:00,10.3,10.3,10.3,10.3,4000
2016-01-14 13:07:00,10.5,10.5,10.5,10.5,1500
2016-01-14 13:11:00,10.3,10.3,10.3,10.3,500
2016-01-14 13:17:00,10.3,10.3,10.3,10.3,1000
2016-01-14 13:19:00,10.3,10.3,10.3,10.3,3500
2016-01-14 13:21:00,10.3,10.3,10.3,10.3,500
2016-01-14 13:59:00,10.8,10.8,10.8,10.8,2000
2016-01-14 14:01:00,10.8,10.8,10.8,10.8,2000
2016-01-14 14:09:00,11,11,11,11,1500
2016-01-14 14:15:00,13.2,13.2,13.2,13.2,1000
2016-01-14 14:17:00,13.2,13.2,13.2,13.2,1500
2016-01-14 14:19:00,14,14,14,14,4000
2016-01-14 14:21:00,14,14,14,14,2000
2016-01-14 14:23:00,14,14,14,14,1000
2016-01-14 14:25:00,14,14,14,14,1000
2016-01-14 14:29:00,14.4,14.4,14.4,14.4,370
2016-01-14 14:31:00,14.9,14.9,14.9,14.9,990
2016-01-16 10:51:00,14.9,14.9,14.9,14.9,71000
2016-01-17 10:41:00,12.4,12.4,12.4,12.4,3500
2016-01-17 10:43:00,12.4,12.4,12.4,12.4,1000
2016-01-17 10:44:00,12.4,12.4,12.4,12.4,1500
2016-01-17 10:47:00,12.4,12.4,12.4,12.4,2000
2016-01-17 10:48:00,12.4,12.4,12.4,12.4,1000
2016-01-17 10:51:00,11,11,11,11,3500
2016-01-17 10:52:00,11,11,11,11,2000
2016-01-17 10:54:00,11.1,11.1,11.1,11.1,2000
2016-01-17 11:07:00,11.2,11.2,11.2,11.2,300
2016-01-17 11:09:00,11,11,11,11,1200
2016-01-17 11:11:00,11,11,11,11,200
2016-01-17 11:17:00,11,11,11,11,2500
2016-01-17 11:19:00,11,11,11,11,500
2016-01-17 11:20:00,11,11,11,11,4800
2016-01-17 11:22:00,11,11,11,11,1000
2016-01-17 11:24:00,10.4,10.4,10.4,10.4,500
2016-01-17 11:30:00,10.6,10.6,10.6,10.6,2500
2016-01-17 11:32:00,10.6,10.6,10.6,10.6,500
2016-01-17 11:40:00,11.2,11.2,11.2,11.2,500
2016-01-17 11:42:00,11.2,11.2,11.2,11.2,1000
2016-01-17 11:44:00,11.1,11.1,11.1,11.1,1400
2016-01-17 11:46:00,11,11,11,11,100
2016-01-17 11:50:00,10.9,10.9,10.9,10.9,1000
2016-01-17 11:52:00,10.9,10.9,10.9,10.9,1000
2016-01-17 12:06:00,10.9,10.9,10.9,10.9,500
2016-01-17 12:12:00,10.9,10.9,10.9,10.9,500
2016-01-17 12:14:00,10.9,10.9,10.9,10.9,500
2016-01-17 12:16:00,10.9,10.9,10.9,10.9,150
2016-01-17 12:18:00,10.9,10.9,10.9,10.9,1350
2016-01-17 12:24:00,10.8,10.8,10.8,10.8,500
2016-01-17 12:26:00,10.8,10.8,10.8,10.8,500
2016-01-17 12:28:00,10.8,10.8,10.8,10.8,500
2016-01-17 12:32:00,12,12,12,12,500
2016-01-17 12:34:00,14.2,14.2,14.2,14.2,2500
2016-01-17 12:36:00,11.2,11.2,11.2,11.2,1500
2016-01-17 12:38:00,11.4,11.4,11.4,11.4,500
2016-01-17 12:40:00,11.5,11.5,11.5,11.5,500
2016-01-17 12:42:00,11.6,11.6,11.6,11.6,500
2016-01-17 12:48:00,11.6,11.6,11.6,11.6,1000
2016-01-17 13:20:00,11.7,11.7,11.7,11.7,500
2016-01-17 14:08:00,12,12,12,12,1000
2016-01-17 14:12:00,12,12,12,12,500
2016-01-17 14:16:00,12.1,12.1,12.1,12.1,500
2016-01-17 14:22:00,12.4,12.4,12.4,12.4,400
2016-01-18 10:52:00,12.1,12.1,12.1,12.1,2000
2016-01-18 10:54:00,12.1,12.1,12.1,12.1,2000
2016-01-18 11:02:00,12.8,12.8,12.8,12.8,4500
2016-01-18 11:04:00,13,13,13,13,33000
2016-01-18 12:20:00,12.6,12.6,12.6,12.6,500
2016-01-18 12:34:00,11.8,11.8,11.8,11.8,1500
2016-01-18 12:42:00,11.8,11.8,11.8,11.8,500
2016-01-18 13:34:00,11.9,11.9,11.9,11.9,790
2016-01-18 13:36:00,11.3,11.3,11.3,11.3,699
2016-01-18 13:44:00,11.3,11.3,11.3,11.3,4000
2016-01-18 14:00:00,11.3,11.3,11.3,11.3,500
2016-01-18 14:04:00,11.3,11.3,11.3,11.3,800
2016-01-18 14:12:00,11,11,11,11,500
2016-01-18 14:20:00,11,11,11,11,200
2016-01-19 10:52:00,11.5,11.5,11.5,11.5,500
2016-01-19 10:54:00,11.5,11.5,11.5,11.5,500
2016-01-19 11:13:00,11.1,11.1,11.1,11.1,500
2016-01-19 11:16:00,11.1,11.1,11.1,11.1,100
2016-01-19 11:20:00,11.4,11.4,11.4,11.4,2000
2016-01-19 11:54:00,11.1,11.1,11.1,11.1,100
2016-01-19 14:14:00,11.1,11.1,11.1,11.1,500
2016-01-19 14:16:00,12.8,12.8,12.8,12.8,17820
2016-01-19 14:22:00,12,12,12,12,500
2016-01-19 14:24:00,12,12,12,12,1000
2016-01-19 14:26:00,12,12,12,12,180
2016-01-19 14:28:00,11.1,11.1,11.1,11.1,1000
2016-01-20 11:00:00,10.9,10.9,10.9,10.9,200
2016-01-20 11:09:00,11,11,11,11,100
2016-01-20 11:14:00,10.8,10.8,10.8,10.8,209
2016-01-20 11:16:00,11,11,11,11,2000
2016-01-20 11:18:00,11,11,11,11,1191
2016-01-20 11:24:00,11,11,11,11,9
2016-01-20 11:28:00,10.9,10.9,10.9,10.9,500
2016-01-20 11:30:00,11,11,11,11,691
2016-01-20 11:48:00,11,11,11,11,500
2016-01-20 12:02:00,11,11,11,11,109
2016-01-20 12:04:00,11,11,11,11,391
2016-01-20 12:08:00,11,11,11,11,500
2016-01-20 12:14:00,11,11,11,11,500
2016-01-20 12:18:00,11,11,11,11,359
2016-01-20 12:20:00,11,11,11,11,141
2016-01-20 12:36:00,11,11,11,11,59
2016-01-20 12:44:00,11,11,11,11,2000
2016-01-20 12:46:00,11,11,11,11,2130
2016-01-20 12:48:00,11,11,11,11,500
2016-01-20 12:50:00,11,11,11,11,620
2016-01-20 13:28:00,10.8,10.8,10.8,10.8,500
2016-01-20 13:30:00,10.8,10.8,10.8,10.8,1121
2016-01-20 13:44:00,10.8,10.8,10.8,10.8,2000
2016-01-20 13:52:00,10.8,10.8,10.8,10.8,6000
2016-01-20 13:54:00,10.8,10.8,10.8,10.8,2000
2016-01-20 13:58:00,10.8,10.8,10.8,10.8,2000
2016-01-20 14:20:00,10.8,10.8,10.8,10.8,500
2016-01-20 14:22:00,10.8,10.8,10.8,10.8,20
2016-01-21 10:52:00,10.7,10.7,10.7,10.7,1000
2016-01-21 10:57:00,10.7,10.7,10.7,10.7,600
2016-01-21 11:22:00,10.7,10.7,10.7,10.7,400
2016-01-21 13:05:00,11.4,11.4,11.4,11.4,6490
2016-01-21 13:07:00,11.4,11.4,11.4,11.4,2015
2016-01-21 13:13:00,11.4,11.4,11.4,11.4,5500
2016-01-21 13:26:00,11.4,11.4,11.4,11.4,3645
2016-01-21 13:38:00,10.8,10.8,10.8,10.8,1700
2016-01-21 13:50:00,10.9,10.9,10.9,10.9,1000
2016-01-21 13:56:00,10.9,10.9,10.9,10.9,1000
2016-01-21 14:10:00,11,11,11,11,500
2016-01-21 14:25:00,11.5,11.5,11.5,11.5,600
2016-01-21 14:30:00,11.6,11.6,11.6,11.6,500
2016-01-22 10:32:00,11.6,11.6,11.6,11.6,24950
2016-01-24 11:15:00,10.8,10.8,10.8,10.8,100
2016-01-24 12:05:00,10.6,10.6,10.6,10.6,500
2016-01-24 12:29:00,10.6,10.6,10.6,10.6,400
2016-01-24 12:41:00,10.6,10.6,10.6,10.6,500
2016-01-24 13:07:00,10.7,10.7,10.7,10.7,500
2016-01-24 13:09:00,10.7,10.7,10.7,10.7,500
2016-01-24 13:55:00,10.6,10.6,10.6,10.6,990
2016-01-25 11:23:00,10.9,10.9,10.9,10.9,100
2016-01-25 12:04:00,10.8,10.8,10.8,10.8,100
2016-01-25 12:06:00,10.6,10.6,10.6,10.6,400
2016-01-25 12:48:00,10.9,10.9,10.9,10.9,400
2016-01-25 13:15:00,11.3,11.3,11.3,11.3,5
2016-01-25 13:52:00,10.6,10.6,10.6,10.6,800
2016-01-25 13:54:00,10.8,10.8,10.8,10.8,500
2016-01-26 12:47:00,10.6,10.6,10.6,10.6,500
2016-01-26 12:49:00,10.6,10.6,10.6,10.6,500
2016-01-26 12:51:00,10.5,10.5,10.5,10.5,500
2016-01-26 13:07:00,10.5,10.5,10.5,10.5,1000
2016-01-26 13:09:00,10.5,10.5,10.5,10.5,500
2016-01-26 13:19:00,11,11,11,11,5
2016-01-26 13:45:00,10.5,10.5,10.5,10.5,10000
2016-01-26 14:31:00,10.7,10.7,10.7,10.7,1000
2016-01-27 14:04:00,10.5,10.5,10.5,10.5,1000
2016-01-27 14:08:00,11,11,11,11,500
2016-01-28 12:53:00,10.7,10.7,10.7,10.7,450
2016-01-28 12:59:00,10.5,10.5,10.5,10.5,13055
2016-01-28 13:05:00,10.5,10.5,10.5,10.5,10
2016-01-28 13:29:00,10.5,10.5,10.5,10.5,500
2016-01-28 13:53:00,10.5,10.5,10.5,10.5,500
2016-01-28 14:09:00,11,11,11,11,5
2016-01-29 10:32:00,11,11,11,11,14520
2016-01-30 10:32:00,11,11,11,11,14520
2016-01-31 13:31:00,10.5,11,11,10.5,14720
2016-01-31 14:27:00,10.5,10.5,10.5,10.5,1500
2016-02-01 12:39:00,10.5,10.5,10.5,10.5,500
2016-02-01 13:23:00,10.5,10.5,10.5,10.5,1000
2016-02-01 13:33:00,10.5,10.5,10.5,10.5,1000
2016-02-02 11:39:00,11,11,11,11,1
2016-02-02 14:29:00,10.5,10.5,10.5,10.5,1776
2016-02-03 10:43:00,10.5,10.5,10.5,10.5,500
2016-02-03 10:45:00,10.5,10.5,10.5,10.5,2500
2016-02-03 10:47:00,10.5,10.5,10.5,10.5,500
2016-02-03 10:57:00,10.5,10.5,10.5,10.5,15
2016-02-03 13:15:00,10.6,10.6,10.6,10.6,500
2016-02-03 13:41:00,10.5,10.5,10.5,10.5,4000
2016-02-03 13:43:00,10.5,10.5,10.5,10.5,6000
2016-02-03 14:01:00,10.5,10.5,10.5,10.5,500
2016-02-03 14:07:00,10.5,10.5,10.5,10.5,500
2016-02-03 14:11:00,10.5,10.5,10.5,10.5,1500
2016-02-03 14:27:00,10.6,10.6,10.6,10.6,100
2016-02-04 11:31:00,10.4,10.4,10.4,10.4,500
2016-02-04 11:33:00,10.4,10.4,10.4,10.4,1000
2016-02-04 13:51:00,10.4,10.4,10.4,10.4,494
2016-02-04 14:28:00,10.4,10.4,10.4,10.4,1994
2016-02-05 10:32:00,10.4,10.4,10.4,10.4,1994
2016-02-06 10:32:00,10.4,10.4,10.4,10.4,1994
2016-02-06 11:57:00,10.4,10.4,10.4,10.4,1994
2016-02-06 12:07:00,10.4,10.4,10.4,10.4,1994
2016-02-06 12:31:00,10.4,10.4,10.4,10.4,1994
2016-02-07 11:45:00,10.4,10.4,10.4,10.4,1000
2016-02-07 11:47:00,10.4,10.4,10.4,10.4,500
2016-02-07 14:01:00,10.4,10.4,10.4,10.4,2000
2016-02-07 14:03:00,10.4,10.4,10.4,10.4,7500
2016-02-08 12:49:00,10.4,10.4,10.4,10.4,800
2016-02-08 13:39:00,10.4,10.4,10.4,10.4,500
2016-02-08 13:41:00,10.4,10.4,10.4,10.4,500
2016-02-08 14:17:00,10.4,10.4,10.4,10.4,555
2016-02-09 11:05:00,10.4,10.4,10.4,10.4,500
2016-02-09 12:47:00,10.4,10.4,10.4,10.4,500
2016-02-09 13:41:00,10.4,10.4,10.4,10.4,500
2016-02-09 14:29:00,10.4,10.4,10.4,10.4,500
2016-02-09 15:48:00,10.4,10.4,10.4,10.4,2000
2016-02-10 11:57:00,10.4,10.4,10.4,10.4,790
2016-02-14 12:57:00,10.4,10.4,10.4,10.4,500
2016-02-15 11:30:00,10.4,10.4,10.4,10.4,500
2016-02-15 11:36:00,10.4,10.4,10.4,10.4,500
2016-02-15 13:10:00,10.4,10.4,10.4,10.4,1
2016-02-15 14:02:00,10.4,10.4,10.4,10.4,500
2016-02-15 14:12:00,10.4,10.4,10.4,10.4,1000
2016-02-17 10:54:00,10.4,10.4,10.4,10.4,11
2016-02-17 14:21:00,10.4,10.4,10.4,10.4,500
2016-02-18 13:01:00,10.4,10.4,10.4,10.4,500
2016-02-18 13:03:00,10.4,10.4,10.4,10.4,2000
2016-02-18 13:09:00,10.4,10.4,10.4,10.4,500
2016-02-18 13:11:00,10.4,10.4,10.4,10.4,1000
2016-02-18 13:13:00,10.4,10.4,10.4,10.4,1500
2016-02-18 13:15:00,10.4,10.4,10.4,10.4,1500
2016-02-18 13:17:00,10.4,10.4,10.4,10.4,1000
2016-02-18 14:06:00,10.4,10.4,10.4,10.4,500
2016-02-18 14:08:00,10.4,10.4,10.4,10.4,500
2016-02-19 10:33:00,10.4,10.4,10.4,10.4,9500
2016-02-20 10:33:00,10.4,10.4,10.4,10.4,9500
2016-02-20 11:40:00,10.4,10.4,10.4,10.4,9500
2016-02-21 10:33:00,10.4,10.4,10.4,10.4,9500
2016-02-22 11:41:00,10.3,10.3,10.3,10.3,500
