timestamp,closing,opening,high,low,volume
2017-03-08 10:31:00,48,48,48,48,748187
2017-03-08 10:33:00,45.2,45.2,45.2,45.2,691552
2017-03-08 10:35:00,46.1,46.1,46.1,46.1,620377
2017-03-08 10:37:00,48.4,48.4,48.4,48.4,580860
2017-03-08 10:39:00,48.6,48.6,48.6,48.6,287531
2017-03-08 10:41:00,49.3,49.3,49.3,49.3,434065
2017-03-08 10:43:00,48.8,48.8,48.8,48.8,218175
2017-03-08 10:45:00,48.5,48.5,48.5,48.5,117126
2017-03-08 10:47:00,48.8,48.8,48.8,48.8,140316
2017-03-08 10:49:00,48.7,48.7,48.7,48.7,125557
2017-03-08 10:51:00,49.3,49.3,49.3,49.3,230713
2017-03-08 10:53:00,49.9,49.9,49.9,49.9,291610
2017-03-08 10:55:00,52.4,52.4,52.4,52.4,415213
2017-03-08 10:57:00,53.1,53.1,53.1,53.1,154489
2017-03-08 11:00:00,52,52,52,52,124941
2017-03-08 11:02:00,52.1,52.1,52.1,52.1,109780
2017-03-08 11:04:00,51,51,51,51,104091
2017-03-08 11:06:00,50.2,50.2,50.2,50.2,128044
2017-03-08 11:08:00,50.2,50.2,50.2,50.2,71747
2017-03-08 11:10:00,50.3,50.3,50.3,50.3,109660
2017-03-08 11:12:00,51.1,51.1,51.1,51.1,94491
2017-03-08 11:14:00,51.5,51.5,51.5,51.5,97962
2017-03-08 11:16:00,51.6,51.6,51.6,51.6,25030
2017-03-08 11:18:00,51.2,51.2,51.2,51.2,57798
2017-03-08 11:20:00,51.2,51.2,51.2,51.2,42470
2017-03-08 11:23:00,51.5,51.5,51.5,51.5,65520
2017-03-08 11:25:00,51.4,51.4,51.4,51.4,25305
2017-03-08 11:27:00,51.5,51.5,51.5,51.5,34585
2017-03-08 11:29:00,52,52,52,52,144809
2017-03-08 11:31:00,52,52,52,52,115920
2017-03-08 11:32:00,51.7,51.7,51.7,51.7,28929
2017-03-08 11:33:00,51.7,51.7,51.7,51.7,36546
2017-03-08 11:34:00,51.9,51.9,51.9,51.9,35502
2017-03-08 11:36:00,52.4,52.4,52.4,52.4,82749
2017-03-08 11:38:00,52.4,52.4,52.4,52.4,34768
2017-03-08 11:40:00,52,52,52,52,37605
2017-03-08 11:42:00,51.9,51.9,51.9,51.9,26517
2017-03-08 11:44:00,52,52,52,52,23134
2017-03-08 11:46:00,51.9,51.9,51.9,51.9,58940
2017-03-08 11:48:00,51.9,51.9,51.9,51.9,18465
2017-03-08 11:50:00,51.8,51.8,51.8,51.8,20448
2017-03-08 11:52:00,51.8,51.8,51.8,51.8,27967
2017-03-08 11:54:00,51.2,51.2,51.2,51.2,31344
2017-03-08 11:56:00,50.9,50.9,50.9,50.9,51840
2017-03-08 11:58:00,50.1,50.1,50.1,50.1,54715
2017-03-08 12:02:00,50.3,50.3,50.3,50.3,47064
2017-03-08 12:04:00,50.2,50.2,50.2,50.2,27627
2017-03-08 12:06:00,51,50.7,51,50.7,70926
2017-03-08 12:08:00,50.9,50.9,50.9,50.9,12659
2017-03-08 12:10:00,50.9,50.9,50.9,50.9,22257
2017-03-08 12:14:00,51,51,51,51,21932
2017-03-08 12:16:00,50.9,50.9,50.9,50.9,21807
2017-03-08 12:18:00,50.9,50.9,50.9,50.9,21763
2017-03-08 12:20:00,50.9,50.9,50.9,50.9,17510
2017-03-08 12:22:00,50.8,50.8,50.8,50.8,15104
2017-03-08 12:24:00,51,51,51,51,20590
2017-03-08 12:26:00,50.9,50.9,50.9,50.9,19200
2017-03-08 12:28:00,51.3,51.3,51.3,51.3,81220
2017-03-08 12:30:00,51.5,51.5,51.5,51.5,42750
2017-03-08 12:32:00,51.2,51.2,51.2,51.2,15975
2017-03-08 12:34:00,51.4,51.4,51.4,51.4,17730
2017-03-08 12:36:00,51.4,51.4,51.4,51.4,18000
2017-03-08 12:38:00,51.6,51.6,51.6,51.6,32340
2017-03-08 12:40:00,51.5,51.5,51.5,51.5,12333
2017-03-08 12:42:00,51.7,51.7,51.7,51.7,20757
2017-03-08 12:44:00,51.7,51.7,51.7,51.7,12400
2017-03-08 12:46:00,51.7,51.7,51.7,51.7,39317
2017-03-08 12:48:00,52,52,52,52,43337
2017-03-08 12:50:00,52.4,52.4,52.4,52.4,78486
2017-03-08 12:52:00,52.2,52.2,52.2,52.2,30378
2017-03-08 12:54:00,52.3,52.3,52.3,52.3,19100
2017-03-08 12:56:00,52.3,52.3,52.3,52.3,13229
2017-03-08 12:58:00,51.4,52.3,52.3,51.4,77303
2017-03-08 13:00:00,51.8,51.8,51.8,51.8,7400
2017-03-08 13:02:00,51.9,51.9,51.9,51.9,7330
2017-03-08 13:04:00,52.1,52.1,52.1,52.1,38248
2017-03-08 13:06:00,52.2,52.2,52.2,52.2,22139
2017-03-08 13:08:00,52,52,52,52,23250
2017-03-08 13:10:00,51.7,51.7,51.7,51.7,14526
2017-03-08 13:12:00,51.7,51.7,51.7,51.7,6250
2017-03-08 13:14:00,51.9,51.9,51.9,51.9,6000
2017-03-08 13:16:00,51.8,51.8,51.8,51.8,26300
2017-03-08 13:18:00,51.7,51.7,51.7,51.7,6001
2017-03-08 13:20:00,51.6,51.6,51.6,51.6,11519
2017-03-08 13:22:00,51.8,51.8,51.8,51.8,17726
2017-03-08 13:24:00,52.2,52.2,52.2,52.2,59945
2017-03-08 13:27:00,52.1,52.1,52.1,52.1,29731
2017-03-08 13:29:00,52.1,52.1,52.1,52.1,21174
2017-03-08 13:31:00,52.4,52.4,52.4,52.4,51259
