timestamp,closing,opening,high,low,volume
2015-10-15 13:09:00,16.7,16.7,16.7,16.7,1200
2015-10-15 13:13:00,16.8,16.8,16.8,16.8,161
2015-10-15 13:47:00,16.8,16.8,16.8,16.8,4
2015-10-15 13:53:00,16.7,16.7,16.7,16.7,50
2015-10-18 11:32:00,15.7,15.7,15.7,15.7,894
2015-10-18 11:44:00,15.8,15.8,15.8,15.8,332
2015-10-18 12:41:00,16,16,16,16,976
2015-10-19 11:27:00,15.7,15.7,15.7,15.7,976
2015-10-19 12:09:00,15.8,15.8,15.8,15.8,660
2015-10-19 12:39:00,15.8,15.8,15.8,15.8,250
2015-10-19 13:15:00,16.4,16.4,16.4,16.4,80
2015-10-19 13:53:00,16,16,16,16,120
2015-10-19 13:59:00,16.4,16.4,16.4,16.4,500
2015-10-19 14:09:00,16,16,16,16,72
2015-10-20 11:03:00,15,15,15,15,3000
2015-10-20 11:05:00,15.2,15.2,15.2,15.2,1000
2015-10-20 11:07:00,15.3,15.3,15.3,15.3,22000
2015-10-20 12:25:00,16,16,16,16,300
2015-10-20 12:29:00,16,16,16,16,200
2015-10-20 13:09:00,15.8,15.8,15.8,15.8,22000
2015-10-20 13:17:00,15.6,15.6,15.6,15.6,5204
2015-10-20 13:27:00,15.5,15.5,15.5,15.5,11000
2015-10-20 13:33:00,15.3,15.3,15.3,15.3,15000
2015-10-20 13:39:00,15.2,15.2,15.2,15.2,5600
2015-10-20 14:21:00,15.3,15.3,15.3,15.3,1686
2015-10-20 14:23:00,15.3,15.3,15.3,15.3,200
2015-10-21 12:49:00,16.4,16.4,16.4,16.4,650
2015-10-21 14:21:00,15.7,15.7,15.7,15.7,200
2015-10-21 14:23:00,15.7,15.7,15.7,15.7,694
2015-11-01 11:28:00,15.1,15.7,15.7,15.1,11544
2015-11-01 11:30:00,15.1,15.1,15.1,15.1,3830
2015-11-01 11:32:00,15.1,15.1,15.1,15.1,1500
2015-11-01 12:02:00,15.1,15.1,15.1,15.1,15330
2015-11-01 12:28:00,15.2,15.2,15.2,15.2,60
2015-11-01 13:06:00,15.3,15.3,15.3,15.3,80
2015-11-01 14:02:00,15.3,15.3,15.3,15.3,15470
2015-11-01 14:16:00,16.6,16.6,16.6,16.6,1398
2015-11-02 10:38:00,16.6,16.6,16.6,16.6,9000
2015-11-02 10:47:00,16.6,16.6,16.6,16.6,9000
2015-11-02 10:49:00,16.6,16.6,16.6,16.6,9000
2015-11-02 10:51:00,16.6,16.6,16.6,16.6,9000
2015-11-02 11:01:00,16.6,16.6,16.6,16.6,9000
2015-11-02 11:13:00,16.6,16.6,16.6,16.6,9000
2015-11-02 11:25:00,16.6,16.6,16.6,16.6,9000
2015-11-02 11:30:00,16.6,16.6,16.6,16.6,9000
2015-11-02 11:37:00,16.6,16.6,16.6,16.6,9000
2015-11-02 11:52:00,15.3,15.3,15.3,15.3,326
2015-11-02 11:56:00,15.3,15.3,15.3,15.3,26
2015-11-02 12:23:00,15.5,15.5,15.5,15.5,704
2015-11-02 13:08:00,15.5,15.5,15.5,15.5,6
2015-11-02 13:34:00,15.6,15.6,15.6,15.6,72
2015-11-02 13:57:00,15.6,15.6,15.6,15.6,10134
2015-11-03 11:31:00,15,15,15,15,2766
2015-11-03 11:37:00,15.1,15.1,15.1,15.1,2688
2015-11-03 11:49:00,15.1,15.1,15.1,15.1,5454
2015-11-03 11:55:00,15.1,15.1,15.1,15.1,5454
2015-11-03 12:01:00,15.1,15.1,15.1,15.1,5454
2015-11-03 12:07:00,15.1,15.1,15.1,15.1,5454
2015-11-03 12:13:00,15.1,15.1,15.1,15.1,5454
2015-11-03 12:25:00,15.1,15.1,15.1,15.1,5454
2015-11-03 12:39:00,15.1,15.1,15.1,15.1,5454
2015-11-03 13:01:00,15.4,15.4,15.4,15.4,43
2015-11-03 14:10:00,15.7,15.7,15.7,15.7,5509
2015-11-03 14:11:00,15.6,15.6,15.6,15.6,288
2015-11-04 13:39:00,15.6,15.6,15.6,15.6,480
2015-11-04 13:41:00,15.3,15.3,15.3,15.3,500
2015-11-04 14:17:00,15.5,15.5,15.5,15.5,47
2015-11-04 14:29:00,15.6,15.6,15.6,15.6,5000
2015-11-11 10:34:00,14.8,14.8,14.8,14.8,1000
2015-11-11 10:48:00,13.6,13.6,13.6,13.6,1000
2015-11-11 10:51:00,13.6,13.6,13.6,13.6,2000
2015-11-11 10:53:00,13.6,13.6,13.6,13.6,644
2015-11-11 10:55:00,13.6,13.6,13.6,13.6,1000
2015-11-11 10:57:00,13.7,13.7,13.7,13.7,16000
2015-11-11 10:59:00,13.7,13.7,13.7,13.7,1000
2015-11-11 11:04:00,13.7,13.7,13.7,13.7,740
2015-11-11 11:08:00,13.6,13.6,13.6,13.6,1000
2015-11-11 11:10:00,13.6,13.6,13.6,13.6,3816
2015-11-11 11:12:00,13.6,13.6,13.6,13.6,1296
2015-11-11 11:16:00,13.6,13.6,13.6,13.6,3204
2015-11-11 11:20:00,13.7,13.7,13.7,13.7,1726
2015-11-11 11:23:00,13.7,13.7,13.7,13.7,580
2015-11-11 11:24:00,13.6,13.6,13.6,13.6,5340
2015-11-11 11:32:00,13.7,13.7,13.7,13.7,2000
2015-11-11 11:34:00,13.6,13.6,13.6,13.6,500
2015-11-11 11:36:00,13.6,13.6,13.6,13.6,1796
2015-11-11 11:38:00,13.6,13.6,13.6,13.6,2420
2015-11-11 11:40:00,13.6,13.6,13.6,13.6,10140
2015-11-11 11:47:00,13.6,13.6,13.6,13.6,57202
2015-11-11 11:49:00,13.6,13.6,13.6,13.6,82202
2015-11-11 11:52:00,14.6,14.6,14.6,14.6,86417
2015-11-11 11:54:00,13.5,13.5,13.5,13.5,5287
2015-11-11 11:55:00,14.6,14.6,14.6,14.6,1
2015-11-11 12:00:00,13.5,13.5,13.5,13.5,4000
2015-11-11 12:01:00,14,14,14,14,6001
2015-11-11 12:03:00,13.5,13.5,13.5,13.5,5001
2015-11-11 12:06:00,14,14,14,14,5000
2015-11-11 12:07:00,13.5,13.5,13.5,13.5,1000
2015-11-11 12:09:00,14.5,14.5,14.5,14.5,2
2015-11-11 12:11:00,13.7,13.7,13.7,13.7,2200
2015-11-11 12:14:00,14.4,14.4,14.4,14.4,7002
2015-11-11 12:16:00,13.6,13.6,13.6,13.6,6000
2015-11-11 12:18:00,13.6,13.6,13.6,13.6,127911
2015-11-11 12:21:00,13.6,13.6,13.6,13.6,10000
2015-11-11 12:23:00,13.5,13.5,13.5,13.5,12000
2015-11-11 12:25:00,13.5,13.5,13.5,13.5,153911
2015-11-11 12:27:00,13.5,13.5,13.5,13.5,153911
2015-11-11 12:31:00,13.5,13.5,13.5,13.5,153911
