timestamp,closing,opening,high,low,volume
2015-10-15 12:06:00,17.2,17.2,17.2,17.2,500
2015-10-15 12:32:00,17.1,17.1,17.1,17.1,755
2015-10-15 13:21:00,17.1,17.1,17.1,17.1,4500
2015-10-15 13:25:00,17.1,17.1,17.1,17.1,745
2015-10-15 13:31:00,17,17,17,17,22600
2015-10-15 13:53:00,17.2,17.2,17.2,17.2,595
2015-10-15 13:59:00,17,17,17,17,5300
2015-10-15 14:17:00,17.2,17.2,17.2,17.2,1000
2015-10-15 14:19:00,17,17,17,17,2227
2015-10-15 14:23:00,17,17,17,17,78
2015-10-15 14:25:00,16.9,16.9,16.9,16.9,1300
2015-10-15 14:27:00,16.9,16.9,16.9,16.9,720
2015-10-15 14:31:00,16.9,16.9,16.9,16.9,100
2015-10-18 11:58:00,16.8,16.8,16.8,16.8,280
2015-10-18 12:15:00,16.8,16.8,16.8,16.8,920
2015-10-18 12:17:00,16.7,16.7,16.7,16.7,560
2015-10-18 12:19:00,16.8,16.8,16.8,16.8,4000
2015-10-18 12:29:00,16.8,16.8,16.8,16.8,80
2015-10-18 13:00:00,16.8,16.8,16.8,16.8,476
2015-10-18 13:04:00,16.8,16.8,16.8,16.8,197
2015-10-18 14:11:00,16.8,16.8,16.8,16.8,1563
2015-10-18 14:19:00,16.8,16.8,16.8,16.8,1400
2015-10-18 14:21:00,16.8,16.8,16.8,16.8,1984
2015-10-18 14:25:00,16.9,16.9,16.9,16.9,828
2015-10-18 14:29:00,16.7,16.7,16.7,16.7,3000
2015-10-18 14:31:00,16.7,16.7,16.7,16.7,1092
2015-10-19 11:41:00,16.7,16.7,16.7,16.7,10000
2015-10-19 12:13:00,16.7,16.7,16.7,16.7,24
2015-10-19 13:03:00,16.7,16.7,16.7,16.7,120
2015-10-19 13:41:00,16.7,16.7,16.7,16.7,89
2015-10-19 13:53:00,16.7,16.7,16.7,16.7,2120
2015-10-19 14:01:00,17,17,17,17,500
2015-10-19 14:03:00,16.7,16.7,16.7,16.7,700
2015-10-19 14:05:00,16.7,16.7,16.7,16.7,1380
2015-10-19 14:21:00,16.7,16.7,16.7,16.7,2200
2015-10-19 14:23:00,16.7,16.7,16.7,16.7,2000
2015-10-19 14:31:00,17,17,17,17,100
2015-10-20 10:41:00,16.7,16.7,16.7,16.7,220
2015-10-20 11:23:00,16.8,16.8,16.8,16.8,200
2015-10-20 11:35:00,16.7,16.7,16.7,16.7,1200
2015-10-20 11:49:00,17,17,17,17,820
2015-10-20 12:11:00,16.8,16.8,16.8,16.8,984
2015-10-20 12:37:00,16.7,16.7,16.7,16.7,1288
2015-10-20 14:05:00,16.7,16.7,16.7,16.7,18116
2015-10-20 14:13:00,17,17,17,17,20
2015-10-21 11:19:00,16.7,16.7,16.7,16.7,135
