timestamp,closing,opening,high,low,volume
2015-10-15 10:40:00,55.6,55.6,55.6,55.6,1500
2015-10-15 10:54:00,56.5,56.5,56.5,56.5,100
2015-10-15 11:00:00,56,56,56,56,1980
2015-10-15 11:04:00,56,56,56,56,20
2015-10-15 11:12:00,56.5,56.5,56.5,56.5,25
2015-10-15 11:14:00,56.5,56.5,56.5,56.5,125
2015-10-15 11:20:00,56.9,56.9,56.9,56.9,50
2015-10-15 11:28:00,56.9,56.9,56.9,56.9,500
2015-10-15 11:44:00,56.5,56.5,56.5,56.5,237
2015-10-15 11:48:00,56.3,56.3,56.3,56.3,1018
2015-10-15 11:50:00,56.2,56.2,56.2,56.2,82
2015-10-15 11:52:00,56.2,56.2,56.2,56.2,50
2015-10-15 11:56:00,56.1,56.1,56.1,56.1,2247
2015-10-15 12:17:00,56.1,56.1,56.1,56.1,1650
2015-10-15 12:18:00,56.4,56.4,56.4,56.4,500
2015-10-15 12:31:00,56.4,56.4,56.4,56.4,14
2015-10-15 12:40:00,56.4,56.4,56.4,56.4,100
2015-10-15 12:54:00,56.1,56.1,56.1,56.1,254
2015-10-15 13:00:00,56.1,56.1,56.1,56.1,200
2015-10-15 13:02:00,56.1,56.1,56.1,56.1,334
2015-10-15 13:09:00,56.1,56.1,56.1,56.1,3400
2015-10-15 13:19:00,56.1,56.1,56.1,56.1,39
2015-10-15 13:21:00,55.9,55.9,55.9,55.9,1710
2015-10-15 13:23:00,56,56,56,56,1340
2015-10-15 13:27:00,56,56,56,56,390
2015-10-15 13:33:00,56,56,56,56,10
2015-10-15 13:45:00,55.9,55.9,55.9,55.9,400
2015-10-15 13:57:00,56.6,56.6,56.6,56.6,400
2015-10-15 14:05:00,56,56,56,56,500
2015-10-15 14:07:00,56.2,56.2,56.2,56.2,678
2015-10-15 14:09:00,56.3,56.3,56.3,56.3,4880
2015-10-15 14:11:00,56.3,56.3,56.3,56.3,84
2015-10-15 14:13:00,56.3,56.3,56.3,56.3,25
2015-10-15 14:15:00,56.3,56.3,56.3,56.3,193
2015-10-15 14:23:00,56.3,56.3,56.3,56.3,2000
2015-10-15 14:25:00,56.3,56.3,56.3,56.3,140
2015-10-15 14:27:00,56,56,56,56,300
2015-10-15 14:31:00,56.7,56.7,56.7,56.7,1375
2015-10-18 10:44:00,55,55,55,55,2200
2015-10-18 11:03:00,55.3,55.3,55.3,55.3,16
2015-10-18 11:19:00,55.5,55.5,55.5,55.5,84
2015-10-18 11:21:00,55.4,55.4,55.4,55.4,1390
2015-10-18 11:24:00,55.3,55.3,55.3,55.3,100
2015-10-18 11:26:00,55.4,55.4,55.4,55.4,1500
2015-10-18 11:30:00,55.4,55.4,55.4,55.4,134
2015-10-18 11:32:00,55.4,55.4,55.4,55.4,100
2015-10-18 11:36:00,55.4,55.4,55.4,55.4,176
2015-10-18 11:38:00,55.3,55.3,55.3,55.3,1295
2015-10-18 12:19:00,56,56,56,56,423
2015-10-18 12:37:00,55.4,55.4,55.4,55.4,210
2015-10-18 12:46:00,55.4,55.4,55.4,55.4,550
2015-10-18 13:21:00,55.5,55.5,55.5,55.5,2408
2015-10-18 13:27:00,55.4,55.4,55.4,55.4,5500
2015-10-18 13:29:00,55.4,55.4,55.4,55.4,3100
2015-10-18 13:37:00,55.4,55.4,55.4,55.4,250
2015-10-18 13:47:00,55.4,55.4,55.4,55.4,500
2015-10-18 13:55:00,55.7,55.7,55.7,55.7,100
