timestamp,closing,opening,high,low,volume
2016-01-17 10:35:00,9.9,9.9,9.9,9.9,22000
2016-01-17 10:37:00,9.9,9.9,9.9,9.9,3000
2016-01-17 10:39:00,9.7,9.7,9.7,9.7,500
2016-01-17 10:41:00,10,10,10,10,7000
2016-01-17 10:43:00,9.7,9.7,9.7,9.7,3700
2016-01-17 10:44:00,10.1,10.1,10.1,10.1,19100
2016-01-17 10:47:00,10,10,10,10,6610
2016-01-17 10:48:00,10,10,10,10,2390
2016-01-17 10:51:00,10,10,10,10,500
2016-01-17 10:52:00,10,10,10,10,2000
2016-01-17 10:54:00,10.1,10.1,10.1,10.1,500
2016-01-17 10:57:00,10.2,10.2,10.2,10.2,2000
2016-01-17 10:58:00,10.3,10.3,10.3,10.3,9500
2016-01-17 11:04:00,10.2,10.2,10.2,10.2,500
2016-01-17 11:09:00,10.3,10.3,10.3,10.3,3500
2016-01-17 11:11:00,10.7,10.7,10.7,10.7,2500
2016-01-17 11:13:00,10.9,10.9,10.9,10.9,16600
2016-01-17 11:16:00,11,11,11,11,5000
2016-01-17 11:17:00,11.4,11.4,11.4,11.4,4000
2016-01-17 11:18:00,11.5,11.5,11.5,11.5,5500
2016-01-17 11:19:00,11.4,11.4,11.4,11.4,8900
2016-01-17 11:20:00,11.7,11.7,11.7,11.7,10567
2016-01-17 11:22:00,11.7,11.7,11.7,11.7,4633
2016-01-17 11:24:00,11.8,11.8,11.8,11.8,400
2016-01-17 11:26:00,11.9,11.9,11.9,11.9,5000
2016-01-17 11:28:00,12.1,12.1,12.1,12.1,9300
2016-01-17 11:30:00,12.7,12.7,12.7,12.7,4000
2016-01-17 11:32:00,13.6,13.6,13.6,13.6,13250
2016-01-17 11:34:00,15,15,15,15,7900
2016-01-17 11:36:00,14,14,14,14,3250
2016-01-17 11:38:00,13.7,13.7,13.7,13.7,5500
2016-01-17 11:40:00,13.8,13.8,13.8,13.8,2000
2016-01-17 11:42:00,13.1,13.1,13.1,13.1,12300
2016-01-17 11:44:00,13,13,13,13,5700
2016-01-17 11:46:00,12.4,12.4,12.4,12.4,7400
2016-01-17 11:48:00,12.4,12.4,12.4,12.4,4000
2016-01-17 11:52:00,12.4,12.4,12.4,12.4,400
2016-01-17 11:54:00,12.4,12.4,12.4,12.4,1000
2016-01-17 12:00:00,12.7,12.7,12.7,12.7,11500
2016-01-17 12:02:00,12.9,12.9,12.9,12.9,2000
2016-01-17 12:04:00,13,13,13,13,9950
2016-01-17 12:06:00,13.8,13.8,13.8,13.8,9150
2016-01-17 12:08:00,13.8,13.8,13.8,13.8,3500
2016-01-17 12:10:00,13,13,13,13,2550
2016-01-17 12:14:00,13.1,13.1,13.1,13.1,500
2016-01-17 12:16:00,13,13,13,13,500
2016-01-17 12:20:00,13.1,13.1,13.1,13.1,500
2016-01-17 12:24:00,12.8,12.8,12.8,12.8,500
2016-01-17 12:32:00,13.1,13.1,13.1,13.1,500
2016-01-17 12:36:00,13.8,13.8,13.8,13.8,700
2016-01-17 12:48:00,13.2,13.2,13.2,13.2,500
2016-01-17 12:52:00,13.2,13.2,13.2,13.2,1000
2016-01-17 12:54:00,13.1,13.1,13.1,13.1,1500
2016-01-17 13:00:00,13.1,13.1,13.1,13.1,1500
2016-01-17 13:02:00,13.1,13.1,13.1,13.1,1000
2016-01-17 13:04:00,13.1,13.1,13.1,13.1,3600
2016-01-17 13:06:00,13.1,13.1,13.1,13.1,3301
2016-01-17 13:08:00,13,13,13,13,4599
2016-01-17 13:10:00,13,13,13,13,500
2016-01-17 13:16:00,12.9,12.9,12.9,12.9,500
2016-01-17 13:18:00,12.9,12.9,12.9,12.9,500
2016-01-17 13:22:00,12.9,12.9,12.9,12.9,500
2016-01-17 13:36:00,12.8,12.8,12.8,12.8,7000
2016-01-17 14:02:00,13.4,13.4,13.4,13.4,500
2016-01-17 14:10:00,12.9,12.9,12.9,12.9,3000
2016-01-17 14:12:00,12.9,12.9,12.9,12.9,1000
2016-01-17 14:16:00,12.9,12.9,12.9,12.9,500
2016-01-17 14:18:00,12.9,12.9,12.9,12.9,300
2016-01-17 14:28:00,13,13,13,13,1200
2016-01-18 10:36:00,13,13,13,13,1000
2016-01-18 10:42:00,13,13,13,13,1000
2016-01-18 10:49:00,12.1,12.1,12.1,12.1,4500
2016-01-18 10:52:00,12.2,12.2,12.2,12.2,1000
2016-01-18 10:54:00,12.2,12.2,12.2,12.2,2000
2016-01-18 10:56:00,12.2,12.2,12.2,12.2,1000
2016-01-18 10:58:00,12.9,12.9,12.9,12.9,1000
2016-01-18 11:00:00,12.3,12.3,12.3,12.3,500
2016-01-18 11:02:00,12.3,12.3,12.3,12.3,1000
2016-01-18 11:04:00,12.2,12.2,12.2,12.2,2100
2016-01-18 11:06:00,12.3,12.3,12.3,12.3,400
2016-01-18 11:12:00,12.3,12.3,12.3,12.3,1000
2016-01-18 11:14:00,12.3,12.3,12.3,12.3,500
2016-01-18 11:26:00,12.4,12.4,12.4,12.4,500
2016-01-18 11:30:00,12.5,12.5,12.5,12.5,500
2016-01-18 11:38:00,12.4,12.4,12.4,12.4,500
2016-01-18 11:40:00,12.4,12.4,12.4,12.4,1500
2016-01-18 11:42:00,12.5,12.5,12.5,12.5,100
2016-01-18 11:44:00,12.4,12.4,12.4,12.4,400
2016-01-18 11:56:00,12.4,12.4,12.4,12.4,2000
2016-01-18 12:10:00,12.4,12.4,12.4,12.4,500
2016-01-18 12:14:00,12.4,12.4,12.4,12.4,500
2016-01-18 12:26:00,12.4,12.4,12.4,12.4,1000
2016-01-18 12:28:00,12.4,12.4,12.4,12.4,500
2016-01-18 12:52:00,12.4,12.4,12.4,12.4,1000
2016-01-18 12:56:00,12.4,12.4,12.4,12.4,2000
2016-01-18 12:58:00,12.4,12.4,12.4,12.4,1000
2016-01-18 13:10:00,12.3,12.3,12.3,12.3,28500
2016-01-18 13:16:00,12.3,12.3,12.3,12.3,500
2016-01-18 13:28:00,12,12,12,12,2900
2016-01-18 13:36:00,12.6,12.6,12.6,12.6,5600
2016-01-18 13:44:00,11.5,11.5,11.5,11.5,800
2016-01-18 13:48:00,11.5,11.5,11.5,11.5,200
2016-01-18 13:56:00,11.3,11.3,11.3,11.3,500
2016-01-18 14:23:00,11.4,11.4,11.4,11.4,1000
2016-01-19 10:32:00,11.4,11.4,11.4,11.4,2000
2016-01-19 10:34:00,11.4,11.4,11.4,11.4,2000
2016-01-19 10:36:00,11.4,11.4,11.4,11.4,6000
2016-01-19 10:40:00,11,11,11,11,7000
2016-01-19 10:42:00,11,11,11,11,100
2016-01-19 10:54:00,11,11,11,11,2350
2016-01-19 10:59:00,11,11,11,11,250
2016-01-19 11:04:00,11,11,11,11,100
2016-01-19 11:10:00,11,11,11,11,500
2016-01-19 11:13:00,11,11,11,11,280
2016-01-19 11:38:00,11,11,11,11,5000
2016-01-19 11:40:00,11,11,11,11,5000
2016-01-19 12:26:00,11,11,11,11,1000
2016-01-19 12:40:00,11,11,11,11,2000
2016-01-19 14:26:00,11,11,11,11,5500
2016-01-19 14:28:00,11,11,11,11,200
2016-01-20 10:45:00,10,10,10,10,10
2016-01-20 10:50:00,9.9,9.9,9.9,9.9,4200
2016-01-20 10:53:00,9.9,9.9,9.9,9.9,5000
2016-01-20 10:56:00,10,10,10,10,9400
2016-01-20 11:00:00,10,10,10,10,3000
2016-01-20 11:03:00,9.9,9.9,9.9,9.9,100
2016-01-20 11:06:00,9.9,9.9,9.9,9.9,10500
2016-01-20 11:09:00,10,10,10,10,19510
2016-01-20 11:12:00,10,10,10,10,17857
2016-01-20 11:14:00,10,10,10,10,100
2016-01-20 11:16:00,10,10,10,10,3043
2016-01-20 11:18:00,10,10,10,10,2957
2016-01-20 11:22:00,10.3,10.3,10.3,10.3,100
2016-01-20 11:24:00,10.3,10.3,10.3,10.3,1150
2016-01-20 11:42:00,10.2,10.2,10.2,10.2,79427
2016-01-20 11:43:00,10,10,10,10,3850
2016-01-20 11:44:00,10,10,10,10,250
2016-01-20 11:46:00,10,10,10,10,4000
2016-01-20 11:48:00,10.1,10.1,10.1,10.1,1500
2016-01-20 11:52:00,10.1,10.1,10.1,10.1,900
2016-01-20 11:54:00,10.1,10.1,10.1,10.1,100
2016-01-20 12:00:00,10,10,10,10,6570
2016-01-20 12:02:00,10,10,10,10,500
2016-01-20 12:04:00,10,10,10,10,8700
2016-01-20 12:06:00,10,10,10,10,4000
2016-01-20 12:08:00,10,10,10,10,2500
2016-01-20 12:10:00,10,10,10,10,1500
2016-01-20 12:16:00,10,10,10,10,3000
2016-01-20 12:18:00,10,10,10,10,500
2016-01-20 12:26:00,10,10,10,10,1100
2016-01-20 12:36:00,10,10,10,10,2012
2016-01-20 12:38:00,10,10,10,10,2000
2016-01-20 12:44:00,10.1,10.1,10.1,10.1,100
2016-01-20 12:48:00,10,10,10,10,4900
2016-01-20 13:10:00,10.1,10.1,10.1,10.1,1000
2016-01-20 13:16:00,10,10,10,10,5500
2016-01-20 13:18:00,10.1,10.1,10.1,10.1,1000
2016-01-20 13:22:00,10.1,10.1,10.1,10.1,14000
2016-01-20 13:40:00,10,10,10,10,2000
2016-01-20 13:44:00,10.1,10.1,10.1,10.1,1500
2016-01-20 13:48:00,10,10,10,10,1410
2016-01-20 13:52:00,10,10,10,10,1000
2016-01-20 13:54:00,10.1,10.1,10.1,10.1,3500
2016-01-20 14:06:00,10.1,10.1,10.1,10.1,27000
2016-01-20 14:12:00,10,10,10,10,500
2016-01-20 14:16:00,10,10,10,10,100
2016-01-20 14:18:00,10,10,10,10,500
2016-01-20 14:20:00,10,10,10,10,6300
2016-01-20 14:24:00,10,10,10,10,500
2016-01-20 14:28:00,10.1,10.1,10.1,10.1,250
