timestamp,closing,opening,high,low,volume
2022-08-30 15:00:00,45,45,45,45,38136
2022-08-31 12:50:00,0,0,0,0,4766
2022-08-31 12:52:00,0,0,0,0,4766
2022-08-31 12:54:00,0,0,0,0,4766
2022-08-31 12:56:00,0,0,0,0,4766
2022-08-31 13:08:00,0,0,0,0,11005
2022-08-31 13:14:00,44.5,44.5,44.5,44.5,13615
2022-08-31 13:16:00,44.5,44.5,44.5,44.5,14616
2022-08-31 13:18:00,44.3,44.3,44.3,44.3,15391
2022-08-31 13:52:00,44,44,44,44,17051
2022-08-31 13:58:00,44,44,44,44,15491
2022-08-31 14:00:00,44,44,44,44,17051
2022-09-01 13:30:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:32:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:34:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:36:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:38:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:40:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:42:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:44:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:46:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:48:00,44.4,44.4,44.4,44.4,3045
2022-09-01 13:50:00,43.7,43.7,43.7,43.7,3061
2022-09-01 13:52:00,42.6,42.6,42.6,42.6,3061
2022-09-01 13:54:00,42.6,42.6,42.6,42.6,3069
2022-09-01 13:56:00,42.6,42.6,42.6,42.6,3069
2022-09-01 13:58:00,42.6,42.6,42.6,42.6,3069
2022-09-01 14:00:00,42.6,42.6,42.6,42.6,3069
2022-09-04 12:40:00,41.3,41.3,41.3,41.3,4496
2022-09-04 12:42:00,41.2,41.2,41.2,41.2,5177
2022-09-04 12:44:00,41.2,41.2,41.2,41.2,5177
2022-09-04 12:46:00,41.2,41.2,41.2,41.2,5177
2022-09-04 12:48:00,40.5,40.5,40.5,40.5,14177
2022-09-04 12:50:00,40.5,40.5,40.5,40.5,14177
2022-09-04 12:52:00,42,42,42,42,24178
2022-09-04 12:54:00,40.1,42,42,40.1,59791
2022-09-04 12:56:00,42,42,42,42,24179
2022-09-04 12:58:00,42,42,42,42,24179
2022-09-04 13:00:00,42,42,42,42,24179
2022-09-04 13:02:00,42,42,42,42,24179
2022-09-04 13:04:00,40.4,40.4,40.4,40.4,24578
2022-09-04 13:06:00,40.4,40.4,40.4,40.4,24578
2022-09-04 13:08:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:10:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:12:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:14:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:16:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:18:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:20:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:22:00,40.3,40.3,40.3,40.3,24799
2022-09-04 13:24:00,41.8,41.8,41.8,41.8,24800
2022-09-04 13:26:00,41.8,41.8,41.8,41.8,24800
2022-09-04 13:28:00,41.8,41.8,41.8,41.8,24800
2022-09-04 13:30:00,41.8,41.8,41.8,41.8,25099
2022-09-04 13:32:00,41.8,41.8,41.8,41.8,25099
2022-09-04 13:34:00,41.8,41.8,41.8,41.8,25099
2022-09-04 13:36:00,41.9,41.9,41.9,41.9,25169
2022-09-04 13:38:00,41.8,41.8,41.8,41.8,25170
2022-09-04 13:40:00,41,40.4,41,40.4,75629
2022-09-04 13:42:00,40.4,40.4,40.4,40.4,29941
2022-09-04 13:44:00,40.4,40.4,40.4,40.4,29941
2022-09-04 13:46:00,40.4,40.4,40.4,40.4,29941
2022-09-04 13:48:00,40.4,40.4,40.4,40.4,29941
2022-09-04 13:50:00,41,41,41,41,30801
2022-09-04 13:52:00,40.9,40.9,40.9,40.9,30801
2022-09-04 13:54:00,40.9,40.9,40.9,40.9,31631
2022-09-04 13:56:00,40.9,40.9,40.9,40.9,36631
2022-09-04 13:58:00,40.9,40.9,40.9,40.9,38801
2022-09-04 14:00:00,40.9,40.9,40.9,40.9,38801
2022-09-07 13:40:00,40,40,40,40,438
2022-09-07 13:42:00,40,40,40,40,438
2022-09-07 13:44:00,40,40,40,40,638
2022-09-07 13:46:00,40,40,40,40,638
2022-09-07 13:48:00,39.3,39.3,39.3,39.3,3338
2022-09-07 13:50:00,39.2,39.2,39.2,39.2,8840
2022-09-07 13:52:00,39.4,39.4,39.4,39.4,8840
2022-09-07 13:54:00,39.4,39.4,39.4,39.4,9840
2022-09-07 13:56:00,39.4,39.4,39.4,39.4,12840
2022-09-07 13:58:00,39.4,39.4,39.4,39.4,12840
2022-09-07 14:00:00,39.4,39.4,39.4,39.4,12840
2022-09-08 11:44:00,39.4,39.4,39.4,39.4,220
2022-09-08 11:46:00,39.4,39.4,39.4,39.4,220
2022-09-08 11:48:00,37,37,37,37,10220
2022-09-08 11:50:00,37,37,37,37,10220
2022-09-08 11:52:00,37,37,37,37,10220
2022-09-08 11:54:00,37,37,37,37,10220
2022-09-08 11:56:00,40.9,40.9,40.9,40.9,10421
2022-09-08 11:58:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:00:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:02:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:04:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:06:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:08:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:10:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:12:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:14:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:16:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:18:00,40.9,40.9,40.9,40.9,10421
2022-09-08 12:20:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:22:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:24:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:26:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:28:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:30:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:32:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:34:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:36:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:38:00,36.7,36.7,36.7,36.7,24922
2022-09-08 12:40:00,39,39,39,39,24923
2022-09-08 12:42:00,39,39,39,39,24923
2022-09-08 12:44:00,38.8,38.8,38.8,38.8,25123
2022-09-08 12:46:00,38.8,38.8,38.8,38.8,25123
2022-09-08 12:48:00,38.8,38.8,38.8,38.8,25123
2022-09-08 12:50:00,36.6,36.6,36.6,36.6,41473
2022-09-08 12:52:00,36.6,36.6,36.6,36.6,41473
2022-09-08 12:54:00,38.8,38.8,38.8,38.8,43515
2022-09-08 12:56:00,38.8,38.8,38.8,38.8,43515
2022-09-08 12:58:00,38.8,38.8,38.8,38.8,43515
2022-09-08 13:00:00,38.8,38.8,38.8,38.8,43515
2022-09-08 13:02:00,38.8,38.8,38.8,38.8,43515
2022-09-08 13:04:00,38.8,38.8,38.8,38.8,43515
2022-09-08 13:06:00,38.8,38.8,38.8,38.8,43515
2022-09-08 13:08:00,38.8,38.8,38.8,38.8,43515
2022-09-08 13:10:00,38.8,38.8,38.8,38.8,43515
2022-09-08 13:12:00,36.4,36.4,36.4,36.4,76171
2022-09-08 13:14:00,36.4,36.4,36.4,36.4,76171
2022-09-08 13:16:00,36.4,36.4,36.4,36.4,76171
2022-09-08 13:18:00,36.4,36.4,36.4,36.4,76171
2022-09-08 13:20:00,36.4,36.4,36.4,36.4,76171
2022-09-08 13:22:00,36.4,36.4,36.4,36.4,76171
