timestamp,closing,opening,high,low,volume
2015-10-15 10:34:00,26.3,25.6,26.3,25.6,8980
2015-10-15 10:36:00,25.9,25.9,25.9,25.9,8000
2015-10-15 10:38:00,25.7,25.7,25.7,25.7,1225
2015-10-15 10:42:00,25.8,25.8,25.8,25.8,4000
2015-10-15 10:44:00,25.6,25.6,25.6,25.6,12980
2015-10-15 10:46:00,25.7,25.7,25.7,25.7,1320
2015-10-15 10:52:00,25.6,25.6,25.6,25.6,9200
2015-10-15 10:54:00,25.5,25.5,25.5,25.5,1850
2015-10-15 10:56:00,25.5,25.5,25.5,25.5,5150
2015-10-15 10:58:00,25.6,25.6,25.6,25.6,100
2015-10-15 11:00:00,25.5,25.5,25.5,25.5,165
2015-10-15 11:04:00,25.5,25.5,25.5,25.5,995
2015-10-15 11:06:00,25.5,25.5,25.5,25.5,340
2015-10-15 11:10:00,25.4,25.4,25.4,25.4,1100
2015-10-15 11:12:00,25.4,25.4,25.4,25.4,2050
2015-10-15 11:16:00,25.4,25.4,25.4,25.4,2505
2015-10-15 11:18:00,25.5,25.5,25.5,25.5,1300
2015-10-15 11:20:00,25.4,25.4,25.4,25.4,1650
2015-10-15 11:22:00,25.5,25.5,25.5,25.5,1000
2015-10-15 11:26:00,25.5,25.5,25.5,25.5,3000
2015-10-15 11:28:00,25.5,25.5,25.5,25.5,5550
2015-10-15 11:30:00,25.5,25.5,25.5,25.5,345
2015-10-15 11:32:00,25.4,25.5,25.5,25.4,6870
2015-10-15 11:36:00,25.5,25.5,25.5,25.5,40
2015-10-15 11:52:00,25.5,25.5,25.5,25.5,1100
2015-10-15 11:54:00,25.6,25.6,25.6,25.6,15100
2015-10-15 11:58:00,25.2,25.2,25.2,25.2,44810
2015-10-15 12:00:00,25,25,25,25,17900
2015-10-15 12:02:00,24.9,24.9,24.9,24.9,2550
2015-10-15 12:04:00,25.2,25.2,25.2,25.2,500
2015-10-15 12:08:00,24.9,24.9,24.9,24.9,1390
2015-10-15 12:12:00,25,25,25,25,2000
2015-10-15 12:26:00,25,25,25,25,2000
2015-10-15 12:28:00,24.9,24.9,24.9,24.9,550
2015-10-15 12:32:00,25,25,25,25,17000
2015-10-15 12:38:00,25.1,25.2,25.2,25.1,5500
2015-10-15 12:42:00,25.3,25.3,25.3,25.3,2000
2015-10-15 12:56:00,25.2,25.2,25.2,25.2,3100
2015-10-15 13:00:00,25.2,25.2,25.2,25.2,1000
2015-10-15 13:02:00,25.2,25.2,25.2,25.2,2900
2015-10-15 13:07:00,25.2,25.2,25.2,25.2,1853
2015-10-15 13:09:00,25.2,25.2,25.2,25.2,650
2015-10-15 13:11:00,25.3,25.3,25.3,25.3,665
2015-10-15 13:15:00,25.2,25.2,25.2,25.2,13732
2015-10-15 13:17:00,25.1,25.1,25.1,25.1,5000
2015-10-15 13:21:00,25,25,25,25,500
2015-10-15 13:41:00,25,25,25,25,5607
2015-10-15 13:47:00,25.2,25.2,25.2,25.2,373
2015-10-15 13:49:00,25.2,25.2,25.2,25.2,433
2015-10-15 13:51:00,25,25,25,25,100
2015-10-15 13:53:00,24.9,24.9,24.9,24.9,4900
2015-10-15 13:59:00,24.6,24.6,24.6,24.6,12060
2015-10-15 14:03:00,24.5,24.5,24.5,24.5,4481
2015-10-15 14:09:00,24.5,24.5,24.5,24.5,1200
2015-10-15 14:11:00,24.4,24.4,24.4,24.4,195
2015-10-15 14:15:00,24.4,24.4,24.4,24.4,6240
2015-10-15 14:19:00,24.9,24.9,24.9,24.9,2519
2015-10-15 14:21:00,25,25,25,25,9700
2015-10-15 14:23:00,25.1,25.1,25.1,25.1,21612
2015-10-15 14:25:00,25.3,25.3,25.3,25.3,26450
2015-10-15 14:27:00,25.4,25.4,25.4,25.4,17000
2015-10-15 14:29:00,25.4,25.4,25.4,25.4,1000
2015-10-15 14:31:00,25.5,25.5,25.5,25.5,20100
2015-10-18 10:36:00,25.9,25.9,25.9,25.9,1000
2015-10-18 10:44:00,25.5,25.5,25.5,25.5,1250
2015-10-18 10:46:00,25.4,25.4,25.4,25.4,5500
2015-10-18 10:48:00,25.5,25.5,25.5,25.5,2000
2015-10-18 10:50:00,25.5,25.5,25.5,25.5,1000
2015-10-18 11:05:00,25.4,25.4,25.4,25.4,550
2015-10-18 11:11:00,25.1,25.1,25.1,25.1,695
2015-10-18 11:24:00,25,25,25,25,15305
2015-10-18 11:30:00,24.8,24.8,24.8,24.8,695
2015-10-18 11:36:00,24.7,24.7,24.7,24.7,2305
2015-10-18 11:38:00,24.7,24.7,24.7,24.7,2450
2015-10-18 11:44:00,24.7,24.7,24.7,24.7,1245
2015-10-18 11:46:00,24.7,24.7,24.7,24.7,2000
2015-10-18 11:48:00,24.7,24.7,24.7,24.7,695
2015-10-18 11:56:00,24.7,24.7,24.7,24.7,200
2015-10-18 11:58:00,24.8,24.8,24.8,24.8,3725
2015-10-18 12:13:00,24.6,24.6,24.6,24.6,50
